곡 ID,아티스트,곡 이름,앨범,가사,장르,감정 비율,최종 감정 분류
34505667,장민호,고맙고 미안한 내사람,에세이 ep.1,"
							고맙고 미안한 내 사람 고맙고 미안한 내 사람 긴 세월 불안한 내 곁에서 나를 믿어준 그댈 위해 나는 노래 부르리 사랑한다는 그 말 미안하다는 그 말 따뜻한 한마디 못해준 못난 사람 약속할게요 그대 내 남은 모든 시간 그댈 위해 모두 쓰겠소 고맙고 미안한 내 사람 고맙고 미안한 내 사람 고운 그대 두 눈가에 항상 눈물만 남겨준 이런 나를 용서할 수 있나요 사랑한다는 그 말 미안하다는 그 말 따뜻한 한마디 못해준 못난 사람 약속할게요 그대 내 남은 모든 시간 그댈 위해 모두 쓰겠소 살다가 너무 힘이 들 때면 내 어깨에 기대 편히 쉬기를 행복하기를 그대 울지 말기를 이제 그댄 누구보다 행복해야 될 사람 내가 그대를 만나 사랑한 모든 날들 기적 같은 행운이었소 고맙고 미안한 내 사람 
",성인가요/트로트,love: 25.0% neutral: 29.2% happiness: 16.7% sadness: 25.0% enthusiasm: 4.2%,love
36892798,세븐틴 (SEVENTEEN),Diamond Days,SEVENTEEN 11th Mini Album ‘SEVENTEENTH HEAVEN',"
							Everyday is a shining day
 SEVENTEEN Right here
,충분한 시간 그리고 압력
 그 안에서 우린 빛나
 흙 속에 묻혀 (흙 속에 묻혀)
 있던 날 
 처음 날을 기억할게 우리들은 (들은)
,반짝 빛나는 약속을 끼워주겠다는 약속
 변함없이 내 맘은 여전히 처음과 같아 
 처음 날을 기억할게 우리들은 (들은)
,여전히 넌 누구보다 빛나
 익숙함을 넘어서
 시간이 (시간이 더)
 흘러도
 절대 약해지지 않을 거야 Ay
 Slip into the diamond life
,Da- Diamond days
 Da- Diamond
 Da- Diamond days
 Da- Diamond
,Diamond (days)
 Diamond (days)
 Diamond (days)
 Diamond (days)
 우리만의 Day day Diamond days
,음 음 음악 소리 좀 키워줘
 최고조로 갈 수 있게
 1분 1초가 반짝이는 시간
 앞으로도 계속해
,빛나는 우리 약속은 절대 깨지지 않아
 지금의 우리들은 여전히 처음과 같아
 처음 날을 기억할게 우리들을 (들을)
,여전히 넌 누구보다 빛나
 익숙함을 넘어서
 시간이 (시간이 더)
 흘러도
 절대 약해지지 않을 거야 Ay
 Slip into the diamond life
,Da- Diamond days
 Da- Diamond
 Da- Diamond days
 Da- Diamond
,Diamond (days)
 Diamond (days)
 Diamond (days)
 Diamond (days)
 우리만의 Day day Diamond days
					",댄스,happiness: 45.5% enthusiasm: 22.7% neutral: 13.6% love: 18.2%,enthusiasm
35640848,NCT 127,질주 (2 Baddies),질주 (2 Baddies) - The 4th Album,"
							Yes ah Umm ah 2 Baddies 2 Baddies 1 Porsche 2 Baddies 2 Baddies 1 Porsche 몰라 난 네가 뭐라는지 있는 그대로의 멋을 봐 Don &amp; Manner One of a kind 파급은 나 Look in my eyes ya 내가 그린 기린 그림 속에서 move ya 창밖을 봐 문을 열어 바로 지금 ya I gotta go 시간은 gold we are the next ya We pulling up and we cutting the line 빛이 안 나 It isn’t mine 타이밍 맞춰서 보이는 Sign open the keys open the mind Too fast ㅠㅠ 움직임은 blues clues Everybody jealous 따라 해보던가 New rules 위험한 생각에 맞서봐 이번엔 피하지 않아 난 Let’s get away right now 더 빠르게 yaya 그려낸 모습을 마주하게 Zero to 100 on the highest speed 가는 길 앞엔 아무도 없지 내 삶은 나를 위한 고속도로 ay Fill up the tank pour that gasoline on me rah 2 Baddies 2 Baddies 1 Porsche 2 Baddies 2 Baddies 1 Porsche 몰라 난 네가 뭐라는지 있는 그대로의 멋을 봐 Don &amp; Manner 2 Baddies 2 Baddies 1 Porsche 2 Baddies 2 Baddies 1 Porsche 네가 날 본다면 알잖아 우린 다채로운 색을 봐 Rainbow shade Show me baby what’s your style 최고를 느껴본 다음 너의 세상은 달라질 거야 You gon’ wanna come and wow 다른 건 필요 없어 자꾸만 화려해질 거야 넌 Now you wanna ride these wheels 우린 계속 타 너도 원하겠지 feel (원해 feel) Yeah we got no time to kill 배기음이 말해 많이 바빠 일 더 위로가 점점 위로 가 널 잃지 마 끝까지 달려가 고민하지 마 불안할 뿐이야 Better get out of my way you know 2 Baddies 2 Baddies 1 Porsche 2 Baddies 2 Baddies 1 Porsche 몰라 난 네가 뭐라는지 있는 그대로의 멋을 봐 Don &amp; Manner 2 Baddies 2 Baddies 1 Porsche 2 Baddies 2 Baddies 1 Porsche 네가 날 본다면 알잖아 우린 다채로운 색을 봐 Rainbow shade 열린 도로 속에 하얗게 밝혀진 길이 여길 펼쳐 놔 가려진 세상에서 벗어나 run through the highway Woah 끝이 없이 밟는 중 wanna go to the moon 무한대로 baby 가속되는 소리 Nothing can stand in our way ooh Zip zip show me zip it up what you got (Hey Hey) Zip zip show me 주파수 맞추고 (Oh Hey) Vroom vroom noise 저리 가라고 (Hey) Why don’t we just drive away woah 2 Baddies 2 Baddies 1 Porsche 2 Baddies 2 Baddies 1 Porsche 몰라 난 네가 뭐라는지 있는 그대로의 멋을 봐 Don &amp; Manner 2 Baddies 2 Baddies 1 Porsche 2 Baddies 2 Baddies 1 Porsche 네가 날 본다면 알잖아 우린 다채로운 색을 봐 Rainbow shade na na na na na na na na Zip zip it z- zip it and close na na na na na na na na 2 Baddies 1 Porsche 2 Baddies 2 Baddies 1 Porsche na na na na na na na na Zip zip it z- zip it and close na na na na na na na na na 2 Baddies 2 Baddies 1 Porsche
					",댄스,sadness: 5.9% enthusiasm: 50.0% neutral: 38.2% happiness: 5.9%,enthusiasm
36761469,미연 ((여자)아이들),트월ㅋ (Prod. Czaer),스트릿 우먼 파이터2(SWF2) 계급미션,"
							하나둘셋 몸에 느껴지는 템포 숨길 수 없다면, 정답이야 Bingo 옆은 보지 마 우린 앞만 보는 Lambo Gucci Louis Prada Lenciaga 같은 태도,Twerk Twerk  Twerk’n it like jello 다시 준비하고 셋 둘 하나 또 반복,Twerk Twerk  Yeah let’s go 우리가 단독 We don’t care we on fire we on fire,차가운 저 시선 신경 쓰지 마  겨울에 핀 꽃을 보는 거니까 And focus 우리뿐이야 어려울 거 없어 따라 해봐 날,Ah-ah-ah,도레미 U follow me 허리를 펴고 Put ya hands on knees Shake that 흔들어 엉덩이를 흔들어 (Hey),ABCDEFZ  멈출 줄 몰라 우린 끝까지 Shake that 흔들어 엉덩이를 흔들어,Plain 머리 어깨 무릎 발 이젠 Cheesy 머리 어깨 허리 엉덩이 이게 Trendy 삐딱하지 않아도 우린 뜨거운 Topic Topic Hater들도 남들 몰래 우릴 보고 Shake it Shake it ,차가운 저 시선 신경 쓰지 마  겨울에 핀 꽃을 보는 거니까  And focus 우리뿐이야 어려울 거 없어 따라 해봐 날,Ah-ah-ah,도레미 U follow me 허리를 펴고 Put ya hands on knees Shake that 흔들어  엉덩이를 흔들어 (Hey),ABCDEFZ  멈출 줄 몰라 우린 끝까지 Shake that 흔들어 엉덩이를 흔들어,Everybody dance and come on follow me 우린 지구 끝까지 서울 도쿄 런던 파리 NYC 우린 지구 끝까지,Na Na Na Na Na Na Na Na  Na Na Na Na Na Na Na Na Na Na Na Na Na Na Na Na,Ah-ah-ah,도레미 U follow me 허리를 펴고 Put ya hands on knees Shake that 흔들어 엉덩이를 흔들어 (Hey),ABCDEFZ 멈출 줄 몰라 우린 끝까지 Shake that 흔들어 엉덩이를 흔들어
					",댄스,happiness: 44.4% neutral: 7.4% enthusiasm: 44.4% anger: 3.7%,enthusiasm
5748499,씨스타,SHAKE IT,SHAKE IT,"
							너만을 유혹하는 춤  우우우 우우우우 심장에 매력 발산 중  우우우 우우우우 손끝만 스쳐도 막 쿵쿵쿵쿵 Oh 내 맘이 흔들려 Shake it shake it for me Shake it shake it for me 나나나 나나나 나나나  Hey 나나나 나나나 나나나  짜릿한 이 느낌  날 춤을 추게 해  지금 이 순간  Shake it Bae bae baby Love me love me love me now 흔들리는 내 맘 모르겠니 So let's dance Just shake it let's dance 좀 더 핫하게 완전 와일드하게 Make it louder 우우우 더 크게 make it louder 우우우 날 자꾸 흔들어 흔들어 놀라게 흔들어 Shake it oh shake it 밤새 나와 Shake it baby 아주 fun하고 smart하게  흔들흔들어 온몸이 찌릿찌릿 우리 둘이  흔들흔들어 심하게 통하니 여기 불났으니 When I Move  움직여 자리 잡았으니 Shake it shake it for me Shake it shake it for me 나나나 나나나 나나나  Hey 나나나 나나나 나나나  짜릿한 이 느낌  날 춤을 추게 해  지금 이 순간  Shake it Bae bae baby Love me love me love me now 흔들리는 내 맘 모르겠니 So let's dance Just shake it let's dance 좀 더 핫하게 완전 와일드하게 Make it louder 우우우 더 크게 make it louder 우우우 날 자꾸 흔들어 흔들어 놀라게 흔들어 Shake it oh shake it 밤새 나와 Shake it baby Shake it oh shake it Shake it up shake it for me Shake it oh shake it Shake it up shake it for me Shake it oh shake it Shake it up shake it for me Shake it oh shake it Shake it up shake it for me Shake it for me my baby Shake it for me my baby 그렇게 모두 모여 dance Just shake it let's dance 좀 더 핫하게 완전 와일드하게 Make it louder 우우우 더 크게 make it louder 우우우 날 자꾸 흔들어 흔들어 놀라게 흔들어 Shake it oh shake it 밤새 나와 Shake it baby 
",댄스,love: 32.1% happiness: 57.1% neutral: 10.7%,happiness
31481700,DAY6 (데이식스),행복했던 날들이었다,Remember Us : Youth Part 2,"
							저녁 노을을 바라보며 널 만나 다행이라고 하던 날이 벌써 꽤나 오래 전 이야기야 이제는 노을은 밤의 시작일 뿐이야 모든 게 아름다웠어 우울한 날들은 없었어 지금 돌이켜보면 우습기도 하지만 후회는 남기지 않았어 사랑했으니까 뭐 됐어 첫째 날부터 마지막 날까지 아 행복했던 날들이었다 꿈만 같았었지 이제 더는 없겠지만 지난 날로 남겨야지 말하다 생기는 정적은 전엔 아무렇지 않았는데 이젠 달라 너무도 길게 느껴지고 가슴이 쓰리고 답답해서 힘들어 매 순간이 아까웠어 가는 시간이 참 미웠어 지금 돌이켜 보면 바보 같긴 하지만 후회는 남기지 않았어 사랑했으니까 뭐 됐어 첫째 날부터 마지막 날까지 아 행복했던 날들이었다 꿈만 같았었지 이제 더는 없겠지만 지난 날로 남겨야지 아주 가끔은 그리워할 거야 널 사실 가끔은 아니고 자주겠지 아주 가끔은 눈물이 흐를 거야 그 때도 괜찮다고 되뇌일 거야 아 행복했던 날들이었다 꿈만 같았었지 이제 더는 없겠지만 지난 날로 남겨야지 
",록/메탈,neutral: 40.0% sadness: 40.0% love: 3.3% happiness: 10.0% enthusiasm: 6.7%,sadness
33599821,임영웅,Bk Love,뽕숭아학당 PART23,"
							나의 마음 알고 있었니 정말로 너만을 생각하며 지냈던 날들 하지만 너에 대한 마음이 커지면 커질수록 나는 더욱더 힘들어 해야만 했어 불안에 떨어야만 했어 이제는 내 자신이 지쳤어 너를 볼 자신이 없어 그래 비겁하게 너에게 등을 보이고 도망가려 하는 내 자신이 너무도 싫어 하지만 나는 너무 늦게 알아버린 거야 내가 너를 좋아한다는 걸 알았을 때 하지만 그땐 너무도 늦어 버렸어 모든 게 변해 버렸어 나는 너무도 초라했던 내가 너에게 말할 용기도 자신도 모두 잃어 버렸어 하지만 그냥 그게 좋았었지 라고 생각했던 내가 어리석었어 그게 그렇게 힘들 줄은 난 정말로 몰랐던 걸 이제야 늦게나마 난 깨달았던 거야 이 모든 게 너에겐 변명으로 들리겠지 하지만 내 사랑은 오직 하나 너 뿐이었다는 걸 그대 이거 하나만은 알아줬으면 해 나만큼 너를 사랑해 줄 사람 없다는 걸 이 모든 게 너에겐 변명으로 들리겠지 하지만 내 사랑은 오직 하나 너 뿐이었다는 걸 그대 이거 하나만은 알아줬으면 해 나만큼 너를 사랑해 줄 사람 없다는 걸 돌아서는 네 모습 바라보는 내게 더 이상의 슬픔은 없어 Baby 끝이 된 사랑을 놓지 못해 슬픔에 울지 못해 baby 제발 내 가슴에 젖은 내 친구의 처진 목소리 처음부터 어긋나버린 끝이 된 사랑얘기 내 친구의 아픔을 이해 못할 슬픔을 달래긴 힘겨워서 불러본다 노래 진정 네가 사랑했던 꽃잎 같은 그녈 위해 많은 시간 홀로 지내며 준비했던 사랑 그 한 송이 꽃을 피우기 위해 흘러내린 눈물은 빛을 바라지 못하고 한줌 흙이 되어 날려 수많은 날을 밤을 한숨으로 보내며 지내며 생각의 마지막에 어렵게 내려진 결론 그건 결코 쉽지 않게 내려진 그녈 위한 너를 위한 네 사랑의 결별의 종말론 언젠가는 이루지 못한 너의 둘의 안타까운 사랑이 저 하늘의 두 빛으로 만나 하늘에 줄을 긋는 별똥별이 되어 다음 생엔 그 사랑이 분명히 이뤄지길 바래 내 친구는 아직 그녈 사랑해요 하지만 그녈 위해 내 친구는 떠난대요 이런 게 사랑이라 생각하면 숨막혀요 그래서인지 내 친구는 아직 우나 봐요 bk 내 친구는 아직 그녈 사랑해요 하지만 그녈 위해 내 친구는 떠난대요 이런 게 사랑이라 생각하면 숨막혀요 그래서인지 내 친구는 아직 우나 봐요 돌아서는 네 모습 바라보는 내게 더 이상의 슬픔은 없어 baby baby 끝이 된 사랑을 놓지 못해 슬픔에 울지 못해 baby 제발 
",랩/힙합,love: 33.8% sadness: 52.1% neutral: 9.9% anger: 4.2%,sadness
34366010,BE'O (비오),지나고 보면 (Feat. 화사 & MINO) (Prod. GRAY),쇼미더머니 10 Final,"
							나태 그 앞에 피운 담배 한 대 또 나한테 구리다는 저 깡패의 말에 스물하나에 꺾인 나의 날개는 밖에 비가 많이 온 날 필요한 우산이 됐네 내팽개쳐져 버린 20대 몸 상태 입을 가린 밖의 난 웃지 않아 내내 그건 너 또한 아마 마찬가지였을 텐데 너의 웃음을 보고 싶었던건 나였구나  내가 날 괴롭혔지 이건 신고할 곳도 없어서 매일 혼자서 뒤처리 누가 대체 범인이야  물어봐 어머니 엄마 저기 쟤야 하고 손가락 끝이 가리킨 것은 거울이었지 Omg holy 쉿! 전부 freeze! 모두 얼어 내 맘의 흉터들을 볼 땐 다 경쟁 너 또한 남았겠지 상처든 적대 나중에 다이어리의 지금의 나를 펴보는 날은 우리의 아픔 아물어 추억이 됐다고 할 수 있기를 바래,지나고 보면 아무것도 아냐 한편의 추억으로 돌아와 우린 눈부시네 별처럼 환히 빛나기에 지나고 보면 it's nothing it's nothing,I woke up 11 AM 세숫대야에서 헤엄 이제 나올 앨범 play on 택을 떼고 패딩 wearing 엘리베이터 미러 속엔 피로 쩌는 삼촌이 600마리 말을 타고 출근길로 pairing 내 favorite playlist 음 그냥 pause 해 요샌 듣고 싶은 음악들이 없네 고새 커버린 불안감 덕택 힘이 잔뜩 들어간 주먹을 푸는 on the rock Drinkin’ drinkin all night 집에 갈 땐 대리 불러 핏기없이 못난 얼굴 위에 비비크림과 파운데이션 다시 마이노가 되러 wake up 6 AM 세숫물에 헤엄 이제 나올 앨범 play on 1년 묵은 패딩 wearing 엘리베이터 미러 속엔 피로 쩌는 삼촌이 카니발에 몸을 던져 출근길로 pairing 내 다이어리 읽어보면 비슷하네 매일이 so funny,지나고 보면 아무것도 아냐 한편의 추억으로 돌아와 우린 눈부시네 별처럼 환히 빛나기에 지나고 보면 it's nothing it's nothing,지나고 보면 다 지나고 보면 다 지나고 보면 아무것도 아닐 거야 나쁜 기억이든 좋은 기억이든 추억으로 지나고 보면 다 지나고 보면 다 지나고 보면 아무것도 아닐 거야 나쁜 기억이든 좋은 기억이든 추억으로 남길게,지나고 보면 아무것도 아냐 한편의 추억으로 돌아와 우린 눈부시네 별처럼 환히 빛나기에 지나고 보면 it's nothing it's nothing,지나고 보면 다 지나고 보면 다 지나고 보면 아무것도 아닐 거야 나쁜 기억이든 좋은 기억이든 추억으로 지나고 보면 다 지나고 보면 다 지나고 보면 아무것도 아닐 거야 나쁜 기억이든 좋은 기억이든 추억으로 남길게
					",랩/힙합,neutral: 46.0% anger: 12.7% sadness: 14.3% happiness: 23.8% enthusiasm: 3.2%,anger
30227065,Zion.T,Complex (feat. G-DRAGON),OO,"
							살이 좀 쪘으면 좋겠어 넌 내 마른 몸을 좋아하지만 안아줄 때 같이 잘 때 너 팔베개 깔아줄 때 너의 목 건강을 위해 내 키가 좀만 컸으면 좋겠어 네가 만나던 키 큰 애들보다 그리고 손도 조금만 더 컸음 해 어 근데 그 그건 더 안 커도 될 것 같아 너무 빡세 하루하루 하루하루 개인 정보 직업란 가수 엄마 노래는 어떻게 해야 돼 니네 안 살아봤으면 말을 말아 왜 이리 일이 많아 전화 좀 그만했으면 좋겠어 특히 너네 양화대교 지나갈 때 그래그래 그 노래 좋아해 근데 그 다리가 뭔 상관인데 Complex My complex My complex I'm COMPLEX than the magazine I hate me more than you hate me I'm complex than the magazine 내가 아이돌이었음 좋겠어 춤 잘 추고 잘생긴 놈 dance 사랑 노래만 쓰면 되니까 노래 못하면 벗으면 되니까 'Yeah oh yeah oh yeah Oh yeah oh yeah 사랑해 미치겠어 handsome oh yeah oh yeah' 이러면 되니까 해솔아 형은 콤플렉스가 없어 미안 키작고 말라도 괜찮아 뭐 나니까 오히려 난 말이야 if i was zion.T 노래는 다 아는데 얼굴은 잘 모르니까 GD라하면 돈 FAME 여자 그래 솔직히 다 셀 수 없어 그렇다고 재수없어 나처럼 살아봐 Think you can walk in my shoes Look at me now 내가 네 콤플렉스다 임마 99 complexes but you can't be me 99 complexes but you can't be me  콤플렉스 문제를 삼으면 문제가 돼 I got no complex yea that's me My complex My complex My complex I'm COMPLEX than the magazine I hate me more than you hate me I'm complex than the magazine Complex My complex My complex I'm COMPLEX than the magazine I hate me more than you hate me I'm complex than the magazine 가끔 나 내가 아님 좋겠어 아무도 우리가 우리인지 모른다면 남들처럼 손 잡고 걷는 상상해 햇살 좋은 공원에서 
",R&B/Soul,love: 20.0% neutral: 48.6% happiness: 11.4% anger: 5.7% sadness: 14.3%,love
35730696,비,DOMESTIC (팔각정),DOMESTIC,"
							피가 DOMESTIC uh 왕들의 clique 여긴 팔각정 놀이판 키워 international A,B,O,AB Domestic blood blood 피가 DOMESTIC uh 왕들의 clique 여긴 팔각정 놀이판 키워 international A,B,O,AB Domestic blood blood 피가 DOMESTIC 여긴 지금 우리의 safe house 들어올 틈따윈 없어 카피 해도 돼 너는 가짜 look at my look at my moves 내가 진짜 덩기덕쿵 더러 my groove 흉내를 낸 너는 몽타주 Too fast 이건 내 독주 give me that give me that give me that uh 이건 나의 clique 탑티어 uh 따라오려 태워 cash and blood 애매해진 너의 복각 uh fake uh 피가 DOMESTIC uh 왕들의 clique 여긴 팔각정 놀이판을 키워 international A,B,O,AB Domestic blood blood 피가 DOMESTIC uh 왕들의 clique 여긴 팔각정 놀이판을 키워 international A,B,O,AB Domestic blood blood 피가 DOMESTIC 피가 domestical 심장이 V10 zoom 돼야 감당할 수 있는 flow 늘어나는 술래들 whoa 덩기덕쿵 더러 my groove 비슷한건 없지 future proof 겉만 배낀 넌 no clue give me that 피가 DOMESTIC uh 왕들의 clique 여긴 팔각정 놀이판을 키워 international A,B,O,AB Domestic blood blood 피가 DOMESTIC uh 왕들의 clique 여긴 팔각정 놀이판을 키워 international A,B,O,AB Domestic blood blood 피가 DOMESTIC We are the leaders join the empire yeah 내 뼛속 깊숙한 곳에 my dna 나는 피가 DOMESTIC uh clique 여긴 팔각정 키워 international Domestic blood 피가 DOMESTIC uh clique 여긴 팔각정 키워 international Domestic blood 피가 DOMESTIC uh 
",댄스,neutral: 71.4% anger: 19.0% enthusiasm: 9.5%,anger
