곡 ID,아티스트,곡 이름,앨범,가사,장르,감정 비율,최종 감정 분류
36826650,10CM,시작된 걸까 (Prod. My Aunt Mary),소년 소녀 연애하다 OST Part 1,"
							궁금한 게 있어 너의 이름보다 마주친거 맞지 우리 두 눈 말야  좀 다른듯해도 잘 모른다 해도  묘하게 닮은 것 같아 잘 웃는다는 것까지도 ,이제야 조금은 편해진 것 같은데 어쩜 우리 벌써 뭐가 시작된 걸까,이제 말할래  수줍은 고백 운명의 순간에 혹시나 늦지 않게 그게 난 좋아  우리였다는 게 지금 그 미소 그대로   또 만날 때까지,이제야 조금은 편해진 것 같은데 어쩜 우리 벌써 뭐가 시작된 걸까,이제 말할래 수줍은 고백 지금 내 모습이 전부가 아니라고 그게 난 좋아 우리였다는 게 지금 그 미소 그대로  또 만날 때까지
					",록/메탈,neutral: 72.2% love: 27.8%,love
4446485,성시경,너의 모든 순간,별에서 온 그대 OST Part.7,"
							이윽고 내가 한눈에 너를 알아봤을 때 모든 건 분명 달라지고 있었어 내 세상은 널 알기 전과 후로 나뉘어 니가 숨 쉬면 따스한 바람이 불어와 니가 웃으면 눈부신 햇살이 비춰 거기 있어줘서 그게 너라서 가끔 내 어깨에 가만히 기대주어서 나는 있잖아 정말 빈틈없이 행복해 너를 따라서 시간은 흐르고 멈춰 물끄러미 너를 들여다 보곤 해 그것 말고는 아무것도 할 수 없어서 너의 모든 순간 그게 나였으면 좋겠다 생각만 해도 가슴이 차올라 나는 온통 너로 보고 있으면 왠지 꿈처럼 아득한 것 몇 광년 동안 날 향해 날아온 별빛  또 지금의 너 거기 있어줘서 그게 너라서 가끔 나에게 조용하게 안겨주어서 나는 있잖아 정말 남김없이 고마워 너를 따라서 시간은 흐르고 멈춰 물끄러미 너를 들여다보곤 해 너를 보는 게 나에게는 사랑이니까 너의 모든 순간 그게 나였으면 좋겠다 생각만 해도 가슴이 차올라 나는 온통 너로 니 모든 순간 나였으면,
","발라드, 국내드라마",neutral: 58.6% love: 20.7% enthusiasm: 6.9% sadness: 10.3% happiness: 3.4%,love
34451383,범진,인사,인사,"
							돌아서는 너를 보며 난 아무 말도 할 수 없었고 슬퍼하기엔 짧았던 나의 해는 저물어 갔네 지나치는 모진 기억이 바람 따라 흩어질 때면 아무 일도 없듯이 보내주려 해 아픈 맘이 남지 않도록 안녕 멀어지는 나의 하루야 빛나지 못한 나의 별들아 차마 아껴왔던 말 이제서야 잘 지내 인사를 보낼 게 떠나가는 너를 보며 난 아무 말도 할 수 없었고 슬퍼하기엔 짧았던 나의 해는 저물어 갔네 돌이킬 순 없는 추억이 바람 따라 흩어질 때면 아무 일도 없듯이 보내주려 해 아픈 맘이 남지 않도록 안녕 멀어지는 나의 하루야 빛나지 못한 나의 별들아 차마 아껴왔던 말 이제서야 잘 지내 인사를 보낼 게 잘 지내 인사를 보낼 게 
","발라드, 인디음악",neutral: 40.9% sadness: 27.3% love: 31.8%,love
35709043,이영현,그래서 그대는,그래서 그대는,"
							나는 나에게  길 들여지길 바래요  그동안 그댈 너무 많이  닮아 있었나 봐요  지워질 때도 됐는데  그댄 또 누군가에게 길들었나요  혹시 그 사람  예전 나완 많이 틀린가 봐요  그래서 그대는 날 잊고 사는지  내 아름다운 사람아  여전히 나는 니 모습인데  또 다른 사랑 배워갈 그대 가슴에  내 작은 기억 하나만  내 눈물 나는 사랑아  같은 아픔에 머물 수 있게  다른 이별에 울어도  내 품 안에서  그 마음 아물게 해요  내가 아닌 그대 행복한가요  혹시나 내 이름 벌써 잊었나요  내 아름다운 사람아  여전히 나는 니 모습인데  또 다른 사랑 배워갈  그대 가슴에  내 작은 기억 하나만  내 눈물 나는 사랑아  같은 아픔에 머물 수 있게  다른 이별에 울어도  내 품 안에서  그 마음 아물게 해요  내 작은 기억 하나만  내 눈물 나는 사랑아  같은 아픔에 머물 수 있게  다른 이별에 울어도  내 품 안에서  그 마음 아물게 해요  그 마음 아물게 해요 
",발라드,love: 46.4% sadness: 46.4% neutral: 3.6% happiness: 3.6%,love
34052428,이찬원,그댈 만나러 갑니다,..선물,"
							꽃을 닮은 사람이에요 그대가 내 사랑입니다 꽃보다 더 아름다운 그댈 만나러 난 갑니다 별을 닮은 사람이에요 그대가 내 행복입니다 별보다 더 반짝이는 그댈 만나러 난 갑니다 아름다워요 내 삶이 그대가 있어 빛나요 아름다워요 내 사랑 내 생에 최고의 선물 이 세상에 오직 하나뿐 그대가 내 기적입니다 꽃보다 더 아름다운 그댈 만나러 난 갑니다 그대와 난 살고 싶어 그대 곁에 잠 들고 싶어 이 세상 다 주고 싶은 그댈 만나러 난 갑니다 아름다워요 내 삶이 그대가 있어 빛나요 아름다워요 내 사랑 내 생에 최고의 선물 이 세상에 오직 하나뿐 그대가 내 기적입니다 꽃보다 더 아름다운 그댈 만나러 난 갑니다 이 세상에 오직 하나 그댈 만나러 난 갑니다 
",성인가요/트로트,neutral: 52.2% love: 43.5% happiness: 4.3%,love
36430773,(여자)아이들,퀸카 (Queencard),I feel,"
							Hey you 뭘 보니? 내가 좀 Sexy Sexy 반했니 Ye you 뭐 하니? 너도 내 Kiss Kiss 원하니 월 화 수 목 금 토 일 미모가 쉬지를 않네 머리부터 발끝까지 눈부셔 빛이 나네 Oh 저기 언니야들 내 Fashion을 따라 하네 아름다운 여자의 하루는 다 아름답네 이 Party에 준비된 Birthday cake 태어나서 감사해 Every day I don’t need them 그래 내가 봐도 난 퀸카 I’m hot My boob and booty is hot Spotlight 날 봐 I’m a star star star 퀸카 I’m the top I’m twerking on the runway I am a 퀸카 You wanna be the 퀸카 I’m a 퀸카 I’m a 퀸카 I’m a I’m a I’m a 퀸카 I’m a 퀸카 (Take a photo) I’m a 퀸카 I’m a 퀸카 I’m a I’m a I’m a 퀸카 I’m a 퀸카 Look so cool look so sexy like Kim Kardashian Look so cute look so pretty like Ariana I wanna with you 뽀뽀 I wanna with you 포옹 자꾸 예뻐져 거울 속 너어~ 이 Party에 준비된 (Blue) Champagne 태어난 걸 축하해 Every day I don’t need them 그래 내가 봐도 난 퀸카 I’m hot My boob and booty is hot Spotlight 날 봐 I’m a star star star 퀸카 I’m the top I’m twerking on the runway I am a 퀸카 You wanna be the 퀸카 I’m a 퀸카 I’m a 퀸카 I’m a I’m a I’m a 퀸카 I’m a 퀸카 (Take a photo) I’m a 퀸카 I’m a 퀸카 I’m a I’m a I’m a 퀸카 I’m a 퀸카 아무거나 걸친 Girl 퀸카카카 마르거나 살찐 Girl 퀸카카카 자신감 넘치는 Girl 퀸카카카 I am a 퀸카 You wanna be the 퀸카 
",댄스,neutral: 60.0% anger: 5.0% sadness: 10.0% love: 20.0% happiness: 5.0%,love
35223433,세븐틴 (SEVENTEEN),Shadow,SEVENTEEN 4th Album 'Face the Sun',"
							저 멀리 뜨거운 해 떠오르지 않길 원했어 (Oh wuh) 빛의 반대편 그늘진 모든 게 싫어서 (Oh wuh),걸음걸이마다 따라와서 시선은 항상 그곳에 있어 도망치는 내 모습이 너무 싫었어 (Oh wuh),어느새 우린 닮아가고 있었어 마치 데칼코마니인 것처럼 너와 마주 하고 싶은 맘에,Shadow my Shadow my Shadow 널 남에게 보이지 않으려 Shadow my Shadow my Shadow 미워하고 아파도 했어 Shadow my Shadow my Shadow,Oh 이제 난 알아 너 또한 나인걸 숨기고 싶지 않아 I want to hold your hand 나의 어두움마저 밝게 빛나고 말 테니까 Baby I’m a shadow of you,달렸어 네게서 도망치려 숨었어 빛이 없는 곳으로 도망치는 마음으로 나는 Run Run Run Oh,숨소리마저 똑같아서 내 마음이 널 듣고 싶어 해 도망치는 내 모습이 너무 싫었어 (Oh wuh),어느새 우린 닮아가고 있었어 마치 데칼코마니인 것처럼 너와 마주 하고 싶은 맘에,Shadow my Shadow my Shadow 널 남에게 보이지 않으려 Shadow my Shadow my Shadow 미워하고 아파도 했어 Shadow my Shadow my Shadow,Oh 이제 난 알아 너 또한 나인걸 숨기고 싶지 않아 I want to hold your hand 나의 어두움마저 밝게 빛나고 말 테니까 Baby I’m a shadow of you,Stay with me 어느 순간에도 같은 빛 같은 그림자 되어 어느 곳에서도 너를 안고,검은색 칠해진 널 외면하기만 했어 서로의 똑같은 모습을 잠시 잊은 채로 부정하기 바빴었던 어제 드넓은 지구 한가운데 우리의 관계는 유일해 같은 발맞춰 달려 Everywhere,Shadow my Shadow my Shadow 널 남에게 보이지 않으려 Shadow my Shadow my Shadow 미워하고 아파도 했어 Shadow my Shadow my Shadow,Oh 이제 난 알아 너 또한 나인걸 숨기고 싶지 않아 I want to hold your hand 나의 어두움마저 밝게 빛나고 말 테니까 Baby I’m a shadow of you
					",댄스,neutral: 64.1% love: 15.4% anger: 7.7% sadness: 12.8%,love
37520959,박지현,옆집 오빠,미스터로또 베스트 PART48,"
							옆집 오빠랍니다 몸매도 스타일도 짱인 알고 보면 속도 깊고 자상한 남자랍니다 심심하다면 와요 집에 놀러 와요 빵빵 웃겨 줄게요 답답할 때면 와요 사이다가 되어 막힌 가슴 뚫어 줄게 오오 날 보러 와요 보고 싶을 때 오오 날 보러 와요 오빠가 생각날 땐 언제든 옆집 오빠랍니다 몸매도 스타일도 짱인 알고 보면 속도 깊고 자상한 남자랍니다 뭐든 안되면 와요 오빠 손은 금손 뚝딱 해결해 줄게 힘이 들 때면 와요 아무 때나 좋아 내가 토닥토 할게 오오 날 보러 와요 보고 싶을 땐 오오 날 보러 와요 오빠가 생각날 땐 언제든 옆집 오빠랍니다 몸매도 스타일도 짱인 알고 보면 속도 깊고 자상한 남자랍니다 좋은 오빠랍니다 재밌고 매너 좋은 남자 센스 하나 끝내주는 옆집 오빠랍니다 다 주고 싶어 전부 주고 싶어 당신 향한 내 마음 나에게 와요 지금 당장 와요 내가 아껴 줄게요,멋진 오빠랍니다 끝까지 변치 않을 남자 한 여자만 사랑하는 당신의 남자랍니다 옆집 오빠랍니다
					",성인가요/트로트,neutral: 70.0% love: 20.0% enthusiasm: 3.3% sadness: 6.7%,love
34331509,sokodomo,"BE ! (Feat. 팔로알토, lIlBOI) (Prod. PEEJAY & Slom)",쇼미더머니 10 Semi Final,"
							Hit the booth with a nice T We them boys with the suits and our tie cleaned 불을 끄고 우린 키지 Only 싸이키  앞에 모든 걸 먹어 마치 바이킹 조금 나쁜 남자가 되어야 해 Eat my laffy taffy up like a buffet 대비 up 삐까 뻔쩍 나를 Check it 우리 Biggie 들으며 같이 만들어 Hickie  Oh my goodness, How he do it like that 통장에 0이 늘어나 Uno dos tres 돈 내놔 Show money 나에게 보여줘 Bando 이 반도에서 나는 반도체 내 코인 타는 애들은 전부 잘 됐네 화성 가야지 이제  Eat my hummus and my bread 대체 언제까지  남 옆에 아님 뒤 그쯤에서 거기서 거긴 채 있을 거니 What you gonna,BE Be what you wanna  BE Now, everybody wanna  BE  네가 뭘 원하든 안 들려 Beg Your pardon Wanna live like me just BE   what you wanna be  What you wanna be? 난 벌써 돼버렸어 I’m the shit,Used to wanna be Nas, used to wanna be Hov Used to wanna be Common, 어릴 적 나의 꿈 되고 싶었지, META, 되고 싶었지, 주석 되고 싶었지, 개코, 어릴 적 내 영웅 꿈을 이뤘지, 마치 이건 Biggie shit 스파크 터져, 피뢰침, 세상에다 middle finger 내 업적은 길이길이 기억되리, 이순신 거두라고, 시기심, I’m the illest 넘버원 걱정 덜어둬, 그래, 때론 버거워 근데 왜? 뭐 어쩔 거야, 일단 던져, 공 실패하면 run home, 성공하면 home run 둘 중 하나일 뿐, 아직 젊잖아, 뭐 어쩔 당장 앞에 실수에 굴하지 마, 길게 봐 오르내릴 인생, 그래서 더 재밌기에 오래 살고 볼 일이지, take it easy, boi 내가 가는 길이 내 길이지, 뭐,So what you gonna BE Be what you wanna  BE Now, everybody wanna BE  네가 뭘 원하든 안 들려 Beg Your pardon Wanna live like me just BE   what you wanna be  What you wanna be? 난 벌써 돼버렸어 I’m the shit,모두가 A를 원할 때 I just wanna be me 그 결과를 봐  Now if you wanna see these  내 일상적인 단어를 16마디 안에 담아 그리고 증명하잖아 I made it look easy See I don't give a F about 그 누구도 못 깨뜨려 나의 Vibe 나일 먹어도 한결같은 아이 내뱉은 말은 지켜 On the mic 형들의 가르침대로 난 거짓말은 못해 앨범 얘기만 빼면 그래 난 여전히 완벽함을 추구 물론 누군가에게 있어  이건 번데기 앞에 주름잡는 격  But I work 아직까지 쉴 틈 없이 어느새 계절은  바뀌어 비 온다 주륵 Rain pourin 돌고 도는 프로지만 I'm the motive 나쁜 소식 언제나 가져와 그게 어디든 전혀 상관없지 모든 건 다시 홍대로 and that's where I be,Be, be, I wanna be be I wanna see me 모두 과정의 일부지 Be, be, I wanna be me I wanna see me 조금만 기다리면 Be, be they wanna be be They wanna ,they wanna be 하지마, 시간 낭비 Be, be, we wanna be be We wanna, we wanna So we grab the M I C,So what you gonna BE Be what you wanna  BE Now, everybody wanna BE  네가 뭘 원하든 안 들려 Beg Your pardon Wanna live like me just  BE   what you wanna be  What you wanna be? 난 벌써 돼버렸어 I’m the shit,So what you gonna  BE Be what you wanna  BE Everybody wanna be like this Everybody wanna be like this Everybody wanna  BE  네가 뭘 원하든 안 들려 Beg Your pardon Wanna live like me just BE   what you wanna be  What you wanna be? 난 벌써 돼버렸어 I’m the shit
					",랩/힙합,neutral: 76.0% love: 8.0% anger: 2.0% enthusiasm: 6.0% sadness: 8.0%,love
1654819,브라운 아이즈,벌써일년,The Very Best Of Browneyes 'Take A Favorite',"
							처음이라 그래 며칠뒤엔  괜찮아져  그 생각만으로 벌써 일년이  너와 만든 기념일마다  슬픔은 나를 찾아와  처음 사랑 고백하며  설렌 수줍음과  우리 처음 만난날 지나가고  너의 생일엔 눈물의 케이크  촛불 켜고서 축하해  I believe in you  I believe in your mind  벌써 일년이 지났지만  일년뒤에도 그 일년뒤에도  널 기다려  너무 보고싶어 돌아와줘  말 못했어  널 보는 따뜻한 그의 눈빛과  니 왼손에 껴진 반지보다  빛난 니 얼굴 때문에  I believe in you  I believe in your mind  다시 시작한 널 알면서  이젠 나없이 추억을 만드는  너라는걸 내가 기억하는 추억은 언제나  지난 웃음과 얘기와 바램들  또 새로 만들 추억은 하나뿐  내 기다림과 눈물 속 너일뿐  I believe in you  I believe in your mind  다시 시작한 널 알면서  이젠 나없이 추억을 만드는  너라는걸  I believe in you  I believe in your mind  벌써 일년이 지났지만  일년뒤에도 그 일년뒤에도  널 기다려 
",R&B/Soul,neutral: 43.5% sadness: 21.7% love: 30.4% happiness: 4.3%,love
