곡 ID,아티스트,곡 이름,앨범,가사,장르,감정 비율,최종 감정 분류
35433950,지코 (ZICO),SEOUL DRIFT,Grown Ass Kid,"
							이제 막 열시 붐비는 거리 컬러풀해 모든 서울시의 글씨 Varsity jacket 드디어 개시  택도 안 뗐는데 유행 지나있네 ,Bring it back  두 번의 크리스마스 이브 캔슬된 유럽행 비행기 Solo concert and fashion week 문제 많던 캘린더엔 빨간 엑스뿐 ,이것 봐 멀쩡히 숨 쉬고 있어 Offline, 선 넘으란 소리지,Look at this party baby No mask, all naked  몸부림쳐 자유껏 지구에 금 갈 때까지,Now we're safe here Just do me bad things 쳇바퀴 그만 굴리고 시동 걸어 밟아,Drift drift drift drift drift away Drift drift drift drift drift away Drift drift drift drift drift away I'm alive alive ,Hop on the beat 생체 리듬 되찾아 Today is the day 가려서 뭐해 때와 장소 띄어쓰기도 귀찮은데 거릴 두래 아무나 스킨십 허용해 아무나 free hug 해,Remember 2020 첫 줄에 멈춘 내 버킷리스트 압축 파일처럼 집에 묶여서 글로벌해지는 한국을 지켜만 봤어,이것 봐 멀쩡히 살아남은 널 Offline, 선 넘으란 소리지,Look at this party baby No mask, all naked  몸부림쳐 자유껏 지구에 금 갈 때까지,Now we're safe here Just do me bad things 쳇바퀴 그만 굴리고 시동 걸어 밟아,Drift drift drift drift drift away Drift drift drift drift drift away Drift drift drift drift drift away I'm alive alive,당일날 파투난 모임들 that's my fault oh no 그날 작업은 했지만 시원하게 허탕쳤어 oh no ah Now 배 째라는 식 두 손 놓고 자율주행 모드 브레이크 타임 없어 난 코너에 몰릴 때도 Say whatever I promise we'll be good,Look at this, Look at this, Look at this Look at this party baby No mask, all naked  몸부림쳐 자유껏 지구에 금 갈 때까지,Now we're safe here Just do me bad things 쳇바퀴 그만 굴리고 시동 걸어 밟아,Drift drift drift drift drift away Drift drift drift drift drift away Drift drift drift drift drift away I'm alive alive
					",댄스,neutral: 89.7% sadness: 10.3%,sadness
37418357,BOYNEXTDOOR,"Earth, Wind & Fire",HOW?,"
							Earth, Wind &amp; Fire Earth, Wind &amp; Fire 왜 넌 갈팡질팡 날 헛갈려 해 이것저것 재지 말고 say yes,다 참아 주는데 이번은 못 넘어가 걔 수작 부리는 거야 You’re my darling right? 날 애태우는 건지 한 줌 재로 만들어 한 숨에 날 우주까지 날려 넌 I feel so mad,Baby baby Ready or not Baby baby Make me feel so good You ain't just a girlfriend 그걸론 부족해 you,You’re my Earth, Wind &amp; Fire Earth, Wind &amp; Fire 왜 넌 갈팡질팡 날 헛갈려 해 이것저것 재지 말고 say yes,Baby boo my sweetie darling, think I love you more Baby boo my sweetie darling, think I love you more Baby boo my sweetie darling, think I love you Baby boo my sweetie darling, think I love you Don’t know what you know,Talk에서 보이는 예의 Manners maketh man 몸에 배어 있는 에티켓 내 이름에 적어 석자 젠틀맨 Yeah yeah yeah yes  I’m cheesy greasy freezy breezy  Baby boo my sweetie darling, think I love you more 하늘 높은 줄 모르고 살던 내게 이런 일이 I think I love you more than 내 자존심 그딴 게 뭔지 넌 내 불꽃이자 별 때론 바람이자 꽃 땅 불 바람 그보다 I need you more,Baby baby Ready or not Baby baby Make me feel so lit You ain't just a girlfriend 그걸론 부족해 you,You’re my Earth, Wind &amp; Fire Earth, Wind &amp; Fire 왜 넌 갈팡질팡 날 헛갈려 해 이것저것 재지 말고 say yes,Baby 잠깐 stop 내게 lady 너뿐야 So hear me 매일 매일 널 숨도 못 쉬고 불러 you,You’re my Earth, Wind &amp; Fire Earth, Wind &amp; Fire 왜 넌 갈팡질팡 날 헛갈려 해 이것저것 재지 말고 say yes,Baby boo my sweetie darling, think I love you more Baby boo my sweetie darling, think I love you more Baby boo my sweetie darling, think I love you Baby boo my sweetie darling, think I love you Don’t know what you know 
",댄스,neutral: 81.0% sadness: 9.5% love: 9.5%,sadness
31052421,여자친구 (GFRIEND),밤 (Time for the moon night),여자친구 The 6th Mini Album 'Time for the moon night',"
							떨려오는 별빛 반짝이는데 넌 어디를 보고 있는지 금방이라도 사라질 것 같은데 불을 켜줘 심장이 깜깜해 오늘도 기분은 시무룩해 너의 마음 안에 있는 내 모습은 내 맘 같지 않아 어느 틈에 놓쳐버린 걸까 좋아하는 만큼 별은 떠오르고 여전히 나는 어쩔 줄 모르고 안개 속에 갇힌 그 말투 속에 담긴 도무지 알 수 없는 니가 생각나는 밤 떨려오는 별빛 반짝이는데 넌 어디를 보고 있는지 금방이라도 사라질 것 같은데 기다렸던 시간이 지나고 이제 보내줄게 아냐 아직은 너를 내 방에 몰래 몰래 간직하고 싶은 밤 밤밤밤에 밤 하늘을 날아 as time time for the moon night 꿈 속에서 너를 만나 열렬한 사랑 고백 해볼까 해볼까 창문 너머로 너를 계속 불러보고 있어 이렇게 너랑 나 우리 둘의 사이가 조금 더 좁혀지길 기대하고 싶은 밤 떨려오는 별빛 반짝이는데 넌 어디를 보고 있는지 금방이라도 사라질 것 같은데 기다렸던 시간이 지나고 이제 보내줄게 아냐 아직은 너를 내방에 몰래 몰래 간직하고 싶어 다가가기엔 너의 맘이 확실하지 않아 망설여지지만 여기 있기엔 너무 좋아져버린 내 맘 볼 수 없으니까 지금이 며칠째 훌쩍이는데 넌 어디로 가고 있는지 당장이라도 따라가고 싶은데 기다렸던 순간 오늘이 모두 다 지나고 하염없이 너를 쫓았던 밤 손에 닿지 않는 니가 보고 싶은 밤 밤밤밤에 밤하늘을 날아 as time time for the moon night 꿈 속에서 너를 만나 
",댄스,happiness: 7.3% neutral: 58.5% love: 17.1% sadness: 9.8% enthusiasm: 7.3%,love
36898234,제시 (Jessi),Gum,Gum,"
							Touch your toes Throw them against the wall (hey) Do your dance 엉덩이 제끼러 (shake that) Lose your breath Go ahead take it off (okay) Now make it clap 손 없이 박수쳐 Now taste that,Gum gum gum gum Gum gum gum (gum) Gum gum gum gum Gum gum gum (now taste that) Gum gum gum gum Gum gum gum (gum) Gum gum gum gum Yum yum yum (now taste that),I got so many flavors I know you want a taste (ya) Blueberry strawberry 달고 맛있대 (yum yum) 내 입술 물기 촉촉 My peach delicioso Yeah I’m so global on my dolo Hol’ up, take that photo,I’m feelin’ freaky dicky Super sticky icky licky (yeah) 날 계속 씹어대지 내 뒤에서 끼리끼리 (yeah) Every day a holiday 어떻게 날 말릴래? 꿀 빨아봐 벌 줄게 Life is sweet just let ‘em hate,Who you with Where you from 씹어 더 Now pop that (Gum),Touch your toes Throw them against the wall (hey) Do your dance 엉덩이 제끼러 (shake that) Lose your breath Go ahead take it off (okay) Now make it clap 손 없이 박수쳐 Now taste that,Gum gum gum gum Gum gum gum (gum) Gum gum gum gum Gum gum gum (now taste that) Gum gum gum gum Gum gum gum (gum) Gum gum gum gum Yum yum yum (now taste that),Tear it off 입에 넣어 (입에 넣어) Blow it up (pow pow pow) Sugar rush (sugar rush) Now do that bubble gum Now do that bubble gum Now do that bubble gum Now do that bubble gum Run it back,Boy you know you want it bad All of this and all of that 잠깐 봤을 뿐인데 이 짜식들 다 제비 돼,Suck it dry 더 쭉쭉 (씁) My booty 둘이 짝짝꿍 You know you love this attitude So bring it back I think we should,Who you with Where you from 씹어 더 Now pop that (Gum),Touch your toes Throw them against the wall (hey) Do your dance 엉덩이 제끼러 (shake that) Lose your breath Go ahead take it off (okay) Now make it clap 손 없이 박수쳐 Now taste that,Gum gum gum gum Gum gum gum (gum) Gum gum gum gum Gum gum gum (now taste that) Gum gum gum gum Gum gum gum (gum) Gum gum gum gum Yum yum yum (now taste that),Can I get a little Can I get a piece of that I got that yum yum I got that yummy yum Look at me got you stuck Imma make you fall in love Now put it on your tongue I know you want that (Gum)
					",댄스,sadness: 27.3% neutral: 72.7%,sadness
37241167,TWICE (트와이스),ONE SPARK,With YOU-th,"
							One spark baby Everybody wants that endless flame 식지 않을 Everlasting blast 영원한 걸 염원해 그래 영원히 We're sparkling beautifully 아름다울 걸 난 확신해 너의 숨결에 온기를 데워 계속 타오르는 Energy If I lose my rhythm Then your beat goes on and on Bring me the, bring me the spark in my veins Gimme the freedom the freedom to chase You know it's all ours 이대로 Make this moment last Cuz my heart is burning burning burning So good that it's hurting hurting hurting 눈부시게 아름답고 아프다 해도 It's our golden days Yeah my heart is burning burning burning Don't lose this spark baby 너와 누워본 Coral 빛 Heaven 붉은 두 뺨이 식지 않도록 더 세게 끌어안고 더 크게 불러줄게 너의 숨결에 온기를 데워 계속 타오르는 Energy If I lose my rhythm Then your beat goes on and on Bring me the, bring me the spark in my veins Gimme the freedom the freedom to chase You know it's all ours 이대로 Make this moment last Baby Cuz my heart is burning burning burning So good that it's hurting hurting hurting 눈부시게 아름답고 아프다 해도 It's our golden days Yeah my heart is burning burning burning Don't lose this spark baby Lighting it up 빛이 나는 시간을 건너 빛의 시간을 건너 Glowing so bright 찬란한 환상쯤에 이르러 This is the time of our lives Carved into our minds 저물지 않아 There ain't no sundown An everlasting spark to an everlasting fire Don't let this fire die Cuz my heart is burning burning burning So good that it's hurting hurting hurting 눈부시게 아름답고 아프다 해도 It's our golden days Yeah my heart is burning burning so burning Don't lose this spark baby Cuz my heart is burning burning burning 
",댄스,neutral: 53.3% love: 33.3% sadness: 13.3%,love
36411336,LE SSERAFIM (르세라핌),FEARLESS (2023 Ver.),UNFORGIVEN,"
							Bam ba ba ba ba bam Ba ba ba ba bam ba ba ba ba bam Bam ba ba ba ba bam Ba ba ba ba bam ba ba ba ba bam 제일 높은 곳에 난 닿길 원해 느꼈어 내 answer 내 혈관 속에 날뛰는 new wave 내 거대한 passion 관심 없어 과거에 모두가 알고 있는 그 트러블에 huh I'm fearless a new b**ch new crazy 올라가 next one 밟아줘 highway highway 멋진 결말에 닿게 내 흉짐도 나의 일부라면 겁이 난 없지 없지 What you lookin’ at What you what you lookin’ at What you lookin’ at What you what you lookin’ at What you lookin’ at What you what you lookin’ at Mmmm I’m fearless huh You should get away Get a get a get away 다치지 않게 다치 다치지 않게 You should get away Get a get a get away Mmmm I’m fearless huh Bam ba ba ba ba bam Ba ba ba ba bam ba ba ba ba bam Bam ba ba ba ba bam Ba ba ba ba bam ba ba ba ba bam 욕심을 숨기라는 네 말들은 이상해 겸손한 연기 같은 건 더 이상 안 해 가져와 forever win 내게 ay 가슴팍에 숫자 1 내게 ay 내 밑으로 조아린 세계 ay Take the world break it down break you down down 밟아줘 highway highway 멋진 결말에 닿게 내 흉짐도 나의 일부라면 겁이 난 없지 없지 What you lookin’ at What you what you lookin’ at What you lookin’ at What you what you lookin’ at What you lookin’ at What you what you lookin’ at Mmmm I’m fearless huh You should get away Get a get a get away 다치지 않게 다치 다치지 않게 You should get away Get a get a get away Mmmm I’m fearless huh Bam ba ba ba ba bam Ba ba ba ba bam ba ba ba ba bam Bam ba ba ba ba bam ba ba ba ba Mmmm I’m fearless huh 더는 없어 패배 준비된 내 payback Bring it 당장 내게 Mmmm I’m fearless huh What you lookin’ at What you what you lookin’ at What you lookin’ at What you what you lookin’ at What you lookin’ at What you what you lookin’ at Mmmm I’m fearless huh You should get away Get a get a get away 다치지 않게 다치 다치지 않게 You should get away Get a get a get away Mmmm I’m fearless huh 
",댄스,neutral: 57.9% sadness: 15.8% anger: 10.5% love: 15.8%,sadness
36014319,몬스타엑스,춤사위 (Crescendo),REASON,"
							모든 막이 내리고 남으면 공허함이 가득 찬 so painful 찬란하게 아름다웠던 우린 서로를 마주하고 서 있어 Yeah right I'm in the beat 내 리듬은 sea My flow is so deep Let's keep it O.G! 느낌 있게 crescendo, crescendo Mix-it-up, shuffle it, play it random 흐름을 타고 자 nerve 조심해 curve 에선 swerve 깊은 눈에 빠져 더 헤어 나올 수가 없어 붉은 불빛 속으로 내던져지길 바래 들어와, let’s just dance ay 천천히 밟아 step bae 느리게 가다가 빠르게 I can do this all day 지금 may day, calling calling 내 이름 내 이름 이젠 bebe, now you are my bebe It’s been a long time I to the m the only one sign I dnt give a wht, just care bout mine 우리들의 춤사위 yeh shine 어딜 밀어 잣대 필요 없어 feedback 니네들의 기대보단 내 만족을 위해 I dance till I die 너도 내 흐름을 탄다면 불러 불러 더 빠르게 더 밀어붙여 달아 오르게 다시 천천히 가빠 오는 숨 고르게 아무도 모르게 조용히 들어가는 어두컴컴한 곳으로 빨려 들어가 여긴 밝은 조명보단 붉은 조명 서로 눈빛을 쏘며 느껴지는 묘한 표정 깊이 빠져 헤엄쳐 빛 속으로 우리만의 화려함 속으로 들어와, let’s just dance ay 천천히 밟아 step bae 느리게 가다가 빠르게 I can do this all day 지금 may day, calling calling 내 이름 내 이름 이젠 bebe, now you are my bebe Let’s get sexy (Move move) 황홀한 밤의 ecstacy, I'll fill yo' Let’s get sexy Keep it like 1-2-3, 펼쳐지는 춤사위 모든 막이 내리고 남으면 공허함이 가득 찬 so painful 찬란하게 아름다웠던 우린 서로를 마주하고 서 있어 깊은 눈에 빠져 더 헤어 나올 수가 없어 붉은 불빛 속으로 내던져지길 바래 들어와, let’s just dance ay 천천히 밟아 step bae 느리게 가다가 빠르게 I can do this all day 지금 may day, calling calling 내 이름 내 이름 이젠 bebe, now you are my bebe Let’s get sexy Crescendo Shake it left, shake it right, shake it down up down Crescendo Shake it left, shake it right, shake it down Keep it like 1-2-3, 펼쳐지는 춤사위 
",댄스,love: 17.1% neutral: 62.9% sadness: 11.4% happiness: 8.6%,love
34773088,하이라이트 (HIGHLIGHT),DAYDREAM,DAYDREAM,"
							다른 맘을 맞추고 같은 길을 걷다 보면 끝이란 내 맘과는 상관없이 나곤 해,I'm in trouble 점점 더 잿빛으로 변하고 있는 걸 날 좀 잡아줘 고독한 밤이 나를 감싸 오는 걸,손을 뻗어 소리쳐 봐도 닿지 않는 너인데 느껴지지 않아 I'm so lost,꿈을 꿔 DAYDREAM 난 매일 혹시라는 꿈을 꿔 계속 DAYDREAM 영원히 어지러운 미로 속,Because I love you, love you, love you 내가 살아가는 모든 이유 바로 너라고 오직 너라고 꿈에서 깨도 꿈인 걸,멍하니 걸어 네가 있는 그곳 흔적 따라 너의 숨결, 온기를 찾아 깨지 않는 꿈 꾸는 걸 DAYDREAM,머릿속에 펼쳐지는 드라마 결코 일어나지 않을 거라 날 타일러,남은 감정이라는 게 심장에 넘쳐 흐를 듯해 온몸에 울리는 네 목소리,손을 뻗어 소리쳐봐도 닿지 않는 너인데 느껴지지 않아  I'm so lost,꿈을 꿔 DAYDREAM 난 매일 혹시라는 꿈을 꿔 계속 DAYDREAM 영원히 어지러운 미로 속,Because I love you, love you, love you 내가 살아가는 모든 이유 바로 너라고 오직 너라고 꿈에서 깨도 꿈인 걸,항상 나의 예측관 다른 너였으니까 이번에도, 혹시라도 그럴지,차갑도록 얼어버린 내 두 손 끝에 닿아줘 다시 올 수 있게,오늘도 DAYDREAM 쉼 없이 혹시라는 꿈을 꿔 계속 DAYDREAM 영원히 어지러운 미로 속,Because I love you, love you, love you 내가 살아가는 모든 이유 바로 너라고 오직 너라고 꿈에서 깨도 꿈인 걸,멍하니 걸어 네가 있는 그곳 흔적 따라 너의 숨결, 온기를 찾아 깨지 않는 꿈 꾸는 걸 DAYDREAM
					",댄스,neutral: 55.3% sadness: 13.2% love: 13.2% enthusiasm: 18.4%,enthusiasm
38095946,세븐틴 (SEVENTEEN),"LOVE, MONEY, FAME (feat. DJ Khaled)",SEVENTEEN 12th Mini Album ‘SPILL THE FEELS',"
							I, never before in my life time 이런 나의 마음 말로 못해서 준비해 봤어 Prime time Cuz you changin’ me for better,You're the reason for my being 나를 숨 쉬게 하니까 Oh baby It’s all up to you 영원히 나만의 GOAT,사랑의 많은 Paradigm 널 헷갈리게 하지 않아 You know what I need is only you (Yeh yeh yeh yeh yeh),사랑이란 확신의 말 거짓 없이 눈 맞춰 봐 Just trust me once baby I’ll never let you down baby,모두가 원해 (Hey-) 사랑 돈 명예 (Ho-) But only want you baby baby baby I only want you baby baby baby,너 없이 빛나는 Fame 나는 원하지 않아 너의 사랑 하나 그거면 돼 Baby baby yeh baby baby yeh,Poppin’, 시간은 금이니까 바삐 너에게 뛰는 심장이 Main topic I can solve your problem, 그게 나답지 Time together 녹지 않는 나의 Ice cream,가끔 널 잃을까 봐 겁나 그 날이 오면 난 이룬 게 뭘까 Fame, Money, Love 세 개는 많아 Only last one 내가 바란 하나,사랑의 많은 Paradigm 널 헷갈리게 하지 않아 You know what I need is only you (Yeh yeh yeh yeh yeh),사랑이란 확신의 말 거짓 없이 눈 맞춰 봐 Just trust me once baby I’ll never let you down baby,모두가 원해 (Hey-) 사랑 돈 명예 (Ho-) But only want you baby baby baby I only want you baby baby baby,너 없이 빛나는 Fame 나는 원하지 않아 너의 사랑 하나 그거면 돼 Baby baby yeh baby baby yeh,사랑을 할 때, I don’t need something 내 마음은 그래, 너에게 너만 있어 주면, I don’t need something 내 마음은 그래, 너에게,모두가 원해 (Hey-) 사랑 돈 명예 (Ho-) But only want you baby baby baby l only want you baby baby baby,너 없이 빛나는 Fame 나는 원하지 않아 너의 사랑 하나 그거면 돼 Baby baby yeh baby baby yeh
					",댄스,love: 38.5% neutral: 42.3% sadness: 19.2%,love
36909298,RIIZE,Talk Saxy,Talk Saxy,"
							Run it quick baby 호기심을 당겨 Like it’s clickbait Don’t you don’t you don’t you wanna ride with me 나는 역시 대책 없는 Type you ready 이 감정을 Post that 맘을 숨겨두는 짓은 못해 질투 어린 시선들도 Not bad Do you wanna roll I see you the GOAT so I know you gonna go,Let’s kick it Whatchu wanna say Don’t be tricky I’m on the ground I’m on the ground now 낯선 이끌림을 마주한 순간 뭔가 달라 I won’t let you out of my sight 좀 더 빠져들게 Do me right,Ra pa pa pa when you call my name Ra pa pa pa talk saxy Ra pa pa pa with the clap boom bay Ra pa pa pa talk saxy,느낀 그대로 Talk to me 숨김없이 다 다 다 보여줘 괜찮아 멋대로 놔둬 네 마음을 Get it straight to the point Talk saxy,C note c note 낮은 목소리로 We go we go 계속해 높여 속도 Oh no don’t stress ‘bout the plane 느낌 So fly 하늘까지 Baby got me feelin’ fresh 바로 시작해 알잖아 감정 숨기는 건 Not my taste 맘이 시킨 그대로 맡겨 보라고 어디든 Ok 지금 Go with the flow,Let’s kick it Whatchu wanna say Don’t be tricky I’m on the ground I’m on the ground now 낯선 이끌림을 마주한 순간 뭔가 달라 I know I know 날 향한 네 Eye 그 속에 이미 쓰여진 Sign 솔직히 나 얘기할게 뭐 어때 Baby do me right,Ra pa pa pa when you call my name Ra pa pa pa talk saxy Ra pa pa pa with the clap boom bay Ra pa pa pa talk saxy,느낀 그대로 Talk to me 숨김없이 다 다 다 보여줘 괜찮아 멋대로 놔둬 네 마음을 Get it straight to the point Talk saxy,왜 그렇게 날 빤히 보고 웃을 때 네 머릿속이 궁금해 너의 그 모든 게 알고 싶어 Just tell me what you like,Everyday 더 다가와 줘 In my face 그 떨림까지 들리게 Just keep blowin’ that that heart,Talk to me to me talk talk to me to me Don’t think too much Talk saxy Talk hurry to me talk talk hurry to me 밤새도록 Chit chat Talk saxy,느낀 그대로 Talk to me 숨김없이 다 다 다 보여줘 괜찮아 멋대로 놔둬 네 마음을 Get it straight to the point Talk saxy,Ooh da ra da ra Ooh ya ya ya Ooh da ra da ra Ra pa pa pa talk saxy
					",댄스,neutral: 60.0% sadness: 24.0% love: 16.0%,sadness
