곡 ID,아티스트,곡 이름,앨범,가사,장르,감정 비율,최종 감정 분류
37497123,tripleS (트리플에스),Girls Never Die,〈ASSEMBLE24〉,"
							다시 해보자,La La La La La La La 끝까지 가볼래 포기는 안 할래 난 La La La La La La La 쓰러져도 일어나 We Go, We High, Go Now La La La La La La La Girls Never Die 절대 Never Cry,세상은 늘 화려한 꿈 내 눈이 멀게 눈부셔 Shine Better 난 여기 보이지 않겠지 점점 초라한 내가 싫어 날 보이기도 싫어,짙게 화장했던 이유  필터 꼈던 이유 알겠니  이젠 알겠니,La La La La La La La 끝까지 가볼래 포기는 안 할래 난 La La La La La La La 쓰러져도 일어나 We Go, We High, Go Now La La La La La La La Girls Never Die 절대 Never Cry,비켜봐 봐 비켜 핑계는 우린 본질 속에 진주가 될래 꿈의 난이도 좀 더 난 높일게 고통 시련 다듬어 내가 될게,I’m Just 이제 조금 알겠어 I Shine 왜 날 힘들게 울게만 둔 건지 Hold Me Closer Broken Myself,La La La La La La La 끝까지 가볼래 포기는 안할래 난 La La La La La La La 쓰러져도 일어나 We Go, We High, Go Now La La La La La La La Girls Never Die 절대 Never Cry,날 따라와 달라진 날 하나가 되자 너의 꿈이 내가 되고 우리 함께 꾸는 꿈,두려움 따위다  함께 있다면은 이제 무서울 것 없지,다시 해볼까,La La La La La La La 끝까지 가볼래 포기는 안 할래 난 La La La La La La La 쓰러져도 일어나 We Go, We High, Go Now La La La La La La La Girls Never Die 절대 Never Cry,La La La La La La La Girls Never Die 절대 Never Cry La La La La La La La 끝까지 가볼래 포기는 안 할래 We Go, We High, Go Now La La La La La La La Girls Never Die 절대 Never Cry
					",댄스,sadness: 46.2% love: 11.5% enthusiasm: 15.4% neutral: 19.2% anger: 7.7%,sadness
36546905,NCT DREAM,Pretzel (♡),ISTJ - The 3rd Album,"
							Pretzel hoo yeah uh uh Pretzel ah Have you ever heard of recipe like this before,꼭 달콤할 필욘 없는 걸 살짝 비틀어 봐 그래 더 oh Stop 방심하면 큰일 나 딱 기다린 만큼 쫄깃해진 맘을 꺼내,Boil it up cool it down 데일 듯한 온도로 날 감싸줘 끝까지 더 지켜봐 I’m gon’ make it tasty for you,한 겹 두 겹 쌓인 순간을 담아 커진 맘 너의 시간 속에 난 변해가 또 새롭게 Mix up 별 의미 없던 나의 감정들을 섞어 넌 특별하게 바꿔놔 Cook it 맘을 깨워,Pretzel (Count ten) 잠깐만 잠깐만 좀 더 부풀게 놔둬 Pretzel (Not yet) 기다려 기다려 아직 때가 아닌 걸 ooh 숨 가쁜 열기 속에서 (Heat it up) 내 맘은 Ready for you Pretzel (Bite that) 깨물수록 Crispy 너도 몰래 조금씩 중독될 걸,Now you ain’t ready for this one Let’s go,Drizzle a little bit of honey 반짝이는 눈빛 Something more 너를 자극시킬 Chilli sauce 원할 땐 맘껏 뿌려 Jalapenos 때론 너의 느슨한 맘을 당겨,골라봐 너만의 Pick 너의 취향에 맞춰 나를 맘껏 바꿔도 괜찮은 걸 Mmmm that's tasty ya that’s hot 자 이제 Taste it,몰래 감추어 둔 너의 호기심이 보여 이미 한 번 맛본 순간 절대 멈출 수 없어 넌 벌써 양손에 쥐고 자꾸 욕심내고 있는 걸 Don't stop never get enough Cook it 맘을 깨워,Pretzel (Count ten) 잠깐만 잠깐만 좀 더 부풀게 놔둬 Pretzel (Not yet) 기다려 기다려 아직 때가 아닌 걸 ooh 숨 가쁜 열기 속에서 (Heat it up) 내 맘은 Ready for you Pretzel (Bite that) 깨물수록 Crispy 너도 몰래 조금씩 중독될 걸,한 입 또 가득 번진 My flavor 걷잡을 수 없이 너를 당겨 나를 찾게 돼 넌 자꾸 생각날 걸 yeah 멈추지 마 원하면 다 가져봐 You got it 널 위한 맘이니까 ah,All you need is a Recipe cus like All you need is a One more time for the pretzel in your heart Come on,Na na na na na Na na na na na Na na na na na Cook it 맘을 깨워,Pretzel (Count ten) 잠깐만 잠깐만 좀 더 부풀게 놔둬 Pretzel (Not yet) Eat it up eat it up 이제 넌 맘껏 즐겨 ooh 숨 가쁜 열기 속에서 (Heat it up) 내 맘은 Ready for you Pretzel (Bite that) 깨물수록 Crispy 너도 몰래 조금씩 중독될 걸,Pretzel Pretzel,
",댄스,sadness: 12.8% neutral: 79.5% love: 2.6% happiness: 2.6% anger: 2.6%,sadness
36579407,EXO,Hear Me Out,EXIST - The 7th Album,"
							1 2 3,Look babe 더 마음에 들어 너의 마음에 들려 날개를 펴 Let’s fly together 나는 일을 내지 Baby I can’t help it 날 밀어내려는 시도는 Just save it,Cuz I’ve been thinking bout some time with you 난 아직도 이 모든 게 시작일 뿐 바라는 것은 전혀 없어 My baby 같이 밤새 같은 곳을 보는 게 내 Favorite Girl just,어렵게 생각하지 마 시간만 아까워 Love,Hear me out hear me out hear me out 괜찮아 뭐 어때 Hear me out hear me out hear me out 망설일 필요 없는데 Oh babe hold me closely 신중한 그만큼 서투른 네 방식 난 밀고 당기는 건 안 해,절대로 내게는 안 보여준 모습을 하고 떠날 준비에 분주해 또 이런 대우를 받으며 배우는 너에게 도달하는 법 더욱 분명해,And I can’t see you here frustrated 쉽게 말해서 I need you baby 알잖아 재미없는 말을 굳이 꺼낼 바에 난 행동으로 And you’ll be mine for the night yeah,한 걸음 멀어지는 너 애써 피하려 하지는 마 My love 딱 한 가지만 확실히 해 줄래 얘기해줘 내게 다 말해줘 좀 더 혼자 숨길 생각 말고,Hear me out hear me out hear me out (C’mon C’mon) 괜찮아 뭐 어때 Hear me out hear me out hear me out (C’mon) 망설일 필요 없는데 Oh babe hold me closely (Hold me close C’mon) 신중한 그만큼 서투른 네 방식 (신중한 너) 난 밀고 당기는 건 안 해,움츠린 너의 맘 (망설이겠지만) 그 속에 숨긴 (숨길 필요 없지) 너의 진심 (다 보여 이미) 솔직하게 말해 봐 (솔직해져 봐) 내가 먼저 열어 둘 테니 다 꺼내 봐,Hear me out hear me out hear me out (Hear me out C’mon) 괜찮아 뭐 어때 Hear me out hear me out hear me out 망설일 필요 없는데 (Hear me out baby C’mon) Oh babe hold me closely (Yeah yeah hold me close) 오직 우리만이 선명한 이 느낌 (Yeah 너만 선명해) 더 시간 낭비하지 않게,매 순간들에 솔직할게 oh oh 단 한 순간도 후회 없게 eh oh 맘이 가는 대로 oh oh oh
					","발라드, 댄스",love: 19.4% neutral: 47.2% sadness: 33.3%,sadness
36960967,Red Velvet (레드벨벳),Chill Kill,Chill Kill - The 3rd Album,"
							어디서 왔니 홀연히 고요했던 세상의 Crash Chill Kill의 등장 마치 Thunder 그 짜릿함에 미쳤어,달콤해진 오류 불완전의 찬미 뭐가 겁났겠어? Always and forever 너무 쉬운 넌 내 거라 맘대로 껴안고 멋대로 보냈어,다시 네가 보고 싶어 죽도록 후회하잖아 Yeah don’t care if it hur-hur-hurts 네게 어울리는 Perfect soul 다시 널 붙잡을 수 있을까?,(Hey!)  Don’t think about tomorrow (Yoo hoo!)  넌 여전히 반짝여 변할 거야 이제서야 눈물이 흘러 얼음을 녹여,What a Chill Kill I know you will Bring me lightning like a winner 여기서 널 기다려 Happy ending으로 What a Chill Kill,긴 밤 등대를 켜 네가 길 잃지 않게 (I’m here) 혹독한 밤이라 온 세상은 숨죽여,날 잘못 길들여 나 밖에 몰랐지 왜 그리 잘했니 내가 자격 있니 (Together) 넌 자꾸 멀리멀리 도망치며 미워한다고 외쳐 그 말의 끝에 망설였잖아 눈을 맞춰줬잖아  (Don’t run away),거칠고 서툰 Nights were young 차갑던 밤을 데우자 봐 봐 많이 달라졌지 내가 제법 변했지 널 한 번 더 안을 수 있을까?,(Hey!)  Don’t think about tomorrow (Yoo hoo!) 넌 여전히 반짝여 변할 거야 이제서야 눈물이 흘러 얼음을 녹여,What a Chill Kill I know you will Bring me lightning like a winner 여기서 널 기다려 Happy ending으로 What a Chill Kill,Say say say now are you ready ready? (You ready?) Say say say now are you ready?,너 때문에 울지 않아 너 때문에 웃을 수밖에 없던 거야 (Up in the sky) Yeah it’s love,오렌지빛 해는 거의 저물어 너의 온기만 필요해 Until the end (Till the end of time yeah yeah) End of time,(Hey!) Don’t think about tomorrow (Yoo hoo!) 넌 끝없이 반짝여 변할 거야 이제서야 눈물이 흘러 그 얼음을 녹여,Don’t think about tomorrow Forget about your sorrow 변할 거야 너는 날 못 떠나 눈물이 흘러 그 얼음을 녹여,Don’t think about tomorrow (What a Chill Kill I know you will) 넌 끝없이 반짝여 (Bring me lightning like a winner) 변할 거야 난 이제야
					",댄스,sadness: 45.7% neutral: 45.7% love: 5.7% happiness: 2.9%,sadness
37028929,NMIXX,So?ar (Breaker),Fe3O4: BREAK,"
							하얀 구름은 내 dream car 저기 붉은 달은 hometown 남달라 우리의 blood type 공상 가득한 our life,쏟아진 shooting star 궤도를 벗어나 볼까 꿈꿔온 방향대로 우릴 맡겨볼 time yuh,Wayayaya, drop it We don’t wanna stop it 하늘 위로 닻을 던져봐 Woo wuh,한 발만 내디뎌 꿈속 가는 wormhole Wayayaya, so fast 꽉 붙잡아 just like that,Come a so-so?ar a so?ar, a so?ar eh Come a so-so?ar, a so No need to worry,Come a so-so?ar a so?ar, a so?ar eh Come a so-so?ar, a so,Change up!,구름 뒤 숨은 꿈의 island Don't wanna see it? Don't you wanna see it? Babe,Do you like it? I like like it yeah Don't wanna feel it? Don't you wanna feel it? Babe,NMIXX!,난 안 해 bypass 앞을 막는 골리앗 just go straight 필요 없어 방패 세상은 egg, 강한 바위가 my name,동화 속에 잠든 princess, not me 우리 우리다운 groove로 jumping, wuh 새로운 결말을 make it We’re breaker &amp; changer,Wayayaya, drop it We don’t wanna stop it 하늘 위로 닻을 던져봐 Woo wuh,한 발만 내디뎌 꿈속 가는 wormhole Wayayaya, so fast 꽉 붙잡아 just like that,Come a so-so?ar a so?ar, a so?ar eh Come a so-so?ar, a so No need to worry,Come a so-so?ar a so?ar, a so?ar eh Come a so-so?ar, a so,시작해 come with me,끝도 없는 상상 위로 let me dive Puttin’ it up, pwah puttin’ it up,Be original thing 매일 더 상상해 I still dream it and I love that,Woo- like it 망설임을 twist it like this Woo- like it Get it loud,Come a so-so?ar a so?ar, a so?ar eh Come a so-so?ar, a so No need to worry,Come a so-so?ar a so?ar, a so?ar eh Come a so-so?ar, a so,Woo- like it 망설임을 twist it like this Woo- like it Get it loud 
",댄스,neutral: 38.9% enthusiasm: 22.2% sadness: 27.8% anger: 5.6% love: 5.6%,sadness
37347911,아일릿(ILLIT),Magnetic,SUPER REAL ME,"
							Baby I’m just trying to play it cool But I just can’t hide that I want you,Wait a minute 이게 뭐지? 내 심장이 lub-dub 자꾸만 뛰어,저 멀리서도 oh my gosh! 끌어당겨 you’re my crush! 초능력처럼,거대한 자석이 된 것만 같아 my heart 네 모든 게 내 맘에 달라붙어버려 boy,We’re magnetized 인정할게 This time I want,You You You You like it’s magnetic U U U U U U U U super 이끌림 You You You You like it’s magnetic U U U U U U U U super 이끌림,BAE BAE BAE BAE BAE BAE BAE BAE BAE  Dash-da-da Dash-da-da Dash-da  Like it’s magnetic BAE BAE BAE BAE BAE BAE BAE BAE BAE  Dash-da-da Dash-da-da Baby don’t say no,정반대 같아 our type  넌 J 난 완전 P  S와 N 극이지만  그래서 끌리지 ,내가 만들래 green light 여잔 배짱이지  So let’s go let’s go Let’s go let’s go ,숨기고 싶지 않아 자석 같은 my heart  내 맘의 끌림대로 너를 향해 갈게 boy ,We’re magnetized 인정할게 This time I want,You You You You like it’s magnetic U U U U U U U U super 이끌림 You You You You like it’s magnetic U U U U U U U U super 이끌림,No push and pull   전속력으로 너에게 갈게 (In a rush in a rush)  Our chemistry   난 과몰입해 지금 순간에 (Baby you’re my crush you’re my crush),No push and pull  네게 집중 후회는 안 할래   (Gonna dash gonna dash) Never holding back 직진해 yeah   This time I want,You You You You like it’s magnetic  U U U U U U U U super 이끌림 You You You You like it’s magnetic U U U U U U U U super 이끌림,BAE BAE BAE BAE BAE BAE BAE BAE BAE  Dash-da-da Dash-da-da Dash-da  Like it’s magnetic BAE BAE BAE BAE BAE BAE BAE BAE BAE  Dash-da-da Dash-da-da Baby don’t say no 
",댄스,neutral: 93.3% sadness: 6.7%,sadness
36411347,LE SSERAFIM (르세라핌),Fire in the belly,UNFORGIVEN,"
							폭풍 속의 내 galley 닻을 올려 나의 야망 Mis amigos always stay ready 파도를 택했어 we ride If you wanna wanna get to the ocean If you wanna wanna do somethin’ wild If you wanna wanna see I will show ya 고민 그만해 지금 come out here ¡Ven conmigo! 잠든 괴물의 배 속 깊이 꿈도 다 사라질 어둠까지 밝혀 너와 내 fire fire fire 맘속에 감춰왔던 Prende el fuego prende el fuego Til’ we go landing up ¡Ven conmigo! Wow wow wow 네 속의 fire fire fire I see Wow wow wow make it burn 이건 너와 내 odyssey 한 발짝씩 un dos tres 캄캄한 길 그 속에 아로새길 history 이건 너와 내 odyssey La la la la la aventura aventura 이 모험의 불꽃은 활활활 La la la la la aventura aventura 우린 불을 지펴 더 활활활 느껴져? 이 진동 Sounds like a monster maybe king kong 너와 내 계획은 심플 좀 더 빠르게 빠르게 yeah we keep on 시련 따위 이제 그냥 웃어 우린 그 너머로 pull on 세계 멀리서 널 불러 ya see ya see ya see ¡Ven conmigo! 잠든 괴물의 배 속 깊이 꿈도 다 사라질 어둠까지 밝혀 너와 내 fire fire fire 맘속에 감춰왔던 Prende el fuego prende el fuego Til’ we go landing up ¡Ven conmigo! Wow wow wow 네 속의 fire fire fire I see Wow wow wow make it burn 이건 너와 내 odyssey 한 발짝씩 un dos tres 캄캄한 길 그 속에 아로새길 history 이건 너와 내 odyssey La la la la la aventura aventura 이 모험의 불꽃은 활활활 La la la la la aventura aventura 우린 불을 지펴 더 활활활 너 내 동료가 돼라 Ole ole ole ole 세계 너머에 na na na 소리 질러봐 loud loud loud Ole ole ole ole 우린 불을 지펴 더 활활활 Ole ole ole ole 세계 너머에 na na na 소리 질러봐 loud loud loud Ole ole ole ole 우린 불을 지펴 더 활활활 Ole ole ole ole 세계 너머에 na na na 소리 질러봐 loud loud loud Ole ole ole ole 이 모험의 불꽃은 활활활 
",댄스,neutral: 85.7% sadness: 7.1% love: 3.6% enthusiasm: 3.6%,sadness
32961718,BLACKPINK,Lovesick Girls,THE ALBUM,"
							영원한 밤 창문 없는 방에 우릴 가둔 love What can we say 매번 아파도 외치는 love,다치고 망가져도 나 뭘 믿고 버티는 거야 어차피 떠나면 상처투성인 채로 미워하게 될걸 끝장을 보기 전 끝낼 순 없어 이 아픔을 기다린 것처럼,아마 다 잠깐 일지도 몰라 우린 무얼 찾아서 헤매는 걸까,But I don’t care I’ll do it over and over 내 세상 속엔 너만 있으면 돼,We are the lovesick girls 네 멋대로 내 사랑을 끝낼순 없어 We are the lovesick girls 이 아픔 없인 난 아무 의미가 없어,But we were born to be alone Yeah we were born to be alone Yeah we were born to be alone  But why we still looking for love,No love letters, no x and o’s No love never, my exes know No diamond rings, that set in stone To the left, better left alone,Didn’t wanna be a princess, I’m priceless A prince not even on my list Love is a drug that I quit No doctor could help when I’m lovesick,아마 다 잠깐 일지도 몰라 우린 무얼 찾아서 헤매는 걸까,불안한 내 눈빛 속에 널 담아 아프더라도 너만 있으면 돼,We are the lovesick girls 네 멋대로 내 사랑을 끝낼 순 없어 We are the lovesick girls 이 아픔 없인 난 아무 의미가 없어,But we were born to be alone Yeah we were born to be alone Yeah we were born to be alone  But why we still looking for love,사랑은 slippin’ and fallin’ 사랑은 killin’ your darlin’ 아프다 아물면 또 찾아오는 이 겁 없는 떨림,들리지 않아 what you say 이 아픔이 난 행복해 나를 불쌍해 하는 네가 내 눈엔 더 불쌍해,We are the lovesick girls 네 멋대로 내 사랑을 끝낼 순 없어 We are the lovesick girls 이 아픔없인 난 아무 의미가 없어,Lovesick girls  모두 결국 떠나가고 Lovesick girls 내 눈물이 무뎌져도 Lovesick girls 아프고 또 아파도 Lovesick girls But we’re still looking for love
					",댄스,sadness: 67.9% neutral: 28.6% love: 3.6%,sadness
2212365,2NE1,I Don't Care,2NE1 1st Mini Album,"
							hey playboy it's about time and your time's up I had to do this one for my girls you know sometime you gotta act like you don't care that's the only way you boys learn Oh oh oh oh oh oh 2ne1 Oh oh oh oh oh oh 2ne1 니 옷깃에 묻은 립스틱들 나는 절대로 용서못해 매일 하루에 수십번 꺼져있는 핸드폰 변하지 않을 것만 같아 oh oh 그저 친구라는 수많은 여자친구 날 똑같이 생각하지 마 I won't let it fight 이제 니 맘대로 해 난 미련은 버릴래 한땐 정말 사랑했는데 oh oh 가끔씩 술에 취해 전활 걸어 지금은 새벽 다섯시 반 넌 또 다른 여자애 이름을 불러 no no I don't care 그만할래 니가 어디에서 뭘 하던 이제 정말 상관 안할게 비켜줄래 이제와 울고불고 매달리지마 cause I don't care e e e e e I don't care e e e e e cause I don't care e e e e e I don't care e e e e e Boy I don't care 다른 여자들의 다리를 훔쳐보는 니가 너무너무 한심해 매일 빼놓는 커플링 나 몰래 한 소개팅 더 이상 못 참을 것 같아 oh oh 넌 절대 아니라는 수많은 나의 친구 난 너 땜에 친구들까지 다 잃었지만 차라리 홀가분해 너에게 난 과분해 내 사랑이라 믿었는데 oh oh 오늘도 바쁘다고 말하는 너 혹시나 전화해봤지만 역시 뒤에선 여자 웃음소리가 들려 oh no I don't care 그만할래 니가 어디에서 뭘 하던 이제 정말 상관 안할게 비켜줄래 이제와 울고불고 매달리지마 cause I don't care e e e e e I don't care e e e e e cause I don't care e e e e e I don't care e e e e e Boy I don't care 난 너 땜에 울며 지새던 밤을 기억해 boy 더 후회할 날 생각하면 맘이 시원해 boy 날 놓치긴 아깝고 갖기엔 시시하잖니 있을 때 잘하지 너 왜 이제와 매달리니 속아준 거짓말만 해도 수백번 오늘 이후로 난 남자 울리는 bad girl 이젠 눈물 한방울 없이 널 비웃어 사랑이란 게임 속 loser 무릎꿇고 잘못을 뉘우쳐 아님 눈 앞에서 당장 꺼져 I don't care 그만할래 니가 어디에서 뭘 하던 이제 정말 상관 안할게 비켜줄래 이제와 울고불고 매달리지마 you know I don't care e e e e e e I don't care e e e e e I don't care e e e e e I don't care e e e e e Boy I don't care 
",댄스,neutral: 62.8% sadness: 23.3% love: 9.3% anger: 4.7%,sadness
35433950,지코 (ZICO),SEOUL DRIFT,Grown Ass Kid,"
							이제 막 열시 붐비는 거리 컬러풀해 모든 서울시의 글씨 Varsity jacket 드디어 개시  택도 안 뗐는데 유행 지나있네 ,Bring it back  두 번의 크리스마스 이브 캔슬된 유럽행 비행기 Solo concert and fashion week 문제 많던 캘린더엔 빨간 엑스뿐 ,이것 봐 멀쩡히 숨 쉬고 있어 Offline, 선 넘으란 소리지,Look at this party baby No mask, all naked  몸부림쳐 자유껏 지구에 금 갈 때까지,Now we're safe here Just do me bad things 쳇바퀴 그만 굴리고 시동 걸어 밟아,Drift drift drift drift drift away Drift drift drift drift drift away Drift drift drift drift drift away I'm alive alive ,Hop on the beat 생체 리듬 되찾아 Today is the day 가려서 뭐해 때와 장소 띄어쓰기도 귀찮은데 거릴 두래 아무나 스킨십 허용해 아무나 free hug 해,Remember 2020 첫 줄에 멈춘 내 버킷리스트 압축 파일처럼 집에 묶여서 글로벌해지는 한국을 지켜만 봤어,이것 봐 멀쩡히 살아남은 널 Offline, 선 넘으란 소리지,Look at this party baby No mask, all naked  몸부림쳐 자유껏 지구에 금 갈 때까지,Now we're safe here Just do me bad things 쳇바퀴 그만 굴리고 시동 걸어 밟아,Drift drift drift drift drift away Drift drift drift drift drift away Drift drift drift drift drift away I'm alive alive,당일날 파투난 모임들 that's my fault oh no 그날 작업은 했지만 시원하게 허탕쳤어 oh no ah Now 배 째라는 식 두 손 놓고 자율주행 모드 브레이크 타임 없어 난 코너에 몰릴 때도 Say whatever I promise we'll be good,Look at this, Look at this, Look at this Look at this party baby No mask, all naked  몸부림쳐 자유껏 지구에 금 갈 때까지,Now we're safe here Just do me bad things 쳇바퀴 그만 굴리고 시동 걸어 밟아,Drift drift drift drift drift away Drift drift drift drift drift away Drift drift drift drift drift away I'm alive alive
					",댄스,neutral: 89.7% sadness: 10.3%,sadness
