곡 ID,아티스트,곡 이름,앨범,가사,장르,감정 비율,최종 감정 분류
31684636,장범준,노래방에서,장범준 3집,"
							나는 사랑이 어떻게 이뤄지는 지 연구 했지 여러가지 상황의 수를 계산 해 봤지 그땐 내가 좀 못 생겨서 흑흑 니가 좋아하는 노랠 알아내는 것은 필수 가성이 많이 들어가서 마이크 조절이 굉장히 조심스러웠었지 그렇게 노래방으로 가서 그녀가 좋아하는 노랠해 무심한 척 준비안한 척 노랠 불렀네 어어 그렇게 내가 노랠 부른뒤 그녀의 반응을 상상하고 좀더 잘 불러볼걸 노랠 흥얼 거렸네 사랑때문에 노랠 연습하는 건 자연의 이치 날으는 새들도 모두 사랑노래 부르는 게 뭔가 가능성만 열어 준다면 근데 그년 남자친구가 있었지 그것은 내 실수 그 후로 혼자 노래방에서 복잡한 맘을 달랬네 몇 달을 혼자 노래방에 갔는지 그렇게 노래방이 취미가 되고 그녀가 좋아하는 노랠해 괜찮은 척 안슬픈 척 노랠 불렀네 어어 그렇게 내가 노랠 부른뒤 우연히 집에 가려 하는데 갑자기 그녀가 노래방에 가자 하네 그렇게 나는 그녀를 따라 걸어보지만 괜찮은 척 사실 난 너무 많이 떨려요 그녀 아무렇지 않아도 나는 아무렇지 않지 않아요 근데 그녀는 나를 바라보고는 자기도 지금 아무 렇지 않지 않대요  무슨 말이 냐고 물어보네 그렇게 노래방을 나오고 그녀를 집에 데려다 준뒤  무슨일 인가 괜찮은 건가 멍해 버렸네 어어 핸드폰도 없는 늦은 새벽 집에서 계속 잠은 안오고 그녀가 좋아하던 노랠 흥얼 거렸네 그녀가 좋아하던 노랠 흥얼 거렸네 
",록/메탈,love: 4.9% neutral: 43.9% sadness: 9.8% happiness: 41.5%,happiness
36359275,이채연,KNOCK,Over The Moon,"
							Knock Knock Knock Knock Knock Knock Knock Knock Knock Knock Knock Knock Knock Knocking on your heart Knock Knock Knock Knock Knock Knock Knock Knock Knock Knock Knock Knock Knock Knocking on your heart 가만가만히 들여다보는 건 마음에 안 들어 (nope) 까만 밤하늘 수놓은 별처럼 콕 콕 마음에 박혀 세상에 눈을 뜬 후로 Hard for me to control 끌리는 마음이 So I feel special 눈이 마주치면 Come a little closer Come closer come closer 이제 깨어나 Knock Knock Knock Knock Knock Knock Knock Knock Knock Knock Knock Knock Knock Knocking on your heart Knock Knock Knock Knock Knock Knock Knock Knock Knock Knock Knock Knock Knock Knocking on your heart 날 위로 더 위로 올려 이 순간 Come over the moonlight Starry-eyed, Get me high 바로 오늘 밤 Knock Knock Knocking on your heart 매일 주시하며 살지 마 굳이 어때 많고 적고 별 차이 알아도 No 상관없지 솔직히 살아도 돼 그래 자연스럽게 똑똑하면 잘해봐 세상에 눈을 뜬 후로 Hard for me to control 끌리는 마음이 So I feel special 눈이 마주치면 Come a little closer Come closer come closer 이제 깨어나 Knock Knock Knock Knock Knock Knock Knock Knock Knock Knock Knock Knock Knock Knocking on your heart Knock Knock Knock Knock Knock Knock Knock Knock Knock Knock Knock Knock Knock Knocking on your heart 날 위로 더 위로 올려 이 순간 Come over the moonlight Starry-eyed, Get me high 바로 오늘 밤 Knock Knock Knocking on your heart 더 이상 기다리게는 하지 마 두드리면 깨질 걸 널 아니까 이 밤이 더디게 더디게 가 Come a little closer La la la la la la La la la la la la la la la All I wanna do Knock Knock Knock Knock Knock Knock Knock Knock Knock Knock Knock Knock Knock Knocking on your heart 날 위로 더 위로 올려 이 순간 Come over the moonlight Starry-eyed, Get me high 바로 오늘 밤 Knock Knock Knocking on your heart Knock Knock Knock Knock Knock Knock Knock Knock,
",댄스,happiness: 33.3% neutral: 55.6% enthusiasm: 5.6% sadness: 5.6%,happiness
5442687,MC몽,내 생애 가장 행복한 시간 (Feat. 허각),MISS ME OR DISS ME,"
							그땐 그랬어 막 잘 나갈 때라서 돈에 환장해 독이 찰 때라서 없던 놈이 뭐가 생기니까 끝없는 욕심은 더 땡기니까 여자는 더 꼬여 사람이 우습게 보여 자신을 괴물로 만드니까 내가 내 무덤을 파고 파니깐 내 사람들 하나 둘 떠나니까 억짜리 시계 팬트 하우스 스윗 노래 부르는 기계 몇 십 억의 수입 생각 없는 기부 믿음 없던 기도 밤이면 밤마다 덮치는 파도 이상해 그때가 안 그리워 그대가 있음에 하나도 안 두려워 아둥바둥 싸우고 사는 사람같이 이제야 내 모습이 안 더러워 사랑이 없는 인적 없는 홀로 버려진 외딴 섬 바람에 부딪혀 그대 이름마저 지운 난 사랑한단 말에 울컥 다 쏟는다 내 생애 가장 행복한 시간 너와 나는 트러블 스캔들 떠나가는 팬들 요즘 유행은 뭔지 잃어버린 트렌드 아들과 같이 숨어버린 엄마 그 분에겐 간절한 기도만이 평화 몰래 듣지 말아요 내 노래 몰래 울지 말아요 두 볼에 꼬마 점쟁이야 네가 딱 맞췄어 이게 바로 불효 중에 불효자야 뉴스에 나온 횟수만큼이나 내려가는 호감지수 실수가 낳은 가수 사랑 받은 만큼 넌 더 혼나야 해 이상해 그때가 안 그리워 그대가 있음에 하나도 안 두려워 아둥바둥 싸우고 사는 사람같이 이제야 내 모습이 안 더러워 사랑이 없는 인적 없는 홀로 버려진 외딴섬 바람에 부딪혀 그대 이름마저 지운 난 사랑한단 말에 울컥 다 쏟는다 내 생애 가장 행복한 시간 너와 나는 그녀의 몰래 훔친 눈물 보면 다시 살고 싶고 나만 보면 웃어주는 너와 같이 살고 싶고 하늘을 뻗으며 너에게 하는 말 이 길의 끝에서 마지막 사랑을 I'm nothing without you I'm nothing without you 널 사랑해 그녀의 몰래 훔친 눈물 보면 다시 살고 싶고 나만 보면 웃어주는 너와 같이 살고 싶고 하늘을 뻗으며 너에게 하는 말 이 길의 끝에서 마지막 사랑아 하늘에 난 소리쳐요 사랑한단 말에 울컥 다 쏟는다 내 생애 가장 행복한 시간 너와 나는 그땐 그랬어 막 잘 나갈 때라서 그땐 그랬어 막 잘 나갈 때라서 그땐 그랬어 막 잘 나갈 때라서 그땐 그랬어 막 잘 나갈 때라서 이상해 그때가 안 그리워 그대가 있음에 하나도 안 두려워 그대가 있음에 하나도 안 두려워 
",랩/힙합,neutral: 45.3% sadness: 34.4% anger: 3.1% happiness: 7.8% love: 9.4%,happiness
35821429,이예준,살다가 한번쯤,살다가 한번쯤 (Re : WIND 4MEN Vol.03),"
							눈을 감기만 해도 눈물이 흘러 네가 보여서 많이 보고 싶어서 I know 다 끝난 일인걸 같은 공간 같은 시간 같은 세상이지만 어딜 봐도 어딜 가도 너는 보이질 않아 살다가 한 번쯤은 마주치기를 난 아직도 그곳에 살아 어디서 그 어디서 무얼 하든지 건강하게 행복하게 살아 살아있단 것으로 정말 고마워 너의 소식이 내가 사는 이유인걸 I know 다 끝난 일인걸 다른 만남 다른 사람 사랑해도 괜찮아 누구를 만나 뭐가 됐건 너만 행복하면 돼 살다가 한 번쯤은 마주치기를 난 아직도 그곳에 살아 어디서 그 어디서 무얼 하든지 건강하게 행복하게 살아 살다가 한 번쯤은 살다가 한 번쯤은 아직도 아직도 그곳에 살아 한 번만 딱 한 번만 마주친다면 꼭 이 말 전해줄 거야 태어나 너를 만나 고마웠다고 잘 살라고 꼭 행복하라고 
",발라드,sadness: 12.0% neutral: 60.0% happiness: 16.0% love: 12.0%,happiness
32313543,지코 (ZICO),아무노래,아무노래,"
							왜들 그리 다운돼있어 뭐가 문제야 say something 분위기가 겁나 싸해 요새는 이런 게 유행인가 왜들 그리 재미없어 아 그건 나도 마찬가지 Tell me what I got to do 급한 대로 블루투스 켜 아무 노래나 일단 틀어 아무거나 신나는 걸로 아무렇게나 춤춰 아무렇지 않아 보이게 아무 생각 하기 싫어 아무개로 살래 잠시 I’m sick and tired of my everyday Keep it up 한 곡 더 아무 노래나 일단 틀어 아무렴 어때 It’s so boring 아무래도 refresh가 시급한 듯해 쌓여가 스트레스가 배꼽 빠질 만큼만 폭소하고 싶은 날이야 What up my dawgs 어디야 너희 올 때 병맥주랑 까까 몇 개 사 와 huh 클럽은 구미가 잘 안 당겨 우리 집 거실로 빨랑 모여 외부인은 요령껏 차단 시켜 밤새 수다 떨 시간도 모자라 누군 힘들어 죽겠고 누군 축제 괜히 싱숭생숭 I want my youth back 좀 전까지 왁자지껄 하다 한 명 두 명씩 자릴 떠 왜들 그리 다운돼있어 뭐가 문제야 say something 분위기가 겁나 싸해 요새는 이런 게 유행인가 왜들 그리 재미없어 아 그건 나도 마찬가지 Tell me what I got to do 급한 대로 블루투스 켜 아무 노래나 일단 틀어 아무거나 신나는 걸로 아무렇게나 춤춰 아무렇지 않아 보이게 아무 생각 하기 싫어 아무개로 살래 잠시 I’m sick and tired of my everyday Keep it up 한 곡 더 떠나질 못할 바엔 창밖은 쳐다도 안 봐 회까닥해서 추태를 부려도 No worries at all 이미지 왜 챙겨 그래 봤자 우리끼린데 Ohh 늦기 전에 막판 스퍼트 20대가 얼마 안 남았어 편한 옷으로 갈아입어 You look nice get’em high 얼핏 보면 그냥 코미디 이렇게 무해한 파티 처음이지 만감이 교차하는 새벽 2시경 술잔과 감정이 소용돌이쳐 왜들 그리 다운돼있어 뭐가 문제야 say something 분위기가 겁나 싸해 요새는 이런 게 유행인가 왜들 그리 재미없어 아 그건 나도 마찬가지 Tell me what I got to do 급한 대로 블루투스 켜 아무 노래나 일단 틀어 아무거나 신나는 걸로 아무렇게나 춤춰 아무렇지 않아 보이게 아무 생각 하기 싫어 아무개로 살래 잠시 I’m sick and tired of my everyday Keep it up 한 곡 더 아무 노래나 일단 아무 노래 아무 노래 아무 노래나 틀어봐 아무 노래 아무 노래 아무 노래나 틀어봐 아무 노래 아무 노래 아무 노래나 틀어봐 아무 노래 아무 노래 아무 노래나 KOZ 
",랩/힙합,sadness: 13.8% neutral: 60.3% happiness: 20.7% anger: 5.2%,happiness
38315269,박서진,광대,현역가왕2 예선전 PART 2 & 데스매치 PART 1,"
							남들이야 즐거워서 껄걸 웃지만 모두들 신이 나서 춤을 추지만,남몰래 아픈 사연 가슴에 안고 웃으며 노래한다 분단장하고,헝클어진 머리에다 누더기 옷에 연지곤지 곱게 찍어 분단장하고,찌글어진 깡통에 인생을 담아 어어둥기당 두둥기 둥기당 내 팔자야,오늘도 춤을 춘다 두둥기 둥기두둥실 어릿 광대가,바보 같은 몸짓으로 웃음을 주고 근심 많은 사람에게 용기를 주며,괴로움도 슬픔도 모두 잊은 채 어어둥기당 두둥기 둥기당 놀아보자,신나게 춤을 춘다 두둥기 둥기두둥실 어릿 광대가,어릿 광대가
					",성인가요/트로트,love: 11.8% happiness: 23.5% sadness: 17.6% neutral: 47.1%,happiness
31148026,임재현,웃으며,웃으며,"
							너를 향한 내 맘이 서툰 내 표현이 부담이 된 걸까 미안해 비춰진 너의 눈 속에 한 번만 내 모습이 보이길  간절히 바랬어 너도 알고 있잖아 이런 내 마음을 말하지 못한 내 사랑 짧았던 만남 속에서 조금은 행복했던 기억 이런 게 사랑 인가 봐 그래 네 맘 알아  너의 곁에 있기엔 초라한 내 모습은 어울리지 않아서 너무 사랑했어  아름다운 너의 모습을  너의 흔적이 남아  행복했던 시간마저도  마치 운명처럼  우연처럼 너를 만나면 웃으며 인사할게  너는 내 맘 모르니까 헛된 나의 욕심이 나도 몰래 너를 그리워했던 것 같아 너와의 시간 속에서 남겨진 혼자만의 추억 어느새 또 네가 생각나 미워하고 싶어 너를 잊고 살기엔 커져가는 내 맘을 멈출 수가 없었어  너무 사랑했어  아름다운 너의 모습을  너의 흔적이 남아  행복했던 시간마저도  마치 운명처럼  우연처럼 나를 만나면 웃으며 인사해줘  아무 일도 없던 것처럼 혹시 한 번이라도 이 노랠 듣는다면 내 맘 전할 수 있을까  꿈만 같았던 너와의 시간 다신 오지 않을 내 사랑 행복했어  널 만났던 모든 순간이 아무 의미 없었던  너와의 추억마저도  운명처럼  우연처럼 우리 만나면 웃으며 고백할게  너를 사랑한다고 
","발라드, 인디음악",neutral: 38.9% love: 25.0% happiness: 13.9% sadness: 16.7% anger: 2.8% enthusiasm: 2.8%,happiness
34580847,마마돌 (M.M.D),우아힙 (WooAh HIP),엄마는 아이돌,"
							Be like me Do it like me Be like me 지금 이 순간이 서로를 끌어당겨 burn it 좀 더 당겨 네 활시위 긴장하게 될 걸 warning Hey watch out 움바야 움바비야 링링가링가 우아해 난 HIP 해 맞이해 Ready for Queen’s back 내 멋대로 굴래 또 무대 위로 익숙한 느낌 되살아난 떨림 ohh 다시 칠해질 최고의 순간 불어 춤바람 바람 바람 유쾌한 이 반란 Everybody wannabe a be like me Be like la la like me do it like me Everybody wannabe a be like me Be like la la like me WooAh HIP Do it like me 나처럼 해봐라 요렇게 모두 잠든 이 밤에 WooAh HIP 손 머리 위 날 따라 해봐라 이렇게 우아하게 HIP 하게 WooAh HIP Hit it dra dda dda WooAh HIP 우아하고 HIP 해 Uh 네 들이 애 셋을 키우는 Mom의 마음을 알어 알어 Uh Mom 이기 전에 하고 싶은 게 참으로 많어 움바야 움바비야 링링가링가 자 이제 시작될 진짜 날 기대해 내 멋대로 굴래 또 무대 위로 익숙한 느낌 되살아난 떨림 ohh 다시 칠해질 최고의 순간 불어 춤바람 바람 바람 유쾌한 이 반란 Everybody wannabe a be like me Be like la la like me do it like me Everybody wannabe a be like me Be like la la like me WooAh HIP Do it like me 나처럼 해봐라 요렇게 모두 잠든 이 밤에 WooAh HIP 손 머리 위 날 따라 해봐라 이렇게 우아하게 HIP 하게 WooAh HIP Hit it dra dda dda WooAh HIP 느낌와 느낌와 느낌와 WooAh HIP Hit it dra dda dda WooAh HIP 우아하고 HIP 해 WooAh HIP 변신해 Tiger mom 기다려 모두가 잠든 밤 터질 걸 매일이 불장 
",댄스,neutral: 85.7% happiness: 7.1% love: 3.6% enthusiasm: 3.6%,happiness
36717264,RIIZE,Get A Guitar,Get A Guitar,"
							If you want something to play with get a guitar 너와 내 느낌대로 Make it 시작해 봐 발 박자를 맞추고 손은 Snapping like one two five 모두 집중해 줘 When I play the guitar Cause I know you know,Ooh baby ooh I love it 너와 맞추는 눈 Ooh baby ooh I love it 너와 맞추는 춤 Rhythm 속에 그려보는 햇살 가득 담은 꿈 In my heart Tell me while,You play me like dun dun dun Still I love it 너와 맞추는 눈 Baby dun dun dun Still I love it 너와 맞추는 춤,Get get get get a guitar Get get get get a guitar Get get get get a guitar Get get get get a guitar,If you want something to play with get a guitar 가볍게 툭 어깨에 메고 시작해 봐 불타오를 Love and youth 외치는 순간 Feel the vibe 맘이 가는 대로 Play it get a guitar Cause I know you know,Ooh baby ooh I love it 너와 맞추는 눈 Ooh baby ooh I love it 너와 맞추는 춤 Rhythm 속에 그려보는 햇살 가득 담은 꿈 In my heart Tell me while,You play me like dun dun dun Still I love it 너와 맞추는 눈 Baby dun dun dun Still I love it 너와 맞추는 춤,Ooh baby ooh I love it 너와 맞추는 눈 Ooh baby ooh I love it 너와 맞추는 춤 네가 원하던 그 순간 다른 생각들은 다 벗어나 Tell me while,You play me like dun dun dun Still I love it 너와 맞추는 눈 Baby dun dun dun Still I love it 너와 맞추는 춤,Get get get get a guitar Get get get get a guitar Get get get get a guitar Get get get get a guitar,Get get get get a guitar
					",댄스,neutral: 50.0% sadness: 12.5% enthusiasm: 12.5% happiness: 25.0%,happiness
35686079,EXID,불이나,X,"
							야 너도 알지 I’m a little cheeky uhh yeah But I can be uh sweet like a tootsie roll ya 근데 너네가 기대하는 건 그런 게 아니잖아 So imma be uh hot like Woo hot like 앗 뜨거 난 눈에 불 켜 다 불 질러 I’m gonna burn this place 911 준비해 다 I got too much sauce yeah tell me who the boss yeah 보여줄 테니까 look 아직 많이 남았거든 ya Woo 난 춤을 추고 너와 눈을 맞추고 너를 덥게 만들어 oh yeah 입술 붉게 물들고 정신이 아득해져 날 따라와 날 믿어 oh oh oh I can make you go up and I'll make you smile 날 바라볼래 I’ll never let you down 절대 겁내지 마 걱정도 하지마 You know that 알지 내가 좀 불이나 불이나 hey 불이나 불이나 hey Like Tabasco I’m too bad 다 알걸 불이나 불이나 다 타 타 타 타 타 Fire fire oh let me make it hotter 불이나 불이나 다 타 타 타 타 타 Fire fire Yeah I’m on fire ay 미치고 싶은 사람 다 같이 모여 더 미치자고 errday 누가 뭐래도 내 길을 걸어가 날 멈추려 하지마 이게 나니까 Woo 난 춤을 추고 너와 눈을 맞추고 너를 덥게 만들어 oh yeah 입술 붉게 물들고 정신이 아득해져 날 따라와 날 믿어 oh oh oh I can make you go up and I'll make you smile 날 바라볼래 I’ll never let you down 절대 겁내지 마 걱정도 하지마 You know that 알지 내가 좀 Ya 우릴 맛보면 확 불나 아 매워 찾지 콜라 불이나 불이나 hey 불이나 불이나 hey Like Tabasco I’m too bad 다 알걸 Me gusta lo picante (na na na na na na) I got my hot sauce in my bag (na na na na na na) 넌 그냥 지켜보기만 해 (na na na na na na) I got that I got that like (na na na na na na) 불이나 불이나 다 타 타 타 타 타 Fire fire oh let me make it hotter 불이나 불이나 다 타 타 타 타 타 Fire fire 
",댄스,neutral: 86.2% happiness: 6.9% sadness: 6.9%,happiness
