곡 ID,아티스트,곡 이름,앨범,가사,장르,감정 비율,최종 감정 분류
35044105,태연 (TAEYEON),내 곁에,우리들의 블루스 OST Part 6,"
							푸른 바다 저 너머에 내가 찾고 싶은 게 있을까 우린 항상 왜 서로를 놓치고 나서야 후회할까 저무는 저 태양 속에 내가 갖고 싶은 게 있을까 나는 항상 왜 이미 행복할 너를 그리워할까 사라지지 마 이렇게 어린 나를 기억할게 긴 시간이 흘러도 우리의 세상 안에 머물게 흩어지는 구름 속에 내가 잊고 있던 게 있을까 너는 항상 왜 조각으로 남아 떠나지 못할까 우리 거리는 멀어져 다시 좁히려고 해도 난 여전히 제자리 다가설 수가 없어 너에게 이미 내가 잃어버린 시간을 붙잡고 놓지 못해 언젠가 나를 찾는 날 웃어야 할 텐데 다시 만날 수 있기를 너를 위해 기다릴게 긴 시간이 흘러도 우리의 세상 안에 머물게 
","발라드, 국내드라마",neutral: 72.7% happiness: 4.5% sadness: 13.6% love: 9.1%,sadness
35334132,카더가든,상처는 아름다운 흔적이 되어,환혼 OST Part 1,"
							내맘을 쥔 어둔 빛이 날카롭게 베고 스쳐가 Oh oh 항상 또 날 울렸던건 미쳐 안아 주질 못했던 나의 아픔들 Ooh But I’ve finally found you Ooh 아름다운 너의 눈동자속은 꽃과 햇빛을 담아 피어난듯해 내맘은 I will be with you 그대여 You’ll never be alone 언제나 곁에 머물러 줬음해 상처는 아름 다운 흔적이 돼 한발씩 더 딛을 때면 이젠 알아 내 앞의 놓인 길 Oh oh 깊게 숨을 쉬어 저 멀릴 바라보고 다시 일어서 견뎌내 I will stand here strong 이제 난 I’m never falling down 두렵진 않아 앞을 바라봐 어서 상처는 아름 다운 흔적이 돼 Oh oh Oh oh 차갑던 계절 속 그 속에도 피어나 보여 네가 Into you 그대여 You’ll never be alone 언제나 곁에 머물러 줄게 나 상처는 아름 다운 흔적이 돼 I will be with you 그대여 You’ll never be alone 언제나 곁에 머물러 줬음해 상처는 아름 다운 흔적이 돼 
","록/메탈, 국내드라마",love: 10.0% sadness: 35.0% neutral: 55.0%,sadness
32955381,헤이즈 (Heize),밤하늘의 저 별처럼,밤하늘의 저 별처럼 (브람스를 좋아하세요? OST 스페셜 트랙),"
							처음 너를 만난 그 모든 순간이 쉬지 않고 생각나 나에게로 와서 쏟아지네 밤하늘의 저 별처럼 고요해져버린 이 시간엔 널 그리워하는 일로 밤을 새 비 오는 소리도 괜히 쓸쓸해 너와 같이 있던 여기에 네가 없으니까 처음 너를 만난 그 모든 순간이 쉬지 않고 생각나 나에게로 와서 쏟아지네 밤하늘의 저 별처럼 나의 이 마음을 담아 시를 써도 표현할 수 없어 깊은 마음인걸 나를 사랑하지 않아서 난 아무 말도 못 했어 안녕이란 그 말이 결국 다였나봐 처음 너를 만난 그 모든 순간이 쉬지 않고 생각나 나에게로 와서 쏟아지네 밤하늘의 저 별처럼 눈감아 생각해보면 참 좋았었는데 신호등의 빨간불이 너의 마음 같아 널 잊어야 하는데 파도처럼 내게 밀려드는 너를 잊을 수가 없어 너의 목소리가 들려오네 깨어나면 꿈이겠지만 보라빛의 하늘색은 외로워 너도 지금 보고 있을까 고여있는 빗물 속에 내 눈물이 이렇게 떨어지는데 너 없이는 안되나봐 
","R&B/Soul, 국내드라마",neutral: 51.7% sadness: 34.5% love: 13.8%,sadness
8203900,정승환,너였다면,또 오해영 OST Part.5,"
							왜 너에겐  그렇게 어려운지   애를 쓰는 나를  제대로 봐주는 게  너 하나에 이토록  아플 수 있음에  놀라곤 해  고단했던 하루  나는 꿈을 꿔도 아파  너였다면 어떨 것 같아   이런 미친 날들이  네 하루가 되면 말야  너도 나만큼 혼자  부서져 본다면 알게 될까  가슴이 터질 듯  날 가득 채운 통증과   얼마나 너를  원하고 있는지  내가 너라면  그냥 날 사랑할 텐데  내 가슴은 한없이 바닥까지   나를 둘러싸는  모든 게 두려워져  다 사랑에 빠지면  행복한 거라니  누가 그래  뒷모습만 보는  그런 사랑하는 내게  너였다면 어떨 것 같아   이런 미친 날들이  네 하루가 되면 말야  너도 나만큼 혼자  부서져 본다면 알게 될까  가슴이 터질 듯  날 가득 채운 통증과   얼마나 너를 원하고 있는지  내가 너라면 그냥 날 사랑할텐데 이미 너는 내게 대답한 걸 알아  대답 없는 대답의 의미 다 알면서도 난 모르는 척 맴도는데 요즘 나는 어떤 줄 아니  편히 잠을 잘 수도 뭘 삼켜낼 수도 없어 널 바라보다 점점 망가져 가는 날 알긴 할까 죽을 것 같아도 넌 내게 올 리 없대도  딴 곳만 보는 너란 걸 알아도 그런 너를 난 놓을 순 없을 것 같아 
","발라드, 국내드라마",neutral: 42.9% sadness: 34.3% love: 20.0% happiness: 2.9%,sadness
32345931,가호 (Gaho),시작,이태원 클라쓰 OST Part.2,"
							새로운 시작은 늘 설레게 하지 모든 걸 이겨낼 것처럼 시간을 뒤쫓는 시계바늘처럼 앞질러 가고 싶어 하지 그어 놓은 선을 넘어 저마다 삶을 향해 때론 원망도 하겠지 그 선을 먼저 넘지 말라고 I can fly the sky Never gonna stay 내가 지쳐 쓰러질 때까진 어떤 이유도 어떤 변명도 지금 내겐 용기가 필요해 빛나지 않아도 내 꿈을 응원해 그 마지막을 가질 테니 부러진 것처럼 한 발로 뛰어도 난 나의 길을 갈 테니까 지금 나를 위한 약속 멈추지 않겠다고 또 하나를 앞지르면 곧 너의 뒤를 따라잡겠지 원하는 대로 다 가질 거야 그게 바로 내 꿈일 테니까 변한 건 없어 버티고 버텨 내 꿈은 더 단단해질 테니 다시 시작해 Ah ah ah ah ah Ah ah ah ah ah ah Ah ah ah ah ah Ah ah ah ah 다시는 나를 잃고 싶지 않아 내 전부를 걸었으니까 원하는 대로 다 가질 거야 그게 바로 내 꿈일 테니까 변한 건 없어 버티고 버텨 내 꿈은 더 단단해질 테니 다시 시작해 Ah ah ah ah ah Ah ah ah ah ah ah Ah ah ah ah ah Ah ah ah ah 
","록/메탈, 국내드라마",love: 15.4% neutral: 61.5% anger: 3.8% sadness: 11.5% enthusiasm: 7.7%,love
34943241,지민,With you,우리들의 블루스 OST Part 4,"
							I wanna be with you And I wanna stay with you Just like the stars shining bright You’re glowing once more Right here beside you I’m still Walking wherever you go You will live forever in me Breathing deeply within me Just take it all I`m nothing without your love I promise I’ll never leave your love My heart is beating ‘cause of you Forever and ever and ever Only you can take my heart Dear my love love love I wanna stay with you 추억은 늘 여기 마음이란 방에 너와의 얘기들로 가득 차 있어 언제부터였는지 나도 잘 모르지만 너에게 말하고 싶어 나의 모든 얘기를 Just take it all I`m nothing without your love I promise I’ll never leave your love My heart is beating ‘cause of you Forever and ever and ever Only you can take my heart Dear my love love love I wanna stay Tore my heart Now I’m in the dark Will we meet in our dreams Breaking my heart Here we are apart I wanna stay near you 
","발라드, 국내드라마",love: 20.0% neutral: 80.0%,love
37465201,종호(ATEEZ),A Day,선재 업고 튀어 OST Part 5,"
							숨길 수 없는 그리움 너를 그리다 지쳐 잠든 이밤 깊게 잠긴 그 목소리 잊혀지지 않는 너의 흔적들,잠시라도 멈출 수 있다면 그대로 널 안아줄 텐데,하루종일 너를 그리워 하다 우리의 시간을 다시 되돌리고 싶어 어떤날이 온대도 내가 널 기억해 가슴속 깊이 스며든 너의 이름을,손 닿을 수 없이 멀어져 그 끝에 내게로 와줘 그대로,한숨 쉬다 애써 웃어보다 아무 일 없는 듯 다가가,하루종일 너를 그리워 하다 우리의 시간을 다시 되돌리고 싶어 어떤날이 온대도 내가 널 기억해 가슴속 깊이 스며든 너의 이름을,그땐 다시 내게 나타나줘요 네 손 꼭 잡을테니까,운명처럼 다시 찾아온다면 아무 일 없듯이 나를 안아주면 돼요 어떤날이 온대도 내가 널 기억해 가슴속 깊이 스며든 너의 이름을
					","발라드, 국내드라마",sadness: 37.5% neutral: 37.5% love: 25.0%,sadness
36462869,승관,Still You,낭만닥터 김사부 3 OST Part.4,"
							넘치던 행복 그 너머엔 눈물과 슬픔이 있었어 유난히 따듯했던 가을 뒤엔 시린 겨울밤이 있었어 Still You're My Love Still You're The One 네가 없이 난 이겨내는게 버텨보는게 살아가는게 두렵다 또 깊은 밤이 올텐데 왜인지 알수는 없지만 그 날의 하늘은 유독 맑았어 모두 잃어버린 날 위로하듯 따스한 바람이 불었어 Still You're My Love Still You're The One 네가 없이 난 이겨내는게 버텨보는게 살아가는게 두렵다 또 깊은 밤이 올텐데 별들조차 잠이들어 더 없이 고요한 밤에 닫힌 창문을 열고 오늘도 너를 그려본다 Still You 아직도 Still You 난 너야 네가 없이 난 서러울거야 허전할거야 무너질거야 사는게 꼭 너를 닮아갈거야 Still You're My Love Still You're The One Still You're My Love Still You're The One 
","록/메탈, 국내드라마",sadness: 50.0% neutral: 50.0%,sadness
32491274,조정석,아로하,슬기로운 의사생활 OST Part 3,"
							어두운 불빛아래 촛불 하나 와인 잔에 담긴 약속하나 항상 너의 곁에서 널 지켜줄거야 날 믿어준 너였잖아 나 바라는 건 오직 하나 영원한 행복을 꿈꾸지만 화려하지 않아도 꿈같진 않아도 너만 있어주면 돼 걱정 마 I believe 언제나 I believe 이 순간을 잊지 않을게 내 품에 I believe 안긴 너의 미소가 영원히 빛을 잃어 가지 않게 Cause your love is so sweet You are my everything 첫날 밤에 단 꿈에 젖어 하는 말이 아냐 난 변하지 않아 오직 너만 바라볼거야 oh You’re light of my life You are the one in my life 내 모든걸 다 잃는대도  후회하지 않아 오직 너를 위한 변하지 않는 사랑으로 나 바라는 건 오직 하나 영원한 행복을 꿈꾸지만 화려하지 않아도 꿈같진 않아도 너만 있어주면 돼 약속해 I believe 힘들 땐 I believe 너의 그늘이 되어줄게 내품에 I believe 안긴 너의 미소가 영원히 빛을 잃어 가지 않게 Cause your love is so sweet You are my everything 첫날 밤에 단 꿈에 젖어 하는 말이 아냐 난 변하지 않아 오직 너만 바라볼거야 oh You’re light of my life You are the one in my life 내 모든걸 다 잃는대도  후회하지 않아 오직 너를 위한 변하지 않는 사랑으로 You’re light of my life You are the one in my life 내 모든걸 다 잃는대도  후회하지 않아 오직 너를 위한 변하지 않는 사랑으로 All I ever want is your love 
","발라드, 국내드라마",love: 29.0% neutral: 35.5% happiness: 6.5% enthusiasm: 12.9% sadness: 16.1%,love
9619959,로꼬,Say Yes,달의 연인 - 보보경심 려 OST Part 2,"
							니 눈앞에 왔잖아  내가 여기 있잖아  너의 입술로 말을 해줘 say yes say yes 나도 모르게  너에게 가고 있나봐  부는 바람에 내 맘 전할래 love is true 간지럽게만 느껴지던 눈 빛이 이제는 익숙 하단듯이 웃음 짓지 그 쪽으로 걸어가기만 하면 돼 라고 친구들은 계속해서 날 부추기지만 아직은 무거운 구두의 뒷 굽 차라리 벗어버리고 싶은 이 밤의 끝 손을 내밀어 줬으면 해 맨발로 너에게 뛰어갈 수 있게 끔 복잡하기만한 하루에 매 시간 머리를 굴리지만 난 지금에서야 깨달은 건데 결국 다 버려지고 너만 남아 지난 봄에는 널 우연히 봤고 더 이상은 우연이 아니였으면 해 스치기만 했던 너의 손을 잡고 어떤 길이라도 같이 걸었으면 해 니 눈앞에 왔잖아  내가 여기 있잖아  너의 입술로 말을 해줘 say yes say yes 나도 모르게  너에게 가고 있나봐  부는 바람에 내 맘 전할래 love is true i need u baby 너에게 하고 픈 말  내가 못다한 말  baby baby baby boy love is true 어디든 갈 수 있어 이건 거짓말이 아니야 이제부터는 나의 옆이 제일 편한 자리야 입술을 오므리고 내는 소리와 같이 내 이름을 불러줬음 좋겠어 내가 뒤로 떨어져서 걷더라도 단지 이 목소리를 들어줬음 좋겠어 니 눈앞에 왔잖아  내가 여기 있잖아  너의 입술로 말을 해줘 say yes say yes 나도 모르게  너에게 가고 있나봐  부는 바람에 내 맘 전할래 love is true 내가 바라는 단 한가지  니가 내곁에 있어주는 것  니가 날 보며 웃어주는것도 내 얘길 들어주는것도  난 그걸로도 충분한데 you 너를 보며 웃잖아  두 눈이 말하잖아  너도 이렇게 대답해줘 say yes say yes 너라서 좋아  니가 날 울려도 좋아  너는 나의 모든 전부니까 love is true i need u baby 너에게 하고 픈 말  내가 못다한 말  baby baby baby boy love is true  
","발라드, 국내드라마",neutral: 72.3% love: 17.0% sadness: 10.6%,love
