곡 ID,아티스트,곡 이름,앨범,가사,장르,감정 비율,최종 감정 분류
34441468,허각,너 없이 사는 게 (N번째 연애 X 허각),너 없이 사는 게 (N번째 연애 X 허각),"
							아무런 준비 없이 너를 보내고 더디게만 흘러가는 하루하루를 건너보니 예고 없이 차가워진 바람 틈 사이 나도 모르게 움추려든 어깨에 실감이 나 너 인사도 없이 떠난 밤 나를 지워낸 밤 다시 오지 않을 그날의 아픔들이 아직 널 불러 너 없이 내가 사는 게 사는 게 아니야 오늘도 너를 그리며 그리며 살아가 거짓말처럼 어느 날 다시 돌아올까 봐 흐려져가는 널 애써 잡고서 오늘도 살아가 왜 이리 된 걸까 다 내 탓인 건지 잠들지 못한 채 밤새 뒤척이며 자책을 해 못났던 기억들이 선명해지면 조금은 알 것 같아 그날을 준비한 너의 마음 아직도 너로 가득한 밤 지울 수 없는 밤 언제쯤 괜찮아질까 나 정말 잊을 수는 있을까 그럴 수 없을까 봐 나 겁이 나 너 없이 내가 사는 게 사는 게 아니야 오늘도 너를 그리며 그리며 살아가 거짓말처럼 어느 날 다시 돌아올까 봐 흐려져가는 널 애써 잡고서 오늘도 살아가 이렇게 아플 줄 몰랐어 바보처럼 그날 널 보내지 말걸 그랬어 널 보내고 매일 사는 게 사는 게 아니야 아직도 내게 이별은 많이 멀었나 봐 우리 그때로 다시 돌아갈 수는 없을까 예전처럼 내 곁으로 돌아와 그럴 수 있다면 더 이상 내 삶에 바랄 건 없어 
",발라드,sadness: 48.6% neutral: 40.5% love: 10.8%,sadness
36740737,헤이즈 (Heize),언젠간 괜찮아질 이야기,언젠간 괜찮아질 이야기,"
							고단한 내 하루의 끝에 따스히 안아주던 너 어떻게 해야 그토록 포근했던 밤 잊혀질까요,놓지 못했던 아픈 기억 보내 주기로 해요 우리는 여기서 안녕 그래 여기서 안녕,같이 걷던 길을 혼자 걸어도 우연히 닮은 뒷모습을 보아도 슬퍼하지 말기로 해 돌아 보지 말기로 해 시간이 지나가면 언젠간 괜찮아질 이야기,차마 못 했던 이별 인사 건네 주기로 해요 우리는 여기서 안녕 그래 여기서 안녕,같이 걷던 길을 혼자 걸어도 우연히 닮은 뒷모습을 보아도 슬퍼하지 말기로 해 돌아 보지 말기로 해 시간이 지나가면 언젠간 괜찮아질 이야기,헤어지는 게 두려워서 서로 지친 걸 잘 알지만 소리 없이 울던 수많은 날들 슬픈 두 눈빛이 결국엔 끝이라는 걸 미루고 또 미뤄봐도 알게 해,우리 이런 아픈 날이 지나고 부디 서로 행복하기로 해요 혹시 그리워서 운다 해도 가끔 생각난다 해도 시간이 지나가면 언젠간 괜찮아질 이야기
					",발라드,sadness: 46.4% neutral: 50.0% love: 3.6%,sadness
37390245,노을,단,단,"
							무릎도 꿇었죠 그 모진 냉대에 찬 비속에 밤새도록 그녈 낳아주신 그 이유 아니면 견딜 수 없었겠죠, 하지만 그 후로 그녀는 떠났죠 아마 날 위해서겠죠 그리고 들었죠 결혼하던 그 날 많이 울더라는 얘길, 날 슬프게 했던 건 그 날밤 그녀가 내 앞으로 남기고 간 편지, 기다릴 수 있겠나요 나 다녀올게요 이길 밖엔 없는 가봐요, 단 내가 돌아오기 전에 날 잊어도 원망안해요, 어느 날 말없는 전화를 받았죠 그녀일거란 짐작만, 가끔씩 그렇게 살아있다는 흔적 보여주면 되는 거죠, 난 언젠가 그녀를 만날 때를 위해 이 말 만은 간직 할 거예요, 다녀와요 괜찮아요 난 염려 말아요 그때까지 기다릴게요, 단 돌아올 수 없게 돼도 나도 그댈 원망안해요, 단 돌아올 수 없을 만큼 행복하길 먼저 빌게요, 그대여... Good Bye
					",발라드,neutral: 66.7% sadness: 20.8% anger: 12.5%,sadness
36912442,최유리,"밤, 바다",여행: 플리(playlist) OST Part.2,"
							우린 고요한 밤바다를 좋아했지 소란한 맘을 감춰줬으니 낮게 부서지는 잔잔한 노래에 가끔 한숨을 잊기도 했지,내게 불어온 바람은 퍽 차가웠지 이미 많은 걸 놓쳐 버렸지 지친 나무 틈에 몸을 숨기기엔 너무 커버린 내가 미웠지,문득 돌아보면 그날에 네 마음이 내겐 얼마나 큰 위로였는지,가끔은 넘어질 거야 오늘은 괜찮을 거야 흐트러진 마음을 쏟아내도 괜찮아,내가 옆에 있을게 넌 말없이 그냥 울어도 돼 흐린 맘이 남지 않게 내가 너의 바다가 되어줄게,나도 몰랐었던 그날의 내 마음에 너는 얼마나 큰 힘이 됐는지,가끔은 넘어질 거야 오늘은 괜찮을 거야 흐트러진 마음을 쏟아내도 괜찮아,내가 옆에 있을게 넌 말없이 그냥 울어도 돼 흐린 맘이 남지 않게 내가 너의 바다가 되어줄게,조금 늦어져도 괜찮아 쉬어가도 좋아 내가 너를 사랑할게,다시 아침이 오면 조금은 괜찮을 거야 하루만큼 우리가 어른이 됐으니까,내가 옆에 있을게 넌 말없이 내게 기대도 돼 지친 맘이 닿는 곳에 내가 너의 그 밤이 되어줄게,고마웠어 내 어린 밤들아
					",발라드,love: 32.3% neutral: 22.6% happiness: 25.8% sadness: 16.1% anger: 3.2%,happiness
37375706,이무진,청혼하지 않을 이유를 못 찾았어,청혼하지 않을 이유를 못 찾았어,"
							너에게 안 믿길 만큼 받은 게 참 많아요 우선은 너 하나, 그리고 우리란 말 사실 더할 나위 없이 그거면 됐지요 우리만의 기억 과분한 선물이지요,너로 인해 난 놀랍게도 변한 게 참 많아요 맘속엔 너와 날 가득히 채운 바다 잡은 두 손 사이로 붉은 실이 보이죠 어쩌면 정해져 있었던 걸지도,근데 있잖아 자연스런 고백이 난 제일 어려워 내 맘을 멋있게 전하고 싶어 고민했어 수많은 바람 끝에 너에게 할 말을 정했어 가장 솔직하고 감동적인 말,너에게 청혼하지 않을 이유를 못 찾았어 내 일상, 내 모든 하루는 너라서 그댄 오늘도 정말 예쁘네요 빛나줘 곁에서 부디 영원토록,수백 번 연습하며 오늘을 기다려왔어 어쩌면 어설픈 말들일지라도 그댈 내일 더 사랑할 거란 것 그게 내가 청혼할 이유 그 이유의 이유,마침내 전한 내 고백 조금은 수줍어도 굳게 잡은 두 손 놓지 않기로 약속 마지막까지도 꼭 함께하기로 그 마지막의 마지막의 마지막까지도,너에게 청혼하지 않을 이유를 못 찾았어 내 일상, 내 모든 하루는 너라서 그댄 오늘도 정말 예쁘네요 빛나줘 곁에서 부디 영원토록,수백 번 연습하며 오늘을 기다려왔어 어쩌면 어설픈 말들일지라도 그댈 내일 더 사랑할 거란 것 그게 내가 청혼할 이유 그 이유의 이유,많은 사람들 중에 그 많은 순간들 중에 만난 우리 우연과 얽힌 운명들 중에 가장 찬란한 순애 그 서막 끝의 무대,너에게 청혼하지 않을 이유를 못 찾은 것 기억 속 찬란함이 온통 너란 것 그댄 오늘도 정말 예쁘단 것 전부야 너무나 당연한 이유가,난 이제 준비해 둔 모든 말을 꺼내 뒀어 항상 내 맘 한켠 담아뒀던 프러포즈 그댄 내일도 아름다울 거란 것 그게 내가 청혼한 이유 그저 너란 이유
					",발라드,neutral: 64.7% sadness: 11.8% love: 21.6% enthusiasm: 2.0%,love
34388139,존박,밤새 서로 미루다,밤새 서로 미루다,"
							있잖아 문득 중요한 일을 까먹은 듯한 그런 기분 건망증처럼 그래 나도 문득 아직 못다한 얘기가 자꾸 맴돌아 혼잣말처럼 우리 밤새 서로 미루다 끝내 하지 못한 말 그대 모르게 연습했었던 말 뭐가 그렇게 두려웠는지 더 멀어질까 못한 말 지금이라도 전한다면 잊혀지게 될까 널 잊을 수 있을까 이젠 혹시 부담될까 네 안부조차 모르는 게 널 위한 배려라 날 위한 배려라 믿었었나 봐 우리 밤새 서로 미루다 끝내 하지 못한 말 그대 모르게 연습했었던 말 뭐가 그렇게 두려웠는지 더 멀어질까 못한 말 지금이라도 전한다면 잊혀지게 될까 널 잊을 수 있을까 잘 지내도 돼 영영 못 잊어도 돼 또 다신 너를 보낼 수가 없어 밤새 서로 미루다 끝내 하지 못한 말 수백 번 넘게 꾹 삼켰던 그 말 먼저 다가오기를 기다린 어리석었던 우리의 모든 걸 바꿀 수 있었던 하고 싶었던 말 꼭 듣고 싶었던 말 Stay 
",발라드,neutral: 60.7% sadness: 35.7% love: 3.6%,sadness
35355783,황치열,내 눈물이 하는 말 (웹툰 '연애의 발견' X 황치열),내 눈물이 하는 말 (웹툰 '연애의 발견' X 황치열),"
							내 머리는 나빠서 너 밖에 모르고 세상 사람 모두 다 너로 보이고 내 가슴은 좁아서 너 밖엔 못 살고 귀에 닿는 목소린 다 넌 줄 아는데 그립다고 힘들다고 사랑한다고 매일 밤 내 안에 터질 듯 슬픈 그 말은 나를 헤매이게 해 이렇게 너만 원하게 해 너를 사랑한단 말 숨 쉴 때마다 늘어서 오늘도 그만큼 버리고 또 버려도 내가 하지 못한 말 가슴에 너무 많아서 내 숨이 멈출까 봐 눈물이 나를 대신해서 흘러 내 걸음은 느려서 널 잡지 못하고 네가 떠난 그 자리만 돌고 도는데 그립다고 힘들다고 사랑한다고 매일 밤 내 안에 터질 듯 슬픈 그 말은 나를 헤매이게 해 이렇게 너만 원하게 해 너를 사랑한단 말 숨 쉴 때마다 늘어서 오늘도 그만큼 버리고 또 버려도 내가 하지 못한 말 가슴에 너무 많아서 내 숨이 멈출까 봐 눈물이 나를 대신해서 흘러 간절한 내 맘을 넌 듣지 못하고 내가 아닌 누구를 사랑하고 있을까 너를 사랑한단 말 숨 쉴 때마다 깊어져 온몸에 물들어 너를 앓고 사는 나 너만 사랑했다고 죽어도 못 잊겠다고 오늘도 내 눈물이 못다 한 말을 대신해서 흘러 
",발라드,neutral: 55.9% love: 23.5% sadness: 20.6%,love
37347900,다비치,너의 편이 돼 줄게,너의 편이 돼 줄게,"
							오늘 어떤 하루를 보냈나요 별일 없다면 다행이에요 꾹 다문 입술 잠깐 스친 표정에 괜스레 걱정이 되네요,애써 웃음 짓는 그대를 보면 내가 뭐든 다 해주고 싶어 움츠린 어깨 안아줄 수 있어서 그게 고마운 걸요,언제라도 너의 편이 돼 줄게 어디로든 같이 걸어 갈게 꼭 잡은 두 손 어느새 닮아 있는 우리 이렇게 완벽할 수 있나요,혹시라도 고단한 세상 속에 초라한 모습에 숨고 싶을 때 나에게 와요 기대어 앉아요 늘 내가 있을게요 그대 곁에,눈을 맞추며 안부를 묻는 게 이렇게 따뜻할 수 있나요 평범한 날들 특별할 것 없지만 이게 행복인 걸 알죠,언제라도 너의 편이 돼 줄게 어디로든 같이 걸어 갈게 꼭 잡은 두 손 어느새 닮아 있는 우리 이렇게 완벽할 수 있나요,혹시라도 고단한 세상 속에 초라한 모습에 숨고 싶을 때 나에게 와요 기대어 앉아요 늘 내가 있을게요 그대 곁에,별 볼일 없던 메마른 어지럽던 나의 일상에 눈부신 너라서 지켜낼 거야 간절히 함께할 거야,언젠가는 불어온 바람에 쓰러질 듯 두려운 맘 앞에 사랑해 말하며 서로를 바라보는 일 이렇게 눈물 날 수 있나요,혹시라도 엉망이 된 하루에 도망치고 싶어 지친 맘일 때 나에게 와요 기대어 앉아요 늘 내가 있을게요 그대 곁에
					",발라드,love: 7.9% sadness: 15.8% neutral: 65.8% enthusiasm: 7.9% happiness: 2.6%,sadness
35953611,우디 (Woody),Say I Love You,Say I Love You (Re : WIND 4MEN Vol.04),"
							입을 맞춰도 불안하고 품에 안아도 초조하고 잠이 들 때도 꿈처럼 사라질까 밤새 뒤척이고 보면 볼수록 겁이 나고 겁이 날수록 더 보고 싶고 사랑할수록 네가 날 떠날까 봐 두려워지나 봐 사랑을 다 줘도 불안한 건 남자야 넌 너무 모르지 남자의 사랑을 사랑할수록 더 보고 싶고 보면 볼수록 더 안달 나고 평생 내 여자로 만들고픈 조급한 마음인걸 평생 내 여자로 살아줄래 나 말곤 없다고 말해줄래 조금도 불안해하지 않게 한 번 더 말해줄래 Say I love you Say I love you Say I love you Say I love you 사랑할수록 닮아가고 날이 갈수록 더 좋아져 함께 할수록 난 너 없인 못 살아 너 책임져 사랑을 다 줘도 불안한 건 남자야 넌 너무 모르지 남자의 사랑을 사랑할수록 더 보고 싶고 보면 볼수록 더 안달 나고 평생 내 여자로 만들고픈 조급한 마음인걸 평생 내 여자로 살아줄래 나 말곤 없다고 말해줄래 조금도 불안해하지 않게 한 번 더 말해줄래 Say I love you Say I love you Say I love you 약속해줘 You are the only my love 한 여자만을 사랑하니까 내겐 그 여자는 너 하나니까 자꾸만 네 사랑을 보채도 날 미워하지는 마 평생 내 여자로 살아줄래 나 말곤 없다고 말해줄래 조금도 불안해하지 않게 한 번 더 말해줄래 Say I love you Say I love you Say I love you Say I love you Say I love you 
",발라드,sadness: 29.4% enthusiasm: 2.9% neutral: 26.5% love: 41.2%,love
38277832,LUCY,그녀가 웃잖아,그녀가 웃잖아,"
							그래 그렇게 제발 좀 웃어봐 웃는 여자 중엔 네가 젤 예쁜걸 내 말 앞에 손사래 쳐도 좋은 듯 행복한 듯 웃는 네가 나의 삶에 햇살이잖니,밤새도 눈 빨개져도 난 좋았어 너를 웃게 해 줄 생각에 들떠서 혹시 중간에 끊길까 봐 재미있는 얘길 달달 외고 준비한 게 탄로 날까 연습도 했었지,널 떠난 사람 잊을 수 있다면 널 울린 사람 걷어 낼 수 있다면 광대라도 좋아 바보가 된다 해도 너만 기쁘면 그보다 더한 것도 난,누군가 내게 네 사랑과 행복 중 하나만 고르라면 택하라면 한 치 망설임도 없이 언제나 난 네 행복이고 싶어 네가 나를 사랑하지 않는다 해도 내가 널 사랑하니까 남자니까 우는 건 아픈 건 내가 할게 넌 웃어줘,가끔 날 보며 웃는 널 보면서 나를 사랑한단 착각을 하나 봐 아니, 지금은 아니라도 나를 사랑해라 사랑해라  가슴으로 너를 향해 주문도 거나 봐,그 꿈에서 또 깨면 쓸쓸해도 널 볼수록 더 가슴이 미어져도 뒤돌아서 눈물 삼키고 삼켜내도 너를 몰랐던 그날들보다 괜찮아 ,널 위해 할 수 있는 게 참 없잖니 사랑을 받는 일도 하는 일도 그게 나를 또 얼마나 미치게 하는 건지 네가 알까 끝내 몰라도 돼 부탁 하나만 할게 널 웃게 만드는 일만 허락해 줘 우는 건 아픈 건 내가 할게 넌 웃어줘
					",발라드,love: 35.9% neutral: 25.6% happiness: 10.3% sadness: 25.6% enthusiasm: 2.6%,love
