곡 ID,아티스트,곡 이름,앨범,가사,장르,감정 비율,최종 감정 분류
35337881,프로미스나인,Stay This Way,from our Memento Box,"
							Ah yeah oh baby,우리 떠날래? 출발한 뒤에 고민해도 늦지 않아 (Tonight) 가끔 즉흥적인 게 좀 필요해 해가 저물면 (Oh yeah yeah),또 몰래 침대 밖으로 발을 내려놓을 땐 흰 모래알이 느껴져 Yeah 이 느낌 (So great) 방문을 열고 자, 바람처럼 사라질래 지금 내 기분은 Higher Take me higher,조그만 해변, 너하고 나 I just wanna stay,Stay this way 우린 뜨겁고 눈부셔 자유롭게 춤춰 저 달이 오늘따라 예뻐서 Stay this way 깊고 짙은 Blue 더 흠뻑 빠져 Stay this way,(Stay this way, My baby) Stay with me, Stay, Stay with me (Stay this way, My baby) 하늘 위로 Fireworks 우리의 조그만 바닷가에 날 바라보며 Stay this way,그림 같은 우리 Such a party  Moonlight 그림자 Groove it 춤을 추지  파도 소리에 몸을 맡겨 매일이 난 Sunday 월요일은 사라져 나를 끌어당겨 I wanna be next to you,완벽한 탈출 꿈만 같은 이 밤 So sweet (So sweet) So good (So good) 그 어디든 발길이 닿는 대로,조그만 해변, 너하고 나 I just wanna stay,Stay this way 우린 뜨겁고 눈부셔 자유롭게 춤춰 저 달이 오늘따라 예뻐서 Stay this way 깊고 짙은 Blue 더 흠뻑 빠져 Stay this way,Disco (Disco) Let’s go (Let’s go)  다른 모든 건 다 지워 (Yeah) Get on the floor and show me some more (Oh yeah) Disco (Disco) Let’s go (Let’s go)  다른 모든 건 다 지워 (다 지워) So, Stay with me, Okay?,Stay this way 우린 서로를 비추며 춤을 추고 있어 오늘이 마지막인 것처럼 Stay this way 꿈 같은 걸 널 바라보며 Stay this way,(Stay this way, My baby) Stay with me, Stay, Stay with me  (Stay this way, My baby) 하늘 위로 Fireworks  우리의 조그만 바닷가에 날 바라보며 Stay this way,Stay, Just stay with me Stay with me forever, Stay with  Stay, Just stay with me woo Stay, Just stay with me Stay with me forever, Stay with stay So, Last forever  Stay this way, 
",댄스,neutral: 79.3% happiness: 13.8% enthusiasm: 6.9%,happiness
33749109,전소미,DUMB DUMB,DUMB DUMB,"
							거울 앞에서 또 연습해,두 눈을 크게 떠,이런 표정을 넌 좋아해,어떻게 하면 더 연약해 청초해 보일까,안 꾸민듯 꾸며보곤 해, 여자의 마음을 너무 몰라 넌,Let me just say it now,두려운 내 모습까지 감싸 안아줘,난 네 머리 꼭대기에서 춤춰 you dumb dumb,난 네 머리 꼭대기에서 춤춰 you dumb dumb,영혼까지 끌어 떠는 내숭 ,결국 이게 다 널 위한거야,Dumb dumb dumb,순수한 내 눈빛보고 잔머리 굴리지말고,Let’s play dumb dumb dumb,원래 많이 못 먹어요 양이 적어서 yeah,벌렌 절대 못 잡아요 너무 무서워,Nah, I aint got time for that Tried to act the part and rewind it back Over and over, shows over, take or leave It’s make love or, make believe,여자의 마음을 너무 몰라 넌,Let me just say it now,두려운 내 모습까지 감싸 안아줘,난 네 머리 꼭대기에서 춤춰 you dumb dumb,난 네 머리 꼭대기에서 춤춰 you dumb dumb,영혼까지 끌어 떠는 내숭 ,결국 이게 다 널 위한거야,Dumb dumb dumb,순수한 내 눈빛보고 잔머리 굴리지말고,Let’s play dumb dumb dumb,Hey dumb dumb,네가 사랑에 빠진건 내 계획대로 done done,Hey dumb dumb,이제 애쓰지 않아도 tell me that I’m the one one,Hey dumb dumb,네가 사랑에 빠진건 내 계획대로 done done,Hey dumb dumb,이제 애쓰지 않아도,난 네 머리 꼭대기에서 춤춰 you dumb dumb 
",댄스,sadness: 26.9% love: 23.1% neutral: 30.8% happiness: 19.2%,happiness
34997081,싸이 (PSY),밤이 깊었네 (feat. 헤이즈),싸다9,"
							밤이 깊었네  방황하며 춤을 추는 불빛들  이 밤에 취해 흔들리고 있네요 ,또다시 밤이 깊었네 밤에 잠을 이루지 못해  뒤척이다 둘러보니 혼자 세상의 짐을 싹 다 짊어졌네  생각이 많아지고 세상 다 가지고 싶었지만  세상 앞에 나는 결국 작아지고  인생의 정답을 찾지 못하는 구겨진 내 삶의 지도 ,그래 내일부터 남보다 나은 인간이 되길 바라본다  그게 뭐든 간에 가까이에 두고 먼 산만 바라본다  그게 대체 뭐라고 일단 미간을 찌푸리고 본다  생각이 꼬리를 문다 ,밤이 깊었네  방황하며 춤을 추는 불빛들  이 밤에 취해 흔들리고 있네요 ,나나나 나나나나 혼자라고 느낄 때  나나나 나나나나 혼자서 흐느낄 때  나나나 나나나나 혼자 있는 널 위해  나나나 나나나나 불러 줄게 이 노래 ,어느새 어른이 되었네 나도 모르게 얼룩이 졌네  세월 따라 걷다 보니 점점 때가 묻어 멀리 와 버렸네  살다가 당황해서 실은 방황했어  그래 그런 거지 같은 그저 그런 상황에서 인생의 정답을 찾지 못하고 설명만이 장황했어 ,어쩔 수가 없어 겉과 속이 다르게 살아야 돼  그게 뭐든 간에 마음 깊숙이에 꾹꾹 눌러 담아야 돼 모가 난 돌이 정에 맞잖아 뭐를 숨기고 참아야 돼 그렇게 살아가야 돼 살다 가야 돼,얼마나 살았을까 (얼마나 살았을까)  얼마나 남았을까 (얼마나 남았을까)  어디까지 왔을까 (어디까지 왔을까)  어디로 가는 걸까 (어디로 가는 걸까) ,밤이 깊었네  방황하며 춤을 추는 불빛들  이 밤에 취해 흔들리고 있네요 ,나나나 나나나나 혼자라고 느낄 때  나나나 나나나나 혼자서 흐느낄 때  나나나 나나나나 혼자 있는 널 위해  나나나 나나나나 불러 줄게 이 노래
					",랩/힙합,happiness: 10.2% love: 8.2% neutral: 65.3% sadness: 16.3%,happiness
844268,장윤정,꽃,짠짜라,"
							날 찾아 오신 내님 어서 오세요 당신을 기다렸어요 라이 라이야 어서오세요 당신의 꽃이 될래요 어디서 무엇하다 이제 왔나요 당신을 기다렸어요 라이 라이야 어서오세요 당신의 꽃이 될래요 사랑의 꽃씨를 뿌려 기쁨을 주고 서로 행복 나누면 니이 라이 라이 라이 라이야 당신은 나의 나무가 되고 니이 라이 라이 라이 라이야 나는 당신의 꽃이 될래요 날 찾아오신 내님 어서 오세요 당신을 기다렸어요 라이 라이야 어서오세요 당신의 꽃이 될래요 어디서 무엇하다 이제 왔나요 당신을 기다렸어요 라이 라이야 어서오세요 당신의 꽃이 될래요 사랑의 꽃씨를 뿌려 기쁨을 주고 서로 행복 나누면 니이 라이 라이 라이 라이야 당신은 나의 나무가 되고 니이 라이 라이 라이 라이야 나는 당신의 꽃이 될래요 나는 당신의 꽃이 될래요 
",성인가요/트로트,neutral: 84.0% love: 4.0% happiness: 12.0%,happiness
31175119,TWICE (트와이스),Dance The Night Away,Summer Nights,"
							라라라라라라라 라라라라라라라 You and me in the moonlight 별 꽃 축제 열린 밤 파도 소리를 틀고 춤을 추는 이 순간 이 느낌 정말 딱야 바다야 우리와 같이 놀아 바람아 너도 이쪽으로 와 달빛 조명 아래서 너와 나와 세상과 다 같이 Party all night long yeah it’s good If you wanna have some fun 짭짤한 공기처럼 이 순간의 특별한 행복을 놓치지마 One two three let’s go 저 우주 위로 날아갈 듯 춤추러 가 Hey Let’s dance the night away Let’s dance the night away One two three let’s go 저 바다 건너 들릴 듯 소리 질러 let’s dance the night away Dance the night away Let’s dance the night away Dance the night away Let’s dance the night away You and me in this cool night 미소 짓는 반쪽 달 그 언젠가 너와 나 저 달 뒷면으로 가 파티를 열기로 약속 yeah it’s good If you wanna have some fun 은빛 모래알처럼 이 순간의 특별한 행복을 놓치지 마 One two three let’s go 저 우주 위로 날아갈 듯 춤추러 가 Hey Let’s dance the night away Let’s dance the night away One two three let’s go 저 바다 건너 들릴 듯 소리 질러 let’s dance the night away 오늘이 마지막인 듯 소리 질러 저 멀리 끝없이 날아오를 듯 힘껏 뛰어 더 높이 오늘이 마지막인 듯 소리 질러 저 멀리 쏟아지는 별빛과 Let’s dance the night away Let’s dance the night away One two three let’s go 저 바다 건너 들릴 듯 소리 질러 let’s dance the night away Let’s dance the night away Dance the night away Dance the night away Dance the night away Let’s dance the night away 
",댄스,neutral: 56.0% happiness: 20.0% love: 16.0% sadness: 4.0% enthusiasm: 4.0%,happiness
37487396,차노을,Happy (Prod. Hedyy),Happy,"
							나는 2학년 차노을 차미반의 친구 춤 추고 랩하는 걸 좋아하는 친구 나를 보면 인사 건네줘  반갑게 먼저 말을 걸어줘,어른들이 자꾸 물어봐 커서 뭐가 되고 싶은 지를 물어봐 정말 힘든 질문이야 답이 너무 많아 먹고 싶은 게 많아서 꿈도 너무 많아,나쁜 사람 체포하는 경찰 위용위용 불끄는 소방관 지금처럼 랩을하는 래퍼 얍!얍!얍! 멋진 태권도장 관장,뭐가 됐든 행복하면 됐지 뭐가 됐든 함께라면 됐지 사실 내가 진짜 되고 싶은 건 세상에서 가장 행복한 사람,나는 할래 행복할래 뭐가 됐든 나는 행복하게 살래 나는 할래 행복할래 뭐가 됐든 나는 행복하게 살래,나는 서른다섯 차성진 차노을의 아빠 딸린 애가 셋이라 먹고사는 게 바빠 인생은 잘 몰라 아직도 답을 몰라 그래서 그런가 아직은 사는 게 참 고달파,주변에서 자꾸 물어봐 노을에게 뭐를 시킬 거냐 물어봐 정말 쉬운 질문야 답은 오직 하나 노을이가 자기 삶을 선택하는 것,어차피 나도 인생은 지금이 첨야 뭐딱히 가르칠 것이 있다면 말야 수많은 얘기 수많은 말들 속에서 내 길을 걸어갈 때 나만의 소리를 들어주기 나라는 사람을 사랑하기,뭐가 됐든 행복하면 됐지 뭐가 됐든 함께라면 됐지 사실 내가 진짜 주고 싶은 건 세상에서 제일 너를 믿는 사람,나는 할래 행복할래 뭐가 됐든 나는 행복하게 살래 나는 할래 행복할래 뭐가 됐든 나는 행복하게 살래,나는 할래 행복할래 뭐가 됐든 나는 행복하게 살래 나는 할래 행복할래 뭐가 됐든 나는 행복하게 살래 
",랩/힙합,neutral: 60.0% happiness: 31.1% sadness: 2.2% enthusiasm: 2.2% love: 4.4%,happiness
5515283,비투비,울면 안 돼,The Winter's Tale,"
							A while back there was the  happiest couple in the entire world  However It was said that their love  could not last forever  I wonder How are the two spending  their time these days  아름다웠던 눈이 부시던  너와 함께 한 지난겨울  내게 주었던 서툰 편지와  어설픈 첫 기념일 선물  날 안아주면 두 손 잡아주면  내 맘까지 다 녹았는데  이젠 내가 아닌 그와 이젠 내가 아닌 그와 겨울을 보내겠죠 아직도 눈이 내리면 뜨겁던 네 눈물 잊지 못해 미안해 아직도 너를 사랑해 하지만 이젠 널 보낼게 행복해야 돼 난 그거면 돼 날 떠난 만큼 넌 행복해야 돼 이젠 나 아닌 그 사람 곁에선 울면 안 돼 넌 울면 안 돼 늘 웃어야 돼 저 흰 눈처럼 환하게 네 미소로 온 세상을 덮어줘 난 그거면 돼 내 맘도 편할 수 있게 행복해 시간 앞에서 조급해져 가 급해질수록 성급해져 가 난 괜찮으니 행복해 너만 입가에 미소를 끊지는 마 시린 계절이 가고 봄이 오면 잊혀지겠죠 그런 눈으로 관찰 마 난 괜찮아 안 괜찮아 Uh 혹시나 혹시나 하고 네가 오기만을 기다렸지만 역시나 역시나 이젠 괜찮다는 거짓말 다 겁이 나 너 없이 난 네가 오길 바라는 건 아니지 다시 부활하기 힘든 Never ending story Nah 이별이 슬픈 사랑은 처음이었어 해마다 겨울이 추워지는 이윤 없어 아직도 눈이 내리면 뜨겁던 네 눈물 잊지 못해 미안해 아직도 너를 사랑해 하지만 이젠 널 보낼게 행복해야 돼 난 그거면 돼 날 떠난 만큼 넌 행복해야 돼 이젠 나 아닌 그 사람 곁에선 울면 안 돼 넌 울면 안 돼 늘 웃어야 돼 저 흰 눈처럼 환하게 네 미소로 온 세상을 덮어줘 난 그거면 돼 내 맘도 편할 수 있게 행복해 먼 훗날 우연히 스치는 바람에 네 미소가 묻어 있다면 First snow of the year still reminds me of you But now I can say that I'm over you 나도 더는 울지 않을게 I don't wanna cry no more I don't wanna cry no more 행복해야 돼 난 그거면 돼 날 떠난 만큼 넌 행복해야 돼 이젠 나 아닌 그 사람 곁에선 울면 안 돼 넌 울면 안 돼 늘 웃어야 돼 저 흰 눈처럼 환하게 네 미소로 온 세상을 덮어줘 난 그거면 돼 내 맘도 편할 수 있게 행복해 
",댄스,love: 21.8% sadness: 25.5% neutral: 34.5% happiness: 16.4% enthusiasm: 1.8%,happiness
35745727,원슈타인,Love Song,World Peace Project Vol.2,"
							넌 마치 피아노 위에 깜빡 졸고 있는 예쁜 멜로디 같애 깨워주고 싶다 가도 눈을 감고 있는 그 모습에 Oh Oh Oh 너를 더 알고 싶어 들어봐 ABC 아님 One Two Three 모든 걸 다 말해줄래 그럼 넌 Let me see what I want to see 다 보여주고 싶어 보여줄 수 있어 넌 저기 저 별보다 빛나 눈을 감아봐도 You're my one And only love everyday Love you like a Love song La La La La La Love you like a Love song 둘이서 All day 저기 저 많고 많은 노래 속 우리가 스며드네 달콤하게 노래할래 너와 함께 Love song 넌 그냥 흥얼거리기만 해 반주가 없어도 예쁜 아카펠라 Song 계이름은 Love you and love me back 손가락 튕기네 꿈이라면 자는 시간 아까워 잠깐만 Time is still 우리 편이지 빨리 갈 필요는 없지 그러면 Let me be what I want to be 있는 그대로가 그대로가 좋아 넌 Yeah 나의 별이 되어줘 말하지 않아도 One and only love Love you like a Love song La La La La La Love you like a Love song 둘이서 All day 저기 저 많고 많은 노래 속 우리가 스며드네 달콤하게 노래할래 너와 함께 Love song 이른 아침 너와 밥을 먹을 때에 늦은 저녁 함께 영화를 볼 때 이 노래에 다 담겨있어 전해져 전에 없던 Special thing Yeah 매일 같이 Singing Love you like a Love song La La La La La 너와 내가 둘이서 부르는 Love song 저기 저 많고 많은 노래 속 우리가 스며드네 달콤하게 노래할래 Baby I love you Like a love song love song Love song love song Love song love song 하루종일 노래해도 돼 Like a love song love song Love song love song Love song love song 한 번 더 들어볼까 
",R&B/Soul,neutral: 56.7% love: 6.7% happiness: 20.0% sadness: 10.0% enthusiasm: 3.3% anger: 3.3%,happiness
35355968,윤하 (YOUNHA),비 오는 날 듣기 좋은 노래,비 오는 날 듣기 좋은 노래,"
							비가 오고 네가 생각 나 비가 오고 비가 오고 슬픈 음악이 흐르면 옛 노래처럼 네가 생각 나 네가 생각 나 비가 오고 잠이 안 오고 슬픈 음악이 흐르면 옛 가사처럼 네가 생각 나 네가 생각 나 네가 생각 나 뭐해 어떻게 지내 뭐 너의 하늘은 늘 푸르겠지만 나만 이래 어떡해야 돼 어 이젠 지겨운데 난 또 널 생각해 널 기억해 잠 못드는 밤에 우우우 라디오에 흐르는 노래에 또 내마음엔 비가 오고 비가 오고 슬픈 음악이 흐르면 옛 노래처럼 네가 생각 나 네가 생각 나 비가 오고 잠이 안 오고 슬픈 음악이 흐르면 옛 가사처럼 네가 생각 나 네가 생각 나 네가 생각이 날 땐 우우우 아무도 없는 창밖에 우우우 너의 이름을 크게 불러봐 언젠가 들릴까봐 비가 오고 비가 오고 슬픈 음악이 흐르면 옛 노래처럼 네가 생각 나 네가 생각 나 비가 오고 잠이 안 오고 슬픈 음악이 흐르면 옛 가사처럼 네가 생각 나 네가 생각 나 네가 생각 나 비 오는 날에 듣기 좋은 노래 자꾸만 더 늘어가네요 비가 오고 슬픈 음악이 흐르면 옛 노래처럼 네가 생각나 네가 생각나 비가 오고 잠이 안 오고 슬픈 음악이 흐르면 옛 가사처럼 네가 생각 나 네가 생각 나 네가 생각 나 네가 생각 나 
",R&B/Soul,neutral: 73.0% happiness: 16.2% love: 5.4% sadness: 5.4%,happiness
34787226,주호,내가 아니라도,내가 아니라도,"
							사랑이었다 별거 없던 내 하루에 빛이 돼준 단한 사람 나보다 나를 더 아껴 주던 너를 그땐 왜 몰랐을까 행복이었다 다시는 없을 것 같던 잠시나마 행복했었다 다른 사람 곁에 있는 널 생각해 본 적 없지만 이젠 너를 보내줘야 할 것 같아 내가 아니라도 눈부시게 사랑받았을 너라서 그 소중한 시간을 나와 함께해 줘서 고마웠어 예쁘고 아름다웠던 너의 그날에 함께했던 그 모든 순간이 행복했어 내 전부였다 무엇도 바꿀 수 없던 우리라서 행복했었다 다른 누구라도 나보다 더 좋은 사람 만나서 이젠 나를 잊고 행복하게 살아 내가 아니라도 눈부시게 사랑받았을 너라서 그 소중한 시간을 나와 함께해 줘서 고마웠어 예쁘고 아름다웠던 너의 그날에 함께했던 그 모든 순간이 행복했어 어두웠던 내 하루에 빛이 되어주던 그날들을 어떻게 잊고 살아 과분했던 너라는 사람을 만나 누구보다 사랑했었다 내가 아니었다면 눈부시게 사랑받았을 너란 걸 이 세상에 누구보다 더 잘 알아서 미안했어 너와 함께한 날들이 더 말할 게 있을까 행복한 기억만 가져갈게 
",발라드,sadness: 18.2% love: 33.3% neutral: 33.3% happiness: 15.2%,happiness
