곡 ID,아티스트,곡 이름,앨범,가사,장르,감정 비율,최종 감정 분류
33930394,이하이,머리어깨무릎발 (Feat. 원슈타인),4 ONLY,"
							넌 나를 얼마나 생각해 음 솔직하게 네 마음을 열어볼 수 있다면 좋을 텐데 그러니 말로 해줘 굳이 둘러볼 필요 없지 주위 다른 여자는 관심 주지 말고 나만 봐 I’m sorry 사랑 원래 이기주의 높일게 우리 사이 수위 네 주위에 이만한 여자 봤어 I got what you need 내 머리 어깨 무릎 발 그만큼 사랑해 줘 내 머리 어깨 무릎 발 You know what I mean 내 머리 어깨 무릎 발 중 어디가 좋아 내 머리 어깨 무릎 발 sorry not sorry 내 머리 어깨 무릎 발 Um 내 머리 어깨 무릎 발 순서대로 yeah 내 머리 어깨 무릎 발 네가 뭘 원하든 내 머리 어깨 무릎 발 너의 그 머리 어깨 무릎 WOO 그거 받고 난 내가 사랑한다면 너의 다른 부분들까지 안고 살아갈 수 있다고 그래 난 AI 로봇 같은 뻔한 ANSWER 그래도 계속 잘 다루는 널 보면 you are early adopter doctor I don't know what to say do you really think she needs me 죽도록 사랑하냐는 질문을 했지 끄덕이며 대답하는 나를 향해 Breathe 혹시 She ain't going home when she post to be 내 머리 어깨 무릎 발 머리 어깨 무릎 발 내 머리 어깨 무릎 발 You know what I mean 내 머리 어깨 무릎 발 난 내 머리 어깨 무릎 발 sorry not sorry 내 머리 어깨 무릎 발 머리 어깨 무릎 발 내 머리 어깨 무릎 발 머리 순서대로 yeah 내 머리 어깨 무릎 발 머리 어깨 무릎 발 내 머리 어깨 무릎 발 너의 그 머리 어깨 무릎 WOO 도저히 잊을 수 없을걸 넌 나의 목소리부터 자태 그때 맞잡았던 너의 두 손이 Babe you make me 목에서 등까지 날 쓸어넘기는 손이 나른한 너의 두 눈이 Yeah I know it Don’t u want me 선물 뒀으니 원하면 가져가 네 마음대로 네 마음대로 네 마음대로 결국 내 마음대로 
",R&B/Soul,neutral: 71.4% love: 19.0% sadness: 9.5%,love
34808763,NCT DREAM,Replay (내일 봐),Glitch Mode - The 2nd Album,"
							uh huh Gotta do gotta do Bring it 1 2 3,ooh 넌 숨막히게 좋은 Movie 한 장면인 걸 네가 손을 흔들며 저 멀리 내게로 오면 아니 훨씬 그전부터 내 마음은 Getting started 네 모든 걸 새겨두지 너는 모르지만,uh you 서둘러 내게 다가와 미안한 표정 짓고 있는 것도 다 eh 꼭 메뉴를 고르기 전 Like 1 2 고민하는 것조차 uh,yeah 꼭 나만 바라볼 수 있는 특별한 기분이라 아무도 모르게 혼자 들떠 별게 다 별것 같아,oh oh 어느새 난 널 눈에 담았던 곳에서 Frame out oh oh 이제는 널 볼 수 없지만 uh,또 한 번 Replay 너와의 하루 babe 선명한 그날들 Tell me 되감아보는 매일 밤 밤을 새 Replay 정해진 결말 위 babe 행복했던 시간 속의 우리 되돌려보는 매일 밤,(Play play play play oh) 밤을 지워버린 Magic 너로 인해 생겨난 New habit yeah I got a habit girl ah (Play play play play oh) 꿈이 말을 거는 Magic 끊어내고 싶지 않은 Habit 널 꺼내보는 매일 밤,소리 내서 Ha ha 네가 웃으면 듣기 좋은 La la 노래 같은 걸 이 장면 속에 All night all night 맘이 춤추다 baby All night all night 다시 슬퍼져 baby,Mic camera action go 널 웃게 할 말이 이렇게 많은데 My god oh no 왜 널 울리곤 한 걸까,oh oh 눈을 감고 겨우 날 타일러 잠에 들려다 oh oh 결국 널 또 불러내 보면 uh,또 한 번 Replay 너와의 하루 babe 선명한 그날들 Tell me 되감아보는 매일 밤 밤을 새 Replay 정해진 결말 위 babe 행복했던 시간 속의 우리 되돌려보는 매일 밤,(1 2 3) Play play play play play the game 내 머릿속을 Hit hit 승패 없는 상상 속 Game 본 적 없는 네 얼굴 It was all a dream 헛된 상상만 반복해 내가 잠에 들기 전까지,Spin it spin it spin it spin it You’re so pretty pretty 빙글 돌게 해 난 멀미 Silly silly me I spill it ooh um 내 머린 Your playground playground You got that you got that magic,oooh 너를 상상하는 매일 oh uh uh baby,또 한 번 Replay 너와의 하루 babe 선명한 그날들 Tell me 되감아보는 매일 밤 밤을 새 Replay 정해진 결말 위 babe 행복했던 시간 속의 우리 되돌려보는 매일 밤,(Play play play play oh) 밤을 지워버린 Magic 너로 인해 생겨난 New habit yeah I got a habit girl ah (Play play play play oh) 꿈이 말을 거는 Magic 끊어내고 싶지 않은 Habit 되돌려보는 매일 밤
					",R&B/Soul,love: 15.6% neutral: 57.8% sadness: 11.1% happiness: 11.1% enthusiasm: 4.4%,happiness
36224661,BIG Naughty (서동현),"빠삐용,",호프리스 로맨틱,"
							Vancouver to Seoul 8시간 42분이 훌쩍 넘는 비행 뒤에 오랜만에 밟는 서울 땅이 차갑지 않게 데워놨어 널 위해 적당히 반가운 척을 하며 지은 어색한 미소 뒤에 터지기 직전인 심장을 감추려 숨었지 비겁하게 오토튠 위에 감정의 찌꺼기 앞으로 내 사전에서 낭만은 삐처리 이 앨범은 땡처리 딱히 하고픈 말이 없어서 이리저리 왔다 갔다 해 맛이 갔다 왜 너무 간단해 넌 마치 사다리 너를 따라 쭉 그었는데 마지막에 꺾이는 선은 나를 괴롭히지 정말 지독하게 어제는 네가 탄 비행기에서 폭탄이 터지는 꿈을 꾼 채로 지옥을 다녀왔어 난 그제는 아침에 네가 옆에 있는 꿈을 간직하려 억지로 뜬 해를 못 본 척했어 난 Frank Ocean에서부터 Vancouver 마지막 시까지 너의 바짓가랑일 아직 못 놔서 마침표 뒤에 찍어놨었지 작지만 큰 너를 꼭 닮은 쉼표 하나를 너를 십 년 만에 마주했을 때 어떤 표정을 지을지 매일 고민해 벌써부터 어떤 옷을 입을지 꽃은 과한지 아님 뭐가 좋을지 근데 넌 그런 내 앞에 다 와가는 터널의 끝에 다 알면서 아무렇지 않게 그때 난 묻었어 낭만을 깊은 추억 속에 Vancouver to Seoul 8시간 42분이 훌쩍 넘는 비행 뒤에 오랜만에 밟는 서울 땅이 차갑지 않게 데워놨어 널 위해 적당히 반가운 척을 하며 지은 어색한 미소 뒤에 터지기 직전인 심장을 감추려 숨었지 비겁하게 오토튠 위에 내게 사랑의 의미를 알려준 너를 그리며 쓴 노래가 사랑을 받고 더 큰 사랑을 배운 나는 더 큰 사람이 되어 너의 품을 떠나려 해 This is a last call 넌 내 이야기에 전부였지만 이젠 마침표를 채워 넣었으니까 I’ll be your friend forever 앞에 소년은 없으니 걱정하지 마 
",R&B/Soul,neutral: 63.8% sadness: 21.3% love: 12.8% enthusiasm: 2.1%,sadness
30383766,종현 (JONGHYUN),따뜻한 겨울 (Our Season),종현 소품집 '이야기 Op.2',"
							따뜻한 겨울이 다시 돌아왔어 코트에 목도리 스웨터 벙어리 장갑 그런 게 없어도 사실 난 전혀 안 추워 내 곁엔 항상 너 항상 너 곁에 있으니 우리 솔직해져 볼까  내게 실망한 적 있지 맞아 나도 너에게 상처받았던 적 있지 따뜻한 겨울에 눈 녹아 사라지듯이 지금은 그것도 다 추억이 돼줬지만 고마운 마음이 자꾸 많이 남아서 내게 해줬던 그 말이 귓가에 맴돌아서 오늘도 전혀 안 추워 따뜻한 이 겨울엔 내 곁엔 항상 너 항상 너 곁에 있으니 새하얀 입김 또 흩뿌려지고 꽁꽁 언 두 손 주머니 속에 꼭꼭 감춘 채 걸었던 날엔 이런 날 올 줄 정말 몰랐어 마치 꿈속인 것만 같아 다시 돌아온다는 말 참 예쁜 말이지 다시 또 만날 그 날이  약속된 안녕인 거니까 따뜻한 겨울이 나에게 돌아왔듯이 네 맘도 언제나 내 곁을 돌고 있으니 고마운 마음이 자꾸 많이 남아서 내게 해줬던 그 말이 귓가에 맴돌아서 오늘도 전혀 안 추워 따뜻한 이 겨울엔 내 곁엔 항상 너 항상 너 곁에 있으니 있잖아 나 항상 하는 말이지만 입버릇처럼 달고 사는 말이지만 참 고마워 부족한 날 그대로 아껴줘서 덕분에 내 평생이 따뜻해 고맙다는 말 꼭 전하고 싶었어 내게 해줬던 그 말 돌려주고 싶었어 오늘도 전혀 안 추워 너와 함께한 겨울 내 곁엔 항상 너 내 옆에 있으니 내 곁엔 항상 너 네가 있으니 
",R&B/Soul,sadness: 19.5% neutral: 56.1% anger: 2.4% love: 19.5% enthusiasm: 2.4%,sadness
35058036,투모로우바이투게더,Lonely Boy (네 번째 손가락 위 타투),minisode 2: Thursday's Child,"
							Lonely boy stayin’ lonely 미련뿐인 이별이 Lonely boy stayin’ lonely She ain’t my one and only,괜히 만지작거려 나만 홀로 남아 여기 없어 너는 gone 남긴 흔적마저 lonely 날카로운 바늘로 찍어 남긴 건 손가락뿐만이 아냐 내 마음까지도,깊게 찔러 날 마구 살갗을 파고든 너의 말은 cruel 반지를 대신해 자리한 자국 네 번째 손가락 위 너란 타투,Lonely boy stayin’ lonely 바뀌지 않을 story Lonely boy stayin’ lonely 미련뿐인 이별이,싫어 이젠 I don’t need it 낫지 않을 네 흔적이 Standing here alone,Lonely boy stayin’ lonely She ain’t my one and only, one and only  Stayin’ lonely, stayin’ lonely, stayin’ lonely Lonely, stayin’ lonely, stayin’ lonely, stayin’ lonely,손깍지 끼면 하나가 됐던 외롭게 남겨진 반쪽짜리 star Tell me about the meaning 없어 그딴 거 잃어버린 의미 돼버린 낙서,Yeah I was stupid 왜 그랬을까 그땐 이젠 추억도 못 해 내버려 둘 수밖에,Lonely boy stayin’ lonely 네 곁에 머문 memories Lonely boy stayin’ lonely 남겨진 건 이별인,싫어 이젠 I don’t need it 낫지 않을 네 흔적이 Standing here alone,Lonely boy stayin’ lonely She ain’t my one and only, one and only  Stayin’ lonely, stayin’ lonely, stayin’ lonely Lonely, stayin’ lonely, stayin’ lonely, stayin’ lonely,Stayin’ lonely, stayin’ lonely, stayin’ lonely Stayin’ lonely
					",R&B/Soul,neutral: 66.7% sadness: 16.7% love: 5.6% anger: 11.1%,sadness
34808762,NCT DREAM,잘 자 (Teddy Bear),Glitch Mode - The 2nd Album,"
							In case you’re up late, don’t wait it’s just natural, uh yeah, cross minds, keep still (keep still) 할려고 하지 말고 맡겨 Girl Watch your step,늦은 밤이야 You know 잠들지 못한 거니 내 옆으로 와 누워 포근한 이불 속에 숨어 oh girl 너만의 하룰 모두 들려줘 알고 싶어 내게만 말해봐,토닥 토닥 리듬 속 숨소릴 맞춰가고 떠오르는 생각은 천천히 머릴 넘기는 손길 따라서 지워가 아무 걱정 말고 눈 감으면 돼,불빛이 꺼진 도시의 밤은 멀리 널 데려가 손을 놓치지 않을 테니까 가자 Into your dream,잘 자 오늘도 아주 깊은 꿈에서 만나 yeah 둘만 아는 세상에서 우린 함께 있을 거야 어둠이 오면 내 품에 널 숨길 테니까 yeah 혼자 남겨진다 해도 네 머리맡을 지킬게 깊게 잠들어 꿈에서 만나,어떤 고민이 널 괴롭히러 오면 다 나에게 맡기면 돼 My babe oh you babe 너 대신 아플 수 있음 해 푹 잠들 수 있게 Whenever,긴 밤이 영원할 것만 같아 겁이 날 때마다 나와 새벽을 함께 건너자 달의 저편으로,잘 자 오늘도 아주 깊은 꿈에서 만나 yeah 둘만 아는 세상에서 우린 함께 있을 거야 어둠이 오면 내 품에 널 숨길 테니까 yeah 혼자 남겨진다 해도 네 머리맡을 지킬게 깊게 잠들어 꿈에서 만나,아침이 되면 모든 게 꿈처럼 사라지겠지 (날 기억해 줘) 그래도 난 괜찮아 널 지켜줄 수 있어 좋은 걸 그게 내 행복이니까 For you,자 눈을 감아봐 아주 깊은 꿈에서 만나 yeah (I just wanna be with you) (oh love) 함께 있는 이곳에선 (All night long) 우린 같은 꿈을 그려 (Just want to be your babe),내일이 오면 (baby you) 햇살이 널 깨울 테니까 yeah 돌아보지 말고 걸어 (곁에서) 난 너의 꿈을 지킬게 이젠 눈을 떠 다시 또 만나
					",R&B/Soul,neutral: 59.5% love: 7.1% sadness: 14.3% enthusiasm: 16.7% happiness: 2.4%,enthusiasm
35540851,BIG Naughty (서동현),연애의 발명 (웹툰 '연애의 발견' X BIG Naughty (서동현)),연애의 발명 (웹툰 '연애의 발견' X BIG Naughty (서동현)),"
							밤에 일 끝나자마자 바로 네게 전화 걸게 일이 일찍 끝났으니까 있는 데로 내가 갈게 거절은 거절할게 그냥 진짜 잠깐이면 돼 굳이 화장을 안 해도 예쁜 얼굴 보러 갈게 알잖아 친구 앞에 여자가 붙을 때의 그 감정 그건 마치 연애의 발견 보다는 발명에 가까워 왜냐면 사람이 순간 되어 버리지 반려견 너를 보자마자 나는 네게 달려들어 네 표정이 안 좋으면 난 기다려 알려줘 누구야 너의 기분을 상하게 한 망할 놈이 누구야 아 그때 그 상사 놈 데려 와봐 아님 내가 가서 확 물어 뜯어줄까 찬성이 형님한테 전화 때려볼까 이렇게 한도 끝도 없이 유치해져 난 네 생각하면서 쓴 가사는 흑역사가 될 거야 아마 근데 이미 써버렸어 다 욕할걸 아마 근데 이건 그냥 우리 둘만의 드라마 이 OST 끝나면 키스신이 나와 밤에 일 끝나자마자 바로 네게 전화 걸게 일이 일찍 끝났으니까 있는 데로 내가 갈게 거절은 거절할게 그냥 진짜 잠깐이면 돼 굳이 화장을 안 해도 예쁜 얼굴 보러 갈게 I’ll just be your dog 네 표정이 안 좋으면 난 I’ll just be your dog 꼬리를 흔들어줄게 I’ll just be your dog 오늘은 퇴근이 왜 늦었어 I’ll just be your dog 나는 네 강아지가 아니야 맞지 혹시 그렇게 생각하는 거 아니지 맞지 내가 지금까지 깨있었던 건 아직 잠이 안 와서야 기다린 거 아닌 거 알지 그렇게 생각했다면 너는 김치국 원샷 해 버린 거야 아직 아무 사이 아니잖아 아니긴 뭘 네가 어제 그렇게 말했잖아 이따가 다시 전화해서 얘기하자고 오케이 밤에 일 끝나자마자 바로 네게 전화 걸게 일이 일찍 끝났으니까 있는 데로 내가 갈게 거절은 거절할게 그냥 진짜 잠깐이면 돼 굳이 화장을 안 해도 예쁜 얼굴 보러 갈게 
",R&B/Soul,sadness: 14.3% anger: 18.4% neutral: 63.3% love: 4.1%,anger
37125843,그루비룸 (GroovyRoom),"Yes or No (Feat. 허윤진 of LE SSERAFIM, Crush)",Yes or No,"
							What’s on your mind 넌 이미 알고 있잖아 궁금해 난 정말 뭔지 너의 맘이 Baby don’t smile 더 기다리기 지쳐 난 Look at my eyes (Ha) 지금이잖아 타이밍,Feel yourself, and free yourself (If you) feel me 말해줄래 Yes or No Feel yourself, and free yourself (If you) feel me 말해줄게 Yes or No,Do you wanna ride or die with me 어딜 가든지 따라와 줄 거야? 아니면서 계속 맴돌지 자꾸 내 주위를 좁혀가 우리 사이 I’ve never been the one to plead 'cause boys are cheap 차라리 끝내자 But I know 결국 다시 back on repeat,처음부터 달랐어 불길하게 달콤한 느낌 이미 난 흔들렸어 내 맘대로 되는 게 없어서 싫은데 좋아 So love, so pain,What’s on your mind 넌 이미 알고 있잖아 궁금해 난 정말 뭔지 너의 맘이 Baby don’t smile 더 기다리기 지쳐 난 Look at my eyes (Ha) 지금이잖아 타이밍,Feel yourself, and free yourself (If you) feel me 말해줄래 Yes or No Feel yourself, and free yourself (If you) feel me 말해줄게 Yes or No,이런 사이는 Not my taste 애매하게 흘리는 Night and day Don't play with me 넌 알고 있잖니 어서 빨리 Oh just let me know,What’s on your mind 전부 알고 싶어 난 언제까지 이렇게 날 애태울 셈이야 지금이야 순간 It’s time to decide I can't wait no more 다시 반복해 또,What’s on your mind 넌 이미 알고 있잖아 궁금해 난 정말 뭔지 너의 맘이 Baby don’t smile 더 기다리기 지쳐 난 Look at my eyes (Ha) 지금이잖아 타이밍,Feel yourself, and free yourself (If you) feel me 말해줄래 Yes or No Feel yourself, and free yourself (If you) feel me 말해줄게 Yes or No 
",R&B/Soul,neutral: 91.7% sadness: 4.2% anger: 4.2%,anger
37077261,NCT 127,나 홀로 집에 (Home Alone),Be There For Me - Winter Special Single,"
							이 겨울에 난 Home alone (alone alone) 내 포근한 방에서 혼자 놀고 싶은 하루 창문 밖은 추운 걸 (콜록콜록) 침대 위에 숨어서 겨울잠을 자고 싶어,Ring a ring, ring a ring “주말에 혼자서 너 뭐 하니?” 뭐 하긴 난 약속이 Full이지 대답 비슷비슷하게 둘러대,Dance with me, game with me 사실 달력은 텅 빈자리 Friend 미안해 나 홀로 바쁘지 Yeah,아무도 날 찾지 마요 Baby 밖은 추우니까 귤, 젤리, 초코 가득 채운 Basket 안고 영화나 볼까,이 겨울에 난 Home alone (alone alone) 내 포근한 방에서 혼자 놀고 싶은 하루 창문 밖은 추운 걸 (콜록콜록) 침대 위에 숨어서 겨울잠을 자고 싶어,Slide to the left, slide to the right, slide to the left 이불 위로 썰매 타 Slide to the left, slide to the right 이불 산을 쌓은 채 게으르고 싶은 날,Favorite, favorite 노는 게 제일 좋은 나이지 준비 땡, 탐험해 우리 집 보고 또 또 봐도 새롭지,Play with me, stay with me 나의 집이 나의 Bestie지 Oh 바라만 봐도 Lovely yeah (yoo!),OTT searching TV 또 Zapping 혼자 춤춰 Uploading a challenge 언제든 나의 보물섬에 Check-in 할 일은 참 집에서도 많지,알람 하나 없이 나 아침까지 매일 밤 원하면 새벽까지 뒹굴거려 봐 잠깐 Kiss scene은 Skip 해 Mwah,어느샌가 눈이 내린 거리 잠시 창밖을 봐 (Yeah yeah yeah) 손 시린 거릴 걷기보단 역시 멜로 (Alright) 영화나 볼까 (잠들 때까지),이 겨울에 난 Home alone (alone alone) 내 포근한 방에서 혼자 놀고 싶은 하루 창문 밖은 추운 걸 (콜록콜록) 침대 위에 숨어서 겨울잠을 자고 싶어,Slide to the left, slide to the right, slide to the left 이불 위로 썰매 타 slide to the left, slide to the right 이불 산을 쌓은 채 게으르고 싶은 날,저 구름에 두 눈에 그린 소원과 창에 비춘 불빛들까지 At the end of the day 하얀 밤에 안겨 It’s a good good night oh,이 텅 빈 집에 나 홀로 (홀로 홀로) 아무것도 안 해도 그냥 집에 있고 싶어 혼자라도 좋은 걸 (alone alone) 한 겨울의 곰처럼 긴긴 잠을 자고 싶어,Slide to the left (하얀 겨울을 타고) Slide to the right  (예쁜 도시를 건너) Slide to the left (너무 따스한 겨울) 이불 위로 썰매 타 (Oh lovely so) Slide to the left (하얀 겨울을 타고) Slide to the right (예쁜 도시를 건너) 이불 산을 쌓은 채 (너무 따스한 겨울 Yeah) 게으르고 싶은 날 (Wah) 
",R&B/Soul,sadness: 44.9% neutral: 44.9% anger: 4.1% love: 6.1%,sadness
34779651,미노이 (meenoi),Tea time (Feat. 10CM),Tea time,"
							너를 미워하는 이유는 나한테 없어 사랑이 다 대신할 테니까 계절이 지나가고 돌아오듯이 다 그런 거겠지 아마도 지긋지긋해 너와 내 맘 사이 멀어지고 있는 소리 들려 따끈따끈 안 해 지난밤 사이 겨울이 겨울이 왔나봐 차가운 너의 손 호호 불어 내 주머니 속에 넣고 네 손가락 만지작대며 따뜻한 티타임 보내기로 했지 그럼 우린 다시 사랑스럽게 너를 사랑하는 이유는 나한테 없어 마음이 그래서 그런거지 뭐 다투고 또 다투고 투닥거려도 다들 그렇고 그런거지 뭐 삐끗 삐끗해 너와 내 맘 사이 멀어지고 있는 소리 들려 두근두근 안 해 지난밤 사이 겨울이 겨울이 왔나봐 시간이 지나가면 갈수록 네게 스며든 내 모습을 보며 널 미워하다가도 결국은 사랑하지 너 없는 봄 여름 가을 겨울은 생각하지 않아 차가운 너의 손 호호 불어 내 주머니 속에 넣고 네 손가락 만지작대며 따뜻한 티타임 보내기로 했지 그럼 우린 다시 사랑스럽게 
","R&B/Soul, 인디음악",sadness: 34.5% neutral: 48.3% love: 17.2%,sadness
