곡 ID,아티스트,곡 이름,앨범,가사,장르,감정 비율,최종 감정 분류
35354389,노을,내가 그댈,내가 그댈,"
							난 알고 있었죠 나를 떠나려고 준비해왔단 걸 그대 원망하진 않죠 이해할 수 있죠 모자란 나인걸 알아요 그대 맘에 난 없죠 그댈 채우기엔 나란 사람 평범한 거죠 그래요 이런 날이 온 거죠 끝내 나 그대 맘에 들지 못한 건가요 내가 그댈 놓아 볼게요 다신 찾지 않아요 우연히 그댈 보아도 모른척할게요 이제 다른 사람 만나면 이러지는 말아요 이대론 그 누구도 사랑할 수 없어요 그래요 그대 맘에 난 없죠 또다시 그댈 만날 거라 생각 안 해요 내가 그댈 놓아 볼게요 다신 찾지 않아요 우연히 그댈 보아도 모른척할게요 이제 다른 사람 만나면 이러지는 말아요 이대론 그 누구도 사랑할 수 없어요 나 처음 그댈 만난 설레임 정말 정말 후회가 돼요 Every time and every day 그댈 사랑했어요 아직도 난 그래요 하지만 그댈 다시는 찾지 않을 테죠 이제 다른 사람 만나면 이러지는 말아요 나는요 사랑할 수 없어요 이젠 
",발라드,neutral: 63.0% anger: 3.7% sadness: 25.9% love: 7.4%,sadness
34481684,아이유,러브레터,조각집,"
							골목길 머뭇하던 첫 안녕을 기억하오 그날의 끄덕임을 난 잊을 수 없다오,길가에 내린 새벽 그 고요를 기억하오 그날의 다섯시를 난 잊을 수 없다오,반듯하게 내린 기다란 속눈썹 아래 몹시도 사랑히 적어둔 글씨들에,이따금 불러주던 형편없는 휘파람에 그 모든 나의 자리에 나 머물러 있다오, 아끼던 연필로 그어놓은 밑줄 아래 우리 둘 나란히 적어둔 이름들에,무심한 걱정으로 묶어주던 신발끈에 그 모든 나의 자리에 나 머물러 있다오,좋아하던 봄 노래와 내리는 눈송이에도 어디보다 그대 안에 나 머물러 있다오,나 머물러 있다오 그대 울지 마시오
					",발라드,neutral: 47.4% sadness: 31.6% love: 15.8% happiness: 5.3%,sadness
35199553,WSG워너비 조별경연 (신선봉),행복한 나를,WSG워너비 조별경연,"
							몇 번인가 이별을 경험하고서 널 만났지 그래서 더 시작이 두려웠는지 몰라 하지만 누군갈 알게 되고 사랑하게 되는 건 네가 마지막이라면 얼마나 좋을까 나처럼 바쁜 하루 중에도 잠시 네 목소리 들으면 함께 있는 것처럼 너도 느껴지는지 매일 밤 집으로 돌아갈 때 그곳에 네가 있다면 힘든 하루 지친 네 마음이 내 품에 안겨 쉴 텐데 지금처럼만 날 사랑해 줘 난 너만 변하지 않는다면 내 모든 걸 가질 사람은 너뿐이야 난 흔들리지 않아 넌 가끔은 자신이 없는 미래를 미안해 하지만 잊지 말아 줘 사랑해 너와 함께라면 이젠 행복한 나를 바쁜 하루 중에도 잠시 네 목소리 들으면 함께 있는 것처럼 너도 느껴지는지 매일 밤 집으로 돌아갈 때 그곳에 네가 있다면 힘든 하루 지친 네 마음이 내 품에 안겨 쉴텐데 지금처럼만 날 사랑해줘 난 너만 변하지 않는다면 내 모든 걸 가질 사람은 너뿐이야 난 흔들리지 않아 넌 가끔은 자신이 없는 미래를 미안해 하지만 잊지 말아 줘 사랑해 너와 함께라면 이젠 행복한 나를 난 많은 기대들로 세상이 정해 놓은 사랑을 버리고 버리고 네 마음처럼 난 늘 같은 자리에 또 하나의 네가 되고 싶어 소중한 널 위해 지금처럼만 사랑해줘 항상 너만 변하지 않으면 내 전부를 가질 사람은 너뿐이야 난 흔들리지 않아 자신 없는 미래 넌 미안해하고 있니 넌 이제 혼자가 아니야 이젠 잊지마 너와 함께라면 언제나 행복한 나를 
",발라드,neutral: 46.5% sadness: 23.3% love: 20.9% happiness: 7.0% enthusiasm: 2.3%,sadness
37116939,홍이삭,I Love You (Prod. 김도훈),싱어게인3 - 무명가수전 Episode.12,"
							I love you, I love you 흔한 노랫말처럼  그렇게 서로 자주 했던 말 I love you, I love you 달콤했던   우린 이제는 결국 헤어졌지,I want you to stay stay 애원해도  I want you to stay stay 넌 떠나갔지 I love you I love you 처음 고백한 그때처럼  여전히 여전히 난 그대론데  ,I love you, I love you 모두 거짓말  나를 헤집고 더 아프게 하는 말  I hate you I hate you 네가 미워도 너를 떠나지 못해 여기 서있네    ,I want you to stay stay 애원해도  I want you to stay stay 넌 떠나갔지 I love you I love you  처음 고백한 그때처럼  여전히 여전히 난 그대론데  ,수많은 밤 수많은 우리 이야기 어떻게 널 잊을 수가 있겠니  I love you, I love you 마지막 붙잡을 때처럼   여전히 여전히 난 그대론데 ,Stay stay stay Stay stay stay I love you, I love you 혼자서 되새기는 이 말 여전히 여전히 난 그대론데,I love you, I love you 사랑한단 말 I love you, I love you 난 늘 똑같지,
",발라드,neutral: 72.2% sadness: 22.2% love: 5.6%,sadness
36442926,장혜진,그날 밤,그날 밤,"
							널 바라본 순간 알았어 오늘은 이별이구나 행복했던 날 힘들었던 날도 모두 기억할게 날 마지막으로 안아줘 잠시 그때로 돌아가 따뜻하게 바라봐 줘 마지막 인사는 웃으면서 하자 날 사랑한다 말해주던 그날 밤 날 보고 싶다 달려왔던 그날 밤 날 좋아한다 고백하던 그날 밤 아직 선명한데 아무 말 없이 안아주던 너에게 날 따뜻하게 위로하던 너에게 내 모든 것을 주고 싶던 너에게 안녕 안녕 마지막 안녕 난 모두 잊을 수 있을까 텅 비어있는 내 마음 무너져 내릴 때마다 날 위로해 주고 일으켜 세우던 너를 날 사랑한다 말해주던 그날 밤 날 보고 싶다 달려왔던 그날 밤 날 좋아한다 고백하던 그날 밤 아직 선명한데 아무 말 없이 안아주던 너에게 날 따뜻하게 위로하던 너에게 내 모든 것을 주고 싶던 너에게 이제 안녕 난 너 없는 하루가 아직 겁이 나는데 그때 네가 그리워 날 좋아하던 네 모습이 그리워 그날의 우리가 보고 싶어 우리가 처음 손을 잡던 그날 밤 날 안아주며 입 맞췄던 그날 밤 하나하나 잊을 수 없는 그날 밤 안녕 안녕 마지막 안녕 
",발라드,neutral: 54.5% sadness: 24.2% love: 21.2%,sadness
34481680,아이유,드라마,조각집,"
							나도 한때는 그이의 손을 잡고 내가 온 세상 주인공이 된 듯 꽃송이의 꽃잎 하나하나까지 모두 날 위해 피어났지,올림픽대로 뚝섬 유원지 서촌 골목골목 예쁜 식당 나를 휘청거리게 만든 주옥같은 대사들,다시 누군가 사랑할 수 있을까 예쁘다는 말 들을 수 있을까 하루 단 하루만 기회가 온다면 죽을힘을 다해 빛나리,언제부턴가 급격하게 단조로 바뀌던 배경음악 조명이 꺼진 세트장에 혼자 남겨진 나는,단역을 맡은 그냥 평범한 여자 꽃도 하늘도 한강도 거짓말 나의 드라마는 또 이렇게 끝나 나왔는지조차 모르게,끝났는지조차 모르게
					",발라드,neutral: 66.7% love: 11.1% sadness: 22.2%,sadness
37245921,마크툽 (MAKTUB),날 그만 잊어요,날 그만 잊어요,"
							난 이제 조금씩 그댈 잊어가나 봐요 가끔 웃기도 하는 걸 보니 조금 더 지나면 그댈 만나게 돼도 반가울 것 같아요 난 그런 마음에 그대 내게 남아있는 사진을 한 장씩 뒤적여 보다가 혹시나 그대는 또 나와 달라서 아직까지 혼자만 힘들어 할까 봐,날 그만 잊어요 그댈 보낸 못난 내 기억에 행복하지 못하면 안돼요 그대까지 날 그만 잊어요 난 왜 이제 까맣게 잊은 채 행복하게 잘 지낼 그대가 걱정되죠 아직도,아직도 모두 다 잊지 못한 건 가봐요 그대를 걱정하고 있는 걸 보니 날 버린 기억이 가슴에 남아서  혹시라도 나처럼 울기만 할까 봐,날 그만 잊어요 그댈 보낸 못난 내 기억에 행복하지 못하면 안돼요 그대까지 날 그만 잊어요 난 왜 이제 까맣게 잊은 채 행복하게 잘 지낼 그대가 걱정되죠 아직도,그 긴 시간 힘이 든 건  오 나만  내 맘 그 어디에 그대 남아 있어  마지막 한번만 날 위한 그대가  이제는 날 그만 떠나요,(날 잊어줘요 잊어줘요 모두) 그댈 못 내 잊은 채 힘들게 행복해져 보려는 날 위해서  날 그만 떠나요 그대 이제 내 맘에 이렇게 남은 채로 힘들게 하지 말고 떠나요 
","R&B/Soul, 인디음악",sadness: 50.0% love: 8.8% neutral: 32.4% happiness: 5.9% enthusiasm: 2.9%,sadness
35225993,NCT DREAM,"Sorry, Heart",Beatbox - The 2nd Album Repackage,"
							왜 이리도 쉽게 토라지는지 내 맘이 작아서 너무 한심하지? Don’t go 좀 심했던 걸 알아 또 후회 가득인 날 용서할 수 있니,어떻게 널 볼까 밤새 뒤척인 맘의 조각들 반짝이지 않아 난 알고 있는데 내가 할 수 있는 건 I’m sorry 그 말뿐이란 걸,Tell me why I let you down Any chance I get I’m breaking down 잘못인 걸 다 아는데 왜 힘든 걸까 To tell you that I’m Sorry, Heart,Nanana woo hmm Nanana woo hmm,넌 항상 내 곁에 있을 거란 그런 내 욕심이 너를 지치게 만든 걸까,고운 체를 걸러 적당한 단어만 찾고 있어 복잡한 핑계의 말,난 알고 있잖아 내가 해야 하는 건 I’m sorry 그 말뿐이란 걸 (내겐 그 말뿐이란 걸),Tell me why I let you down Any chance I get I’m breaking down 잘못인 걸 다 아는데 왜 힘든 걸까 To tell you that I’m Sorry, Heart,Nanana woo hmm Nanana woo hmm,Sorry if I'm too much Sorry if it's too fast Sorry I'm not holding back,Tell me why I let you down Any chance I get I’m breaking down 잘못인 걸 다 아는데 왜 힘든 걸까 To tell you that I’m Sorry, Heart,Nanana woo hmm Nanana woo hmm,Nanana woo hmm Nanana woo hmm
					",발라드,neutral: 57.9% sadness: 31.6% happiness: 5.3% anger: 5.3%,sadness
34908740,임영웅,우리들의 블루스,IM HERO,"
							잊지는 말아요 함께 했던 날들 눈물이 날 때면 그대 뒤를 돌아보면 돼요 아프지 말아요 쓸쓸한 마음에 힘든 일이 참 많았죠 그대에겐 내가 곁에 있을게요 그댈 위해 노래할게요 잊지 말아요 그댈 위해 약속할게요 언젠가 우리 시간 지나면 알게 되겠죠 그땐 웃을 수 있죠 나 약속할게요 그땐 미소 짓겠죠 작은 행복까지 모두 외롭고 지칠 때 손잡아 줄게요 슬픔이 짙어질 때면 위로해 줄 그 한 사람이 될게요 그대 부디 울지 말아요 슬퍼 말아요 그대에게 빛이 될게요 언젠가 우리 시간 지나면 알게 되겠죠 그땐 웃을 수 있죠 나 약속할게요 폭풍 속에 혼자 남아 헤매도 오 길이 되어 지킬게요 그대 그댈 위해 노래할게요 잊지 말아요 그댈 위해 약속할게요 어두운 길을 밝게 비추는 그대의 빛이 될게요 
",발라드,sadness: 37.5% neutral: 29.2% happiness: 12.5% love: 20.8%,sadness
36601187,이예준,잊는 법,잊는 법,"
							마지막 인사를 두고 돌아서는 뒷모습에 내게 소나기가 내려온다 그대 없는 나의 하루는 괜찮을까요,너무 사랑했던 내겐 전부였던 그댈 지우는 일 나는  한 번도 해본 적이 없어서 누가 잊는 법을 알려줄 순 없나요 슬픔이 날 아프게 해요,혼자 걷게 된 거리엔 온통 우리의 기억이 아픈 추억되어 내려온다 그대 없는 나의 매일은 참 힘드네요 ,너무 사랑했던 내겐 전부였던 그댈 지우는 일 나는  한 번도 해본 적이 없어서 누가 잊는 법을 알려줄 순 없나요 슬픔이 날 아프게 해요,잊을 수 있다고  별거 아니라고 다들 쉽게 말하지만   내겐 제일 어려운 일,벌써 보고 싶고 벌써 그리워서 주저앉아 울어 봐도 다신 그대 돌아오지 않겠죠 누가 참는 법을 알려줄 순 없나요 슬픔이 날 아프게 해요  아마 난 못 잊을 것 같아요..,
",발라드,neutral: 29.2% love: 12.5% sadness: 58.3%,sadness
31151836,숀 (SHAUN),Way Back Home,Take,"
							멈춘 시간 속 잠든 너를 찾아가 아무리 막아도 결국 너의 곁인 걸 길고 긴 여행을 끝내 이젠 돌아가 너라는 집으로 지금 다시 way back home 아무리 힘껏 닫아도 다시 열린 서랍 같아 하늘로 높이 날린 넌 자꾸 내게 되돌아와 힘들게 삼킨 이별도 다 그대로인 걸 oh oh oh 수없이 떠난 길 위에서 난 너를 발견하고 비우려 했던 맘은 또 이렇게 너로 차올라 발걸음의 끝에 늘 니가 부딪혀 그만 그만 멈춘 시간 속 잠든 너를 찾아가 아무리 막아도 결국 너의 곁인 걸 길고 긴 여행을 끝내 이젠 돌아가 너라는 집으로 지금 다시 way back home 조용히 잠든 방을 열어 기억을 꺼내 들어 부서진 시간 위에서 선명히 너는 떠올라 길 잃은 맘 속에 널 가둔 채 살아 그만 그만 멈춘 시간 속 잠든 너를 찾아가 아무리 막아도 결국 너의 곁인 걸 길고 긴 여행을 끝내 이젠 돌아가 너라는 집으로 지금 다시 way back home 세상을 뒤집어 찾으려 해 오직 너로 완결된 이야기를 모든 걸 잃어도 난 너 하나면 돼 빛이 다 꺼진 여기 나를 안아줘 눈을 감으면 소리 없이 밀려와 이 마음 그 위로 넌 또 한 겹 쌓여가 내겐 그 누구도 아닌 니가 필요해 돌아와 내 곁에 그날까지 I’m not done 
","인디음악, 일렉트로니카",neutral: 60.0% sadness: 20.0% enthusiasm: 2.9% love: 17.1%,sadness
34598904,황인욱,강변북로,강변북로,"
							강변북로 괜히 생각나는밤 뭐해 헤어지던 그 순간에도 널 바래다 주던 강변북로 니가 좋아했던 노래 처음 잡은 두손 마지막 흘렸던 눈물까지 왜 다 생각나는지 강변북로를 지나서 니가 있던 그곳에 왜 니가없어 난 왜 내곁에 없는 니가 또 생각나는지 강변북로를 지나서 아무리 달려봐도 니가 없는곳에 지금 너에게 가고싶다 나 혼자남은 강변북로 네가없는 우리 좋아했던 신촌역을 지나치다 너의 집 골목길 입맞추던 그때 생각나는지 강변북로를 지나서 니가 있던 그곳에 왜 니가없어 난 왜 내곁에 없는 니가 또 생각나는지 강변북로를 지나서 아무리 달려봐도 니가 없는곳에 지금 너에게 가고싶다 나 혼자남은 강변북로를 계속 달리면 니가 있을까 매달리면 받아줄까 이 마포대교를 지나 아무리 달리고 달려도 왜 왜 니가없어 날 떠나지마 너없인 안될것같아 그때로 돌아간다면 차라리 널 몰랐던 난 어땠을까 이젠 내곁에 없는 너를 다 지워야겠지 강변북로를 지나서 아무리 불러봐도 소리쳐도 니가없어 지금 너에게 가고싶다 나 혼자남은 강변북로 
",발라드,neutral: 50.0% sadness: 40.6% love: 6.2% happiness: 3.1%,sadness
