곡 ID,아티스트,곡 이름,앨범,가사,장르,감정 비율,최종 감정 분류
36603610,나훈아,기장갈매기,새벽 (SIX STORIES),"
							동쪽에서 바라보면 여섯 개로 보이고 서쪽에서 쳐다보면 다섯 개로 보이는 오륙도 돌고 돌며 나래 치는 내가 바로 내가 바로 기장 갈매기다 사랑 따윈 누가 뭐래도 믿지 않는다 이별 따윈 상관없다 떠나든 말든 어차피 사랑이란 왔다가는 파도처럼 가버리면 그만인 거야 오늘은 해운대서 사랑을 하고 내일은 영도에서 이별을 하고 또다시 남천동의 밤을 꼬신다 내가 바로 기장 갈매기다,내 청춘은 누가 뭐래도 의리 하나다 빈 주머닌 상관없다 없어도 그만 어차피 인생이란 밀물처럼 왔다가 썰물처럼 가버리는 것 오늘은 다대포에서 낙조에 취하고 내일은 송도에서 일출에 잠 깨고 내친김에 광안대교도 접수를 한다 내가 바로 기장 갈매기다 내가 바로 기장 갈매기다 내가 바로 기장 갈매기다,,,
",성인가요/트로트,neutral: 62.5% love: 29.2% sadness: 8.3%,love
36106329,송민준,정녕,미스터트롯2 데스매치 베스트 PART3,"
							당신은 나에게 할말이 없나요  아직도 나는 할말이 많은데  당신의 눈엔 한방울 눈물이  이별의 진실인가요  사랑은 정녕 무엇인가요  가슴 하나 태우면 그만인가요  이별은 정녕 무엇인가요  또 다른 만남의 시작인가요  돌아서는 그대 마지막 눈물에  나는 바람되어 웁니다  당신의 진실은 무엇인가요  나에겐 오직 당신 뿐인데  우리가 나눈 사랑의 기쁨이  이별을 막을 수는 없었나요  사랑은 정녕 무엇인가요  가슴 하나 태우면 그만인가요  이별은 정녕 무엇인가요  또 다른 만남의 시작인가요  돌아서는 그대 마지막 눈물에  나는 바람되어 웁니다  돌아서는 그대 마지막 눈물에 나는 바람되어 웁니다 당신은 나에게 할말이 없나요 아직도 나는 할말이 많은데 
",성인가요/트로트,sadness: 31.8% neutral: 50.0% love: 13.6% happiness: 4.5%,sadness
36241812,박서진,헛살았네,춘몽,"
							헛살았네 헛살았네 내가정말헛살았어 오는사람 마다하고 가는사람 왜 막지못했나 그놈의자존심이 무엇이길래 그때는 왜 몰랐을까  이만큼 살다보니 인생이 뭐 거기서거기지만 덜사랑했으면 덜미워했으면 이렇게이렇게 아프지않을걸 바보같은 생각이 내가슴을때린다 내가정말 헛살았네 헛살았네 헛살았네 내가정말헛살았어 오는사람 마다하고 가는사람 왜 막지못했나 그놈의자존심이 무엇이길래 그때는 왜 몰랐을까  이만큼 살다보니 인생이 뭐 거기서거기지만 덜사랑했으면 덜미워했으면 이렇게이렇게 아프지않을걸 바보같은 생각이 내가슴을때린다 내가정말 헛살았네 덜사랑했으면 덜미워했으면 이렇게이렇게 아프지않을걸 바보같은 생각이 내가슴을때린다 내가정말 헛살았네 내가정말 헛살았네 
",성인가요/트로트,love: 36.4% neutral: 36.4% sadness: 27.3%,love
35885437,정동원,뱃놀이,사내[MAN],"
							어기야 디여차 따뜻하게 입어라 신경 쓰이니까 오다 주웠다 받아 별거 아니니까 툭하고 던진 맘에 올라가는 입가 거친 내 매력에 너 납치된 거야 어머 어머 뭐니 어쩜 이렇게 좋니 흔들흔들 어질하도록 너를 격하게 아껴줄 테니 내게 맡겨 우리는 운명인 거야 나만의 님이 돼주오 떠가는 저 배 위에 함께 노닐 나의 님이 돼주오 저 푸른 바다 위에 어기야 디여차 사랑하는 나의 님과 어기야 디여 어기여차 뱃놀이 가잔다 영차 영차 노를 젓자 젓자 가자 가자 저 바다로 가자 저 달님이 부르는 우리의 노랫말은 물결 위에 뿌려져 물비늘 되는구나 어머 어머 뭐니 어쩜 이렇게 좋니 흔들흔들 어질하도록 너를 격하게 아껴줄 테니 내게 맡겨 우리는 운명인 거야 나만의 님이 돼주오 떠가는 저 배 위에 함께 노닐 나의 님이 돼주오 저 푸른 바다 위에 어기야 디여차 사랑하는 나의 님과 어기야 디여 어기여차 뱃놀이 가잔다 노을 진 하늘을 지나 휘영청 밝은 그 달이 걸린 밤하늘을 바라보다 해가 뜨는 새벽에도 우린 함께 그대여 나의 님이 되어 주오 그대의 님이 나 되게 해 주오 거친 바람이 불어도 지켜 줄 수 있게 나만의 님이 돼주오 떠가는 저 배 위에 함께 노닐 나의 님이 돼주오 저 푸른 바다 위에 어기야 디여차 사랑하는 나의 님과 어기야 디여 어기여차 뱃놀이 가잔다 어야 디여 (어야 디여) 어야 디여 (어야 디여) 닻을 올려 노를 저어서 가자 어야 디여 (어야 디여) 어야 디여 (어야 디여) 뱃놀이 가잔다 
",성인가요/트로트,neutral: 82.2% sadness: 2.2% love: 15.6%,love
37564216,박지현,사랑아,미스터로또 베스트 PART50,"
							사랑아 이제는 울지 말아요 내 맘이 너무 아파요 떠나야 하는데 나는 못 가요 그 눈물 가슴에 맺혀 사랑을 했던 우리 추억이 흐느껴 울고 있는데 가져선 안될 사랑이기에 이제는 멈춰야 해요 아 사랑아 사랑아 울면 안 돼요 그대 울면 나는 못 가요 아 이별아 이별아 아프지 않게 내 사랑 데려가 줘요,사랑아 이제는 슬퍼 말아요 슬픔에 목이 메어요 가야만 하는데 가지 못해요 그 슬픔 길을 막아요 사랑을 했던 우리 두 가슴 까맣게 타고 있는데 만나선 안 될 사랑이기에 여기서 멈춰야 해요 아 사랑아 사랑아 슬퍼 말아요 그대 슬픔 두고 못 가요 아 이별아 이별아 아프지 않게 내 사랑 데려가 줘요
					",성인가요/트로트,sadness: 47.6% love: 42.9% neutral: 9.5%,sadness
32560653,김호중,나보다 더 사랑해요,나보다 더 사랑해요,"
							서로 다른 길에 우리 둘의 만남은 돌아보니 꿈만 같아요 같은 시간 속에 우리는 서로의 삶에 멈춰버렸죠 바다처럼 깊어진 우리의 믿음 흔들리지 않아요 그댈 나보다 더 나보다 더 사랑해요 저기 별빛이 내리는 아래 고백할게요 그댈 나보다 더 나보다 더 사랑해요 그대 마음 받아주세요 맘이 힘든 날엔 말을 하지 않아도 언제나 내 편인 한사람 자신보다 나를 위해준 그 사람에게 난 부족한 사람 바다처럼 깊어진 우리의 믿음 흔들리지 않아요 그댈 나보다 더 나보다 더 사랑해요 저기 별빛이 내리는 아래 고백할게요 그댈 나보다 더 나보다 더 사랑해요 그대 마음 받아주세요 볕이 안 드는 고된 삶의 틈에도 손 내밀어 주세요 워 우린 별이 되어 달이 되어 세상이 끝나도 함께할 사랑 함께할 운명 그댈 사랑합니다 
",성인가요/트로트,neutral: 60.0% enthusiasm: 4.0% love: 28.0% sadness: 8.0%,love
34279647,정동원,잘가요 내사랑,"그리움, 아낌없이 주는 나무","
							오늘이 지나가면 우리는 다시는 볼 수 없겠죠 서로를 가슴속에 묻고서 또 하루 살아가겠죠 미안해요 잘해주지 못해서 나 때문에 고생만 해서 잘 가요 내 사랑 이젠 아프지 마요 잘 가요 내 사랑 다신 울지도 마요 그리워 그리워 너무 그리울 때면 눈물 한 방울로 잊어요 나나나나 나나나나 잊진 않을게요 나나나나 나나나나 잘 가요 내 사랑 비좁은 내 안에서 살면서 얼마나 힘들었나요 시간을 돌릴 수만 있다면 조금 더 사랑할 텐데 고마워요 이 못난 날 만나서 좋은 추억 만들어줘서 잘 가요 내 사랑 이젠 아프지 마요 잘 가요 내 사랑 다신 울지도 마요 그리워 그리워 너무 그리울 때면 눈물 한 방울로 잊어요 사랑해 사랑해 아껴둔 이 한마디 그댈 만나 행복했어요 나나나나 나나나나 잊진 않을게요 나나나나 나나나나 잘 가요 내 사랑 
",성인가요/트로트,neutral: 26.9% sadness: 53.8% love: 15.4% happiness: 3.8%,sadness
37820,남진,둥지,남진 35주년 기념,"
							너 빈자리 채워 주고 싶어  내 인생을 전부 주고 싶어  이제는 너를 내 곁에다 앉히고  언제까지나 사랑 할까봐 ,우리 더 이상 방황하지마  한눈 팔지마 여기 둥지를 틀어 ,지난날의 아픔은 잊어버려  스쳐 지나가는 바람처럼  이제 너는 혼자가 아니잖아  사랑하는 나 있잖아 ,너는 그냥 가만히 있어 다 내가 해 줄게  현실일까 꿈일까 사실일까 아닐까  헷갈리고 서 있지마 우 -,사랑이 뭔지 그동안 몰랐지  내 품에 둥지를 틀어봐 ,너 빈자리 채워 주고 싶어  내 인생을 전부 주고 싶어  이제는 너를 내 곁에다 앉히고  언제까지나 사랑 할까봐 ,우리 더 이상 방황하지마  한눈 팔지마 여기 둥지를 틀어 ,지난날의 아픔은 잊어버려  스쳐 지나가는 바람처럼  이제 너는 혼자가 아니잖아  사랑하는 나 있잖아 ,너는 그냥 가만히 있어 다 내가 해 줄게  현실일까 꿈일까 사실일까 아닐까  헷갈리고 서 있지마 우 -,사랑이 뭔지 그동안 몰랐지  내 품에 둥지를 틀어봐 ,내 품에 둥지를 틀어봐 - 
",성인가요/트로트,neutral: 58.6% love: 20.7% sadness: 13.8% enthusiasm: 6.9%,love
1726823,윤수일,아파트,골든 힛트곡 모음집 (사랑만은 않겠어요),"
							별빛이 흐르는 다리를 건너 바람 부는 갈대 숲을 지나 언제나 나를 언제나 나를 기다리던 너의 아파트 그리운 마음에 전화를 하면 아름다운 너의 목소리 언제나 내게 언제나 내게 속삭이던 너의 목소리 흘러가는 강물처럼 흘러가는 구름처럼 머물지 못해 떠나가 버린 너를 못 잊어 오늘도 바보처럼 미련 때문에 다시 또 찾아왔지만 아무도 없는 아무도 없는 쓸쓸한 너의 아파트,흘러가는 강물처럼 흘러가는 구름처럼 머물지 못해 떠나가 버린 너를 못 잊어 오늘도 바보처럼 미련 때문에 다시 또 찾아왔지만 아무도 없는 아무도 없는 쓸쓸한 너의 아파트 아무도 없는 아무도 없는 쓸쓸한 너의 아파트 아무도 아무도 없는 아무도 없는 쓸쓸한 너의 아파트,
",성인가요/트로트,love: 13.6% neutral: 40.9% anger: 4.5% sadness: 40.9%,sadness
36106330,안성훈,돌릴 수 없는 세월,미스터트롯2 데스매치 베스트 PART3,"
							곤히 잠든 그대 모습 지긋이 바라봅니다 함께한 날들 모두가 멈춘것만 같아요 꽃다운 날 나를 만나 모든걸 맡긴 사람 때론 속고 속는데도 떠나지 않은 사람 왜 이리 작아졌나요 늘 맘조린 탓인가요 왜 이리 가벼운가요 돌릴 수 없는 세월에 눈물이 나요 눈물이 흘러요 철없던 날 나를 만나 속 많이 썩은 사람 그 모두가 날 떠나도 믿어준 단 한사람 왜 이리 작아졌나요 늘 맘조린 탓인가요 왜 이리 가벼운가요 돌릴 수 없는 세월에 눈물이 나요 눈물이 흘러요 당신이 나를 살게한 사람이요 
",성인가요/트로트,neutral: 58.8% sadness: 41.2%,sadness
