곡 ID,아티스트,곡 이름,앨범,가사,장르,감정 비율,최종 감정 분류
5702706,Zion.T,꺼내 먹어요,Eat,"
							안녕 쉽지 않죠 바쁘죠 왜 이렇게 까지 해야 하나 싶죠 바라는 게 더럽게 많죠 그렇죠 쉬고 싶죠 시끄럽죠 다 성가시죠 집에 가고 싶죠 집에 있는데도 집에 가고 싶을 거야 그럴 땐 이 노래를 초콜릿처럼 꺼내 먹어요 피곤해도 아침 점심 밥 좀 챙겨 먹어요 그러면 이따 내가 칭찬해줄게요 보고 싶어 많이 좋아해요 더 많이 안아주고 싶어요 사랑 사랑 비슷한 걸 해요 어쩌면 정말 사랑해요 배고플 땐 이 노래를 아침 사과처럼 꺼내 먹어요 피곤해도 아침 점심 밥 좀 챙겨 먹어요 그러면 이따 밤에 잠도 잘 올 거에요 힘들어요 아름다워서 알아봐줘요 나를 흘려 보내지 마요 나를 사랑해줘요 날 날 놓치지 마요 
",R&B/Soul,neutral: 52.4% happiness: 9.5% sadness: 14.3% love: 23.8%,love
34486102,마크툽 (MAKTUB),낙원 (Last Eden),Red Moon : ∞,"
							수많은 밤 수많은 날 세상이 모르는 노랠 했어 저 별에게서 멜로디를 듣고 너의 기억을 불러와 가사를 쓰고 피아노 앞에 홀로 앉아 심장을 누르듯 건반을 쳤어 달빛 바람 아래 아무도 모르게 등대지기의 긴 밤 처럼 그렇게 너는 노래가 되어 꿈의 파편들로 세워진 탑 속에 안온히 머물러 오랜 소원을 비추며 숨 쉬고 있어 여명의 온기 심연의 소리 내 안에 가득한 너의 숨결이 어떤 이름들로 지켜질 수 있게 끝없는 마음을 띄울 뿐 그렇게 너는 노래가 되어 꿈의 파편들로 세워진 탑 속에 안온히 머물러 오랜 소원을 비추며 숨 쉬고 있어 오늘 밤 나의 내일이 되어 널 안은 채 자유의 Valhalla 로 기억의 강에 가라앉은 시간이 반대로 흐를 때 혼자가 아니야 난 혼자가 아니야 난 더 아름다운 내일을 위해 긴 여정 끝에 닿을 낙원을 위해 붉은 달을 위해 나의 너를 위해 
","R&B/Soul, 인디음악",neutral: 38.5% happiness: 11.5% love: 23.1% sadness: 23.1% enthusiasm: 3.8%,love
34626117,태연 (TAEYEON),품 (Heart),INVU - The 3rd Album,"
							이유도 모른 채 열을 앓던 긴 밤들 가려도 비치게 짙게 남은 잔상들,누구도 이런 날 사랑할 수 없는 게 꺼려지는 게 당연해 아파하는 날 더 괴롭혀 왔던 시간들,그댄 내 가장 감추고 싶었던 상처를 알아보고 그 위에 입을 맞추고 다정히 어루만져 낫게 해,텅 빈 내 맘 깊이 스며드는 온기 오래된 상처를 위로해 준 따스히 안아준 커다란 품,고요히 내린 밤비와 같이 덧난 내 기억을 낫게 해 준 온전히 날 위해 흘린 눈물,아직은 날 제대로 마주하긴 힘들지 낯설기는 하지만 변해가 조금씩,놀라워 어떻게 한결같이 그댄 날 사랑해 주는지 강하고 아름다워 그댈 닮고 싶어 더,그댄 늘 가장 숨기고 싶었던 감정을 끌어내고 있는 그대로 솔직할 수 있게 다독여 날 일으켜,텅 빈 내 맘 깊이 스며드는 온기 오래된 상처를 위로해 준 따스히 안아준 커다란 품,고요히 내린 밤비와 같이 덧난 내 기억을 낫게 해 준 온전히 날 위해 흘린 눈물,해 들 틈 없이 작은 방 깊이 가둬둔 나 문을 열고 손 내밀어 You’re just on my side,텅 빈 맘 깊이 스며든 온기 오래된 상처를 위로해 준 따스히 안아준 커다란 품,고요히 내린 밤비와 같이 덧난 내 기억을 낫게 해 준 온전히 날 위해 흘린 눈물,더 크고 따듯한 품이 되어 나 그댈 안아줄 수 있기를
					",R&B/Soul,neutral: 44.7% love: 28.9% sadness: 26.3%,love
35492924,펀치 (Punch),사랑이 불어오나 봐,사랑이 불어오나 봐,"
							웃는 널 보고 있으면 맘이 차오를 때면 자꾸 눈 맞추고 싶어 계속 보고 싶어 내 맘이 몰래 너를 데려와 니가 또 생각나나 봐 난 너야 수줍었던 밤에 쏟아지던 별들 사이 반짝이던 널 바라보던 내 눈에 이게 어느샌가 그토록 바라던 시작일까 너와 나눌 내 하루를 상상해도 될까 네 손이 내 볼에 닿을 때 네 어깨에 기대 살랑거리는 바람 탄 니 향기 더운 공기 따뜻한 우리 매일 기대하게 되잖아 웃는 널 보고 있으면 맘이 차오를 때면 자꾸 눈 맞추고 싶어 계속 보고 싶어 내 맘이 몰래 너를 데려와 니가 또 생각나나 봐 난 너야 아프던 날에 숨어 나를 찾는 줄도 모르고 이내 말라버린 내 마음에 비를 내려준 그 사람이 너라서 행복할 매 순간이 우릴 위한 세상 속에 발을 딛게 해 네 손이 내 볼에 닿을 때 네 가슴에 기대 하늘거리는 바람 탄 목소리 차가운 공기 따뜻한 우리 매일 기대하게 되잖아 웃는 널 보고 있으면 맘이 차오를 때면 자꾸 눈 맞추고 싶어 계속 보고 싶어 내 맘이 몰래 너를 데려와 니가 또 생각나나 봐 나도 모르게 널 향한 내 발이 멈춘 이곳 이렇게 피워 낸 꽃들이 더는 시들지 않게 행복하고 싶어 너와 함께 웃는 날 보는 니 눈에 행복이 보이잖아 자꾸 마음 주고 싶어 계속 보고 싶어 사랑이 몰래 너를 데려와 니가 또 앞에 있잖아 이렇게 oh 내게로 
",R&B/Soul,love: 29.3% neutral: 56.1% happiness: 9.8% enthusiasm: 2.4% sadness: 2.4%,love
35728530,릴러말즈 (Leellamarz),Number (Feat. BIG Naughty (서동현)),MaRz&B,"
							오래 기다렸니 나도 기다렸는데 물어보고 싶은 게 300개가 넘네 그러니까 언제든 Call me baby You know my number baby 언제든 Call me baby You know my number baby 언제든 Call me baby You know my number baby 언제든 Call me baby You know my number baby 늦은 밤 이른 아침에도 I was there 너가 몰랐대도 다들 잘 시간인데 나 혼자 신났네 리듬 타지 Woah 오늘 하루 기분 좋은 일이 일어나길 빌어 쓴맛은 싫어 Give me some sweet one 들려주지 않을래 이 노래는 음 음 조금 다를지도 내일모레는 음 음 걸리지 않고 싶어 이번에는 싫어 괜히 쉬워 보이는 건 뻔해 너무 음 음 음 사랑 영화는 지루해 우린 조금 빨리 감기로 해 Skip skip skip I know you like it I know you want this I know you 오래 기다렸니 나도 기다렸는데 물어보고 싶은 게 300개가 넘네 그러니까 언제든 Call me baby You know my number baby 언제든 Call me baby You know my number baby 언제든 Call me baby You know my number baby 언제든 Call me baby You know my number baby 쌓인 부재중 전화 999개 아니 9999개인데 그중에 받고 싶은 전화 진짜 하나도 없네 My little girl인 줄 알고 받았는데 Wait it was leellamarz 까비 이따 봐 Baby 길어봤자 Maybe 30분 안에 대충 할 테니까 Addy 콕 찍어놔 형 이제 진짜 가야 돼요 딱 여기까지만 언제까지 전화기에만 불타지 새벽까지 해 뜰 때까지 너 잘 때까지 애만 타지 아니 사실 언제까지 둘이 같이 산책 아님 아침까지는 아니더라도 네 얼굴 한번 보는 게 왜 이렇게 어렵게 됐을까 나는 네 손 한번 잡는 게 어렵긴 어렵네 바다 건너는 게 생각보다도 꽤 전화론 Not okay 오래 기다렸니 나도 기다렸는데 물어보고 싶은 게 300개가 넘네 그러니까 언제든 Call me baby You know my number baby 언제든 Call me baby You know my number baby 언제든 Call me baby You know my number baby 언제든 Call me baby You know my number baby 
",R&B/Soul,neutral: 69.4% sadness: 5.6% love: 5.6% happiness: 2.8% anger: 16.7%,anger
30383766,종현 (JONGHYUN),따뜻한 겨울 (Our Season),종현 소품집 '이야기 Op.2',"
							따뜻한 겨울이 다시 돌아왔어 코트에 목도리 스웨터 벙어리 장갑 그런 게 없어도 사실 난 전혀 안 추워 내 곁엔 항상 너 항상 너 곁에 있으니 우리 솔직해져 볼까  내게 실망한 적 있지 맞아 나도 너에게 상처받았던 적 있지 따뜻한 겨울에 눈 녹아 사라지듯이 지금은 그것도 다 추억이 돼줬지만 고마운 마음이 자꾸 많이 남아서 내게 해줬던 그 말이 귓가에 맴돌아서 오늘도 전혀 안 추워 따뜻한 이 겨울엔 내 곁엔 항상 너 항상 너 곁에 있으니 새하얀 입김 또 흩뿌려지고 꽁꽁 언 두 손 주머니 속에 꼭꼭 감춘 채 걸었던 날엔 이런 날 올 줄 정말 몰랐어 마치 꿈속인 것만 같아 다시 돌아온다는 말 참 예쁜 말이지 다시 또 만날 그 날이  약속된 안녕인 거니까 따뜻한 겨울이 나에게 돌아왔듯이 네 맘도 언제나 내 곁을 돌고 있으니 고마운 마음이 자꾸 많이 남아서 내게 해줬던 그 말이 귓가에 맴돌아서 오늘도 전혀 안 추워 따뜻한 이 겨울엔 내 곁엔 항상 너 항상 너 곁에 있으니 있잖아 나 항상 하는 말이지만 입버릇처럼 달고 사는 말이지만 참 고마워 부족한 날 그대로 아껴줘서 덕분에 내 평생이 따뜻해 고맙다는 말 꼭 전하고 싶었어 내게 해줬던 그 말 돌려주고 싶었어 오늘도 전혀 안 추워 너와 함께한 겨울 내 곁엔 항상 너 내 옆에 있으니 내 곁엔 항상 너 네가 있으니 
",R&B/Soul,sadness: 19.5% neutral: 56.1% anger: 2.4% love: 19.5% enthusiasm: 2.4%,sadness
36391238,세븐틴 (SEVENTEEN),I Don't Understand But I Luv U,SEVENTEEN 10th Mini Album ‘FML',"
							When I Saw you 멈춰버린 공간 예민해진 감각 오직 너 하나 보일 때 내 마음은 내 눈마저 Jealousy Oh Baby Cause I U-O-O-W-O-O-W-O-O 깊은 숲속의 파도 너는 내게 유일무이 기타의 선율 간절히 원함을 다시 피어나게 해줄 짙은 향 속에 날 Zoom (Hoo) 어지러운 단어 사이 지워질까 더 겁나 U-O-O-W-O-O-W-O-O 다른 언어와 다른 시간도 이해하지 않아도 다 알 수 있어 둘만이 비밀로 공유한 Password 우리 둘을 열어줘 세상에 존재하는 모든 말 Yeh 우리 둘만 아는 모습으로 충분해 내 모든 욕심으로 커져가는 감정의 파형으로 Yeh 알잖아 우리 사이엔 말보다 더 중요한 게 있잖아 I Don’t Understand But I Luv But I Luv U I Don’t Understand But I Luv But I Luv U I Don’t Understand But I Luv But I Luv U I Don’t Understand But I Luv But I Luv U 두 눈을 감고서 바라봐 느껴져 보란 듯이 너와 나 시간의 구애는 받지 않아 Any Day 둘이 있는 Anywhere Woo Wuh Love Missile 파동 위로 원 Smoke Smoke 피어올라라 S2 이해하지 않아도 알 수 있어 너 언어의 장벽은 그저 거품 알잖아 넌 나도 날 Don’t Believe Me But 넌 날 믿어 줬지 난 너의 안에서 오직 피어오른 꽃 지펴라 불꽃 다른 언어와 다른 시간도 이해하지 않아도 다 알 수 있어 둘만이 비밀로 공유한 Password 우리 둘을 열어줘 세상에 존재하는 모든 말 Yeh 우리 둘만 아는 모습으로 충분해 내 모든 욕심으로 커져가는 감정의 파형으로 Yeh 알잖아 우리 사이엔 말보다 더 중요한 게 있잖아 I Don’t Understand But I Luv But I Luv U I Don’t Understand But I Luv But I Luv U I Don’t Understand But I Luv But I Luv U I Don’t Understand But I Luv But I Luv U 
",R&B/Soul,neutral: 85.3% love: 8.8% anger: 5.9%,love
38123336,aespa,Flowers,Whiplash - The 5th Mini Album,"
							Umm Yeah 1, 2, 3 눈을 뜨는 Secret 만개하는 빛 불어오는 환희 마치 환상 위 In my garden Show me your Flowers Show me your Flowers Flowers 아무도 모르던 Fairy tales 섬세하게 감각들을 깨워내는 Way (I'm alive) 이 불투명한 미지 속에서 (Low) 난 아슬하게 길을 걸어 (Get to know you) 환상 속의 Gates 기억 너머에 비친 그림자 I don’t want to wait 아무도 모를 네 향기 속에 나를 던져 1, 2, 3 눈을 뜨는 Secret 만개하는 빛 불어오는 환희 마치 환상 위 In my garden Show me your Flowers Show me your Flowers Flowers 1, 2, 3 기분 좋은 Warm wind  알 수 없는 길 나를 안은 공기 꿈을 꾸듯이 In my garden Show me your Flowers Show me your Flowers Flowers 기분 좋은 낯선 너란 Scent 수많은 이름 중엔 뭐가 좋을지 (Name) 밤을 머금은 듯 깊어 Like the moon 때론 새벽 같은 신비론 Mood You’re my dahlia Tulips and daisies 느리게 번지는 향기 Violet sunset 세상엔 없는 듯해 나만의 화원에 비밀을 틔워내 흐린 계절에도 흩어지지 않게  1, 2, 3 눈을 뜨는 Secret 만개하는 빛 불어오는 환희 마치 환상 위 In my garden Show me your Flowers Show me your Flowers Flowers   1, 2, 3 기분 좋은 Warm wind 알 수 없는 길 나를 안은 공기 꿈을 꾸듯이 In my garden Show me your Flowers Show me your Flowers Flowers 천천히 네 눈에 비친 날 봐 선명히 번지는 환상 My only one 눈이 부신 나의 꽃 계속 나를 불러줘    1, 2, 3 너와 나의 Secret 닮은 이야기 우릴 감싼 온기 (우릴 감싼 온기) 부드러운 빛 In my garden Show me your Flowers Show me your Flowers Flowers (Oh Baby show me)    1, 2, 3 가로막힌 Exit 달라진 현실 다시 눈을 감지 (We’re talking, we’re talking dream, so real) 잠겨 영원히 In my garden Show me your Flowers Show me your Flowers Flowers 
",R&B/Soul,love: 34.5% enthusiasm: 10.3% neutral: 41.4% sadness: 10.3% anger: 3.4%,love
37245921,마크툽 (MAKTUB),날 그만 잊어요,날 그만 잊어요,"
							난 이제 조금씩 그댈 잊어가나 봐요 가끔 웃기도 하는 걸 보니 조금 더 지나면 그댈 만나게 돼도 반가울 것 같아요 난 그런 마음에 그대 내게 남아있는 사진을 한 장씩 뒤적여 보다가 혹시나 그대는 또 나와 달라서 아직까지 혼자만 힘들어 할까 봐,날 그만 잊어요 그댈 보낸 못난 내 기억에 행복하지 못하면 안돼요 그대까지 날 그만 잊어요 난 왜 이제 까맣게 잊은 채 행복하게 잘 지낼 그대가 걱정되죠 아직도,아직도 모두 다 잊지 못한 건 가봐요 그대를 걱정하고 있는 걸 보니 날 버린 기억이 가슴에 남아서  혹시라도 나처럼 울기만 할까 봐,날 그만 잊어요 그댈 보낸 못난 내 기억에 행복하지 못하면 안돼요 그대까지 날 그만 잊어요 난 왜 이제 까맣게 잊은 채 행복하게 잘 지낼 그대가 걱정되죠 아직도,그 긴 시간 힘이 든 건  오 나만  내 맘 그 어디에 그대 남아 있어  마지막 한번만 날 위한 그대가  이제는 날 그만 떠나요,(날 잊어줘요 잊어줘요 모두) 그댈 못 내 잊은 채 힘들게 행복해져 보려는 날 위해서  날 그만 떠나요 그대 이제 내 맘에 이렇게 남은 채로 힘들게 하지 말고 떠나요 
","R&B/Soul, 인디음악",sadness: 50.0% love: 8.8% neutral: 32.4% happiness: 5.9% enthusiasm: 2.9%,sadness
35861194,제이민 (J.min),그만 잊자,그만 잊자,"
							다 지나가 애써 날 혼자 위로하고 술이 취하면 더 생각이 날 텐데 전화번호를 지워 봐 더 힘들 땐 그냥 생각 없이 자면 돼 자꾸 왜 이래 왜 이래 왜 이래 왜 이래 그만 잊자 나만 잊고 살면 돼 아무렇지 않은 듯 살다가도 가끔 네가 가슴을 쳐 숨을 쉬는데도 더 답답해 아직 네가 남았나 봐 전화기를 다시 들고 또 내려놔 한참 고민하다 끝내 잠이 들고 잠시 뒤척이다 혼잣말을 해 그냥 흔한 이별이다 지나가길 자꾸 왜 이래 왜 이래 왜 이래 왜 이래 그만 잊자 나만 잊고 살면 돼 다 귀찮아 할 일도 자꾸 하지 않고 그저 내일은 내일은 내일은 내일은 괜찮겠지 혼자서 날 다독여 하루 종일 집에 있다가 문득 너의 물건을 치우고 그냥 버리려 해도 그냥 두려고 해도 끝내 그저 보기만 해 전화기를 다시 들고 또 내려놔 한참 고민하다 끝내 잠이 들고 잠시 뒤척이다 혼잣말을 해 그냥 흔한 이별이다 지나가길 이제는 잊어야겠지 다신 너를 찾지 말아야겠지 혹시 보고 싶은 날엔 참지 못한 그런 날엔 그냥 한번 울고 잊어 이별이 다 그렇지 뭐 다 힘들지 그냥 버티다가 그렇게 잊겠지 혹시 잊지 못해 전화한다면 그냥 받지 않길 바라 지워지게 자꾸 왜 이래 왜 이래 왜 이래 왜 이래 그만 잊자 나만 잊고 살면 돼 
",R&B/Soul,sadness: 35.9% neutral: 46.2% anger: 10.3% love: 7.7%,sadness
