곡 ID,아티스트,곡 이름,앨범,가사,장르,감정 비율,최종 감정 분류
35361345,10CM,그라데이션,5.3,"
							밤은 다시 길고 깊어졌네 나는 점점 너로 잠 못 들게 돼 글로 적어내긴 어려운 이 기분을 너도 느꼈으면 좋겠는데 너는 아무 생각 없이 몇 번 나를 지나가며 웃은 거라지만 나의 하얀 옷에 너의 잉크가 묻어 닦아낼 수 없을 만큼 번졌네 달콤한 색감이 물들어 조금씩 정신을 차렸을 땐 알아볼 수도 없지 가득 찬 마음이 여물다 못해 터지고 있어 내일은 말을 걸어봐야지 요즘 노랜 뭔가 맘에 안 들어 네게 불러 주기엔 좀 어려워서 나름 며칠 밤을 새워 연습했지만 네게 들려주기엔 무리인 것 같아 너는 번질수록 진해져 가고 나의 밤은 좀 더 길고 외롭지만 하루종일 떠오르는 너의 얼굴은 방을 가득 채워 무지개같이 달콤한 색감이 물들어 조금씩 정신을 차렸을 땐 알아볼 수도 없지 가득 찬 마음이 여물다 못해 터지고 있어 내일은 말을 걸어봐야지 바람을 맞고 빗물에 젖어 나의 색감도 흐려지겠지만 너는 항상 빛에 반짝일 테니까 멋진 말들을 전하지 못하고 아무도 관심 없는 그림이 되겠지만 달콤한 색감은 감추지 못해 터지고 있어 내일은 말을 걸어봐야지 그냥 이 노래가 어떨까 싶어 
","인디음악, 포크/블루스",neutral: 58.8% sadness: 17.6% love: 14.7% happiness: 8.8%,sadness
34162394,너드커넥션 (Nerd Connection),조용히 완전히 영원히,New Century Masterpiece Cinema,"
							안녕 오늘 하루는 어땠나요 오늘 날씨만큼 흐렸나요 화창하진 않았대도 자그만 행복이 깃들었길 바래요 나의 하루는 여느 밤과 같았어요 모든 게 미워지더니 그게 결국 다 후회가 되고 전부 다 내 탓이 돼버렸어요 삶이란 건 알다가도 모르겠죠 내가 많이 사랑했던 게 나의 목을 조르는 밧줄이 되더니 나를 매달고 싶대요 알아요 나도 수없이 해봤어요 노력이라는 걸 말예요 근데 가난한 나의 마음과 영혼이 이제 그만해도 된대요 안녕 마지막 인사가 되겠네요 그동안 고마웠어요 이제 다신 볼 수 없기에 자그만 행복을 남겨두고 가요 스스로를 갉아먹는 나의 밤이 날 다 먹어 치울 때쯤 난 당신의 기억 속에서 조용히 완전히 영원히 사라지길 
","인디음악, 록/메탈",neutral: 54.5% happiness: 9.1% sadness: 13.6% love: 22.7%,love
3894276,스탠딩 에그,오래된 노래,오래된 노래,"
							오래 전에 함께 듣던 노래가 발걸음을 다시 멈춰서게 해 이 거리에서 너를 느낄 수 있어 널 이 곳에서 꼭 다시 만날 것 같아 너 일까봐 한번더 바라보고 너 일까봐 자꾸 돌아보게 돼 어디선가 같은 노래를 듣고 날 생각하며 너 역시 멈춰있을까 오래 전에 함께 듣던 노래가 거리에서 내게 우연히 들려온 것처럼  살아가다 한번쯤 우연히 만날 것 같아 사랑했던 그 모습 그대로 내 사랑이 그대로인 것처럼 발걸음이 여길  찾는 것처럼 꼭 만날꺼야 지금 이 노래처럼 날 사랑하는 네 맘도 같을테니까 오래 전에 함께 듣던 노래가 거리에서 내게 우연히 들려온 것처럼 살아가다 한번쯤 우연히 만날 것 같아 사랑했던 그 모습 그대로 운명처럼 아니면 우연처럼 우리가 다시 예전처럼 만날 수 있다면 너에게 나 해주고 싶은 말이 하나 있어 널 다시는 놓치지 않을게  오래 전에 함께 듣던 노래가 거리에서 내게 우연히 들려온 것처럼 살아가다 한번쯤 우연히 만날 것 같아 사랑했던 그 모습 그대로 
","인디음악, 포크/블루스",happiness: 19.4% neutral: 67.7% love: 12.9%,happiness
33462463,숀 (SHAUN),닫힌엔딩 (Closed Ending),#0055b7,"
							마주 앉아 우리는 다른 곳을 바라보곤 해 답을 모른 채 같은 얘기를 반복하게 돼 다시 써 내려가도 우리의 마지막 장은 Already written down 피할 수 없는 닫힌 엔딩 그때 그 순간들 꼭 꿈만 같아 바래 지지 않은 우리의 시간 수많은 계절의 흔적을 지나 여기 남은 건 아련함만 그 언젠가 한 번쯤 들어봤던 식상한 사랑의 마지막 같을 걸 잘 알면서도 끝내 덮지를 못해 너를 마주 앉아 우리는 다른 곳을 바라보곤 해 답을 모른 채 같은 얘기를 반복하게 돼 다시 써 내려가도 우리의 마지막 장은 Already written down 피할 수 없는 닫힌 엔딩 다시 써 내려가도 우리의 마지막 장은 Already written down 피할 수 없는 닫힌 엔딩 나란히 걷던 길 혼자 걸으면 지긋이 밟히는 어제들만 멈춰버린 시계와 대답 없는 봄 온종일 기다려도 바뀌지 않아 내 가슴을 스치는 오랜 기억 그 존재가 유난히 아플 때면 눈을 감아도 더욱 선명해지는 모습 마주 앉아 우리는 다른 곳을 바라보곤 해 답을 모른 채 같은 얘기를 반복하게 돼 다시 써 내려가도 우리의 마지막 장은 Already written down 피할 수 없는 닫힌 엔딩 마지막 장을 남겨놓은 내 마음 다 알고 있어도 막을 수 없는 다음 지울 수 없도록 여기 깊이 새겨진 The End 이젠 바꿀 수 없는 우리의 마지막 장은 Already written down 피할 수 없는 닫힌 엔딩 다시 써 내려가도 우리의 마지막 장은 Already written down 피할 수 없는 닫힌 엔딩 
","인디음악, 일렉트로니카",neutral: 45.0% sadness: 45.0% enthusiasm: 2.5% love: 7.5%,sadness
33736499,잔나비,외딴섬 로맨틱,환상의 나라,"
							어느 외딴섬 로맨틱을 우리 꿈꾸다 떠내려 왔나 때마침 노을빛이 아름답더니 캄캄한 밤이 오더군,이대로 이대로  더 길 잃어도 난 좋아 노를 저으면 그 소릴 난 들을래 쏟아지는 달빛에 오 살결을 그을리고 먼 옛날의 뱃사람을 닮아볼래 그 사랑을,나는 처음부터 다 알고 있었지 거긴 그 무엇도 없다는 것을 그래 넌 두 눈으로 꼭 봐야만 믿잖아 기꺼이 함께 가주지,이대로 이대로 더 길 잃어도 난 좋아 노를 저으면 그 소릴 난 들을래 쏟아지는 달빛에 오 살결을 그을리고 먼 옛날의 뱃사람을 닮아볼래,사랑은 바다 건너 피는 꽃이 아니래 조그만 쪽배에로 파도는 밑줄 긋고,먼 훗날 그 언젠가 돌아가자고 말하면 너는 웃다 고갤 끄덕여줘 참 아름다운 한때야 오 그 노래를 들려주렴 귓가에 피어날 사랑 노래를
					","인디음악, 록/메탈",enthusiasm: 4.2% love: 41.7% neutral: 41.7% sadness: 4.2% happiness: 8.3%,love
34074733,#안녕,한 걸음씩 멀어지는 너에게,한 걸음씩 멀어지는 너에게,"
							그날의 우리는 어디 있을까 아무 흔적 없이 멀어진 기억들 함께 느꼈던 그때 향기를 아직도 기억해 우린 이제 마지막인 걸까 밤새 나누던 하루의 일상이 이제는 더 멀게만 느껴져 보고 싶단 말이 사랑한단 말이 이젠 의미 없어 나를 울리고 있어 외로운 밤 난 너를 지워내려 해 이별의 순간 깨지 못할 꿈처럼 가까이 갈 수가 없어 한 걸음씩 멀어지는 너에게 더는 할 말이 없어 널 보내고 우리 사랑했던 시간이 생각이 나면 그때 한 번쯤은 너 날 떠올려주면 돼 이 빈자리 너의 온기가 그리울 거야 이제는 널 지울게 그토록 바랬던 너였었는데 하고픈 말 아직 남았는데 이미 늦어버린 걸 돌이킬 수 없단 걸 알아 바보처럼 울고 있는 너와 나 외로운 밤 난 너를 지워내려 해 이별의 순간 깨지 못할 꿈처럼 가까이 갈 수가 없어 한 걸음씩 멀어지는 너에게 더는 할 말이 없어 널 떠나보낼게 마지막 미소가 계속 떠올라 네가 보고파 언젠가 우리 다시 만나면 그땐 이렇게 아프지 말자고 이렇게 약속할게 한 걸음씩 멀어지는 너에게 행복하길 바래  널 보내고 우리 사랑했던 시간이 생각이 나면 그때 한 번쯤은 날 떠올려 줄래 이 빈자리 너의 온기가 그리울 거야 이제는 널 지울게 
","발라드, 인디음악",neutral: 45.9% sadness: 27.0% love: 18.9% enthusiasm: 5.4% happiness: 2.7%,sadness
36109370,10CM,우리가 맞다는 대답을 할 거예요 (@leekangseung111),Remake 1.0,"
							지루한 하루가 불안해 어떻게 해야 되는지 모르겠어 그 마음을 고이 넣어둔 채로 무너지는 발아래를 봐야 해 익숙한 향기에 그대가 숨을 못 쉬고 내 하루를 돌아볼 때 아무런 말 없이 그대 쉴 수 있게 내가 늘 있을게요 이 모든 이야긴 거짓이 아니라 믿어줄 수 있나요 그 모든 순간은 우리가 맞다는 대답을 할 거예요 기억날까 종이에 쓰려 했던 무덤덤한 대화는 달콤해 잘 지내 난 그렇게 말하려 해 인사하는 상상을 하곤 해 익숙한 향기에 그대가 숨을 못 쉬고 내 하루를 돌아볼 때 아무런 말 없이 그대 쉴 수 있게 내가 늘 있을게요 이 모든 이야긴 거짓이 아니라 믿어줄 수 있나요 그 모든 순간은 우리가 맞다는 대답을 할 거예요 오늘은 아쉽겠지만 물어봐 줄 사람이 없네요 부끄러운 비밀을 들켜도 난 여기 있을게요 익숙한 향기에 그대가 숨을 못 쉬고 내 하루를 돌아볼 때 아무런 말 없이 그대 쉴 수 있게 내가 늘 있을게요 이 모든 이야긴 거짓이 아니라 믿어줄 수 있나요 그 모든 순간은 우리가 맞다는 대답을 할 거예요 
","인디음악, 포크/블루스",sadness: 28.1% love: 9.4% neutral: 59.4% anger: 3.1%,sadness
37918326,윤석원,우리 헤어진 거 맞나요,우리 헤어진 거 맞나요,"
							우리 헤어진 거 맞나요 서로 그리워하는데 이불 속에 숨어서 네 사진만 보는데 다시 할 수는 없나요 아예 말도 안 되나요 너의 온기는 아직 남아있는데,새로운 사랑을 찾아서 오래된 사랑을 버리고 언젠간 서로가 서로의 기억이 아닌 추억이 되면 그제서야 이별마저도 사랑이었다 할까요 아직은 또 아직은 모르겠어요,이별이 만남보다 쉽나요 내가 아는 넌 그럴 리 없는데 폰 뒤에 숨어서 각자의 시간을 갖자는데 다시 할 수는 없나요 아예 말도 안 되나요 너의 온기 덕분에 참 따뜻했는데,새로운 사랑을 찾아서 오래된 사랑을 버리고 언젠간 서로가 서로의 기억이 아닌 추억이 되면 그제서야 이별마저도 사랑이었다 할까요 아직은 또 아직은 모르겠어요,우리 언제 한번 만나요 마치 처음 본 사이처럼 인사도 나누고 웃으며 눈도 맞추고 아무 일도 없었던 것처럼 길고 길었던 우리 이야기가 짧게 정리가 되는 순간이 오면 그때는 이별이 만남보다 좀 쉬웠으면 해 그냥 우연히라도 너를 마주쳤으면 해,새로운 사랑을 찾아서 오래된 사랑을 버리고 언젠간 서로가 서로의 기억이 아닌 추억이 되면 그제서야 이별마저도 사랑이었다 할까요 아직은 또 아직은 모르겠어요,우리 언제 한번 만나요 마치 처음 본 사이처럼 인사도 나누고 웃으며 눈도 맞추고 아무 일도 없었던 것처럼 길고 길었던 우리 이야기가 짧게 정리가 되는 순간이 온다면 그때는 이별이 만남보다 좀 쉬웠으면 해 그냥 우연이라도 너를 마주쳤으면 해,새로운 사랑을 찾아서 오래된 사랑을 버리고 언젠간 서로가 서로의 기억이 아닌 추억이 되면 그제서야 이별마저도 사랑이었다 할까요 아직은 또 아직은 모르겠어요,새로운 사랑을 찾아서 오래된 사랑을 버리고 언젠간 서로가 서로의 기억이 아닌 추억이 되면 그제서야 이별마저도 사랑이었다 할까요 아직은 또 아직은 모르겠어요
					","R&B/Soul, 인디음악",sadness: 12.7% neutral: 47.3% love: 40.0%,love
36824209,달담,졸업,졸업,"
							첫걸음을 나선 과거의 너에게 안녕 오늘도 너의 이름은 맑음이구나 많고 많은 눈물과 사랑을 겪어가겠지  웃음 짓던 그 자리에는 꽃 한 송이 핀다,함께 흘린 땀방울과 응원 속의 너에겐 저 별 보다 소중한 건 없었던 시절,미래로 나선 너의 발걸음과 우리가 웃던 그 책상에 써진 이름들은 마치 꿈만 같아 너 힘이 들 때 이곳을 찾아와 그 시절 그 땀방울을 함께 이야기에 담아 너의 여행을 응원해 ,사랑이 없는 도시 속에서 어릴 적 그네 밑에 심었던 편지를 찾아 세월이 지나가서 다시 만나는 날 네가 가지고 온 여러 색바람을 불어줘,푸르던 하늘 아래 아이들과 꿈을 꾼 의자 위에 초록 연서 이곳을 떠나가는 사랑이여 낭만이 그리우면 내게 오라,푸르던 하늘 아래 아이들과 꿈을 꾼 의자 위에 초록 연서 이곳을 떠나가는 사랑이여 청춘이 그리우면 내게 오라,푸르던 하늘 아래 아이들과 꿈을 꾼 의자 위에 초록 연서 이곳을 떠나가는 사랑이여 낭만이 그리우면 내게 오라,푸르던 하늘 아래 아이들과 꿈을 꾼 의자 위에 초록 연서 이곳을 떠나가는 사랑이여 청춘이 그리우면 내게 오라,푸르던 하늘 아래 아이들과 꿈을 꾼 의자 위에 초록 연서 이곳을 떠나가는 사랑이여 낭만이 그리우면 내게 오라,푸르던 하늘 아래 아이들과 꿈을 꾼 의자 위에 초록 연서 이곳을 떠나가는 사랑이여 청춘이 그리우면 내게 오라 
","인디음악, 록/메탈",neutral: 36.6% sadness: 19.5% love: 26.8% enthusiasm: 17.1%,enthusiasm
33301174,신지훈,시가 될 이야기,시가 될 이야기,"
							속절없다는 글의 뜻을 아십니까  난 그렇게 뒷모습 바라봤네  고요하게 내리던 소복눈에도  눈물 흘린 날들이었기에  많은 약속들이 그리도 무거웠나요  그대와도 작별을 건넬 줄이야  오랫동안 꽃피우던 시절들이  이다지도 찬 바람에 흩어지네  천천히 멀어져 줘요 내게서  나와 맺은 추억들 모두  급히 돌아설 것들이었나  한밤의 꿈처럼 잊혀져가네  날 위로할 때만 아껴 부를 거라던  나의 이름을 낯설도록  서늘한 목소리로 부르는 그대  한번 옛 모습으로 안아주오  천천히 멀어져줘요 내게서  나와 맺은 추억들 모두  급히 돌아설 것들이었나  한밤의 꿈처럼 잊혀져가  별빛도 슬피 기우네요  서서히 내 마음 비추던 첫 모습의 당신  아름다웠네 그늘진 날마저  난 한 걸음마다 회상할 테죠  우리 참 많이  미련 없이 커져서  한없이 꿈을 꾸었네  별을 참 많이  세고 또 세어서  시가 되었네 
","발라드, 인디음악",sadness: 19.2% neutral: 46.2% love: 30.8% enthusiasm: 3.8%,love
