곡 ID,아티스트,곡 이름,앨범,가사,장르,감정 비율,최종 감정 분류
31004503,이홍기 (FT아일랜드),사랑했었다 (Still love you),FNC LAB '사랑했었다 (Still love you)',"
							잊지 마 잊지 마 우리 헤어질 때 힘들던 그날의 인사를 울지 마 울지 마 부디 행복해 줘 나의 사랑 안녕 사랑해 사랑해 내가 더 사랑해 이제 두 번 다시 너에게 해줄 수 없는 말 너만 너만 너만 사랑했던 나의 전부였었던  널 아프게 해서 미안해 미안해 다시 돌아갈 수 없지만 난 너만 난 너만 난 너만  많이 사랑했었다  하지 마 하지 마 추억도 하지 마 아픈 내 가슴아  미워해 미워해 이젠 널 미워해 너를 잊으려면 이럴 수밖에 없으니까 너만 너만 너만 사랑했던 나의 전부였었던  널 아프게 해서 미안해 미안해 다시 돌아갈 수 없지만  난 너만 난 너만 난 너만  너는 내 가슴에 문신처럼 새겨져 지우려 해봐도 지울 수 없는 내 사랑아 너만 너만 너만 기다린다 너무 아픈 사랑아 많이 보고 싶다  미안해 미안해 난 아직 너를 사랑해 난 너만 난 너만 난 너만  기다린다 
",발라드,sadness: 40.7% love: 29.6% neutral: 29.6%,sadness
34190730,임창정,별거 없던 그 하루로,별거 없던 그 하루로,"
							그대 낯설어하지 마 처음 겪어본 오늘을 그저 내일이면 끄덕여질 일들을 매일 똑같은 날이면 뭐 또 하루를 굳이 지내 눈 떠진 아침이 뻔하지 않으니 또 사는 걸 어쩌다 그댄 떠났을까 나만이 그 이유를 몰랐어 그대와 함께 나누었던 별거 없던 그 하루로 눈만 감으면 가 있어요 그토록 넘치게 채우던 사랑도 그 이별도 눈물도 모두 비우니 그대만 남은 걸요 그대 낯설어하지 마 너무 힘들어하지 마 그저 내일이면 끄덕여질 일들을 매일 똑같은 날이면 뭐 또 하루를 굳이 지내 후회도 한숨도 원망도 쌓여서 내가 된 걸 어쩌다 그댄 떠났을까 나만이 그 이유를 몰랐어 그대와 함께 나누었던 별거 없던 그 하루로 눈만 감으면 가 있어요 그토록 넘치게 채우던 사랑도 그 이별도 눈물도 모두 비우니 그대만 남은 걸요 그렇게 날 아프게 한 당신이 더 힘든 걸 알았다면 그리 부질없는 미운 가슴 끌어안고 그댈 보냈을까 그대와 함께 나누었던 별거 없던 그 하루로 눈을 감고 떠날 거에요 혹시나 내가 많이 달라져 있어도 날 그냥 안아줘요 모두 잃고서 그대만 남은 나를 이제 
",발라드,love: 15.2% neutral: 54.5% sadness: 27.3% anger: 3.0%,sadness
36257309,허각,너 하나 빼는 일,너 하나 빼는 일,"
							아련히 떠오르는 너와의 지난날들 여전히 내 하루에 가득히 남아 마냥 기다리기엔 가슴이 꽉 막힌 듯 아려와 견딜 수가 없는 거야 매일 너 하나 빼는 일 도저히 못 하겠어 모든 날에 니가 묻어서 자꾸 더 끌어안게 돼 하루하루가 꿈이라면 좋겠어 자고 일어나면 아무 일 없듯이 다시 널 만나러 갈 수 있게 사라질 것 같았던 이별의 흔적들은 아무리 지우려고 해도 남아서 눈을 감고 울다가 다시 눈을 떠보면 아직도 너만 찾고 있어 매일 너 하나 빼는 일 도저히 못 하겠어 모든 날에 니가 묻어서 자꾸 더 끌어안게 돼 하루하루가 꿈이라면 좋겠어 자고 일어나면 아무 일 없듯이 다시 널 만나러 갈 수 있게 가끔 내 생각 하지는 않을까 너도 나만큼 나를 그리워하진 않을까 미련한 기대만 하다가 못 해줬던 미안한 게 많아서 아무것도 못 해 숨을 쉬는 것조차도 쉬운 일 하나 없어 곁에 있을 땐 잘 몰랐었던 너의 빈자리가 싫어 하루하루가 꿈이라면 좋겠어 자고 일어나면 아무 일 없듯이 다시 널 만나러 갈 수 있게 니 사랑이 그립다 
",발라드,neutral: 46.9% love: 12.5% sadness: 34.4% enthusiasm: 3.1% anger: 3.1%,sadness
36808611,거미 (GUMMY),이럴거면,이럴거면,"
							이럴 거면 날 흔들어 놓지 말지 이럴 거면 잘해주지나 말지 이럴 거면 첨 스쳐가게 놔두지 너를 모르는 채 살게 하지 떠날 거라면 원망해도 후회해도 널 향한 나의 사랑은 이미 엎질러진 물처럼 주워 담을 수 없어 나를 울리려고 이럴려고 날 사랑했니 너를 사랑하게 했니 멀쩡한 사람 왜 넌 바보 만들어 버릴 거면 그럴 거였으면 왜 내 맘 모두 가져간 거야 조각나버려 이제 다신 쓸 수도 없게 내 머리는 내 입술은 매일 네 욕만 하는데 나의 가슴은 내 눈물은 자꾸 네 편만 들어 나를 울리려고 이럴려고 날 사랑했니 너를 사랑하게 했니 잘 살던 사람 왜 늘 울게 만들어 버릴 거면 그럴 거였으면 왜 내 맘 모두 가져간 거야 누구에게도 이제 다신 줄 수도 없게 너를 알기 전 서로 몰랐던 때로 돌아가기엔 널 너무 사랑했나 봐 잊지 못할 거면 이럴 거면 널 붙잡을 걸 네게 떼라도 써볼걸 사랑한다고 너 없인 못 산다고 울릴 거면 그립게 할 거면 차라리 너의 곁에서 울려 볼 수 있다면 혼자 사랑해도 되니까 나만 사랑해도 되니까
					",발라드,neutral: 40.6% anger: 6.2% love: 15.6% sadness: 37.5%,sadness
36602102,정동하,"여자는 말 못하고, 남자는 모르는 것들","여자는 말 못하고, 남자는 모르는 것들","
							혼자 살 수 있다고 아프지도 않다고 자존심에 태연히 그댈 보내고 난 후 휘청이는 세상과 먹먹해진 가슴에 숨 쉬는 것조차 힘들어 이런 내 속 마음 말할 데가 없네요 전화번홀 두 번 세 번 뒤져도 아무도 없죠,그댄 거죠 날 웃게 한 한 사람 날 살게 한 한 사람 어떡해서라도 지켜야 했죠 난 가슴 치며 이제야 깨달아요 my love my love is you,집에 돌아가는 길 발걸음 하나하나 내 잘못이 떠오르네요 이제야 보여 눈길 닿는 모든 곳마다 아픈 그대 눈물이 고스란히 있네요 이까짓 자존심 누가 알아준다고 내 입장만 고집하며 그대를 몰라줬네요,그댄 거죠 날 웃게 한 한 사람 날 살게 한 한 사람 어떡해서라도 지켜야 했죠 나 가슴 치며 이제야 깨달아요 my love my love is you,쌓이고 쌓여 나를 내려놓은 그대 그 마음 알아채지 못한 나였죠 여잔 말 못 하고 남잔 모르는 것들 이별은 다 내 탓인 거죠,사랑해요 꼭 찾아야만 해요 난 그대여야 해요 그대가 바라는 내가 될게요 난 그대 없이 안되는 사람이죠 my love my love is you my love
					",발라드,sadness: 24.1% neutral: 48.3% love: 24.1% anger: 3.4%,sadness
37157677,WOOZI,어떤 미래,어떤 미래,"
							아무 일 없던 것처럼 이 모든 게 난 다 꿈일 거라고 눈을 다시 감고 떴을 땐 안심하며 깰 아침이길 바랬어,어긋나 버린 우리 미래의 시간을 거슬러 갈 수 있다면 거칠기보단 따뜻하게 널 부르며 보내줄 수 있을까,우린 아직 끝나지 않았단 작은 실 끝 하나를 붙잡고 발버둥 치던 날 놔버린 널 보기 싫은데도 보고 싶어 미운데도 그리워하는 나도 날 알 수가 없더라,어긋나 버린 우리 미래의 시간을 거슬러 갈 수 있다면 거칠기보단 따뜻하게 널 부르며 보내줄 수 있을까,우린 아직 끝나지 않았단 작은 실 끝 하나를 붙잡고 발버둥 치던 날 놔버린 널 보기 싫은데도 보고 싶어 미운데도 그리워하는 나도 날 알 수가 없더라,아직은 이러한 기다림이 견디기 쉽지 않지만 어느새 잊어버리곤 아무렇지 않을 거란  우리 미래가 허무하고 더 슬프기만 해 너를 잊고 싶은 게 아닌데,오고 가는 마음이 하나 둘 쌓이며 행복했던 우리 이젠 함께 있지 않는 널 보기 싫은데도 보고 싶어 미운데도 그리워하는 나도 날 알 수가 없더라,우리에게 과연 어떤 미래가 올바른 건지 하늘이 답을 주지 않아서 혹은 내가 참 멍청해서 도저히 알 수가 없더라,
",발라드,sadness: 40.0% enthusiasm: 2.9% neutral: 37.1% love: 8.6% anger: 8.6% happiness: 2.9%,sadness
35980817,21학번,웃는거야,웃는거야,"
							웃는 거야 그래 그렇게 늘 그래왔던 것처럼 별일 아냐 흔한 일이잖아 이제 너인 것 같아 거울 앞에 앉아 눈물 흘리는 날 물끄러미 쳐다보며 물었어 너 왜 그러니 아무 일도 아닌데 훌쩍이잖아 이건 네가 아냐 그런 약한 모습 혼자 모든 짐 다 진 듯 찡그린 얼굴도 보기 싫어 언제까지 너 이럴 거니 잘 생각해 보면 지금 이런 두려움 따윈 짧은 생에 작은 점일 뿐 주저앉아 웅크릴 필요 없잖아 먼지처럼 툭 가볍게 다 털어낼 수 있잖아 옛일인 듯 기억조차 없는 듯 선물 같은 내일만 생각하면서 웃는 거야 그래 그렇게 늘 그래왔던 것처럼 별일 아냐 흔한 일이잖아 이제 너인 것 같아 늘 그렇게 웃어 잘 생각해 보면 지금 이런 두려움 따윈 짧은 생에 작은 점일 뿐 주저앉아 웅크릴 필요 없잖아 먼지처럼 툭 가볍게 다 털어낼 수 있잖아 옛일인 듯 기억조차 없는 듯 선물 같은 내일만 생각하면서 웃는 거야 그래 그렇게 늘 그래왔던 것처럼 별일 아냐 흔한 일이잖아 이제 너인 것 같아 한 걸음쯤 아니 몇 걸음 늦어도 상관없잖아 언젠가는 소중한 보석처럼 어둠에도 찬란히 빛날 테니까 웃는 거야 그래 그렇게 다시 태어난 것처럼 하루하루 숨을 쉴 때마다 잊지 말고 기억해 늘 그렇게 웃어 
","발라드, 인디음악",love: 18.4% neutral: 47.4% sadness: 26.3% anger: 7.9%,sadness
34082381,딘딘 (DINDIN),이러면 안 될 거 아는데 너 앞에만 서면 나락 (Feat. 10CM),이러면 안 될 거 아는데 너 앞에만 서면 나락,"
							이러면 안 될 거 아는데 너 앞에만 서면 나락 이러면 안 될 거 아는데 너 앞에만 서면 나락 이러면 안 될 거 아는데 너 앞에만 서면 나락 이러면 안 될 거 아는데 이러면 안 될 거 아는데 너 앞에만 서면 나락 준비한 말도 얼버무려 결국 망함 나 이런 사람 아닌데 답답해 왜 매번 네 앞일 때 이런 게 답장 와도 문제야 눈에 보여 망할게 혼자서 삐져 또 혼자서 풀어 그러다 지쳐 이젠 끝내야지 생각하다 늦게나마 온 너의 답장의 또 미쳐 너 얼마나 바쁜데 폰을 안 보는 건 말이 안돼 내게 관심 없는 것도 아는데 진짜 미치겠네 이것만 넘김 될 거 같은 게 No 이러면 안 될 거 아는데 너 앞에만 서면 나락 말도 안되는 거 같지만 네가 빛나서 반짝 Woo 난 네 앞에서만 이런다니까 이건 널 사랑하면 안 돼 part2 another one 난 매번 이런 사랑 들 뿐이군 매번 내 자존감은 바닥 남들이 보는 나랑 정반대야 허세일 뿐 솔직한 게 좋은 거라더니 실오라기 하나 안 걸치니 찌질함의 극치  뭐 잘 돼야 로맨스지 그치 안되면 혼자 구질 구질 이래서 사랑이 힘들어 혼자서 상처받고 부서져 못 고쳐 그런데 왜 네가 또 왜 내 눈에 나타나서 날 힘들게 해 그래도 좋아해 이러면 안 될 거 아는데 너 앞에만 서면 나락 말도 안되는 거 같지만 네가 빛나서 반짝 Woo 난 네 앞에서만 이런다니까 혼자 상상하고 그려보다 엉망이 되어버린 drama 주인공이 너라서 혼잔 못해 사실 지금도 이 곡을 다 쓰기 전에는 제발 너의 문자가 오지 않기를 빌고 있거든 너의 답장에 헤벌레 하다  다 쓴 가사가 바뀔까 봐 근데 바꿔도 좋을 것 같아 참 못 났지 이게 나야 이러면 안 될 거 아는데 너 앞에만 서면 나락 말도 안되는 거 같지만 네가 빛나서 반짝 Woo 난 네 앞에서만 이런다니까 행복한가요 그대 불같은 사랑을 난 하고 싶은데 그댄 아닌 건가요 나를 봐줘 그대 바보 같은 나를 나란 사람은 나 같은 사람은 안되는 건가요 
",발라드,neutral: 55.2% sadness: 25.9% love: 12.1% happiness: 6.9%,sadness
37860725,도영 (DOYOUNG),17,17,"
							Sitting on the bus 버스 창가에 앉은 채,On the way to work again 다시 반복되는 일상,Everyday is just the same 모든 게 다 똑같아,But I do it anyway 그래도 해내야지 뭐,We all reach those moments in life Caught in the motions 반복된 일상 속에 갇힌 것만 같은 순간을 우린 모두 느낄 때가 있어,But you kept me hanging on 하지만 나에겐 네가 있어 버틸 수 있어,When you were here 너만 여기 있어 준다면,모든 것이 so simple 고민할 필요 없어,Clearing out my mind 복잡할 필요 없는걸,밝은, 햇살 느껴져 마치 first time 어디든 그곳이 like home,밝게 빛나던 summer 모든 게 다 first and free It felt like doo doo doo doo It felt like doo doo doo doo,Don’t want no other thing if I have you here 다른 건 필요 없어 내 곁에 너만 있다면,All I want is to feel that way 그게 내가 바라는 전부야,When we’re seventeen 우리가 열일곱 살이었던 그때처럼,이제 와 보니,That was a long time ago 시간이 벌써 이렇게 흘렀네,앞만 보고 달려서,And no time for having fun 즐길 순간도 없었어,I never thought I’d be here so soon 생각보다 빨리 어른이 된 것 같아,Where did the time go 시간은 왜 이렇게 빠른 걸까,Somebody take me back 다시 그때로 돌아가고 싶어,When you were here 너만 여기 있어 준다면,모든 것이 so simple 고민할 필요 없어,Clearing out my mind 복잡할 필요 없는걸,밝은, 햇살 느껴져 마치 first time 어디든 그곳이 like home,밝게 빛나던 summer 모든 게 다 first and free It felt like doo doo doo doo It felt like doo doo doo doo,Don’t want no other thing if I have you here 다른 건 필요 없어 내 곁에 너만 있다면,All I want is to feel that way 그게 내가 바라는 전부야,When we’re seventeen 우리가 열일곱 살이었던 그때처럼,The air used to feel magical The sky was so blue 찬란했던 그때의 공기, 또 새파란 하늘,These days all I see is shades of grey 요즘 보이는 모든 것들은 다 회색 하늘 같아,But when you’re around me I feel brand new 하지만 너와 함께라면 그때로 돌아간듯 새로워져,Won’t you take me away back to these days 그때로 데려가 줄래,그리운 나의 summer 찬란했던 you and me It felt like doo doo doo doo It felt like doo doo doo doo,Don’t want no other thing if I have you here 다른 건 필요 없어 내 곁에 너만 있다면,All I want is to feel that way 그게 내가 바라는 전부야,When we’re seventeen 우리가 열일곱 살이었던 그때처럼,Ooh,(These days I just wanna hide away) (어딘가 사라지고 싶은 요즘),(Take me back to those days, hey) (그때로 돌아가고 싶어),When we’re seventeen 열일곱 살의 우리로,Ooh,(Just take me back to those days) (다시 돌아가자),All I want is to feel like 내가 바라는 전부는,I just wanna feel like 사실 내가 정말 원하는 건,I wanna feel that way 찬란했던 순간을 다시 마주하는 거야,When we’re seventeen 빛났던 열일곱 그때 우리의
					",발라드,neutral: 75.0% love: 9.1% sadness: 15.9%,sadness
5398990,한동근,이 소설의 끝을 다시 써보려 해,The 1st Digital Single '이 소설의 끝을 다시 써보려 해',"
							시계가 반대로 돌아가고 있어 TV속 영화가 되감아지고 있어 내렸던 빗물이 올라가고 있어 잊었던 기억이 돌아오고 있어 도로 위에 차들이  반대로 달리고 온 세상의 모든 게 다  거꾸로 움직여 지금 나는 계속 반대로  뒷걸음질 치며 그날의 너에게 돌아가고 있어 운명 같은 만남 너무 아픈 결말 난 이 소설의 끝을  다시 써보려 해 내 한 권의 사랑 마지막 장면엔 니가 있어야 해  그래야 말이 되니까 한 장씩 한 장씩 뒤로 넘겨 지며 아팠던 일기가 지워지고 있어 가루 낸 사진이 모여들고 있어 버렸던 미련이 돌아오고 있어 삼켰던 내 눈물이  다시 뱉어지고 뱉었던 그 모진 말은  다시 삼켜지고 지금 나는 계속 반대로  뒷걸음질 치며 그날의 너에게 돌아가고 있어 운명 같은 만남 너무 아픈 결말 난 이 소설의 끝을 다시 써보려 해 내 한 권의 사랑 마지막 장면엔 니가 있어야 해 그래야 말이 돼 여기야 우리가 이별한  그 슬픈 페이지 내 앞에서 니가 서서 울고 있어 너에게 묻고 싶어 너만 괜찮다면 난 이 소설의 끝을 다시 써보려 해 내 한 권의 사랑 마지막 장면엔 니가 있어야 해  그래야 말이 되니까 
",발라드,neutral: 52.9% anger: 2.9% sadness: 26.5% love: 17.6%,sadness
