곡 ID,아티스트,곡 이름,앨범,가사,장르,감정 비율,최종 감정 분류
37390940,이클립스 (ECLIPSE),Run Run,선재 업고 튀어 OST Part 1,"
							태양을 향해  더 힘껏 날아  쓰러진 꿈들을 세워가 놓지 않을 Chance 높은 벽은 Break it 심장 소릴 따라가,Bye bye 눈물의 지난날은 Hi 기다려온 순간 Right now 고민 따윈 Zero 지금 바로 Runnin again, running again Whoa-a,떨리는 전율을 느껴 We ride 멈출 수 없는 이 Feeling 우린 다시  힘차게 달려가,I'm ready to Run run 내 옆에 너를 안고 Run run 넘어져도 Start again 끝없이 펼쳐진 하늘 위로 Fly forever 이대로 달려갈게,I Run 거친 바람 가르고 난 다시 높이 날아올라 피어난 My dreams 희망을 향해 뛰어 자유롭게 So I'm running,밤이 캄캄해도 두려움은 No more 망설이지 마 We just go 서툴렀던 너를 바꿔 참아왔던 열정을 불태워 Burn it up 뜨겁게 타올라,Bye bye 눈물의 지난날은 Hi 기다려온 순간 Right now 고민 따윈 Zero 지금 바로 Runnin and runnin and runnin again Whoa-a,떨리는 전율을 느껴 We ride 멈출 수 없는 이 Feeling 우린 다시  힘차게 달려가,I'm ready to Run run 내 옆에 너를 안고 Run run 넘어져도 Start again 끝없이 펼쳐진 하늘 위로 Fly forever 이대로 달려갈게,I Run 거친 바람 가르고 난 다시 높이 날아올라 피어난 My dreams 희망을 향해 뛰어 자유롭게 So I'm running,(Oh oh oh oh) 첨부터 다시 해봐 너를 믿고서 Try again (Oh oh oh oh) 새롭게 펼쳐질 하루를 Run again,I'm ready to Run run 내 옆에 너를 안고 Run run 넘어져도 Start again 끝없이 펼쳐진 하늘 위로 Fly forever 이대로 달려갈게,I Run 거친 바람 가르고 난 다시 높이 날아올라 피어난 My dreams 희망을 향해 뛰어 자유롭게 So I'm running
					","록/메탈, 국내드라마",sadness: 25.0% enthusiasm: 18.8% neutral: 50.0% anger: 3.1% love: 3.1%,enthusiasm
36582898,NMIXX,Roller Coaster,A Midsummer NMIXX’s Dream,"
							Mm-hmm, so incredible Can't you see, can't you see? 여기 모여봐 Chemistry, chemistry 반응하잖니 Chasin' me, chasin' me 사람들 속에 우린 호기심을 느껴 그래 더 가까이 무엇을 상상하든지 바짝 긴장해야 돼 좋아 좋아 어디로 튈지 모르는 나의 달뜬 마음을 You should try 잡아봐 Rabbit and Alice, Alice Romeo and Juliet, Juliet Beast and Beauty, Beauty 그래 여긴 너의 자리 곧 심장이 터질 듯 멎어버릴 듯 벅찬 이 느낌, oh 한 치 앞도 모르지, shh... Shooting star roller coaster, ri-ri-ride 우린 바람을 갈라 so incredible 달려 make me feel so high, na-na-na 지금 기분이 어때? how incredible Let's ride 꽉 잡아 Going down, going up with you 가장 높이 올라 stop! Oh 무수한 별종과 그 중의 별 하나 Come here, my dear Shooting star roller coaster, ri-ri-ride 우린 바람을 갈라 so incredible 달려 make me feel so high, na-na-na 지금 기분이 어때? how incredible Let's ride 꽉 잡아 Going down, going up with you 가장 높이 올라 stop! 처음 같은 느낌 적응이 잘 안돼 Black hole처럼 빠져들어가 특별한 오늘의 만남을 기억해 Don't forget Shooting star roller coaster, ri-ri-ride 우린 바람을 갈라 so incredible 달려 make me feel so high, na-na-na 지금 기분이 어때? how incredible 온몸이 다 젖은 채로 난 번쩍 눈을 떠 환상적인 순간에 사로잡혀서 소름이 막 돋은 채로 거칠게 숨을 쉬어 혜성처럼 밝고 선명했던 꿈 Shooting star roller coaster, ri-ri-ride 우린 바람을 갈라 so incredible
					",댄스,neutral: 87.5% sadness: 4.2% love: 4.2% enthusiasm: 4.2%,enthusiasm
34773088,하이라이트 (HIGHLIGHT),DAYDREAM,DAYDREAM,"
							다른 맘을 맞추고 같은 길을 걷다 보면 끝이란 내 맘과는 상관없이 나곤 해,I'm in trouble 점점 더 잿빛으로 변하고 있는 걸 날 좀 잡아줘 고독한 밤이 나를 감싸 오는 걸,손을 뻗어 소리쳐 봐도 닿지 않는 너인데 느껴지지 않아 I'm so lost,꿈을 꿔 DAYDREAM 난 매일 혹시라는 꿈을 꿔 계속 DAYDREAM 영원히 어지러운 미로 속,Because I love you, love you, love you 내가 살아가는 모든 이유 바로 너라고 오직 너라고 꿈에서 깨도 꿈인 걸,멍하니 걸어 네가 있는 그곳 흔적 따라 너의 숨결, 온기를 찾아 깨지 않는 꿈 꾸는 걸 DAYDREAM,머릿속에 펼쳐지는 드라마 결코 일어나지 않을 거라 날 타일러,남은 감정이라는 게 심장에 넘쳐 흐를 듯해 온몸에 울리는 네 목소리,손을 뻗어 소리쳐봐도 닿지 않는 너인데 느껴지지 않아  I'm so lost,꿈을 꿔 DAYDREAM 난 매일 혹시라는 꿈을 꿔 계속 DAYDREAM 영원히 어지러운 미로 속,Because I love you, love you, love you 내가 살아가는 모든 이유 바로 너라고 오직 너라고 꿈에서 깨도 꿈인 걸,항상 나의 예측관 다른 너였으니까 이번에도, 혹시라도 그럴지,차갑도록 얼어버린 내 두 손 끝에 닿아줘 다시 올 수 있게,오늘도 DAYDREAM 쉼 없이 혹시라는 꿈을 꿔 계속 DAYDREAM 영원히 어지러운 미로 속,Because I love you, love you, love you 내가 살아가는 모든 이유 바로 너라고 오직 너라고 꿈에서 깨도 꿈인 걸,멍하니 걸어 네가 있는 그곳 흔적 따라 너의 숨결, 온기를 찾아 깨지 않는 꿈 꾸는 걸 DAYDREAM
					",댄스,neutral: 55.3% sadness: 13.2% love: 13.2% enthusiasm: 18.4%,enthusiasm
35640858,NCT 127,"1, 2, 7 (Time Stops)",질주 (2 Baddies) - The 4th Album,"
							달이 비춘 거리 위 This evening 쉬어 갈 틈이 없는 Fast track in my life 시간도 시간에 쫓긴 채 Yeah 게으를 줄을 몰라 So fast 시곌 멈출 방법이 있어 단 한 가지 살짝 눈 감아 난 천천히 네게 알려줄 테니 1 2 and maybe 7 o’clock 너와 함께 하는 Time 세상은 Stops When I’m with you baby 4 5 6 or 11 o’clock hey 꿈속 Night 꿈 밖의 Day 네 순간은 내 기억 속에 Stop You make time just stop you make time stop 스물네 조각의 시간으로 이은 1 day 빼곡해 완벽해 다른 건 I don't mind yeah 네 미소 또는 눈물 어린 모든 Time 원해 Press pause 원해 Press rewind Girl you’re shaking and breaking me 우린 원이 되니까 넌 나의 끝이자 나의 모든 Start 네 1초를 나에게 줄래 더 오래 함께 할게 난 ah 1 2 and maybe 7 o’clock 너와 함께 하는 Time 세상은 Stops When I’m with you baby 4 5 6 or 11 o’clock hey 꿈속 Night 꿈 밖의 Day 네 순간은 내 기억 속에 Stop You make time just stop you make time stop 네 손등만 스쳐도 My heart stops beating 언제나 이 순간처럼 함께한 Dreaming 꿈으로 그린 I I 지금 우리 I I couldn’t change you even if I could I couldn’t 또 내 마음은 Won’t stop (won't stop) 엎어 모래시계 When it drops (when it drops) 멈춰 세운 Sky yeah I feel high 네 1초, 2초 간직할게 다 Don’t say a word 시침의 발을 멈춰 세운 밤 (Oh 이 밤) 같은 꿈 그 안의 Fantasy Don’t say a word 늘 시간보다 우린 천천히 (Right here next to me) 순간을 찬란히 1 2 and maybe 7 o’clock 너와 함께 하는 Time 세상은 Stops When I’m with you baby 4 5 6 or 11 o’clock hey 꿈속 Night 꿈 밖의 Day 네 순간은 내 기억 속에 Stop You make time just stop you make time stop Girl you make time stop girl you make time stop When I’m with you baby you make time stop
					",R&B/Soul,neutral: 51.9% sadness: 14.8% enthusiasm: 22.2% love: 11.1%,enthusiasm
33097909,TimeFeveR (타임피버),빌어먹을 (Prod. HOWOW),요즘,"
							I just wanna don So do you oh we need a lot of money to get love friend or happy we unhappy Is there any other way 눈 깜빡하니 어른 다들 뭐 비슷했을거거든 뒷걸음치고 다시 돌아가고싶어 그때로 술에 쩔은 채로 아무 생각없이 살았던 내가 한심했지만 지금보단 행복했다고 ouu yeah 몇푼 없는 돈으로 노래방이면 충분 ouu yeah 돈 없다면 떨어진 꽁초면 충분 ouu yeah 하루면 택배 ouu yeah 친구들이랑 캠핑 준비해 이젠 뒷바라지 못받겠으니 언제까지 이렇게 live in the bottom I don't know 더 이상은 떨어져버릴곳도 없어서 아직도 이 빌어먹을 돈 때문에 나는 아직도 멀어 내 성공에 빌어 나는 원해 내 성공 아직도 멀어 내 성공에 I just wanna 돈 I just wanna 돈 I just wanna 돈 I just wanna 돈 이 빌어먹을 돈 때문에 이 빌어먹을 돈 때문에 더 더 벌어야해서 버려야했어 서러웠던 자존심 uh 더러워졌던 얼어버린 성격 돌아가고싶어져 여러명 점점 떠버려 나의 옆 쟤네들은 더 수면 위로 불안해 영영 여기서 쳐밖혀살까봐 전단지 돌리며 팔았지 그때 내 가치를 4500원 이제는 먹고 살만은 해졌지만 월세는 버거워 하루살이 인생에 안주하고 술 쳐먹었어 다들 날 떠나고 핑계를 댔어 쟤넨 소시오라고 어찌보면 당연한거라고 언제까지 이렇게 live in the bottom I don't know 더 이상은 떨어져버릴곳도 없어서 아직도 성공한 놈은 나보다 지금도 더 열심히 걷거든 그동안 걸은것보다 몇배는 뛰어야 따라잡거든 ok 그래 맞어 난 더 쎄게걸어 내게 박수쳐주는 주위사람들 eyes on me 이 빌어먹을 돈 때문에 나는 아직도 멀어 내 성공에 빌어 나는 원해 내 성공 아직도 멀어 내 성공에 I just wanna 돈 I just wanna 돈 I just wanna 돈 I just wanna 돈 이 빌어먹을 돈 때문에 이 빌어먹을 돈 때문에 담임 said 음악은 돈도 못버는데 그만두는게 어때 근데 내 성공의 의민 달랐네 별로 못벌어도 난 내가 하고 싶은 음악 자유롭게 하면됐어 그리고 성공했어 근데 이 빌어먹을 세상에선 성공의 증거는 돈 이 빌어먹을 자식새끼를 키워준 우리 부모님 저 빌어먹을 청주에서 유일하게 놀아줬던 분평놈들 이 빌어먹을 서울에서 날 사랑해준 내 호미들 전부에게 은혜갚어 그래서 존나 필요해 돈 I'm just looking for a way to make money 개무시 당해도 믿고 계속 따라가 촉 이 길 끝엔 아마겟돈일지도 모르지만 지망생으로 남기만하다 잊혀지고 싶지않아 그건 패배 미친듯이 뱉어 쎄게 잃을것도 없어 내겐 잡히는데로 다 했네 빌어먹을 hater들에게 전해 이 빌어먹을 돈 벌어서 빌어먹을 복수할게 빌어먹을 성공할게 
","랩/힙합, 인디음악",neutral: 64.1% sadness: 18.8% happiness: 1.6% enthusiasm: 10.9% love: 1.6% anger: 3.1%,enthusiasm
35454425,NewJeans,Attention,NewJeans 1st EP 'New Jeans',"
							You and me 내 맘이 보이지  한참을 쳐다봐 가까이 다가가 You see You see, ey ey ey ey,One, two, three 용기가 생겼지 이미 아는 네 눈치 고개를 돌려 천천히 여기 You see 여기 보이니,Looking for attention 너야겠어 확실하게 나로 만들겠어 Stop, eyyy Drop the question Drop the, drop the question Want attention Wanna want attention,You give me butterflies you know 내 맘은 온통 paradise 꿈에서 깨워주지 마,You got me looking for attention You got me looking for attention 가끔은 정말 헷갈리지만 분명한 건 Got me looking for attention,널 우연히 마주친 척할래 못 본 척 지나갈래 You’re so fine Gotta gotta get to know ya 나와 나와 걸어가 줘,지금 돌아서면 I need ya, need ya, need ya To look at me back Hey 다 들켰었나 널 보면 하트가 튀어나와,난 사탕을 찾는 baby (baby) 내 맘은 설레이지 Eyyy, drop the question Drop the, drop the question Want attention Wanna want attention,You give me butterflies you know 내 맘은 온통 paradise 꿈에서 깨워주지 마,You got me looking for attention You got me looking for attention 가끔은 정말 헷갈리지만 분명한 건 Got me looking for attention,You got me looking for attention You got me looking for attention 가끔은 정말 헷갈리지만 분명한 건 Got me looking for attention,A T T E N T I on Attention is what I want A T T E N T I on Attention is what I want A T T E N T I on Attention is what I want A T T E N T I on You got me looking for attention
					",댄스,neutral: 76.5% enthusiasm: 11.8% sadness: 5.9% love: 5.9%,enthusiasm
36729687,PLAVE,여섯 번째 여름,ASTERUM : The Shape of Things to Come,"
							영원을 말했죠 꿈이 아니기를 혼돈 속을 지나면 반짝일 거라고,소나기가 내려오면 이건 잠시뿐일 거야 눈이 부신 그날의 기억은 기적이니까요,좀 더 멀리멀리 닿을 수 있을까 길고 긴 여정에 마침표를 찍을 수만 있다면,마지막 땀방울의 결말은 헛된 길이 아닐 걸 잘 알아,반복되는 계절의 중간에 있어 그토록 바랬던 어둠 속의 빛을 찾고 말았어 너에게로 달려가는 이 시공간을 넘어서 닿은 이곳은 여섯 번째 여름의 시작이었단 걸 꿈꿨어,푸른 하늘, 마치 눈물 같아 날이 밝아도 결국 쏟아진다 하염없이 달려온 길 위 oh,속도를 올렸어 망설이다 전부 다 놓쳐 버릴까 또 일곱 번의 여름은 없을 거라고 끝이 없던 평행곡선 결국 같은 곳을 지나왔어,좀 더 멀리멀리 닿을 수 있을까 길고 긴 여정에 마침표를 찍을 수만 있다면,마지막 땀방울의 결말은 헛된 길이 아닐 걸 잘 알아,반복되는 계절의 중간에 있어 그토록 바랬던 어둠 속의 빛을 찾고 말았어 너에게로 달려가는 이 시공간을 넘어서 닿은 이곳은 여섯 번째 여름의 시작이었단 걸 꿈꿨어,꿈일까 꿈일까 우리 함께하는 이 순간 (꿈같아),마법 같은 하루가 (결국엔 사라질까),그칠까 그칠까 찬란히 반짝이던 눈물의 기적 빛나줘,반복되는 계절의 중간에 있어 그토록 바랬던 어둠 속의 빛을 찾고 말았어 너에게로 달려가는 이 시공간을 넘어서 닿은 이곳은 여섯 번째 여름의 시작이었단 걸 꿈꿨어 
",록/메탈,enthusiasm: 11.9% happiness: 4.8% love: 4.8% neutral: 52.4% sadness: 26.2%,enthusiasm
34403017,호미들,하루가 달리,GENERATION,"
							하루가 달리 달라져가는 내 모습이 낯설었고 그 모습이 좋다가도 나만 살아남은 이 세상이 좀 원망스러워 사실 뭐 꿈을 이루는 것보다 꿈을 쫓는 순간이 제일 행복했던 것 같아서 바로 또 꿈을 몇 개는 더 꿔버렸어 지금 내가 조금 힘들어 보여도 걱정 마 애들아 난 절대 안질 거야 난 끝까지 너네의 힘이고 난 그 누구 앞에서도 안 굽힐 거야 그 누구보다 강하게 태어났고 이걸 누구보다 잘 알어 그 누구보다 강하게 살았고 이건 내 사람들은 모두가 알어 잘 봐 내 눈 나한테 장난치지 마 매일 진심이었고 내 삶이 증명했지 다  항상 집중 여긴 경쟁하는 곳이야 언제든 난 싸울 준비가 돼있어야 하니까 잘 봐 내 눈 난 많이 유해졌지만 그래도 내 피는 죽을 때까지 끓으니까 항상 집중 니들은 모르겠지만 책임이란 단어는 진짜 무거운 거니까 날 질투하는 시선 뜨겁지 우리도 너네 맘 알아 아무렴 우리가 뭘 해도 띠껍지 너넨 모르니 우리 삶 가짜 친구들은 작별 인사 진짜는 남기지 동네로 가 난 영화처럼 타고 죽이는 차 엄마는 차려줘 진수성찬 하루가 달리 i fly 나 빛이 통장 잔고가 나 솔직히 변한 건가 아미리 처음 가진 날 나 제일 행복했어 다 첫 정산 날보다 지금이 20배씩 다 커져버린 뒤여도 내 삶 가지게 돼버렸어 비싼 차를 하기도 전에 내 첫 번째 투표 그래도 여전히 참말로 어색해 밖에 나가는 게 놀러 아 카메라 터지는 장소는 짜증나 못 참아서 나는 눈뽕 또 하루가 가니까 오늘의 우리도 없어지겠지 오늘로 잘 봐 내 눈 나한테 장난치지 마 매일 진심이었고 내 삶이 증명했지 다  항상 집중 여긴 경쟁하는 곳이야 언제든 난 싸울 준비가 돼있어야 하니까 잘 봐 내 눈 난 많이 유해졌지만 그래도 내 피는 죽을 때까지 끓으니까 항상 집중 니들은 모르겠지만 책임이란 단어는 진짜 무거운 거니까 난 이제 꽤 벌어 외제차도 타 오로지 날 위해 난 밑바닥부터 억대로 왔어 이 어린 나이에 엄마 생일 못 챙겼던 내가 이리 된 게 말이 돼 그토록 말하던 가족 친구를 챙길 수 있어 마침내 mama i made it all 철없던 나였지만 내 꿈은 에스키모 이글루를 만들어 다이아로 미래가 없었던 내가 내 친구의 미래를 챙겨 우리가 가짜니 하는 똥 같은 소린 내 돈이 대신 대변 우리는 차에만 8억을 썼어 너는 겨우 해봤자 렌터카 y&amp;r 우린 쓰레길 치우고 다이아를 쓸어 like 제설차 너네가 말로만 할 때 행동으로 움직이고 노력했어 난 이걸론 부족해 다음 목표를 정해 쉴 수 없어 나는 매 순간 잘 봐 내 눈 나한테 장난치지 마 매일 진심이었고  내 삶이 증명했지 다 항상 집중 여긴 경쟁하는 곳이야 언제든 난 싸울 준비가 돼있어야 하니까 잘 봐 내 눈 난 많이 유해졌지만 그래도 내 피는 죽을 때까지 끓으니까 항상 집중 니들은 모르겠지만 책임이란 단어는 진짜 무거운 거니까 
",랩/힙합,neutral: 66.7% love: 3.6% anger: 3.6% enthusiasm: 6.0% happiness: 2.4% sadness: 17.9%,enthusiasm
35730564,(여자)아이들,Change,I love,"
							Woke up in another new day Something has changed Don’t feel the same Alone hearing voices in my head Thought that I had it all But it feels like nobody cares, nobody cares In a tiffany dress, get off from white 벤 Walk the red carpet, 밝게 터지는 Flash 모든 세상의 관심 수많은 Fans 그래 사랑에 배가 부른 거지 매일 꿈꾸던 삶이야 그리고 꿈이 없어진 삶이야 대체 얼마나 대단한 걸 더 가져야 행복할까 궁금한 밤이야 Love and fame It seems to be enough When the truth is not that beautiful Tears and pain Are things I’ve never shown No one knows, no one knows, no one knows They think I’m okay Think I’m okay Wanna live my life like yesterday Never feeling down Never feeling down In the clouds, just stay there everyday Never coming down Never coming down Life has ups and downs, just realized (Nothing lasts forever yeah) One day if I fall, would you smile (And say you’ll be there for me) I’ve been lying awake these days Can’t get away Everyone changes Every time you smile, don’t you pretend Ask myself every night and realize things Won’t be the same, won’t be the same Love and fame It seems to be enough When the truth is not that beautiful Tears and pain Are things I’ve never shown No one knows, no one knows, no one knows That I’m not okay I’m not okay Wanna live my life like yesterday Never feeling down Never feeling down In the clouds, just stay there everyday Never coming down Never coming down Life has ups and downs, it’s alright (Nothing lasts forever yeah) One day I will fall, can’t deny (But I know you won’t leave) Wanna live my life like yesterday Never feeling down Never feeling down In the clouds, just stay there everyday Never coming down Never coming down 
",R&B/Soul,neutral: 33.3% love: 16.7% enthusiasm: 16.7% sadness: 16.7% happiness: 16.7%,enthusiasm
37048498,PLAVE,Merry PLLIstmas,Merry PLLIstmas,"
							Starry night 오늘을 준비했어 널 위한 노래와 크리스마스 선물들이 떨리는 내 심장소린 널 향한 연주가 되었죠 Mistletoe 우리들의 멜로디 하얀 솜 쌓여가는 이야기 따듯한 겨울눈이 falling 산타는 없죠 Say I love you Don’t leave me alone I will tell you one thing, lady 사랑에 빠져버린 것 같아 꿈을 꾼다 흰 눈이 널 닮은 이 순간 멜로 영화처럼 마침내 우린 결말이 되었죠 Christmas for you 꿈만 같아 온 세상이 멈춘 이 순간 너를 바라볼 때 눈송이가 수많은 별이 되어 반짝일 거야 사랑일까 새하얀 눈이 (펑펑) 내리는 거리 (펑펑) 만나러 가지 떨리는 아이 Christmas party 12시 지나면 종이 울릴 텐데 I swear to god I’ll love you forever babe Say I love you Don’t leave me alone I will tell you one thing, lady 사랑에 빠져버린 것 같아 꿈을 꾼다 흰 눈이 널 닮은 이 순간 멜로 영화처럼 마침내 우린 결말이 되었죠 Christmas for you 꿈만 같아 온 세상이 멈춘 이 순간 너를 바라볼 때 눈송이가 수많은 별이 되어 반짝일 거야 눈이 내리죠 그대 올까요 혹시라도 내가 놓칠까 봐 그대가 보여 내리는 눈 사이로 ooh 꿈을 꾼다 흰 눈이 널 닮은 이 순간 멜로 영화처럼 마침내 우린 결말이 되었죠 Christmas for you 꿈만 같아 온 세상이 멈춘 이 순간 너를 바라볼 때 눈송이가 수많은 별이 되어 반짝일 거야 Merry Christmas
					",R&B/Soul,happiness: 12.5% neutral: 50.0% sadness: 6.2% enthusiasm: 18.8% anger: 9.4% love: 3.1%,enthusiasm
