곡 ID,아티스트,곡 이름,앨범,가사,장르,감정 비율,최종 감정 분류
35595140,기리보이,"100℃ (Prod. 기리보이, YEOHO) (Feat. YUNHWAY)",스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),"
							Get that money &amp; 열 밤하늘의 펄 나는 날아가지 벌 난 돌직구 너는 커브 Cup 안에 Cup 안에 Cup 안에 Cup 야바위 같은 세상에 나는 도사 같은 포즈 Hm 술 안 마셔도 한 도수 높아 타오르는 열 위에서 춤을 춰 Tough Guy I’m on my level Pro Gamer 내 영혼들은 많아 남자 버전의 aespa 난 영감을 받고 다시 또 창의력 가뭄 다시 또 열기를 발견 난 이걸 10년째 반복 다시 또 쉬어갈 수 있는 타이밍이 나와 그 사이에도 새로운 이야기들이 나와 난 그냥 물처럼 흘러가는 존재 빽도가 돼도 나는 절대 안돼 고체 타오르고 있는 열 같은 나무여도 내 건 뭔가 다른 결 서른이 돼도 계속 더 추구하는 변화 그때 가서 만들어지는 한 편의 영화 너의 반지를 던져 여긴 새빨간 용암 회색 도시 속에 활짝 피어 나는 성화 Hands in the air 미지근해진 여기에는 더욱더 필요하지 예열 섭씨 100℃ 섭씨 100℃ 섭씨 100℃ 섭씨 100℃ look at me you like what you see i know i’d like to see you do your thing and give it to me hard 내 머리 어깨 무릎 발은 drippin so hard got that sauce you know what it is i’m finger licking right 빛이 나 내 body i see you think about it 우린 있어 차이가 i’m not just anybody 네 눈이 부셔 가리지 앞을 난 다르니까 빛이 날 감싸니까 쳐다볼 수가 없잖아 you can do better you know i’m better can no nobody do you like that uh look in the mirror somebody tell her cannot compare us you know i’m better boilin hot that’s me you’re not you’re barely 99 i’m one hunnit and some more yeah i set it all up on fire get it bounce bounce bounce bounce bounce bounce bounce you a liar ass on fire blow it out yeah bounce bounce ain’t no ounce of truth in what you talkin bust em pounce pounce pissin from your mouth you wastin time yeah imma bounce bounce 난 불 넌 재가 돼 ok 먼지 같은 넌 그런 존재 난 불 넌 재가 돼 ok 먼지 같은 넌 그런 존재 oh I 난 뭐가 되던 내가 하면 i just do it better 날 따라 하기만 하면 돼 cuz i’m trendsetter 두 손을 높이 하늘 위로 올려봐 tonight 땀은 식힐 수 없어 이 온도가 섭씨 100℃ 섭씨 100℃ 섭씨 100℃ 100℃ 
",랩/힙합,neutral: 75.0% happiness: 2.8% love: 8.3% anger: 8.3% sadness: 5.6%,anger
36417476,ASH ISLAND,WONDER,ROSE,"
							Hey hey Ooh ooh ooh (I was just thinking bout u thinking bout u lately) Ooh ooh (But all the things i wonder all the things i wonder is u) You are like a fire 네 눈빛이 잊혀지질 않아서 너와 난 도대체 우연이 뭐길래 왜 다른 사람들 같이 만나지를 못해 I’m just sayin bout love 나의 생각도 들어보지도 않은 채로 가지 넌 I will say no more 화가 나다가도 너의 눈으로 내 심장을 녹이지 넌 I don’t know why 하필 우리는 왜 만났을까 그 많은 사람 속에서 U got me drivin crazy I don’t f**kin care 일단 먼저 우리 집으로 갈래 Drivin drivin drivin drivin too fast 널 당장 잡으라고 말해 In my head 별생각이 들어 Way home But all the things i wonder All the things i wonder is u Drivin drivin drivin drivin too fast 널 당장 잡으라고 말해 In my head 별생각이 들어 Way home But all the things i wonder All the things i wonder is u 우리 만남은 연기 같아 차가운 방향으로 가니까 Shall we walk outside (No, no girl) 거짓말 아까 너도 날 쳐다봤잖아 I don’t wanna waste time I copped a new car 태워줄게 원하면 내 손을 잡아 다 내게 맡겨 해가 뜨기 전까지 Cuz I don’t wanna waste time 안 해도 돼 생각 Damn 어차피 넌 내가 아니어도 괜찮다는 말은 왜 U got me drivin crazy I don’t f**kin care 일단 먼저 우리 집으로 갈래 Drivin drivin drivin drivin too fast 널 당장 잡으라고 말해 In my head 별생각이 들어 Way home But all the things i wonder All the things i wonder is u Drivin drivin drivin drivin too fast 널 당장 잡으라고 말해 In my head 별생각이 들어 Way home But all the things i wonder All the things i wonder is u Ooh ooh ooh (I was just thinking bout u thinking bout u lately) Ooh ooh ooh (But all the things i wonder all the things i wonder is u) 
",랩/힙합,sadness: 4.3% neutral: 87.0% anger: 4.3% love: 4.3%,anger
35197784,릴러말즈 (Leellamarz),하지마,TOYSTORY3,"
							넌 뭘 해도 예쁘니까 화장하지마 스케줄 비워놨으니까 딴 데 가지마 I love you so much 조금 뻔하지만 더는 아무 말도 내게 하지마, Baby 둘이 여행 가자 Skrr skrr 우리 목적지는 속초 바다 보이는 곳 어디던 다 좋아 벗어 재끼자 전부 휙휙 3점 슛 Swish 왼손은 거들 뿐 Swish 다 한 거지 네 얼굴이 거저먹고 가는 Assist 덕에 나는 MVP in this game 다른 래퍼들은 몰라 이런 얘기 걔네 월급 One night for us 전부 나한테는 그냥 껌이라는 거지 쟤네들은 입만 열면 거짓말 Baby 저런 얘기들은 듣지마 더는 가짜들한테 속지마 원래 진짜들은 절대 무섭지 않아, 넌 뭘 해도 예쁘니까 화장하지마 스케줄 비워놨으니까 딴 데 가지마 I love you so much 조금 뻔하지만 더는 아무 말도 내게 하지마 다시는 하지마, 넌 뭘 해도 예쁘니까 화장하지마 스케줄 비워놨으니까 딴 데 가지마 I love you so much 조금 뻔하지만 더는 아무 말도 내게 하지마, 이번이 마지막 기회야 그러니까 하지마 내일은 아무 데도 가지마 네 웃음은 아주 그냥 살인마 난 이런 거에 도 텄지 달인이야 돈도 많아 전 여친은 신사임당 그러니까 장난질은 하지마 진지한 날 두고 어디 가지마, 넌 뭘 해도 예쁘니까 화장하지마 스케줄 비워놨으니까 딴 데 가지마 I love you so much 조금 뻔하지만 더는 아무 말도 내게 하지마 다시는 하지마, 넌 뭘 해도 예쁘니까 화장하지마 스케줄 비워놨으니까 딴 데 가지마 I love you so much 조금 뻔하지만 더는 아무 말도 내게 하지마, 전부다 하지마 그런 말도 하지마 전부다 하지마 싫다고 하지마 전부다 하지마 진짜 다신 하지마 이번이 마지막 다시는 하지마
					",랩/힙합,anger: 13.6% neutral: 65.9% love: 20.5%,anger
32596005,호미들,사이렌,Ghetto Kids,"
							울려댔어 사이렌 텅 빈 길거리엔  도망치다 흘린 칼자루와 피가 흥건해 우리 그때 어릴땐 뭘 몰랐었지 man 그냥 힘쎈 형이 제일로 멋졌었지 그땐 그래 우린 살아나왔어 지옥 이제 어딜가든 다 비옥 수도 없이 맛본 치욕 어릴때부터 입에 붙은 쌍욕 절대 할 수 없었지 신고 할 수 있는게 오직 기도 어떻게 느끼겠어 피곤 붉게 물들지 않을려 내 흰옷 아무 방법이 없어 no way 돈만 준다면 해 노예 내 믿음이 바뀌기 전에 주변이 다 바뀌길 원해 아직 죽지마 ma bro 달려왔어 짓밟고 상처투성이된 몸 씻기엔 피가 물든 손 빈속에 피워대기엔 뻑뻑해 눈뜨고 나니 전봇대 일을 해도 don't payback 가난한게 make me 죄인 닥쳐 you know ma pain 편히자 now we safe 벌어들여 다 stack my chips 남들앞에 마침내 울려댔어 사이렌 텅 빈 길거린엔 도망치다 흘린 칼자루와 피가 흥건해 우리 그때 어릴땐 뭘 몰랐었지 man 그냥 힘쎈 형이 제일로 멋졌었지 그땐 그래 우린 살아나왔어 지옥 이제 어딜가든 다 비옥 수도 없이 맛본 치욕 어릴때부터 입에 붙은 쌍욕 절대 할 수 없었지 신고 할 수 있는게 오직 기도 어떻게 느끼겠어 피곤 붉게 물들지 않을려 내 흰옷 진흙탕에서 STARTED 바닥에서부터 클라이밍 닥치는대로 다 TRY SHIT 돈을 원했어 단지 성공을 할수 있다면 고민 없이 걸어 내 모가지 이젠 눈물없이 보지 못하겠어 내 어릴적 사진 엄마 내가 돈 못벌면 파 호적 차라리 죽는게 나으니 얼른 가난을 졸업하고말꺼야 난 반드시 변하지않아 나의 목적 평생 한길만 팠으니 멈추지않아 나의 도전 난 잃을께 없는 하층민 나의 친구들의 눈엔 아직 슬픔이 담긴 흰자 내 친구들을 꼰지를 빠엔 앉아 전기의자 어릴적에 생긴 상처들을 다 명품옷으로 위장 내가 죽는 한이 있더라도 절대 잃지않아 희망 울려댔어 사이렌 텅 빈 길거린엔 도망치다 흘린 칼자루와 피가 흥건해 우리 그때 어릴땐 뭘 몰랐었지 man 그냥 힘쎈 형이 제일로 멋졌었지 그땐 그래 우린 살아나왔어 지옥 이제 어딜가든 다 비옥 수도 없이 맛본 치욕 어릴때부터 입에 붙은 쌍욕 절대 할 수 없었지 신고 할 수 있는게 오직 기도 어떻게 느끼겠어 피곤 붉게 물들지 않을려 내 흰옷 
",랩/힙합,sadness: 38.7% neutral: 40.3% enthusiasm: 6.5% anger: 8.1% love: 6.5%,anger
37248286,PLAVE,우리 영화,ASTERUM : 134-1,"
							많은 장면들을 보내고 나면 엔딩크레딧에는 너와 나뿐이야 끝나지 않은 이야긴 계속돼 우리의 영화를 시작해,엄청난 사랑에 빠져 uh 너란 존재를 알게 된 건 oh 정말 Lucky me Lucky me,비슷한 모습에 운명이란 말을 믿었죠 마침내 시작된 우리 이야기를 써 내려가요,너란 영화 되어줄게 Highlight 나의 영화 되어줄래 마지막 한 편의 영화가 끝나도 끝이 아닐 거라고,멜로 영화 주인공은 너야   흑백 영화 속에 너만 빛나 막이 내리고 별빛들이 쏟아질 거야,화면 속에 너와 나 Feel like I'm Hollywood star BGM은 Nothin' 내가 불러 넌 내 앞에서 Right here 즐겨만 줘,한걸음 우리 손잡고 같이 걷자 두 걸음 아름다운 밤을 지새우자 You know what What a beautiful night 모닥불 is burnin' 너를 사랑할게 I'm in love,너란 영화 되어줄게 Highlight 나의 영화 되어줄래 마지막 한 편의 영화가 끝나도 끝이 아닐 거라고 멜로 영화 주인공은 너야 흑백 영화 속에 너만 빛나 막이 내리고 별빛들이 쏟아질 거야,함께 걸어가 줄래 진심이니까 내 손 놓지 마 함께 걸어가 줄 때 넘어지면 내 손잡아 줄래,함께 걸어가 줄게 힘들 때면 내 손을 잡을래 함께 걸어가 줄 때 눈부시게 아름다워져 hey,너란 영화 되어줄게 Highlight 나의 영화 되어줄래 마지막 한 편의 영화가 끝나도 끝이 아닐 거라고 멜로 영화 주인공은 너야 흑백 영화 속에 너만 빛나 막이 내리고 별빛들이 쏟아질 거야,많은 장면들을 보내고 나면 엔딩크레딧에는 너와 나뿐이야 끝나지 않은 이야긴 계속돼 우리의 영화를 시작해,
",랩/힙합,love: 22.0% sadness: 17.1% neutral: 26.8% anger: 34.1%,anger
34215820,염따,너와 나의 Memories,쇼미더머니 10 Episode 1,"
							너와 나의 Memories,떠올라 그때 갔던 뭐였더라 그때 듣던 우리만 아는 게 있었지,너와 나의 Memories,따라라라 따라라라라라 기타를 배웠었지  따라라라라라,너와 나의 Memories,We on a boat 껴안고선 번지 오늘만 사는 놈 우린 돼버려 먼지 꽂아줄게 plug 나는 너의 에너지 I got 너 on my mind 쟤들은 전부 겉절이,멋이 없을 바엔 차라리 난 관둘래 나를 믿는다면 그냥 가감 없이 I do that hip song rock tonight 흔들어봐 엉댕 너도 알고 있잖아 쟤넨 전부 뻔해,계속 달려왔잖아 앞만 보고 날 기억하는 놈들 전부 복통 호소 성공이란 말을 달고 사는 놈 Hey 새겨둬라 내 이름 365,너와 나의 Memories,떠올라 그때 갔던 뭐였더라 그때 듣던 우리만 아는 게 있었지,너와 나의 Memories,따라라라 따라라라라라 기타를 배웠었지  따라라라라라,너와 나의 Memories,메모리는 16기가 그게 무슨 개소리 나보고 노안이래 난 되기 싫어 대머리 내가 좀 잘되니 너는 꼴리나 봐 배알이 우릴 욕한 인터넷들 안 쓰나 봐 대가리,퍼플 보인 상으로 내 랩 또한 상으로 우린 절대 물러서지 못해 돌격 앞으로 랩으로 터트려버려 마치 배그 가스통 이제 돈 벌어 인정 못 함 나가 밖으로,내가 항상 말했어 난 절대 안 쳐 선빵 나 군필 아니라고 안 좋아해 건빵 난 아니라고 오빠가 내가 어려 너보다 이 이야기 전부 다 너와 나의 Memories,2007년엔 슈퍼루키 국힙의 미래가 내 대명사 모든 형들이 나를 원해 피처링 거절할 땐 매몰차 어 꽉 들어찬 내 메모장 랩만 하느라 행복했지 2021년 댓글엔 노잼에다 노력하는 꼴이 캐불쌍 ,쇼미 1등 해봤자야 다 거품  세상은 똑같애 주인공이 계속 바뀐 것뿐 shout out to 6년 만에 바른 소리만 해주는 염따거 똥꼬빠는 개소리들은 다 뻐끔,1등?한다고 다 좋을 순 없겠지만  이게 모든 게 다 좋은 기억이야 여기 모인 우리 모두가  행복으로 상금을 받을 순 없을까 우리가 함께 나눴던 말들과  울고 웃던 표정들까지 다 기억해 내가 원하는 건,너와 나의 Memories,떠올라 그때 갔던 뭐였더라 그때 듣던 우리만 아는 게 있었지,너와 나의 Memories,따라라라 따라라라라라 기타를 배웠었지  따라라라라라,너와 나의 Memories,세배하고 받은 돈 엄마 주머니 쏙 어른 되면 준다더니 10년이나 남았네 우리 엄마 아빠 나를 믿어주셔 화 목 토의 압박 수학 학원 싫어 ,나는 너무나도 바쁘게 살아가다 보니 세상이 힘들어 이 나이에 벌써 세상의 어려움을 느꼈어  인생의 쓴맛 사회의 쓴맛 엄마가 먹는 커피처럼 근데 나는 그딴 건 모르겠고 놀이터나 가고 싶어,초딩이 나와서 다 씹어 먹고 들어가 나보다도 못하는 사람들 천지 깔렸다 내가 우승하면 맛있는 거 사줄게 동생아 우리 집이 최고야 다른 집보다,좁은 골목길을 지나가면 빛이 반만 드는 창에 우리가 보여 감옥 같은 방에 빛이 들어오면 막연한 오늘에 희망이 잠깐 보여,샤워는 불가능하니까 머리는 드레드 어차피 팀 이름이 집시잖아 왈구 안 그래? 반지하라도 집이니까 양성 눈 부었네 이젠 그 위에 빌딩이 서겠지만,나는 아직 어린 앤가 여전히 내 맘은 그곳에 사라지는 게 두려워 난 전화할게 너와 나의 Memories,떠올라 그때 갔던 뭐였더라 그때 듣던 우리만 아는 게 있었지,너와 나의 Memories,따라라라 따라라라라라 기타를 배웠었지  따라라라라라,너와 나의 Memories,너와 나의 Memories 너와 나의 Memories 너와 나의 Memories 너와 나의 Memories
					",랩/힙합,neutral: 71.7% sadness: 8.7% love: 8.7% enthusiasm: 3.3% anger: 5.4% happiness: 2.2%,anger
33359725,호미들,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",사이렌 Remix,"
							울려댔어 사이렌 텅 빈 길거리엔 도망치다 흘린 칼자루와 피가 흥건해 우리 그때 어릴땐 뭘 몰랐었지 man 그냥 힘쎈 형이 제일로 멋졌었지 그땐 그래 우린 살아나왔어 지옥 이제 어딜가든 다 비옥 수도 없이 맛본 치욕 어릴때부터 입에 붙은 쌍욕 절대 할 수 없었지 신고 할 수 있는게 오직 기도 어떻게 느끼겠어 피곤 붉게 물들지 않을려 내 흰옷 침대가 없어서 엄마랑 잤어 매일 밤마다 우는 소리가 들려 난 대체 뭘 해야 되는지 몰라서  그냥 계속했어 자는 척 떨면서 BBQ 치킨을 시켰어 엄마는 우리를 속였어 고작 15000원 때문에 엄마 내가 돈 어떻게든 벌어올게 이제 남몰래 눈물 흘리지 않아도 돼 내 몸 하나 불살라서라도 꺼내줄게 난 그 모습 다시 실눈 뜨고 볼 순 없기에 울려댔어 사이렌 텅 빈 길거리엔 도망치다 흘린 칼자루와 피가 흥건해 우리 그때 어릴땐 뭘 몰랐었지 man 그냥 힘쎈 형이 제일로 멋졌었지 그땐 그래 우린 살아나왔어 지옥 이제 어딜가든 다 비옥 수도 없이 맛본 치욕 어릴때부터 입에 붙은 쌍욕 절대 할 수 없었지 신고 할 수 있는게 오직 기도 어떻게 느끼겠어 피곤 붉게 물들지 않을려 내 흰옷 여기서 더 있다간 감방이 내 방 종신형이 친구 책가방 안에 어린 내가 짝사랑하던 그 여잔 이 block에서 지금 몸 팔아 새꺄 this real life 김치 냄새 땜에 놀려대길래 도시락통을 닫아 That’s real life 그런 날 보고 지 점심을 나눠준 꼬마가 있었어 That’s real life 어느 날 관 속에 그 친구의 얼굴을 만지게 됐어 That’s 울려댔어 사이렌 텅 빈 길거리엔 도망치다 흘린 칼자루와 피가 흥건해 우리 그때 어릴땐 뭘 몰랐었지 man 그냥 힘쎈 형이 제일로 멋졌었지 그땐 그래 우린 살아나왔어 지옥 이제 어딜가든 다 비옥 수도 없이 맛본 치욕 어릴때부터 입에 붙은 쌍욕 절대 할 수 없었지 신고 할 수 있는게 오직 기도 어떻게 느끼겠어 피곤 붉게 물들지 않을려 내 흰옷 
",랩/힙합,sadness: 27.3% neutral: 50.9% enthusiasm: 5.5% anger: 10.9% love: 5.5%,anger
31266290,방탄소년단,IDOL,LOVE YOURSELF 結 'Answer',"
							You can call me artist You can call me idol 아님 어떤 다른 뭐라 해도 I don't care I'm proud of it 난 자유롭네 No more irony 나는 항상 나였기에 손가락질 해  나는 전혀 신경 쓰지 않네 나를 욕하는  너의 그 이유가 뭐든 간에 I know what I am I know what I want I never gon' change I never gon' trade Trade off 뭘 어쩌고 저쩌고 떠들어대셔 I do what I do  그니까 넌 너나 잘하셔 You can't stop me lovin' myself 얼쑤 좋다 You can't stop me lovin' myself 지화자 좋다 You can't stop me lovin' myself OHOHOHOH OHOHOHOHOHOH OHOHOHOH 덩기덕 쿵더러러  얼쑤 OHOHOHOH OHOHOHOHOHOH OHOHOHOH 덩기덕 쿵더러러  얼쑤 Face off 마치 오우삼 ay Top star with that spotlight ay 때론 슈퍼히어로가 돼 돌려대 너의 Anpanman 24시간이 적지 헷갈림 내겐 사치  I do my thang I love myself I love myself I love my fans Love my dance and my what 내 속안엔  몇 십 몇 백명의 내가 있어 오늘 또 다른 날 맞이해 어차피 전부 다 나이기에 고민보다는 걍 달리네 Runnin' man Runnin' man Runnin' man 뭘 어쩌고 저쩌고 떠들어대셔 I do what I do  그니까 넌 너나 잘하셔 You can't stop me lovin' myself 얼쑤 좋다 You can't stop me lovin' myself 지화자 좋다 You can't stop me lovin' myself OHOHOHOH OHOHOHOHOHOH OHOHOHOH 덩기덕 쿵더러러 얼쑤 OHOHOHOH OHOHOHOHOHOH OHOHOHOH 덩기덕 쿵더러러 얼쑤 I'm so fine wherever I go 가끔 멀리 돌아가도 It's okay  I'm in love with my-my myself It's okay  난 이 순간 행복해 얼쑤 좋다 You can't stop me lovin' myself 지화자 좋다 You can't stop me lovin' myself OHOHOHOH OHOHOHOHOHOH OHOHOHOH 덩기덕 쿵더러러  얼쑤 OHOHOHOH OHOHOHOHOHOH OHOHOHOH 덩기덕 쿵더러러 얼쑤 
",랩/힙합,neutral: 70.8% anger: 16.7% love: 8.3% happiness: 4.2%,anger
34588192,TOIL,"Me (Feat. Skinny Brown, Owen)",Between Sat & Sun,"
							Because you are on my mind all of my days and every single night single night there aint no way to get you off my mind off my mind without you I just cant breathe you'll never get away from me you'll never get away from me you'll never get away from me you'll never get away from me stuck to me like glue 말한 대로 if life's a movie 너가 히로인 난 주위를 맴도는 drug addict now shootin now cut 실생활로 돌아와서 we can make it store shut woh hunnid round shots 내 지갑에 더 I don't want head cuz u in my head hey 네 생각 해 하루 종일 single night day after day don't you get away from me I got this block like lego 우리가 함께한다면 이 영화는 터질거야 fuego 내 이름 출처는 hustle &amp; flow yeah this my favourite movie that chosen 같이 보자 with some beer and corn 시간 있으면 내게 두 시간만 써줘 밤새도록 짜놓은 계획을 너에게 보여주고 싶어 영화가 여기 있어 Because you are on my mind all of my days and every single night single night there aint no way to get you off my mind off my mind without you I just cant breathe you'll never get away from me you'll never get away from me you'll never get away from me you'll never get away from me You're on my mind stuck inside my head like a brain I'd be breaking breads spread it nasty that's a goal in my head And when I'm up you're the first to pop up in my head I don't usually chase a skinny girl like you but what the hell Baby netflix and chill is outdated 보러 갈까 선셋 maybe we can rock out some designer clothes and let it Rain 잘 알아 넌 이런 경험 처음 내적 갈등 말고 Dance I've been plotting for this moment I've been waiting for my chance Cus you are on my mind I don't wanna waste your time Now I'm under the limelight I wrote about you last night Imma make my move on sight when things go wrong make right 'Rilla grip it's too tight 낮져밤이 every night Because you are on my mind all of my days and every single night single night there aint no way to get you off my mind off my mind without you I just cant breathe you'll never get away from me you'll never get away from me you'll never get away from me you'll never get away from me 
",랩/힙합,neutral: 75.0% anger: 16.7% sadness: 8.3%,anger
35888479,RM,Still Life (with Anderson .Paak),Indigo,"
							I’m still life I’m still life I’m still life I’m still life,난 still life, but I’m movin’ Just live now, goin’ forward yeah 멈추지 않는 정물 또 피워 나의 꽃을 Gimme no name cuz I’m untitled 계속 전시되는 내 삶 그래도 삶 아직도 삶,과건 가버렸고 미랜 모르네 두 갈래길에서 숨 고르네 벗어나고 싶어 이 캔버스의 틀 어제와 내일이 내게 드리운 그늘 난 그저 담담하게 live errtime 24/7 yeah baby I’m on time 난 그저 오늘을 살아 1분 1초마다 가진 전불 다 걸어 what you know about me huh?,I’m still life Ya can’t lock me in the frame, I’m movin’ I’m still life Life is better than the death, I’ll prove it I’m still life, but I’m movin’ Just live now, goin’ forward yeah 멈추지 않는 정물  또 피워 나의 꽃을 I’m still life, but I’m movin’ Just live now, goin’ forward yeah 멈추지 않는 정물 Yo I never stop bay, let’s get it now,Errday is my day 1, brotha Baby 난 돈으로 시간을 벌어 걔네 조롱은 듣지 마 니 귀 버려 꼭 버러지들 온라인에 목숨 걸어 Trendsetter? I’m a friend, better 식상해질 정도의 go-and-getter 결국 니가 원하는 대론 되지 않았지 바램관 달리 너무 잘 살아대네 내 뜻대로 huh 94 livin’ in 한남대로  91 look at my 탄탄대로 갈 일이 없어 이젠 강남대로 월세 밀린 넌 빨리 당장 방 빼고 What a poor flex hon’ look at yo chain  Me rather do it like “Look at my stain” 오늘을 살아 잡초처럼 걍 화초처럼 but I never stay,I’m still life Ya can’t lock me in the frame, I’m movin’ I’m still life Life is better than the death, I’ll prove it I’m still life, but I’m movin’ Just live now, goin’ forward yeah 멈추지 않는 정물  또 피워 나의 꽃을 I’m still life, but I’m movin’ Just live now, goin’ forward yeah 멈추지 않는 정물 Yo I never stop bay, let’s get it now
					",랩/힙합,neutral: 87.5% love: 4.2% sadness: 4.2% anger: 4.2%,anger
