곡 ID,아티스트,곡 이름,앨범,가사,장르,감정 비율,최종 감정 분류
36778867,도경수(D.O.),Somebody,기대 - The 2nd Mini Album,"
							언젠가부터 겁이 많아진 것 같아 자꾸만 내가 아닌 내가 되는 기분 내게 사랑이란 영화 같지 않아 Always 어쩌면 매번 맞지 않는 눈높이를 계속 맞추려고 혼자 애쓴 거지 그게 맘을 쉽게 지치게 했던 것 같긴 해 I want somebody 걸음이 더디긴 해도 I want somebody 뜨겁게 타진 않더라도 모든 내 방식들이 다 답인 듯이 또 가만히 내 손을 잡아주는 내 맘속에 누군가 다가와 주길 바래 I love you I love you I love you I love you 누군가 나를 들여다보려고 하면 더 이상 감출 생각 없어 나도 이젠 나란히 내 옆으로 와서 서준다면 함께 걸을게 I want somebody 걸음이 더디긴 해도 I want somebody 뜨겁게 타진 않더라도 모든 내 방식들이 다 답인 듯이 또 가만히 내 손을 잡아주는 내 맘속에 누군가 다가와 주길 바래 I love you I love you I love you I love you I want somebody somebody who loves me 내 마음속 깊은 곳까지 내 사랑의 방식들까지 내 그대롤 I want somebody somebody who loves me 내 마음속 그림자까지 내 사랑의 표현들까지 다 알아줄 I want somebody 수많은 저 사람들 중 I want somebody 우연히 내게 다가와 줄 모든 내 방식들이 다 답인 듯이 또 가만히 내 손을 잡아주는 그 순간이 내게도 찾아와 주길 바래 I love you I love you I love you I love you
					",포크/블루스,neutral: 66.7% anger: 3.3% sadness: 6.7% love: 23.3%,love
37126395,10CM,소년,5.5 [소년],"
							잘 지냈나요 오랜만이죠 딱히 건넬 말은 없어도 비뚤어지고 못생긴 그 안경은 다시 봐도 참 볼품없군요,예쁜 그 애는 너의 진심을  절대 받아주지 않아요 조각난 채로 버려둔 마음이지만 아직까지도 반짝이니까,초라했던 인사도 어설픈 사랑 노래도 밤새 중얼거렸겠지만,눈을 떠 멋진 밤이 펼쳐지고 있어 세상이 무너지고 끝날 것만 같아도 건강하고 웃고 사랑하고 그대로 찬란하게 있어줘 예뻤던 소년의 마음,뻔하디 뻔한 노래 속에는 그 맘을 담을 수가 없어서 밤새 적었던 구겨진 편지 속에 그 눈물조차 멋졌다니까,잔인했던 거울 속 바보 같은 너의 모습 누구보다 미워했겠지만,눈을 떠 멋진 밤이 펼쳐지고 있어 세상이 무너지고 끝날 것만 같아도 건강하고 웃고 사랑하고 그대로 찬란하게 있어줘 예뻤던 소년의 마음,그렇게 아픈 말들로 그 밤을 새우지 마  언제나 사랑해 줘 너만은 따뜻하게 안아줘 예뻤던 소년의 마음,잘 지내줘요 울지 말아요 언젠가의 너는 반짝 빛나
					","인디음악, 포크/블루스",love: 24.1% sadness: 34.5% happiness: 13.8% neutral: 27.6%,sadness
32374061,DANIEL,은방울,꽃,"
							시간을 내 맘에 꼭 가득 안고 살아  지난 세월에 커져버린 그대가  나의 꽃이 되어 짙어져 버린 오늘이  그대에게 고마워  My love is a flower in your hands  우리의 시간이야 I’ll give you something unforgettable 영원한 마음이야 그리운 시간들은 물끄러미  나를 바라보면서  새하얀 모습으로  내가 좋아하던 그때 우리는  여전히 그 자리에 있더라 My love is a flower in your hands  우리의 시간이야 I’ll give you something  unforgettable  영원한 마음이야  My love is a flower in your hands  우리의 시간이야  I’ll give you something  unforgettable  영원한 마음이야  My love is a flower in your hands 우리의 시간이야 I’ll give you something unforgettable 영원한 마음이야 
","인디음악, 포크/블루스",neutral: 61.5% love: 38.5%,love
32548758,중식이,나는 반딧불,나는 반딧불,"
							나는 내가 빛나는 별인 줄 알았어요 한 번도 의심한 적 없었죠 몰랐어요 난 내가 벌레라는 것을 그래도 괜찮아 난 눈부시니까 하늘에서 떨어진 별인 줄 알았어요 소원을 들어주는 작은 별 몰랐어요 난 내가 개똥벌레라는 것을 그래도 괜찮아 나는 빛날 테니까 나는 내가 빛나는 별인 줄 알았어요 한 번도 의심한 적 없었죠 몰랐어요 난 내가 벌레라는 것을 그래도 괜찮아 난 눈부시니까 한참 동안 찾았던 내 손톱 하늘로 올라가 초승달 돼 버렸지 주워 담을 수도 없게 너무 멀리 갔죠 누가 저기 걸어놨어 누가 저기 걸어놨어 우주에서 무주로 날아온 밤하늘의 별들이 반딧불이 돼 버렸지 내가 널 만난 것처럼 마치 약속한 것처럼 나는 다시 태어났지 나는 다시 태어났지 나는 내가 빛나는 별인 줄 알았어요 한 번도 의심한 적 없었죠 몰랐어요 난 내가 벌레라는 것을 그래도 괜찮아 난 눈부시니까 하늘에서 떨어진 별인 줄 알았어요 소원을 들어주는 작은 별 몰랐어요 난 내가 개똥벌레란 것을 그래도 괜찮아 나는 빛날 테니까 
","인디음악, 포크/블루스",love: 15.6% sadness: 12.5% neutral: 71.9%,love
30611680,10CM,폰서트,4,"
							이건 세상에서 제일 비싼 단독 공연 가수는 나고 관객은 너 하나 화려한 막이 이제 곧 올라가기 전에 그저 몇 가지만 주의해줘요 세상에서 제일 편한 옷을 갈아 입고 제일 좋아하는 자리에 누워 배터리가 바닥나지 않게 조심하고 통화상태를 항상 유지해줘요 듣고 싶은 노래를 말 만해 everything 입이 심심할 때는 coffee popcorn anything 너무 부담주진 말고 편하게 들어줘 아님 내가 너무 떨리니까 오직 너에게만 감동적인 노래 오직 너를 웃게 하기 위한 코너 네가 너무 설레 잠 못 들게 만들 거야 지금이야 크게 소리 질러줘 누구보다 특별한 너의 취향을 알아 달콤한데 슬픈 듯 아찔하게 맞지 근데 다음 곡이 중요해 볼륨 높여봐 기억 나니 우리 그 날 그 노래 내가 너무 진지해 보여도 웃지마 누가 봐도 완벽한 노래는 아니지만 많이 연습한 부분을 너 때문에 틀리잖아 아직 나는 너무 떨리니까 오직 너에게만 감동적인 노래 오직 너를 웃게 하기 위한 코너 네가 너무 설레 잠 못 들게 만들 거야 지금이야 크게 소리 질러 이 공연은 거의 다 끝나 가고 있어 어땠는지 말해줘 문자로 너무나 아쉽지만 졸린 거 이미 알고 있어 기대해줘 마지막 곡 이 중에서도 제일 감동적인 노래 오직 너를 웃게 하기 위한 코너 네가 너무 설레 잠 못 들게 만들 거야 지금이야 제일 원하는 걸 말해 어떤 노래를 다시 듣고 싶어 사실 내가 원해 네가 너무 설레 잠 못 들지 모르지만 앵콜이야 크게 소리 질러줘 이건 세상에서 제일 비싼 단독공연 가수는 나고 관객은 너 하나 
","인디음악, 포크/블루스",neutral: 53.3% love: 15.6% anger: 2.2% happiness: 15.6% sadness: 11.1% enthusiasm: 2.2%,happiness
8124417,10CM,봄이 좋냐??,3.2,"
							꽃이 언제 피는지  그딴 게 뭐가 중요한데 날씨가 언제 풀리는지  그딴 거 알면 뭐 할 건데 추울 땐 춥다고 붙어있고 더우면 덥다고 니네 진짜 이상해 너의 달콤한 남친은 사실 피씨방을 더  가고 싶어하지 겁나 피곤하대 봄이 그렇게도 좋냐 멍청이들아 벚꽃이 그렇게도 예쁘디 바보들아 결국 꽃잎은 떨어지지  니네도 떨어져라 몽땅 망해라 망해라 아무 문제 없는데  왜 나는 안 생기는 건데 날씨도 완전 풀렸는데  감기는 왜 또 걸리는데 추울 땐 추워서 안생기고 더우면 더워서 인생은 불공평해 너의 완벽한 연애는 아직 웃고 있지만 너도 차일거야 겁나 지독하게 봄이 그렇게도 좋냐 멍청이들아 벚꽃이 그렇게도 예쁘디 바보들아 결국 꽃잎은 떨어지지 니네도 떨어져라 몽땅 손 잡지 마 팔짱 끼지 마 끌어 안지 마 제발 아무것도 하지 좀 마 설레지 마 심쿵하지 마 행복하지 마 내 눈에 띄지 마 봄이 그렇게도 좋냐 멍청이들아 벚꽃이 그렇게도 예쁘디 바보들아 결국 꽃잎은 떨어지지 니네도 떨어져라 몽땅 망해라 망해라 망해라 망해라 
","인디음악, 포크/블루스",neutral: 71.9% sadness: 15.6% love: 9.4% happiness: 3.1%,sadness
36590463,볼빨간사춘기,여름날 (feat. 하현상),여름날 (feat. 하현상),"
							푸른 밤 우리 둘 아주 먼 여행을 기약하죠 초록빛으로 가득 채운 색으로 하늘을 칠해요,음음 한적한 골목  음음 우리만 아는 거리 시원한 커피 한 잔의 기찻길 역 자그마한 카페,여름날 우리 둘 손 잡고 멀리로 떠날까요 시원한 바람맞으며 걸어가는 이곳에 우릴 그려요,음음 한적한 골목  음음 우리만 아는 거리 시원한 커피 한 잔의 기찻길 역 자그마한 카페,여름날 우리 둘 손 잡고 멀리로 떠날까요 시원한 바람맞으며 걸어가는 이곳에 우릴 그려요,우리의 여름이 지나가고 싱그런 파도 소리와 함께 흩어지고 부서져도 오래도록 그곳에 여름날의 우리,여름날 우리 둘 손 잡고 멀리로 떠날까요 시원한 바람맞으며 걸어가는 이곳에 우릴 그려요
					","인디음악, 포크/블루스",neutral: 81.8% love: 4.5% sadness: 13.6%,sadness
34481683,아이유,너,조각집,"
							아득히 떨어진 곳에서 아무 관계없는 것들을 보며 조금 쓸쓸한 기분으로 나는 너를 보고픈 너를 떠올린다,아 애달프다 일부러 그러나 넌 어떨까 오늘도 어여쁜가 너 너,어딘가 너 있는 곳에도 여기와 똑같은 하늘이 드나 문득 걸음이 멈춰지면 그러면 너도 잠시 나를 떠올려 주라,다 너 같다 이리도 많을까 뜨고 흐르고 설키고 떨어진다 너 너,아득히 떨어진 곳에서 끝없이 흐노는 누구를 알까 별 하나 없는 새카만 밤 나는 너를 유일한 너를 떠올린다
					",포크/블루스,neutral: 73.3% sadness: 20.0% love: 6.7%,sadness
34930369,볼빨간사춘기,Seoul,Seoul,"
							Seoul 처음 만난 낯선 도시에서 사람들 사이에 빛이 나는 기타를 멘 멋진 소년과 yeah 사랑에 빠진 Love Story 들어볼래 지나치게도 소설 같은 이야기일 거야 Maybe Someday 꽃잎이 떨어지는 그날에 우리가 만난 그곳에서 멀리서 기타 소리가 들리면 나 너를 위해 노랠 부를 거야 City of light 빛이 가득한 이 도시에서 눈을 반짝이며 꿈을 꾸는 마이크를 쥔 멋진 소녀와 사랑에 빠진 Love Story Maybe Someday 꽃잎이 떨어지는 그날에 우리가 만난 그곳에서 멀리서 기타 소리가 들리면 나 너를 위해 노랠 부를 거야 언젠가 사랑했던 그 도시에서 내 목소릴 기억한다면 그때 우리 만나자 my Seoul Someday 너와 나 꿈꿔왔던 그날에 서로가 마주한 곳에서 환하게 미소 지을 수 있다면 나 너를 위해 노래해 Someday 그때 그날에 우리가 만난 그곳에서 멀리서 네 목소리가 들리면 나 너를 위해 노랠 부를 거야 
","인디음악, 포크/블루스",neutral: 41.7% love: 33.3% happiness: 20.8% enthusiasm: 4.2%,happiness
30611679,10CM,pet,4,"
							하루 종일 그대가 집에 오기만 무릎 꿇고 얌전히 기다렸다가 초인종이 울리면 문 앞에 앉아 반갑다 꼬리를 흔들 거야 누가 봐도 못되게 굴어 왔지만 오늘부턴 착하게 지내 볼 거야 다른 곳은 절대로 쳐다 보지마 온종일 너만 기다리니까 그대 없인 아무것도 못해내는 바보지 혼자 남은 30초를 못 견디고 아프지 그대 없인 삼시세끼 못 먹지 굶어 죽지 나를 혼자 남겨 두지마 나를 방치 하지마 날 묶어줘 보채고 혼내줘 너의 강아지처럼 길들여줘 네 침대에 네 품에 재워줘 24시간을 구속해줘 어딜 갔다 이제와 지금 몇 시야 혼자 있는 내 생각 안 하는 거야 잠이 안 온단 말야 옆에 있어줘 꼭 붙어 있어줘 밤새도록 내가 먼저 눈을 뜨고 굳이 너를 깨우지 하루 종일 정신 없이 네 주변을 맴돌지 근데 네가 원한다면 얌전히 있어 줄게 나를 혼자 남겨 두진 마 나를 방치 하지마 날 묶어줘 보채고 혼내줘 너의 강아지처럼 길들여줘 네 침대에 네 품에 재워줘 24시간을 구속해줘 혼자 남겨 두지마 나를 방치하지마 날 묶어줘 보채고 혼내줘 너의 강아지처럼 길들여줘 네 침대에 네 품에 재워줘 24시간을 구속해줘 또 어딜 가게 이 밤에 나 외롭단 말야 그럼 나도 데리고 가 나 무섭단 말야 
","인디음악, 포크/블루스",neutral: 56.8% sadness: 29.7% love: 13.5%,sadness
