곡 ID,아티스트,곡 이름,앨범,가사,장르,감정 비율,최종 감정 분류
34640959,김소연,가리워진 길,싱어게인2 - 무명가수전 Episode.10,"
							보일 듯 말듯 가물거리는 안개 속에 싸인 길 잡힐 듯 말 듯 멀어져 가는 무지개와 같은 길 그 어디에서 날 기다리는지 둘러보아도 찾을 수 없네 그대여 힘이 돼주오 나에게 주어진 길 찾을 수 있도록 그대여 길을 터주오 가리워진 나의 길 그 어디에서 날 기다리는지 둘러보아도 찾을 수 없네 그대여 힘이 돼주오 나에게 주어진 길 찾을 수 있도록 그대여 힘이 돼주오 그대여 힘이 돼주오 나에게 주어진 길 찾을 수 있도록 그대여 길을 터주오 가리워진 나의 길 가리워진 나의 길 
",록/메탈,neutral: 70.6% sadness: 11.8% enthusiasm: 17.6%,enthusiasm
34491913,Kep1er (케플러),WA DA DA,FIRST IMPACT,"
							Hey It’s you &amp; I Let’s start N N Now 도착한 이 Place Watch my step 나의 신호를 따라 5 4 3 2 1 A ha 꿈꿔온 모험 가까이 있어 있어 Take off With me With me Let’s go Muah 한 발 한 발 내디뎌 갈수록 내 마음은 떨려 Like it 선명해진 Dream 느껴지는 걸 Eh Oh Eh Oh Heads up 꿈을 향해 달려 달려 Stand up 너와 내 꿈 Higher higher 누구보다 빨리 달려갈 거야 네가 있는 곳으로 WA DA DA DA Running vroom vroom vroom Like a supersonic Let’s go WA DA DA WA DA DA 달려 Right now 맘이 쿵쿵쿵 뛰어 미친 듯이 WA DA DA WA DA DA Kep 1 going WA DA DA DA Oh Oh Oh Woah Hey Oh Oh Woah 너에게로 WA DA DA DA Oh Oh Oh Woah Yeah Yeah Oh Oh Woah Kep 1 going WA DA DA DA One Check it Two 신중히 좀 더 바짝 세워 Radar radar 눈치챌 거야 지금 이 떨림 I’m going to be brave yeah Like it 숨을 고르고 다시 Get Set Go Eh Oh Eh Oh Heads up 두려움은 날려 날려 Stand up 우리 함께 Higher higher 누구보다 빨리 달려갈 거야 그려왔던 곳으로 WA DA DA DA Running vroom vroom vroom Like a supersonic Let’s go WA DA DA WA DA DA 달려 Right now 맘이 쿵쿵쿵 뛰어 미친 듯이 WA DA DA WA DA DA Kep 1 going WA DA DA DA Oh Oh Oh Woah Hey Oh Oh Woah 너에게로 WA DA DA DA Oh Oh Oh Woah Yeah Yeah Oh Oh Woah Kep 1 going WA DA DA DA Yeah Run around and round 멈추지 말고 Trip on 꿈들이 이루어지는 모험 어딨니 나 보이니 자 시그널을 보낼게 Catch it Now get up Together 내 숨이 차도 I won’t give up Run run run 내가 보일 거야 WA DA DA DA Running vroom vroom vroom Like a supersonic Let’s go WA DA DA WA DA DA 달려 Right now 맘이 쿵쿵쿵 뛰어 미친 듯이 WA DA DA WA DA DA Kep 1 going WA DA DA DA Oh Oh Oh Woah Hey Oh Oh Woah 너에게로 WA DA DA DA Oh Oh Oh Woah Yeah Yeah Oh Oh Woah Kep 1 going WA DA DA DA 
",댄스,neutral: 61.9% enthusiasm: 19.0% love: 9.5% anger: 4.8% sadness: 4.8%,enthusiasm
36729686,PLAVE,왜요 왜요 왜?,ASTERUM : The Shape of Things to Come,"
							Make you go click click Make you go mad mad Make you go rec rec,I know I know 뻔해,너 정말 왜요 왜요 왜 왜요 왜요 왜 I don’t wanna hear anymore (nope nope nope),저한테 왜요 왜요 왜 왜요 왜요 왜 I don’t wanna feel anymore (nope nope nope),We make a trend 흔해빠진  밈들은 전부 **** off (넣어둬) We make a friend 트렌드를  아는 freak 모두 모여 (여기로),멋을 아는 shake it  Muscle 위한 프로틴 (yeah buddy) 안오는 놈들은 뭐야 나 집에 안갈꼬야,Tell me what you want  더 보여줄게 Tell me what you do  I’ll be your Rolex,너 정말 왜요 왜요 왜 왜요 왜요 왜 I don’t wanna hear anymore (nope nope nope),저한테 왜요 왜요 왜 왜요 왜요 왜 I don’t wanna feel anymore (nope nope nope),Day &amp; night 언제나  너의 곁에 있을게 (always) 이런말 하고 싶지 않지만  널 기다린 나란 말야 (bow wow),너 정말 왜요 왜요 왜 왜요 왜요 왜 I don’t wanna hear anymore (nope nope nope),저한테 왜요 왜요 왜 왜요 왜요 왜 I don’t wanna feel anymore (nope nope nope),
",랩/힙합,neutral: 66.7% enthusiasm: 20.0% love: 13.3%,enthusiasm
31602061,코요태,우리의 꿈,20th ANNIVERSARY 'REborn',"
							내 어린 시절 우연히 들었던 믿지 못할 한마디 이 세상을 다 준다는 매혹적인 얘기 내게 꿈을 심어주었어 말도 안돼 고개 저어도 내 안에 나 나를 보고 속삭여 세상은 꿈꾸는 자의 것이라고 용기를 내 넌 할 수 있어 쉼 없이 흘러가는 시간 이대로 보낼 수는 없잖아 함께 도전하는 거야 너와 나 두 손을 잡고 우리들 모두의 꿈을 모아서 외로움과 두려움이 우릴 힘들게 하여도 결코 피하지 않아 끝없이 펼쳐진 드넓은 바다에 희망이 우리를 부르니까 거센 바람 높은 파도가 우리 앞길 막아서도 결코 두렵지 않아 끝없이 펼쳐진 수많은 시련들 밝은 내일 위한 거야 말도 안돼 고개 저어도 내 안에 나 나를 보고 속삭여 세상은 꿈꾸는 자의 것이라고 용기를 내 넌 할 수 있어 쉼 없이 흘러가는 시간 이대로 보낼 수는 없잖아 함께 도전하는 거야 너와 나 두 손을 잡고 우리들 모두의 꿈을 모아서 외로움과 두려움이 우릴 힘들게 하여도 결코 피하지 않아 끝없이 펼쳐진 드넓은 바다에 희망이 우리를 부르니까 거센 바람 높은 파도가 우리 앞길 막아서도 결코 두렵지 않아 끝없이 펼쳐진 수많은 시련들 밝은 내일 위한 거야 원피스 
",록/메탈,neutral: 40.0% love: 8.6% enthusiasm: 17.1% sadness: 31.4% anger: 2.9%,enthusiasm
34215822,아넌딜라이트(Anandelight),쉬어 (Feat. MINO) (Prod. GRAY),쇼미더머니 10 Episode 1,"
							오늘은 눈 좀 붙이고 쉬어 굳어진 몸을 풀어 차가운 목걸이가 조여 숨이 잘 안 쉬어지잖아 꿈꾸러 가자 좀 쉬어 쉬어,집 앞 공사판 숨을 쉬어 밤이 되면 맘의 눈을 떠 관중들이 내는 환호성 보이지 않지만 꿈을 꿨어 yeah 어린 나는 이제 춤을 춰 2014의 불확실함에 벌벌 떨던 꼬마에게 말을 거네 yeah ""숨을 쉬어"" 숨을 들이쉬고 내쉬고를 반복 다시 넘어지더라도 일어나길 반복 결국 끝에 가선 푸른 풀밭이 날 반겨 쉴 만한 물가에서 비파와 수금으로 반격 yeah 이제 그냥 켜 봐라 TV 마술사 아닌데 NOW YOU SEE ME 거기서 외칠 말은 단 하나 다른 거 없다 마, 다만 하나님의 사랑 그저 편히 쉬어 너와 나의 mood 소리 높여서 숨을 내쉬어 Just one more time 한 번 더 준비 I'm ready 숨을 크게 들이쉬고 나서 Let it burn Let it burn I'mma show you how I did it Y'all get it?,난 못 쉬어서 한숨 쉬어 한숨 쉬어 가려 나온 게 show 많은 게 쉬워져 버려 아쉬워 대체 우리 언제 시원한 공기 마셔 1 for the show 2 for the money not her 8 mile 속의 에미넴이 말했어 기회는 한번 쥐어진 microphone Yo 첫 마디에 D.O.G we on it 나 서울로 다시 올라왔어 그때 그 건방진 녀석 언제 이리 컸어 관심 없어서 잘 몰랐어 So who that unofficialboyy 봤어 이수린 that's my name wassup Wassup 나왔어 방송 why 돈 벌러 왔어 다시 돌아왔어 돌고 돌고 돌아서 다시 돌아왔어 돌고 돌고 돌아 그물, 덫, 발사대기, 포획하러 show Show me the money, ackermann 또다시 돌아왔어 벌게 내비 둬 그냥 sure,오늘은 눈 좀 붙이고 쉬어 굳어진 몸을 풀어 차가운 목걸이가 조여 숨이 잘 안 쉬어지잖아 꿈꾸러 가자 좀 쉬어 쉬어,2000 slash 필요 없어 나만이 내 빽 그때 지하방의 제 목소리의 값어친 좀 있음 곧 돈이 됩니다 아버지 Ha 물음표 사람들은 이제 와서 내게 물어 또 그냥 아버지의 코골이가 구슬퍼 숨통 틔워주려 수천수만 번 죽였던 나의 스무 살에 하는 CPR Click, Pow, Revival 숨 쉬어 두 번째 삶의 첫 타이틀곡은 아이러니하게 ""쉬어"" 비워 나를 이제 미워하긴 너무나도 싫어 Yeah I believe Yeah now, so I believe 내가 너도 깨워줄게 너가 모르게 쓰러진 너를 위해 Clap 숨 쉬어, 숨 쉬어 yeah 내일의 내 일은 내일의 내가 데이게 해 채이고 베이던, 베이고 패이든 재생 패배의 냄새는 매캐해 매연의 백배야 baby 밝았던 눈, 밝았던 move, 가졌던 그 시절의 You 불러 일루 와 이제 그 쓰레기들을 다 모아 놓고 피우던 담배를 그 위에 투하,쉬는 것도 일, 일은 걍 일 잠드는 것도 내겐 다 일 눈 뜨고 있기 피곤하지 숨만 쉬어도 돈이 들어가니 그 돈을 위해 난 지금도 못 쉬어 커피가 내 포션 음음 내 무한도전 종방연은 멀었지 15년째 꾸준하게 넘고 있는 이 허들은 여전히 견고하지만 까진 무릎에도 내 비전은 새롭게 내 빽은 1만 시간 동기들은 내게 말해 쟤는 출퇴근 안 해 나보다 자유롭지 넌 몰라 그 자유로움의 무게가 얼마인지 내 가벼운 톤에 걸맞지 않는 내 책임감 장남의 고뇌 내 팀 내 동생 내 친구 내 식구를 담아놨기에 내 목은 이제 안 쉬어 쉬어 크게 숨을 쉬어 이미 난 Man of the year 음 Cheers Cheers 저 하늘 위로 렉시 누나처럼 다 일어서 yeah,오늘은 눈 좀 붙이고 쉬어 굳어진 몸을 풀어 차가운 목걸이가 조여 숨이 잘 안 쉬어지잖아 꿈꾸러 가자 좀 쉬어 쉬어,Pop like Beatles 시대의 시를 노래하지 내 전생은 이름 모르는 꽃일 거야 향기를 뿌리지 리스너들의 암술을 찾아내고 넌 꽂힐 거야 쉬어가지 말란 뭣 같은 말에 혹 하지 마 다 똑같이 말해 또 거짓말 뻔하지 콩깍질 껴야만 논하지 평판 난 결관 몰라 평가해 과정만 쉬어 같이 all night long 빨랑 빨랑 모여봐 여기 폴라로이드 찰칵 찰칵 거리지 모두 명장면 살짝 살짝 설� like an OH MY GIRL 쉬어, 직역하면 심호흡 거북이는 비웃어 쉼표의 미덕 개미들의 피로와 베짱이의 빈곤을 비교하자면 난 기타를 집어 우린 환상이라면 MBTI가 닿지 않는 곳 그 이상을 봐 나는 기다리지 당신의 애인과 다신 안 올 긴 Field trip 천천히 해 모두가 급해 우린 꿈들 그 언저리에서 도전해보며 생을 보내자고 왜 모델이 런웨이를 겁내는 건데 건배,오늘은 눈 좀 붙이고 쉬어 굳어진 몸을 풀어 차가운 목걸이가 조여 숨이 잘 안 쉬어지잖아 꿈꾸러 가자 좀 쉬어 쉬어,쉼표, 찍게 해 줘 이름표와 나의 ego 그 사이에 많은 허들 넘어 다니기엔 지쳐 오늘은 눈 붙여 조금만 쉬어 숨을 들이 마셔 조금만 쉬어
					",랩/힙합,neutral: 70.1% enthusiasm: 4.3% happiness: 1.7% love: 11.1% sadness: 11.1% anger: 1.7%,enthusiasm
36582899,NMIXX,Party O'Clock,A Midsummer NMIXX’s Dream,"
							It’s party time 별이 깨어나는 까만 여름밤 It’s party time 너의 잠을 훔쳐 떠나 we go far,한 여름밤 숲속의 이야기를 만들어봐 Right here, just you and I (ahh),터뜨려 Fireworks 신비한 일들이 일어날 거야 (Hey, buckle up, get ready, get ready to dance!),눈을 맞춰 저 달이 반쯤 잠이 든 지금 이 순간 (Hey, buckle up, get ready, get ready to dance!),이 숲속을 떠도는 hitchhiker  데려갈게 네가 원하는 location,Hey! 여기 이 순간에 Hey! The world just stop spinning Hey! 끝이 없는 밤 Mixx it up, go!,Come on over right now Come on over right now Cuz party is not a party without you Hurry up, join the party!,Waiting for you right now Waiting for you right now 마법에 걸린 밤 꿈을 꿔 우린 You know that,Beep-beep Jingling Jingling Keep-keep mingling mingling You are my answer tonight (Don’t stop),Beep-beep Jingling Jingling Keep-keep mingling mingling I’ll be your answer tonight (Don’t stop),하나둘 모여들어 이건 party invitation 머리 위로 흩날리는 confetti Get ready, celebration!,시작해 parade 우리의 Walking down Dream Avenue 꽃들의 환호 소리에 feeling so untrue,이 숲속에 자, 별가루를 뿌려 더 가볼게 닿지 못할 달의 station,Hey! Show your Face ID Hey! Eye to eye with me Hey! It’s unlocked baby Swipe up, let’s go!,Come on over right now Come on over right now Cuz party is not a party without you Hurry up, join the party!,Waiting for you right now Waiting for you right now 마법에 걸린 밤 꿈을 꿔 우린 You know that,Beep-beep Jingling Jingling Keep-keep mingling mingling You are my answer tonight (Don’t stop),Beep-beep Jingling Jingling Keep-keep mingling mingling I’ll be your answer tonight,NMIXX!,It’s party time 별이 깨어나는 까만 여름밤 It’s party time 너의 잠을 훔쳐 떠나 we go far,한 여름밤 숲속의 이야기를 만들어봐 Right here, just you and I Cuz with you, it’s a party,It’s a party, every time when you’re next to me So now it’s a party tonight,It’s a party, every time when you’re next to me So now it’s a party tonight,Come on over right now Come on over right now Cuz party is not a party without you Hurry up, join the party! (It’s not a party without you),Waiting for you right now Waiting for you right now 마법에 걸린 밤 꿈을 꿔 우린 You know that (It’s not a party),
",댄스,neutral: 78.9% sadness: 5.3% enthusiasm: 15.8%,enthusiasm
33097909,TimeFeveR (타임피버),빌어먹을 (Prod. HOWOW),요즘,"
							I just wanna don So do you oh we need a lot of money to get love friend or happy we unhappy Is there any other way 눈 깜빡하니 어른 다들 뭐 비슷했을거거든 뒷걸음치고 다시 돌아가고싶어 그때로 술에 쩔은 채로 아무 생각없이 살았던 내가 한심했지만 지금보단 행복했다고 ouu yeah 몇푼 없는 돈으로 노래방이면 충분 ouu yeah 돈 없다면 떨어진 꽁초면 충분 ouu yeah 하루면 택배 ouu yeah 친구들이랑 캠핑 준비해 이젠 뒷바라지 못받겠으니 언제까지 이렇게 live in the bottom I don't know 더 이상은 떨어져버릴곳도 없어서 아직도 이 빌어먹을 돈 때문에 나는 아직도 멀어 내 성공에 빌어 나는 원해 내 성공 아직도 멀어 내 성공에 I just wanna 돈 I just wanna 돈 I just wanna 돈 I just wanna 돈 이 빌어먹을 돈 때문에 이 빌어먹을 돈 때문에 더 더 벌어야해서 버려야했어 서러웠던 자존심 uh 더러워졌던 얼어버린 성격 돌아가고싶어져 여러명 점점 떠버려 나의 옆 쟤네들은 더 수면 위로 불안해 영영 여기서 쳐밖혀살까봐 전단지 돌리며 팔았지 그때 내 가치를 4500원 이제는 먹고 살만은 해졌지만 월세는 버거워 하루살이 인생에 안주하고 술 쳐먹었어 다들 날 떠나고 핑계를 댔어 쟤넨 소시오라고 어찌보면 당연한거라고 언제까지 이렇게 live in the bottom I don't know 더 이상은 떨어져버릴곳도 없어서 아직도 성공한 놈은 나보다 지금도 더 열심히 걷거든 그동안 걸은것보다 몇배는 뛰어야 따라잡거든 ok 그래 맞어 난 더 쎄게걸어 내게 박수쳐주는 주위사람들 eyes on me 이 빌어먹을 돈 때문에 나는 아직도 멀어 내 성공에 빌어 나는 원해 내 성공 아직도 멀어 내 성공에 I just wanna 돈 I just wanna 돈 I just wanna 돈 I just wanna 돈 이 빌어먹을 돈 때문에 이 빌어먹을 돈 때문에 담임 said 음악은 돈도 못버는데 그만두는게 어때 근데 내 성공의 의민 달랐네 별로 못벌어도 난 내가 하고 싶은 음악 자유롭게 하면됐어 그리고 성공했어 근데 이 빌어먹을 세상에선 성공의 증거는 돈 이 빌어먹을 자식새끼를 키워준 우리 부모님 저 빌어먹을 청주에서 유일하게 놀아줬던 분평놈들 이 빌어먹을 서울에서 날 사랑해준 내 호미들 전부에게 은혜갚어 그래서 존나 필요해 돈 I'm just looking for a way to make money 개무시 당해도 믿고 계속 따라가 촉 이 길 끝엔 아마겟돈일지도 모르지만 지망생으로 남기만하다 잊혀지고 싶지않아 그건 패배 미친듯이 뱉어 쎄게 잃을것도 없어 내겐 잡히는데로 다 했네 빌어먹을 hater들에게 전해 이 빌어먹을 돈 벌어서 빌어먹을 복수할게 빌어먹을 성공할게 
","랩/힙합, 인디음악",neutral: 64.1% sadness: 18.8% happiness: 1.6% enthusiasm: 10.9% love: 1.6% anger: 3.1%,enthusiasm
36634860,이세계아이돌,Another World,Another World,"
							매일 익숙한 풍경을 보면서 익숙한 사람 속에서 벗어나면 어떨지 상상해 좀 이상해,만일 나 모든 걸 할 수 있다면 나 뭐든지 될 수 있다면 저 높은 곳에서 별처럼 빛나고 싶어,그런 꿈만 같은 일이 일어날지도 몰라 지금 Another world another me 우리가 꿈꿨던 시간들이 나를 부르는 소리가 들려 하얀 빛이 날 감싸고 있어,난 가볼래 난 말할래 우리가 꿈꿨던 소원들이,모든 미래의 시작인 거야 하얀 빛이 날 부르고 있어 Another world,하루도 조용한 날이 없지만 솔직함엔 서툴지만 우리는 함께일 때 빛나서 더 소중해,그래 나 혼자선 두렵겠지만 지금처럼 함께한다면 그 어떤 미래도 기꺼이 가줄 수 있어,그런 꿈만 같은 일이 일어날지도 몰라 지금 Another world another me 우리가 꿈꿨던 시간들이 나를 부르는 소리가 들려 하얀 빛이 날 감싸고 있어,난 가볼래 난 말할래 우리가 꿈꿨던 소원들이,모든 미래의 시작인 거야 하얀 빛이 날 부르고 있어 Another world,(woo hoo hoo hoo hoo),Another world yeah,감은 눈을 뜨면 모든 게 사라질까 꿈과 현실의 벽이 허물어질까,Another world another me 우리가 꿈꿨던 시간들이,나를 부르는 소리가 들려 하얀 빛이 날 감싸고 있어,난 가볼래 난 말할래 우리가 꿈꿨던 소원들이,모든 미래의 시작인 거야 하얀 빛이 날 부르고 있어 Another world,,
",댄스,neutral: 45.7% love: 22.9% enthusiasm: 25.7% sadness: 5.7%,enthusiasm
36388573,Agust D,"Snooze (feat. Ryuichi Sakamoto, 김우성 of The Rose)",D-DAY,"
							나를 보며 꿈을 꾸고 있는 당신의 등 뒤엔 항상 내가 있으니 너무 걱정은 말어 추락이 두렵다면 기꺼이 받아줄게 그러니 나처럼 괴로워하지 말어 꿈을 위해서 쪽잠을 자는 그대 쉬어도 돼 오늘만큼은 꿈조차도 꾸지 말어 당신이 말없이 옅은 미소를 내게 띄워줄 때 그제서야 비로소 맘이 조금 놓여 많이 힘들 수도 있어 내가 걸어왔던 이 길이 꽃길 같아 보였겠지만 사방이 적인 가시밭길이었단 걸 알고 시작하길 꽃을 뿌려주는 이를 절대 너는 잊지 말길 웃고 있을 때 우는 이를 절대 잊지 마 그들은 니 미소에 하루를 살아가니까 반복되는 일정 속 내가 지워질 때 벅찬다면 괜찮아 그대 조금 쉬어도 돼 크게 울어줘 세상이 미워질 때 널 반기던 손이 손가락질로 변했을 때 한숨 크게 쉬고 시* *같네 외쳐도 돼 너 또한 누구와 다르지 않은 사람이기에 이 괴롭고 외로운 길을 넌 왜 선택했을까 그 이유를 시간이 지나도 절대 잊지 마 당신들의 꿈들이 꿈들로만 남지 않길 언제 어디서든 나 당신들을 응원할게 (dream) 꽃잎이 지고 떨어질 때 감싸줄게 good night 안개가 개고 흩어질 때 떠나갈게 bye Blooming dream 나를 보며 꿈을 꾸고 있는 당신의 등 뒤엔 항상 내가 있으니 너무 걱정은 말어 추락이 두렵다면 기꺼이 받아줄게 그러니 나처럼 괴로워하지 말어 꿈을 위해서 쪽잠을 자는 그대 쉬어도 돼 오늘만큼은 꿈조차도 꾸지 말어 당신이 말없이 옅은 미소를 내게 띄워줄 때 그제서야 비로소 맘이 조금 놓여 이곳은 총성 없는 전쟁터야 같은 동료들이 적이야 숫자가 보여주는 잔인하고도 이쁜 선악 남을 죽이지 못하면 내가 죽어야 돼 이 바닥은 링이 아닌데 왜 누굴 죽여야 해? 단순히 좋아했던 일이 조금은 싫어질 때 바램들이 바람에 사무쳐 휩쓸려 갈 때 괜찮아 지나 보면 모든 것이 추억이고 수업이 돼 잊지 마라 세상은 인내심이 그리 길진 않아 남의 논란에 절대 웃지 말길 너 또한 그 순간이 올지 모르니 너의 성공은 목줄이자 족쇄가 될 거고 더더욱 외줄 타는 기분들이 너를 옥죌 거야 그냥 크게 웃어줘 세상이 떠나가듯 그냥 버텨줘 당신이 어디 있든 당신들의 꿈들이 꿈들로만 남지 않길 언제 어디서든 나 당신들을 응원할게 (dream) 꽃잎이 지고 떨어질 때 감싸줄게 good night 안개가 개고 흩어질 때 떠나갈게 bye Blooming dream 다 괜찮아질 거야 다 괜찮아질 거야 다 괜찮아질 거야 다 괜찮아질 거야 다 괜찮아질 거야 다 괜찮아질 거야 다 괜찮아질 거야 다 괜찮아질 거야 다 괜찮아질 거야 다 괜찮아질 거야 다 괜찮아질 거야 다 괜찮아질 거야 다 괜찮아질 거야 다 괜찮아질 거야 다 괜찮아질 거야 다 괜찮아질 거야 Dream 그대의 창조와 삶의 끝에 함께 하길 Dream 그대의 자리가 어딜지라도 관대하길 Dream 결국 시련의 끝에 만개하길 Dream 시작은 미약할지언정 끝은 창대하리 Dream 마지막 꽃잎 떨어질 때 받아줄게 hold tight 무지개 끝에 닿았을 때 떠나갈게 bye Blooming dream 나를 보고 꿈을 꾸고 있는 당신의 등 뒤엔 항상 내가 있으니 너무 걱정은 말어 추락이 두렵다면 기꺼이 받아줄게 그러니 나처럼 괴로워하지 말어 꿈을 위해서 쪽잠을 자는 그대 쉬어도 돼 오늘만큼은 꿈조차도 꾸지 말어 당신이 말없이 옅은 미소를 내게 띄워줄 때 그제서야 비로소 맘이 조금 놓여 Dream 
",랩/힙합,enthusiasm: 10.6% neutral: 47.9% sadness: 29.8% love: 10.6% anger: 1.1%,enthusiasm
35360369,Royal 44,"할 것 Remix (with Chin, Uneducated Kid, Paul Blanco)",할 것 Remix,"
							Umm uh uh uh uh Royal 한눈 팔지 말 것 절대 방심하지 말 것 책임지고 있는 사람들을 꼭 기억 할 것 더 힘을 가질 것 더 많은 돈을 가질 것 어깨가 무거워도 절대 무너지지 말 것 한눈 팔지 말 것 절대 방심하지 말 것 책임지고 있는 사람들을 꼭 기억 할 것 더 힘을 가질 것 더 많은 돈을 가질 것 어깨가 무거워도 절대 무너지지 말 것 주식 하지 말 것 코인 하지 말 것 만약 투자 하더라도 몰빵은 하지 말 것 마약 하지 말 것 여자 조심할 것 만약 잠자릴 가진다면 녹음기 켜놓을 것 나는 나 자신을 알아 자만하지 말 것 불리하더라도 절대 비굴하지 말 것 익숙함에 속아 감사함을 잊지 말 것 힘들다고 해서 지름길로 가지 말 것 위험에 직면했을 때 두려워하지 말 것 만약 실패하더라도 남 탓하지 말 것 재개발 구역으로 다시 돌아 가지 말 것 힘들었던 그 시절을 절대 잊지 말 것 한눈 팔지 말 것 절대 방심하지 말 것 책임지고 있는 사람들을 꼭 기억 할 것 더 힘을 가질 것 더 많은 돈을 가질 것 어깨가 무거워도 절대 무너지지 말 것 큰 꿈을 가질 것 또 그 꿈을 꼭 이룰 것 무슨 일이 있어도 내가 뱉은 말은 지킬 것 가족을 챙길 것 힘들어도 꼭 버틸 것 본 것은 반만 믿고 듣는 대로 믿지 말 것 한놈도 안남기고 전부 다 데려갈 것 잃을께 생겼으니 내가 먼저 눈 깔을 것 그때로 돌아가지 안대 잊지도 말 것 내가 망하면 거리로 돌아갈걸 Aha 28그램을 담어 Aha but 사실 그건 아냐 option Aha but 사실 그건 아냐 option Can't go back home like this no way 'Cause everyone I love 나만 기다리네 I just say less 너가 때려도 배신 내가 아플게 대신 나를 이해 못해도 그런 널 이해해 'Cause you're all that I have 큰 꿈을 가질 것 또 그 꿈을 꼭 이룰 것 무슨 일이 있어도 내가 뱉은 말은 지킬 것 가족을 챙길 것 힘들어도 꼭 버틸 것 본 것은 반만 믿고 듣는 대로 믿지 말 것 한눈 팔지 말 것 절대 방심하지 말 것 책임지고 있는 사람들을 꼭 기억 할 것 더 힘을 가질 것 더 많은 돈을 가질 것 어깨가 무거워도 절대 무너지지 말 것 한눈 팔지 말 것 절대 방심하지 말 것 책임지고 있는 사람들을 꼭 기억 할 것 더 힘을 가질 것 더 많은 돈을 가질 것 어깨가 무거워도 절대 무너지지 말 것 
",랩/힙합,love: 23.4% neutral: 56.2% enthusiasm: 9.4% sadness: 10.9%,enthusiasm
