곡 ID,아티스트,곡 이름,앨범,가사,장르,감정 비율,최종 감정 분류
38211163,윤하 (YOUNHA),포인트 니모,YOUNHA 7th Album Repackage ‘GROWTH THEORY : Final Edition’,"
							마음을 좀 편히 먹어도 될걸 지금 아무도 없잖아  너의 나와 하늘과 바다 그뿐인걸 ,수많은 사람들 속  어쩌면 지쳐 왔던 걸지 몰라  수고했다 참 ,고요한 일상도  나쁘지는 않아  마음껏 그리워할 수 있으니 ,세상의 기쁨을 죄다 누린 것 같은 기분이었지  한켠에 피어나던 불안함과 싸워 이기면서도  어디까지 멀리 날아오르고 싶었던 걸까 그땐 그게 정답이었어 ,무슨 말이 좋을진 모르겠지만  가만히 들여다보면  서로서로 그만한 사정이 있잖아  내 삶 1회찬 나고  네 삶 1회차는 너일 이유가  있을 테니까 ,피어나고 질 때 세상의 총량은  어쨌거나 우릴 포함할 테니 ,석양이 지는 하늘에 물들어  밤을 기다리는 낮  다시 태어나도 종착할 여기 포인트 니모에서  멀어져 가는 그때의 나와 그 곁에 너에게  사랑한다 말하고 싶어 ,손에 쥐고 싶은 것  이뤄내고 싶은 것  그게 전부는 아냐 ,잊지 말아야 할 건  소중히 여겨야 할 건  사라지는 모든 것들과 사랑 ,세상의 기쁨을 이젠 모조리 다 알아봤으면 해  지나는 길목을 샅샅이 살피며 걸어갔으면 해  언젠가 우리가 다시 만나는 그 어느 날엔  소중했다 여겨주기를 ,사랑했다 확신하기를  
",록/메탈,love: 17.6% sadness: 8.8% neutral: 67.6% happiness: 5.9%,love
30444666,검정치마,나랑 아니면,TEAM BABY,"
							야 나랑 놀자 밤늦게까지 함께 손뼉 치면서 나랑 마셔 너와 나의 몸이 녹아 내리면 나랑 걷자 저 멀리까지 가다 지쳐 누우면 나랑 자자 두 눈 꼭 감고 나랑 입 맞추자 나랑 아니면 누구랑 사랑 할 수 있겠니 나랑 아니면 어디에 자랑 할 수 있겠니 나랑 아니면 야 나랑 놀자 어디 가지 말고 그리울 틈 없도록 나랑 살자 아주 오랫동안 우리 같이 살자 나랑 아니면 누구랑 사랑 할 수 있겠니 나랑 아니면 어디에 자랑 할 수 있겠니 나랑 아니면 아무렇지 않게 넌 내게 말했지 날 위해 죽을 수도 죽일 수도 있다고 알아 나도 언제나 같은 마음이야 baby 아마도 우린 오래 아주 오래 함께할 거야 
","인디음악, 록/메탈",neutral: 66.7% love: 19.0% sadness: 14.3%,love
36997129,BIG Naughty (서동현),연착,ICN > YVR,"
							WAIT! I GOT A BIG BIG NEWS 네가 타려던 그 비행기가 못 뜬대 평생 WAIT! I GOT A BIG BIG NEWS 이렇게 된 거 그냥 나랑 같이 있을래 평생 너만을 위한 노래 널 위한 너에 의한 너의 노래 다 써 줄게 장르는 멜로 아님 로맨스 주인공은 너 해 이건 오직 우리 둘만 위한 영화지 너무 달달한 나머지 빨간 안경 쓴 아저씨가 싫어할 만해 한 줄 평은 no thanks 아 왜 그때 새벽에 전쟁 난다 했을 때 그럼 안 되는데 아는데 엄마보다 네 생각이 더 났네 인생이 one way flight 이라면 바람이 안 멈췄으면 좋겠어 그래서 굳이 데려갔어 널 그 쌈밥집에 택시를 못 탔으면 했어 WAIT! I GOT A BIG BIG NEWS 네가 타려던 그 비행기가 못 뜬대 평생 WAIT! I GOT A BIG BIG NEWS 이렇게 된 거 그냥 나랑 같이 있을래 평생 사랑이 돈이면 난 부자 (Bad boy getting bigger guap) 아니 재벌 자수성가네 쌓인 부재중 전화 9999개 그 사이 네가 보이네 바다 건너는 게 생각보다 쉽네 전화론 not okay 그건 여전해 (Leellamarz!) 이건 내가 처음 쓰는 편도가 아닌 왕복 사랑 노래 너 땜에 땄다고 운전면허를 근데 깜빡했어 국제 면허는 (Young Jimmy Life) 찬란할 내 이십 대 첫 자락에 찾아온 너로 인해 계획했던 내 모든 것들이 개꿈에서 현실이 되었을 때 그때가 지금이니 16시간 뒤에 나를 꽉 안아줬으면 해 ICN &gt; YVR 이 정도 했으면 인정해 줘 내 낭만을 ICN &gt; YVR 이 정도 참았으면 응원해 줘 내 사랑을 WAIT! I GOT A BIG BIG NEWS 네가 타려던 그 비행기가 못 뜬대 평생 WAIT! I GOT A BIG BIG NEWS 이렇게 된 거 그냥 나랑 같이 있을래 평생 평생 평생 그림 같은 집을 짓고 평생 평생 평생
					",록/메탈,sadness: 17.1% neutral: 56.1% happiness: 4.9% love: 9.8% anger: 9.8% enthusiasm: 2.4%,sadness
36729687,PLAVE,여섯 번째 여름,ASTERUM : The Shape of Things to Come,"
							영원을 말했죠 꿈이 아니기를 혼돈 속을 지나면 반짝일 거라고,소나기가 내려오면 이건 잠시뿐일 거야 눈이 부신 그날의 기억은 기적이니까요,좀 더 멀리멀리 닿을 수 있을까 길고 긴 여정에 마침표를 찍을 수만 있다면,마지막 땀방울의 결말은 헛된 길이 아닐 걸 잘 알아,반복되는 계절의 중간에 있어 그토록 바랬던 어둠 속의 빛을 찾고 말았어 너에게로 달려가는 이 시공간을 넘어서 닿은 이곳은 여섯 번째 여름의 시작이었단 걸 꿈꿨어,푸른 하늘, 마치 눈물 같아 날이 밝아도 결국 쏟아진다 하염없이 달려온 길 위 oh,속도를 올렸어 망설이다 전부 다 놓쳐 버릴까 또 일곱 번의 여름은 없을 거라고 끝이 없던 평행곡선 결국 같은 곳을 지나왔어,좀 더 멀리멀리 닿을 수 있을까 길고 긴 여정에 마침표를 찍을 수만 있다면,마지막 땀방울의 결말은 헛된 길이 아닐 걸 잘 알아,반복되는 계절의 중간에 있어 그토록 바랬던 어둠 속의 빛을 찾고 말았어 너에게로 달려가는 이 시공간을 넘어서 닿은 이곳은 여섯 번째 여름의 시작이었단 걸 꿈꿨어,꿈일까 꿈일까 우리 함께하는 이 순간 (꿈같아),마법 같은 하루가 (결국엔 사라질까),그칠까 그칠까 찬란히 반짝이던 눈물의 기적 빛나줘,반복되는 계절의 중간에 있어 그토록 바랬던 어둠 속의 빛을 찾고 말았어 너에게로 달려가는 이 시공간을 넘어서 닿은 이곳은 여섯 번째 여름의 시작이었단 걸 꿈꿨어 
",록/메탈,enthusiasm: 11.9% happiness: 4.8% love: 4.8% neutral: 52.4% sadness: 26.2%,enthusiasm
37374436,투모로우바이투게더,Quarter Life,minisode 3: TOMORROW,"
							A quarter life 누군가가 나의 나이를 부르는 말 4분의 1쯤 걸어온 긴긴 터널 너무 긴긴 터널,좋을 때래 아름다운 청춘은 지금뿐이래 힘들기만 한데 I ain’t happy at all I ain’t happy at all,혹시 어두운 이 터널에도 끝은 있을까 소리쳐도 메아리뿐이야,어디로 가야 하는 건데 답이 없는 참견 사이에 Lonely 홀로 남겨진 채 제자리를 걷는 듯해 quarter life crisis,출구 없이 던져진 삶에 끝을 모르겠는 이 길에 매일이 너무나 막막해 제자리를 걷는 듯해 quarter life crisis,Quarter life crisis Quarter life crisis,Don’t wanna say 아무리 나 힘들어도 don’t wanna say 이번 생은 망했다고 I f**ked it up Won’t say “I f**ked it up”,어쩜 지금이 제일 깜깜한 지점일지 몰라 지금 멈춰 서지는 말자,어디로 가야 하는 건지 모르겠지만 걷는 거지 당장은 좀 깜깜해도 헤매듯 헤쳐 나가 quarter life crisis,Don't look back 돌아갈 순 없지 어른이란 건 어쩜 사실 정답이 꼭 없는 답지 헤매듯 헤쳐 나가 quarter life crisis,Quarter life crisis Quarter life crisis Quarter life crisis 헤매듯 헤쳐 나가 quarter life crisis,어디로 가야 하는 건지 모르겠지만 걷는 거지 당장은 좀 깜깜해도 헤매듯 헤쳐 나가 quarter life crisis,
",록/메탈,neutral: 60.0% love: 4.0% sadness: 36.0%,sadness
38173500,투모로우바이투게더,Higher Than Heaven,별의 장: SANCTUARY,"
							포근히 반겨 오는 별빛에 두 발 아랜 heaven  이 리듬에 맞춰 밤새 너와 춤출래 ,나를 바라본 너의 두 눈빛은 shine 그 아래 더 이상 방황하지 않아 네가 내게 준 마법 같은 힘으로 I’ll take you ,Higher Higher than heaven 천국 저 너머 더 높은 곳으로  Fly with me,High, high, high 어디든 날아가 you and me High, high, high 어디든 날아가 you and me,땅끝만 헤매던 매일 널 만나 만들어 수많은 내일  지금처럼 나를 바라보며 그렇게 환하게 웃어주면 ,별빛을 나침반 삼아서 네 손을 버팀목 삼아서 지킬게 영원을, 우리의 이름을 계속될 내일을 함께 꿈꿔 ,황홀한 감정만 가득 머금은 heart  난 이제 영원의 뜻을 알 것 같아  네가 내게 준 마법 같은 힘으로 I'll take you ,Higher Higher than heaven 천국 저 너머 더 높은 곳으로  Fly with me ,여기가 우리의 start line 우릴 지켜 주는 starlight  낙원보다 먼 곳까지  Higher and higher and high ,Higher Higher than heaven 영원에 담길  꿈을 꿔 너와 난  Fly with me,High, high, high 어디든 날아가 you and me High, high, high 어디든 날아가 you and me,
",록/메탈,love: 30.4% neutral: 43.5% happiness: 4.3% enthusiasm: 17.4% sadness: 4.3%,love
33699116,장범준,고백,첫 번째 '고백',"
							내 오래된 친구인 널 좋아하게 됐나 봐 아무렇지 않은 듯 널 대해도 마음은 늘 떨렸어 미소 짓는 너를 보면 우리 사이가 어색할까 두려워 아무런 말 하지 못한 채 돌아서면 눈물만 흘렸어 말해야 하는데 네 앞에 서면 아무 말 못하는 내가 미워져 용기를 내야해 후회하지 않게 조금씩 너에게 다가가 날 고백해야해 처음 너를 만났던 날 기억할 순 없지만 날 그저 그런 친구로 생각했고 지금과는 달랐어 미소 짓는 너를 보면 우리 사이가 어색할까 두려워 하루 종일 망설이다 헤어지면 눈물만 흘렸어 말하고 싶은데 사랑한다고 아무 말 못하는 내가 너무 미워 용기를 내야해 후회하지 않게 조금씩 너에게 다가가 날 고백할 거야 용기를 내야 해 후회하지 않게 조금씩 너에게 다가가 날 고백할 거야 사랑한다고 아무 말 못하는 내가 너무 미워 용기를 내야 해 후회하지 않게 조금씩 너에게 다가가 날 고백할 거야 
",록/메탈,love: 25.0% neutral: 50.0% sadness: 25.0%,love
37001445,이무진,청춘이 버겁다 (Prod. 정동환) (베일드뮤지션 X 이무진 with 화곡동),청춘이 버겁다 (Prod. 정동환) (베일드뮤지션 X 이무진 with 화곡동),"
							누구의 무엇을 나는 닮아왔는지 누구의 무엇을 나는 피해 왔는지 지금 난 어디를 향해 가고 있는지 많은 위로 중에 내 것은 없네,뭐든 이뤄야만 할 것 같은 많은 질문들 마지못해 꾸고 있는 어색한 꿈들 할 수 있다, 힘을 내란 텅 빈 외침들 오늘도 날 스쳐지난다,Na na na na na na na na na na Na na na na na Na na na na na na na na na na Na na na na na Na na na na na na na na na na Na na na na na 나는 청춘이 좀 버겁다,시덥지 않아도 괜히 웃게 되는 말 대단치 않아도 주고받고 싶은 말 멍하니 보내도 편히 잠이 드는 밤 내게 필요한 건 이런 것들야,뭐든 이뤄야만 할 것 같은 많은 질문들 마지못해 꾸고 있는 어색한 꿈들 할 수 있다, 힘을 내란 텅 빈 외침들 오늘도 날 스쳐지난다,굳세게 버텨라 마음아 날마다 더 큰 게 올 테니까 이유 없이 용기가 날 때 있지? 그 순간을 잡고서 또 어디로든 달려간다,눈을 감아보면 나름대로 이겨냈던 밤 비밀스레 치열했던 수많은 날들 나의 작은 승리들을 기억하면서 아침을 또 기다려 본다,Na na na na na na na na na na Na na na na na Na na na na na na na na na na Na na na na na Na na na na na na na na na na Na na na na na 나는 청춘이 좀 외롭다 나는 청춘이 좀 어렵다 나는 청춘이 좀 버겁다
					",록/메탈,neutral: 56.7% sadness: 13.3% enthusiasm: 6.7% love: 23.3%,love
33976671,전미도,Butterfly,슬기로운 의사생활 시즌2 OST Part 12,"
							어리석은 세상은 너를 몰라 누에 속에 감춰진 너를 못 봐 나는 알아 내겐 보여 그토록 찬란한 너의 날개 겁내지마 할 수 있어 뜨겁게 꿈틀거리는 날개를 펴 날아올라 세상 위로 태양처럼 빛을 내는 그대여 이 세상이 거칠게 막아서도 빛나는 사람아 난 너를 사랑해 널 세상이 볼 수 있게 날아 저 멀리 꺾여 버린 꽃처럼 아플 때도 쓰러진 나무처럼 초라해도 너를 믿어 나를 믿어 우리는 서로를 믿고 있어 심장의 소릴 느껴봐 힘겹게 접어 놓았던 날개를 펴 날아올라 세상 위로 벅차도록 아름다운 그대여 이 세상이 차갑게 등을 보여도 눈부신 사람아 난 너를 사랑해 널 세상이 볼 수 있게 날아 저 멀리 이 세상이 거칠게 막아서도 빛나는 사람아 난 너를 사랑해 널 세상이 볼 수 있게 날아 저 멀리 
","록/메탈, 국내드라마",neutral: 45.8% sadness: 8.3% love: 37.5% enthusiasm: 8.3%,love
36909291,FTISLAND (FT아일랜드),사랑하는 법을 몰라서 (2023),사랑하는 법을 몰라서 (2023),"
							사랑하는 그대가 나를 떠나가네요 한마디 변명도 난 못했는데 사랑하는 그대가 행복하고 싶데요 한마디 애원조차 못했네요,언젠가 슬픈 표정의 그댈 바쁘단 핑계로 외면했던 한심한 바보였으니까,그땐 몰랐죠 사랑하는 법을 몰라서 따뜻하게 안아줄 줄 몰라서 여린 가슴 가슴이 무너져 내리는 걸 모르고 무심히 발걸음을 돌렸죠 그땐 몰랐죠 사랑하는 법을 몰라서 그댈 혼자 남겨뒀네요 미안하단 말조차 어색하게 보여 그저 모른 척 지나쳤나 봐요,다른 누굴 만나도 나보단 더 낫겠죠 그래서 그대를 난 보내네요 다른 누굴 만나도 그대만은 못하죠 그래서 그대를 난 못 지워요,미안한 마음만 남았네요 잘 가란 말밖에 못 하네요 가슴은 울고 있는데,그땐 몰랐죠 사랑하는 법을 몰라서 따뜻하게 안아줄 줄 몰라서 여린 가슴 가슴이 무너져 내리는 걸 모르고 무심히 발걸음을 돌렸죠 그땐 몰랐죠 사랑하는 법을 몰라서 그댈 혼자 남겨뒀네요 미안하단 말조차 어색하게 보여 그저 모른 척 지나쳤나 봐요,이젠 알지만 사랑하는 법을 알지만 사랑을 줄 그 사람이 없네요 눈물만 준 사랑은 모두 잊고 부디 행복하길 매일 난 울며 기도만 하네요 다음 세상에 내 어린 사랑이 아니길 정말 사랑이란 걸 알 때 그때 다시 만나면 내 품에 안겨요 행복한 꿈만 그릴 수 있도록 지금은 그댈 떠나보내지만
					",록/메탈,love: 32.5% neutral: 40.0% happiness: 5.0% sadness: 20.0% enthusiasm: 2.5%,love
