곡 ID,아티스트,곡 이름,앨범,가사,장르,감정 비율,최종 감정 분류
34713689,먼데이 키즈 (Monday Kiz),이젠 친구에서 연인이 되고 싶어,이젠 친구에서 연인이 되고 싶어 (먼데이 키즈 X soundtrack#1),"
							매일이 내겐 선물 같기만 한 하루들 너는 내 마음 모르겠지 창가에 비친 옆모습만 바라보아도 시간이 멈춘듯해 다른 곳을 보는 너 가끔은 힘이 들어도 그래도 내가 사랑하는 사람 너니까 이젠 친구에서 연인이 되고 싶어 널 웃게 하고 매일 함께였음 좋겠어 아침이 와도 해가 진 밤이 와도 네 곁에 있고 싶어 너의 그 말투 표정까지도 정말 몰랐어 그렇게 소중한 건지 네게 다가갈 거야 그리고 널 지킬 거야 이제는 혼자 두지 않을게 고단했던 하루가 끝나고 집으로 가는 너의 걸음에 함께이고 싶어 이젠 친구에서 연인이 되고 싶어 널 웃게 하고 매일 함께였음 좋겠어 아침이 와도 해가 진 밤이 와도 네 곁에 있고 싶어 너의 그 말투 표정까지도 정말 몰랐어 그렇게 소중한 건지 네게 다가갈 거야 그리고 널 지킬 거야 이제는 혼자 두지 않을게 멀리도 우린 참 돌아왔나 봐 느낄 수 있는 거리에 난 네가 보여 그리운 나의 마음은 좋은 친구보다 너의 남자로 사는 게 좀 더 쉬울 것 같아 그래야 나 살 것 같아 온종일 너뿐인 나의 맘이 이제는 너에게로 갈 거야 
","발라드, 국내드라마",love: 24.2% neutral: 63.6% enthusiasm: 3.0% sadness: 9.1%,love
35980817,21학번,웃는거야,웃는거야,"
							웃는 거야 그래 그렇게 늘 그래왔던 것처럼 별일 아냐 흔한 일이잖아 이제 너인 것 같아 거울 앞에 앉아 눈물 흘리는 날 물끄러미 쳐다보며 물었어 너 왜 그러니 아무 일도 아닌데 훌쩍이잖아 이건 네가 아냐 그런 약한 모습 혼자 모든 짐 다 진 듯 찡그린 얼굴도 보기 싫어 언제까지 너 이럴 거니 잘 생각해 보면 지금 이런 두려움 따윈 짧은 생에 작은 점일 뿐 주저앉아 웅크릴 필요 없잖아 먼지처럼 툭 가볍게 다 털어낼 수 있잖아 옛일인 듯 기억조차 없는 듯 선물 같은 내일만 생각하면서 웃는 거야 그래 그렇게 늘 그래왔던 것처럼 별일 아냐 흔한 일이잖아 이제 너인 것 같아 늘 그렇게 웃어 잘 생각해 보면 지금 이런 두려움 따윈 짧은 생에 작은 점일 뿐 주저앉아 웅크릴 필요 없잖아 먼지처럼 툭 가볍게 다 털어낼 수 있잖아 옛일인 듯 기억조차 없는 듯 선물 같은 내일만 생각하면서 웃는 거야 그래 그렇게 늘 그래왔던 것처럼 별일 아냐 흔한 일이잖아 이제 너인 것 같아 한 걸음쯤 아니 몇 걸음 늦어도 상관없잖아 언젠가는 소중한 보석처럼 어둠에도 찬란히 빛날 테니까 웃는 거야 그래 그렇게 다시 태어난 것처럼 하루하루 숨을 쉴 때마다 잊지 말고 기억해 늘 그렇게 웃어 
","발라드, 인디음악",love: 18.4% neutral: 47.4% sadness: 26.3% anger: 7.9%,sadness
30985406,Sondia,어른,나의 아저씨 OST Part.2,"
							고단한 하루 끝에 떨구는 눈물 난 어디를 향해 가는 걸까 아플 만큼 아팠다 생각했는데 아직도 한참 남은 건가 봐 이 넓은 세상에 혼자인 것처럼 아무도 내 맘을 보려 하지 않고 아무도 눈을 감아 보면 내게 보이는 내 모습 지치지 말고 잠시 멈추라고 갤 것 같지 않던 짙은 나의 어둠은 나를 버리면 모두 갤 거라고 웃는 사람들 틈에 이방인처럼 혼자만 모든 걸 잃은 표정 정신 없이 한참을 뛰었던 걸까 이제는 너무 멀어진 꿈들 이 오랜 슬픔이 그치기는 할까 언젠가 한 번쯤  따스한 햇살이 내릴까 나는 내가 되고 별은 영원히 빛나고 잠들지 않는 꿈을 꾸고 있어 바보 같은 나는 내가 될 수 없단 걸 눈을 뜨고야 그걸 알게 됐죠 나는 내가 되고 별은 영원히 빛나고 잠들지 않는 꿈을 꾸고 있어 바보 같은 나는 내가 될 수 없단 걸 눈을 뜨고야 그걸 알게 됐죠 어떤 날 어떤 시간 어떤 곳에서 나의 작은 세상은 웃어줄까 
","발라드, 국내드라마",sadness: 34.5% neutral: 41.4% love: 17.2% enthusiasm: 6.9%,sadness
35709157,엔플라잉 (N.Flying),폭망 (I Like You),Dearest,"
							망했다 그동안 꽤 잘 참았는데 왜 갑자기 내 앞에 나타나 버린 거야 끊긴 회로에 불이 피고 있어 곧 폭발함 이젠 나도 몰라 나 얼마 전에 헤어졌어 꽤 유명한 집돌이고 전화도 잘 안 받고 싶어 그래서 친구 하나 없어 큰맘 먹고 나가 볼까 했어 별 기대 없이 마치 무슨 짠 듯이 짜여진 테이블처럼 내 앞에 네가 있었던 거야 그렇게 꾹 꾹 꾹 난 말을 아끼며 혹시라도 마주칠까 봐서 눈만 동동 굴리며 닮은 게 많지만 확신하지는 않을래 그 순간 포개진 두 손 왠지 99 Problems Go get it 망했다 그동안 꽤 잘 참았는데 왜 갑자기 내 앞에 나타나 버린 거야 끊긴 회로에 불이 피고 있어 곧 폭발함 이젠 나도 몰라 폭망 폭망 널 좋아하게 됐어 폭망 폭망 널 좋아하게 됐어 어떻게 우리 둘 사이 낭만이 있을까 그럼 안 되는 거잖아 나쁜 놈이잖아 온전히 집중할 시간이 필요했잖아 그냥 핑계였던 거야 나쁜 놈 잊어라 그렇게 꾹 꾹 꾹 난 말을 아끼며 혹시라도 마주칠까 봐서 눈만 동동 굴리며 닮은 게 많지만 확신하지는 않을래 그 순간 포개진 두 손 왠지 99 Problems Go get it 망했다 그동안 꽤 잘 참았는데 왜 갑자기 내 앞에 나타나 버린 거야 끊긴 회로에 불이 피고 있어 곧 폭발함 이젠 나도 몰라 폭망 폭망 널 좋아하게 됐어 폭망 폭망 널 좋아하게 됐어 있는 힘껏 날 욕해 난 벌 받을 거야 기분은 날아갈 듯이 좋아질 거야 똑같은 놈 만나서 너도 똑같이 당해 봐 내 기분을 망치지 말아 줘 Don’t mess up 망했다 그동안 꽤 잘 참았는데 왜 갑자기 내 앞에 나타나 버린 거야 끊긴 회로에 불이 피고 있어 곧 폭발함 이젠 나도 몰라 폭망 폭망 널 좋아하게 됐어 폭망 폭망 널 좋아하게 됐어 
",록/메탈,neutral: 74.0% sadness: 8.0% anger: 4.0% love: 14.0%,love
36310362,원슈타인,Single,Single,"
							혼자일 때도 괜찮았었지 생각해 보면 조금 버거웠어 어찌할 수 없는 일들도 나 하나만 힘들면 되니까 시킨 음식이 다 식어서 와도 메뉴를 고를 필요도 없고 부족하면서도 많이 따져야 했던 때보다 편하잖아 바빠지면서 점점 잊어가겠지 같이 있을 때 커져가던 웃음소리처럼 친한 친구 집을 가기엔 너의 자랑을 너무 많이 해서 쪽팔려 Single Again Again Again 잠깐만이라도 행복했어 난 You Know  Again Again Again Again 듣고 나니 실감이 나네 이 말 You Know Single Again 어떤 관계로 남을지 전화 번호는 지울지 말지 고민하면서 마지막으로 묻고 싶은 게 있어 날 좋아하긴 했어 비가 쏟아져 와 그래 혼자인 게 나아 우산이 없어 젖어도 웃을 수 있어 난 Single Again Again Again 잠깐만이라도 행복했어 난 You Know  Again Again Again Again  듣고 나니 실감이 나네 이 말 You Know Single Again Single Again Single Again 
",R&B/Soul,sadness: 27.3% neutral: 50.0% love: 9.1% happiness: 9.1% anger: 4.5%,sadness
36924828,에픽하이 (EPIK HIGH),Screen Time (Feat. Hoshi of SEVENTEEN),Screen Time,"
							어떻게 지내? 요즘은 어때? 네가 걱정돼서 매일 이렇게 몇 번씩 확인해 하던 일은 잘 되는지 아픈덴 없는지 후회는 없는지 난 그럭저럭 Baby I’m fine don’t worry about me I’ll be ok 잘 살고있으니 Don’t cry 난 그럭저럭 Baby I’m fine don’t worry about me Stare at my phone till the world is asleep Goodnight 습관이란게 무섭다는 말 맞더라 널 마주보던 아침이 익숙해 눈만 뜨면 또 화면 앞 넌 몰라도 난 너와 여태 단 하루도 떨어진 적 없어 예전보다 I got you close 일이 손에 안잡힐 수 밖에 두손 다 해 너와의 연을 쥐고 있네 실은 끊어졌다는 걸 모르고 다시 밤이면 지쳐 잠들 때 까지 It’s hard to let go 결국, 우린 이별의 온도마저 다른가 봐 너라는 옷을 벗고 가슴 시려 아픈 나와 아무 일 없다는 듯 지내는 널 봐 넌 내가 알고있던 것보다 차가운 사람 너의 글에서 미소띈 사진에서 내 헛된 걱정 무색할 만큼 잘 지내서 차라리 다행인듯해 난 미안했어 내가 괜찮아지는게 어떻게 지내? 요즘은 어때? 네가 걱정돼서 매일 이렇게 몇번씩 확인해 하던 일은 잘 되는지 아픈덴 없는지 후회는 없는지 난 그럭저럭 Baby I’m fine don’t worry bout me I’ll be ok 잘 살고 있으니 Don’t cry 난 그럭저럭 Baby I’m fine don’t worry bout me Stare at my phone till the world is asleep goodnight 한 때 내 이정표 같던 너의 미소 이젠 화살처럼 가슴에 날아 박히고 귀찮을만큼 받기만 했던 관심도 돌려 줄 곳도 없는데 가지고 후회는 무의미하지만 참 미안했어 나와 지낸 시간 수평선 같은 날들 속 네 기억들만 뜨고 지네 늦었지만 미안 Never mind my outfit of the day You look good in everything 그런 행복은 내 몸에 맞지 않는 옷이지 Somebody take my phone away I’m done with all these memories I’m just trying to kill time I’m sick of all this screen time 어떻게 지내? 아픈덴 없는지 너도 나 같은지 요즘 뭘 먹고 마시고 어떤 행복을 찾는지 오늘 뭘 입고 어디서 어디로 향해 가는지 누가 널 웃게 해주고 나 대신 안아주는지 궁금해서 미안해서 이렇게 지내
					",랩/힙합,love: 23.9% sadness: 17.4% neutral: 50.0% anger: 4.3% happiness: 4.3%,love
36411342,LE SSERAFIM (르세라핌),UNFORGIVEN (feat. Nile Rodgers),UNFORGIVEN,"
							Unforgiven I’m a villain I’m a  Unforgiven 난 그 길을 걸어  Unforgiven I’m a villain I’m a  새 시대로 기억될 unforgiven  Yeah what you want?  불편함이 깃든 face, wanna shut me up  사냥감을 거듭해 찾는 워리어S  너의 game에 난 문제아  such a freak 골칫거리  Let me tell you ‘bout LE SSERAFIM  내가 제일 싫은 건 낡은 대물림  어둠 속 불을 켜 마치 rebellion  We gonna kick it break it  rules gon’ give up  Unforgiven yes I was bleeding  힘없이 늘 져야만 했던 싸움 but I ride  바란 적도 없어 용서 따위는  난 금기를 겨눠 watch me now  Now now now  Unforgiven I’m a villain I’m a  Unforgiven 난 그 길을 걸어  Unforgiven I’m a villain I’m a  새 시대로 기억될 unforgiven  나랑 저 너머 같이 가자  my “unforgiven girls”  나랑 선 넘어 같이 가자  my “unforgiven boys”  Unforgiven unforgiven unforgiven  한계 위로 남겨지는 우리 이름  나랑 저 너머 같이 가자  my “unforgiven girls”  U-unforgiven-given-given  내 style로 livin’ livin’ livin’  내 방식 아주 원 없이  또 한국말론 아주 “철없이”  Get started let’s get started  미래 그 앞에 새겨둬 나의 story  신념이 죄면 난 villain,  I'm not that cinderella type of a girl  Unforgiven yes I was bleeding  힘없이 늘 져야만 했던 싸움 but I ride  바란 적도 없어 용서 따위는  난 금기를 겨눠 watch me now  Now now now  Unforgiven I’m a villain I’m a  Unforgiven 난 그 길을 걸어 Unforgiven I’m a villain I’m a 새 시대로 기억될 unforgiven 나랑 저 너머 같이 가자 my “unforgiven girls” 나랑 선 넘어 같이 가자 my “unforgiven boys” Unforgiven unforgiven unforgiven 한계 위로 남겨지는 우리 이름 나랑 저 너머 같이 가자 my “unforgiven girls” Unforgiven I’m a villain I’m a Unforgiven 난 그 길을 걸어 Unforgiven I’m a villain I’m a Unforgiven 난 그 길을 걸어 Oh I will never be a clown Oh 보게 될 거야 나다움 Oh 내 목소린 좀 loud Oh I don’t care just shout it out! 나랑 저 너머 같이 가자 my “unforgiven girls” 나랑 선 넘어 같이 가자 my “unforgiven boys” Unforgiven unforgiven unforgiven 한계 위로 남겨지는 우리 이름 나랑 저 너머 같이 가자 my “unforgiven girls” 
",댄스,neutral: 71.0% love: 9.7% anger: 3.2% sadness: 16.1%,sadness
32323331,정동원,보릿고개,내일은 미스터트롯 예선곡 베스트,"
							아야 뛰지마라 배 꺼질라 가슴 시린 보릿고개길 주린 배 잡고 물 한바가지 배 채우시던 그 세월을 어찌 사셨소 초근목피의 그시절 바람결에 지워져 갈 때 어머님 설움 잊고 살았던 한 많은 보릿고개여 풀피리 꺾어 불던 슬픈 곡조는 어머님의 한숨이었소 아야 우지마라 배 꺼질라 가슴 시린 보릿고개길 주린배 잡고 물 한바가지 배 채우시던 그 세월을 어찌 사셨소 초근목피의 그시절 바람결에 지워져 갈때 어머님 설움 잊고 살았던 한 많은 보릿고개여 풀피리 꺾어 불던 슬픈곡조는 어머님의 한숨이었소 풀피리 꺾어 불던 슬픈곡조는 어머님의 통곡이었소 
",성인가요/트로트,love: 15.8% neutral: 63.2% sadness: 21.1%,sadness
35953965,PATEKO (파테코),의류수거함,딩고와 키카코 하우스 첫번째,"
							정리가 되지 않은 나의 집 한 켠에 남아있는 너의 짐 너 입었던 옷가지들 땜에 생각이 잠겼네 의류수거함에 툭 밀어 놓고 터벅터벅 돌아온 내 방 잘 어울리던 옷이었는데 괜찮으니 버려달라네 가까운 이별 나를 더 찢어 시간이 지날수록 우리 감정은 감춰둔 상처를 서로 드러내고 채웠다 지운 메세지의 결론 이제 너를 돌려보내기로 해 그 문은 닫은 채 너는 나를 위로해 얼굴이라도 볼 줄 알았는데 이렇게 그 의류수거함 속에 버려지는 보잘것없는 사랑인가요 부서지고 찢겨 조각이 되어도 내 마음속에 아직 그대로 남아있죠 누군 말이야 시간이 약이래 근데 난 지날수록 독이 돼 괜찮은 척했지만 넌 날 다시 찾아와서 너보다 좋은 사람 만나라고 하더니 넌 만났니 다가온 이별 나를 더 찢어 이해가 안 되는 너의 입장 맘은 알지만 머리로는 안 되니까 다시 정주기 싫어 화가 나 괜히 난 널 떠밀어 날 세운 말을 뱉어 후회하지 말고 떠나가라 외쳐 그 의류수거함 속에 버려지는 보잘것없는 사랑인가요 부서지고 찢겨 조각이 되어도 내 마음속에 아직 그대로 남아있죠 다가온 이별 나를 더 찢어 머리로는 이해 안 되니까 다시 정주기 싫어 날 세운 말을 뱉어도 눈 앞에 너를 놓지 못해 그 의류수거함 속에 버려지는 보잘것없는 사랑인가요 부서지고 찢겨 조각이 되어도 내 마음속에 아직 그대로 남아있죠 
","인디음악, 록/메탈",neutral: 58.5% sadness: 14.6% love: 22.0% anger: 4.9%,love
36425359,송이한,After,After,"
							매일 아침 눈을 뜨면 저 하늘에 기도를 하죠 그대 곁에 내가 있잖아요 두려워하지 마요 편히 쉬다 가세요 그대 하루 또 하루 더 야위어가는 그댈 보며 눈물을 참죠 아직 그대를 보낼 수가 없다는 나의 욕심에 너무 화가 나 그대 곁에서 무엇도 할 수 없는 바보 같은 나 남겨진 날 위해 눈물을 오늘도 보이는 그대 마음에 난 너무도 행복한걸요 자꾸 눈물 나 보고 싶을 때 하늘 위에 그릴게 너를 이별 없는 하늘에서 다시 함께 하기를 다음엔 이젠 마지막을 준비해야 돼 너무 오래 내가 잡았죠 내가 안쓰러 힘든 하루하루를 참아 온 그대 너무 화가 나 그대 곁에서 무엇도 할 수 없는 바보 같은 나 남겨진 날 위해 눈물을 오늘도 보이는 그대 마음에 난 너무도 행복한걸요 자꾸 눈물 나 보고 싶을 땐 하늘 위에 그릴게 너를 이별 없는 하늘에서 다시 함께 하기를 약속해 그대 이름과 그대 기억들 영원토록 기억할게요 괜찮아요 사랑하는 그대 나를 두고 떠나세요 우리 이 다음엔 
",록/메탈,neutral: 33.3% anger: 13.3% sadness: 36.7% love: 10.0% happiness: 6.7%,sadness
