곡 ID,아티스트,곡 이름,앨범,가사,장르,감정 비율,최종 감정 분류
33097909,TimeFeveR (타임피버),빌어먹을 (Prod. HOWOW),요즘,"
							I just wanna don So do you oh we need a lot of money to get love friend or happy we unhappy Is there any other way 눈 깜빡하니 어른 다들 뭐 비슷했을거거든 뒷걸음치고 다시 돌아가고싶어 그때로 술에 쩔은 채로 아무 생각없이 살았던 내가 한심했지만 지금보단 행복했다고 ouu yeah 몇푼 없는 돈으로 노래방이면 충분 ouu yeah 돈 없다면 떨어진 꽁초면 충분 ouu yeah 하루면 택배 ouu yeah 친구들이랑 캠핑 준비해 이젠 뒷바라지 못받겠으니 언제까지 이렇게 live in the bottom I don't know 더 이상은 떨어져버릴곳도 없어서 아직도 이 빌어먹을 돈 때문에 나는 아직도 멀어 내 성공에 빌어 나는 원해 내 성공 아직도 멀어 내 성공에 I just wanna 돈 I just wanna 돈 I just wanna 돈 I just wanna 돈 이 빌어먹을 돈 때문에 이 빌어먹을 돈 때문에 더 더 벌어야해서 버려야했어 서러웠던 자존심 uh 더러워졌던 얼어버린 성격 돌아가고싶어져 여러명 점점 떠버려 나의 옆 쟤네들은 더 수면 위로 불안해 영영 여기서 쳐밖혀살까봐 전단지 돌리며 팔았지 그때 내 가치를 4500원 이제는 먹고 살만은 해졌지만 월세는 버거워 하루살이 인생에 안주하고 술 쳐먹었어 다들 날 떠나고 핑계를 댔어 쟤넨 소시오라고 어찌보면 당연한거라고 언제까지 이렇게 live in the bottom I don't know 더 이상은 떨어져버릴곳도 없어서 아직도 성공한 놈은 나보다 지금도 더 열심히 걷거든 그동안 걸은것보다 몇배는 뛰어야 따라잡거든 ok 그래 맞어 난 더 쎄게걸어 내게 박수쳐주는 주위사람들 eyes on me 이 빌어먹을 돈 때문에 나는 아직도 멀어 내 성공에 빌어 나는 원해 내 성공 아직도 멀어 내 성공에 I just wanna 돈 I just wanna 돈 I just wanna 돈 I just wanna 돈 이 빌어먹을 돈 때문에 이 빌어먹을 돈 때문에 담임 said 음악은 돈도 못버는데 그만두는게 어때 근데 내 성공의 의민 달랐네 별로 못벌어도 난 내가 하고 싶은 음악 자유롭게 하면됐어 그리고 성공했어 근데 이 빌어먹을 세상에선 성공의 증거는 돈 이 빌어먹을 자식새끼를 키워준 우리 부모님 저 빌어먹을 청주에서 유일하게 놀아줬던 분평놈들 이 빌어먹을 서울에서 날 사랑해준 내 호미들 전부에게 은혜갚어 그래서 존나 필요해 돈 I'm just looking for a way to make money 개무시 당해도 믿고 계속 따라가 촉 이 길 끝엔 아마겟돈일지도 모르지만 지망생으로 남기만하다 잊혀지고 싶지않아 그건 패배 미친듯이 뱉어 쎄게 잃을것도 없어 내겐 잡히는데로 다 했네 빌어먹을 hater들에게 전해 이 빌어먹을 돈 벌어서 빌어먹을 복수할게 빌어먹을 성공할게 
","랩/힙합, 인디음악",neutral: 64.1% sadness: 18.8% happiness: 1.6% enthusiasm: 10.9% love: 1.6% anger: 3.1%,enthusiasm
31724057,ASH ISLAND,악몽,More ASH,"
							How r u Im bad 난 못 들어 잠에 창문으로 담배 연기를 내뱉어 밤에 참 우울해 당시엔 어젯밤의 nightmare 또 울며 깰까 해서 오늘 잠은 글렀네 하루 종일 텅 빈 거리에서 누군지도 모르는 그 발을 쫓네 가로등 밑 그림자가 나의 손을 잡을 때쯤 말을 건네 빨간 피가 손에 무슨 일이 있었녜 잘 모르겠어 왜 라 하며 눈물 훔쳐데 날 위로하는 척 지도 눈물 훔쳐 그딴 건 필요 없어 그런 말은 진절머리 나도 모르는 내 아픈 얘길 해 악마 놈이 재밌어 씨발 이게 더 아파 니 아는 척이 덕분에 내 꿈의 반은 아픈 기억을 떠올려 더 춥기 전에 빨리 나가길 바래 악몽을 제발 없애줘 그놈들과 내 아픈 기억 내일 이 악몽을 깰 때쯤에도 난 눈물 흘려 how r u im bad 난 여전히 잠에 못 들겠어 입김 시린 연길 뱉어 방에 참 우울해 봤지 오늘 밤도 nightmare 또 울며 깼지 내일 밤도 잠은 글렀네 
",랩/힙합,sadness: 46.2% love: 3.8% neutral: 50.0%,sadness
32825454,제시 (Jessi),눈누난나 (NUNU NANA),NUNA,"
							I’m trying to give u something more So come with me and fly away away away away away 그래서 난 눈누난나 눈누누난나 Put’ em up in the air 누나 누나 Like this oh 나나나 누나 누나 에에에에이 나를 지금 원해 Gimme more Gimme more Gimme more Gimme more Baby baby yeah I want it 이리로 이리로 이리로 이리 온 유난 떨지 마 그만 원한다면 솔직해져 봐 too much 우 baby 와서 가져가 I could give u everything anything Baby can u handle it 뭐라 하던 still don’t give a what 맘대로 계속 떠들어 they talk about me 뭐라노 뭐라카노 F U 그래서 난 눈누난나 눈누누난나 Put’ em up in the air 누나 누나 Like this oh 나나나 누나 누나 에에에에이 I’m still Jessi from the block U know I got the keys to the lock 안 봐 남의 눈치 I just do me 날 보기 위해 들어 뒤꿈치 Wake up bless looking fresh 어딜 가든 flex got the S on my chest 싸이 오빠 말했지 꼴리는 대로 해 no red lights 올림픽대로 aye 뭐라 하던 still don’t give a what 맘대로 계속 떠들어 they talk about me 뭐라노 뭐라카노 F U 그래서 난 눈누난나 눈누누난나 Put’ em up in the air 누나 누나 Like this oh 나나나 누나 누나 에에에에이 I’m trying to give u something more So come with me and fly away away away away away 그래서 난 눈누난나 눈누누난나 Put’ em up in the air 누나 누나 Like this oh 나나나 누나 누나 에에에에이 
",랩/힙합,neutral: 95.0% enthusiasm: 5.0%,enthusiasm
32479576,릴러말즈 (Leellamarz),GONE (Feat. Paloalto) (Prod. TOIL),GONE,"
							우리 사랑했던 기억도 서로 부대끼며 쌓은 추억도 모두 지나가니까 전부 나을 테니까 지나가자 못 봤던 것처럼 너가 내게 주던 상처도 맞춰가며 내게 생긴 흉터도 모두 지나가니까 전부 나을 테니까 사랑하자 안 해봤던 것처럼 Yea I’m gone Yea I’m gone Yea I’m gone Yea I’m gone Yea I’m gone Yea I’m gone Yea I’m gone Yea I’m gone I’m done yea right 너가 무슨 말을 하던 안 들리지 내게 더는 몰랐어 사랑하는 법을 골랐지 우린 다른 점을 아무리 힘들어도 절대 돌아갈 수 없지 없던 시절로는 Oh no 너는 어떻게 지내는지 힘들다고만 하던 내게로 부터 You better leave 난 만들어 또 다른 앨범 너의 얘기는 없어 이제 더는 우리 관계는 well done 백번 생각해봐도 well done 끝났지 이제 그만 no 만취 홍대 거리에는 사람들이 너무 많지 나를 알아보는 사람들도 너무 많지 No mo pills No mo we 그리고 no mo sweet No mo sweet I love my girl 그래서 hustlin 전부 쓸어 담지 우리 사랑했던 기억도 서로 부대끼며 쌓은 추억도 모두 지나가니까 전부 나을 테니까 지나가자 못 봤던 것처럼 너가 내게 주던 상처도 맞춰가며 내게 생긴 흉터도 모두 지나가니까 전부 나을 테니까 사랑하자 안 해봤던 것처럼 Yea I’m gone Yea I’m gone Yea I’m gone Yea I’m gone Yea I’m gone Yea I’m gone Yea I’m gone Yea I’m gone 만약 널 잃는다면 이게 다 무슨 의미 너가 없는 상태로는 다친 마음 못 추스리지 덕분에 웃음 짓지 세상은 추운 곳이니 혼자서 채우긴 쉽지 않기 땜에 두려운 거지 사랑에 눈이 멀지 마음의 눈이 멀지 사랑이라는 건 꾸밈없이 특별한 둘이 되니 우린 거의 하나야 굳이 설명하나 마나야 작은 기억도 나눠 때론 싸워도 넌 내 자랑이야 나의 모든 것에 너의 흔적이 끄적인 가사에도 너의 숨결이 힘들 땐 주절주저리 털어놓으면 좀 풀렸지 그만큼 힘이 되는 너란 존재를 어찌 부정할 수 있을까 상상하기 싫어 난 우리 약속 가볍지 않아 우리 관계는 유행도 아냐 어쩌다 삐끗할 때 있지만 사는 게 그런 거 아냐 느끼기 싫어 불안감 난 겪기 싫어 그런 삶 열심히 사는 게 기쁜 이유 함께라서 너랑 나 Yea I’m gone Yea I’m gone Yea I’m gone Yea I’m gone Yea I’m gone Yea I’m gone Yea I’m gone Yea I’m gone 
",랩/힙합,love: 22.6% neutral: 41.5% sadness: 28.3% enthusiasm: 3.8% anger: 3.8%,sadness
35536571,우원재,잠수이별 (Prod. 코드 쿤스트),잠수이별,"
							Wake up in the morning 원래 와야 할 문자가 저 어디 다른 데로 갔나 봐 저 멀리 난 찾는 중이야 넌 월리 난 경찰이고 넌 범인 추격전을 벌였어 길거리 너에게는 항상 난 뒷전이지 날 무슨 납치범 보듯이 해 Turn on your phone 어딨어 하루 종일 넌 비행기 모드 여권 없이 넌 떠 있어 온갖 드라마가 머릿속에 안 사라지는 1 손에 안 잡히는 일들 난 더 삐뚤 어져 더 더 하게돼 니가 질색 팔색 싫어하던 짓들 난 공중에 떠 있을래 백번 말해왔지 우리 사이에 대해 매일 아침 twenty six의 calling 안 받아 난 너의 전화는 방해하지 마 너와 내 사이 공백으로 가득 차 Please I'm sick of it Sick of it I don't want to talk anymore Please I'm sick of it Sick of it You'll never take my heart Please I'm sick of it Sick of it I don't want to talk anymore Please I'm sick of it Sick of it You'll never take my heart Where u at now 언제쯤 수영이 끝나 Where u at now 언제쯤 비행이 끝나 Where u at now 언제쯤 수영이 끝나 Where u at now 언제쯤 비행이 끝나 팔 벌리고 허수아비처럼 널 기다려 멍청이처럼 진동이 울리면 확인해 번호 근데 허경영 oh no 계속 뱉어 연기 너무 뿌연 바다 속이지 이 줄 끝엔 너가 보이지 난 자꾸만 나를 속이지 나는 나를 속여가며 말해 무슨 사정이 있겠지 폰을 잃어버렸거나 숙취가 있겠지 하루 종일 울었거나 늦잠이겠지 내가 유난 떠는 거겠지 너는 동굴 속에 살어 난 내 입을 벽에 박어 그 벽 너머에는 바다 이제 그만 전활 받어 우리 헤어진 사이로 난 더 깊이 내려가 너의 집착이 내 시야를 방해하기만 하니까 너 그만해 이제 네가 남긴 잔해들로 떠다니는 이 방안에 난 더 잠수해 있을래 Please I'm sick of it Sick of it I don't want to talk anymore Please I'm sick of it Sick of it You'll never take my heart Please I'm sick of it Sick of it I don't want to talk anymore Please I'm sick of it Sick of it You'll never take my heart Where u at now 언제쯤 수영이 끝나 Where u at now 언제쯤 비행이 끝나 Where u at now 언제쯤 수영이 끝나 Where u at now 언제쯤 비행이 끝나 Where u at now 언제쯤 수영이 끝나 Where u at now 언제쯤 비행이 끝나 Where u at now 언제쯤 수영이 끝나 Where u at now 언제쯤 비행이 끝나 난 아직 안 됐어 헤어질 준비가 바다로 떠난 네 비행기는 어디쯤일까 널 더 좋아하는 내가 죄인이지 그래 24시간 폰이 내 손에 잠수이별 이게 니 노래 잠수이별 이제 됐어 난 아직 안 됐어 헤어질 준비가 바다로 떠난 네 비행기는 어디쯤일까 널 더 좋아하는 내가 죄인이지 그래 24시간 폰이 내 손에 잠수이별 이게 니 노래 잠수이별 그만 됐어 이젠 
",랩/힙합,neutral: 57.9% sadness: 26.3% anger: 7.0% love: 5.3% happiness: 3.5%,sadness
33999028,ITZY (있지),#Twenty,CRAZY IN LOVE,"
							Ey I am Twenty Let me show ya  What I wanna do Twenty I got this number 하루아침에 싹 All 달라진 공기 uh 나를 대하는 sight 앞자리 숫자가 바뀐 것뿐인데 Do it do it  More more more  Twenty 수업 시간 딴짓하며 끄적이던 bucket list  페이지가 까맣도록 끝을 몰랐지 다섯 번째 애매하게 숨겨놓은  열두시 땡 하자마자 기다려온 we like to party 투명한 champagne 맛도 없어 깊이를 알기엔 난 순수한 걸 어른 흉내 fake 딱히 안 할래 나는 서툰 지금 내가 좋아 Twenty 뭐든지 할 수 있지 기다려 왔던 이 순간 심장이 이리 뛰지 효과음 Twenty Twenty 책임은 무겁지만 자유는 달콤해 hey 세상이 내 것 같지 I am just Twenty  Twenty Twenty ooh ooh Twenty Twenty ooh Twenty Twenty ooh ooh I am just Twenty Twenty Do or die 해봐 다 가능한 나이야 Twenty Twenty Twenty ooh ooh I am just Twenty Twenty 딱히 흥미 so so 딱지 앉게 들은 love love 딱 눈감고 해볼까 그러긴 싫은데 I love myself  Love me love me, NOPE! Yeah I’m just Twenty 나는 꿈이 크지 타협 따윈 없어 It's okay I’m gonna make it 내가 뭐가 될지 부딪쳐봐 all in 경험은 성장하게 날 To level up Twenty 난 있지 용감해 몰라서 더 거침없이 My dream 무한히 Make something crazy crazy 이 feeling 뜨겁게 오히려 넘치는 게 낫지 My youth 더 높이 Make something crazy crazy I am just Twenty  Twenty Twenty ooh ooh Twenty Twenty ooh Twenty Twenty ooh ooh I am just Twenty Twenty 두고 봐 난 달라 해내는 나이야 Twenty Twenty Twenty ooh ooh I am just Twenty Twenty
					",랩/힙합,neutral: 66.7% sadness: 16.7% love: 12.5% anger: 4.2%,sadness
8276709,창모 (CHANGMO),아름다워,돈 벌 시간 2,"
							널 이제 놓아줘야 될것같애 의미없는 날짜를 셀것같애 내 손이 아닌 꽃이 무대인 나비  다시 날갯짓 하길 이제는 bye bay 나에게는 크리스탈  혹은 별과 비슷한  빛을가진 diamond luxury thang 널 봐 난 널 위한 걸까 날 위한 건지 허나 넌 더욱 어울려 누군가의 더큰 어깨 제발 글로 갈래 내가 나쁠래 모자 쓰고 말해 찡그리며 오지마 너와 함께인 순간은 불안의  연속에 연속 내가 부족하니 미안해 나의 자존심 때문에 우아한 프라다 우아한 샤넬 깔끔한 마르지엘라 같은 너에 반해 잘하려했지 허나 자격지심 때문에 너를 못가져 너를 못 안어  그댄 변함없이 아주 너무나도 아름다워  Run Run 누가 먹였니 너의 높은 값어칠 언제부터 너는 그리 아름다웠니 누가 넌 과분하데 나는 말없이 그래 허나 난 너에겐 가면쓰고 감췄지 남겨 미안해 기스같은 상처 그렇지 않음 내 가 별거 없는 애처럼 느껴져 몰아세운거야  미워해줘 날 모두 사랑해준 너 이제는 알겠어 내가 널 가진 것 이 아니고 너가 와준  것이라는 것을 너없는 이 도시 마치 압구정의 club  그 속에 나는 먼지 나는 특별하지않네 너를 위안 삼았나봐  너가 사랑할때 Oh 우리 걷던 거릴 지나갈때 초라한 내게 그댄 빛을 발해  우아한 프라다 우아한 샤넬 깔끔한 마르지엘라 같은 너에 반해 잘하려했지 허나 자격지심때문에 너를 못가져 너를 못 안어  그댄 변함없이  아주 너무나도 아름다워  
",랩/힙합,neutral: 51.2% sadness: 34.1% love: 14.6%,sadness
37285003,호미들,노세노세,YAINS,"
							난 시작은 빨리 쉴 시간 없어 움직여 내 다리 Genesis hop in R8 냅두고 이재용같이 내가 왜 가 니 파티 닌 똥구멍으로 먹었어 니 나이 Ay beautiful shawty 니 말고 내 차, 시계 부르는거임,뭐 젊어 일해 젊어 버네 젊어 노네 (노세 노세 젊어서 노세) 뭐 젊어 일해 젊어 버네 젊어 노네 (노세 노세 젊어서 노세),Ballin 해 루이비통벨트 내 허리에 diamond chain rolli flex terminate 쟨 우리보고 또 짓거리네 니 앞가림해 羔 과민해 이걸 만든건 내 땀이네 수없이 뱉어 이빨 갈리게 이러다가 하겠어 laminate 22 나이에 ㅎ 알몸 착장도 1억 no lie 발목 잡혀도 달려 또다시 problem 따윈 이겨내고 we fly 땅속에서 자라온 어린 아이 방송 안타고 쓸어 몽땅 창조 무에서 유 my lifestyle,난 시작은 빨리 쉴 시간 없어 움직여 내 다리 Genesis hop in R8 냅두고 이재용같이 내가 왜 가 니 파티 닌 똥구멍으로 먹었어 니 나이 Ay beautiful shawty 니 말고 내 차, 시계 부르는거임,뭐 젊어 일해 젊어 버네 젊어 노네 (노세 노세 젊어서 노세) 뭐 젊어 일해 젊어 버네 젊어 노네 (노세 노세 젊어서 노세),Okay 너네 뭐하냐 조빱 다 됐으 거기 비실이 갑갑하네 너네 월급이 차 값하네 나는 못 돌아가겠어 단칸방에 Oh shit 눈을 배렸어 짭 착장에 Oh god 우리 찐퉁은 쌈빡하네 Oh my 내 시계 진짜 쌍당하네 우리 떳떳하지 우리들 혓바닥에 Tik tok 내 시간은 pop in 내 방식 반칙 없이 널 닦기 틱틱거려 니 아가리는 닫기 A B C 발 어차피 Okay 아 시간 좀 봐바 소매를 걷어 데이토나가 Oh yeah 근데 이거 어케 봐? 나도 몰라 진짜 이 새끼야,젊어 일해 젊어 버네 젊어 일해 젊어 노네 젊어 일해 젊어 버네 젊어 일해 젊어 노네,난 시작은 빨리 쉴 시간 없어 움직여 내 다리 Genesis hop in R8 냅두고 이재용같이 내가 왜 가 니 파티 닌 똥구멍으로 먹었어 니 나이 Ay beautiful shawty 니 말고 내 차,시계 부르는거임,뭐
					",랩/힙합,sadness: 12.2% love: 6.1% neutral: 81.6%,sadness
35937395,허성현 (Huh),펄펄 (Feat. 다이나믹 듀오) (Prod. R.Tee),쇼미더머니 11 Episode 3,"
							I mean 내 질투가 problem 난 쉰 적 없어 고파도 믿어준 적 없어 엄마도 그땐 너무 추웠지 정말로 Now I need some spotlight yeah 내게 말해 더 타올라야 한다고 더 필요해 장작 yeah 다 뺏어 못 참아 탐욕 꿈이었던 걸 먹어 치워 그 꿈은 양분이 돼 난 꿈이 됐어 압박에 난 못 숙여 기어코 고개 든 채로 그냥 죽겠어 펄펄 끓여서 내 겨울을 녹여 녹여내 이 삶을 돌려주려 해 몇천이든 억이든 벌어도 못 멈추지 날 아직 만족할 수 없어 하나도 추웠던 겨울을 바꿔가지 난 더 타올라야 해 떨며 추웠던 날을 녹여 Oh my life 열등감은 날 펄펄 끓여 날 움직이는 기름 더 퍼부어 뜨거운 엔진 땀을 뻘뻘 흘려 질투는 나의 힘 다 엎어 숙여 결국엔 내 앞에 다 굴복해 굴복해 난 만족 못 해 항상 부족해 부족해 운명 따위에 난 안 굴복해 굴복해 현실 따위는 날 못 구속해 구속해 계속 부딪혀 여기저기서 축적해 부를 나의 재산에 관한 소문 무성해 묵음 수십 개의 트로피 택배 박스 안에 구금 너흰 언제까지 해 먹을 건데 죽음 불 피우네 여긴 위험해 Chinese Kitchen 웍질과 칼이 치칭 음식들이 펄펄 끓으면 돈 냄새가 나 이리 와 시식 해 해 해 Time is tickin’ 마지막 춤을 춰야 될 시기 4쿼터에 황소처럼 밀어붙여 Mj dennis scottie pippen shoot 아직 만족할 수 없어 하나도 추웠던 겨울을 바꿔가지 난 더 타올라야 해 떨며 추웠던 날을 녹여 Oh my life 열등감은 날 펄펄 끓여 날 움직이는 기름 더 퍼부어 뜨거운 엔진 땀을 뻘뻘 흘려 질투는 나의 힘 다 엎어 숙여 결국엔 내 앞에 다 굴복해 굴복해 난 만족 못 해 항상 부족해 부족해 운명 따위에 난 안 굴복해 굴복해 현실 따위는 날 못 구속해 구속해 계속 부딪혀 걔네들의 평점 다 의미 없게 해 몇천을 벌어도 못 멈춰 내 겨울은 바뀌어가 점점 걔네들의 평점 다 의미 없게 해 몇천을 벌어도 못 멈춰 내 겨울은 바뀌어가 점점 걔네들의 평점을 다 의미 없게 해 몇천이든 억이든 벌어도 절대 못 멈춰 내 겨울은 바뀌어 가 펄펄 열등감은 날 펄펄 끓여 날 움직이는 기름 더 퍼부어 뜨거운 엔진 땀을 뻘뻘 흘려 질투는 나의 힘 다 엎어 숙여 결국엔 내 앞에 다 굴복해 
",랩/힙합,sadness: 38.7% love: 1.6% neutral: 53.2% anger: 1.6% enthusiasm: 3.2% happiness: 1.6%,sadness
34377570,MINO (송민호),탕!♡,"""TO INFINITY.""","
							너 어디서 왔는지 혹시 우주 여우 같은 표정으로 What the fox says 잘 안 들려 통장 사본 보여주면 넘어올래? 넌 대체 어떻게 공략하면 되니 I should 공부 Woo 총알은 충분하다니까 입만 벌려 스테이크 날아 들어간다 붕붕,아름다워 안 아까워 Money is power 속물 아니라고 넌 그냥 내 마음 표현이라고 받아줘 준비 장전 그리고 발사,탕! 탕! 탕! 탕! 먹어 입어 맘껏 I'll get the bill 먹어 입어 맘껏 그리고 발사,Pow! 뭐가 문제야 넌 그냥 즐기면 되고 보석을 래퍼들처럼 온몸에 뱅뱅 두르고 부르고 블랙 택시만을 그리고 식사는 미슐랭 으로 그 모든 계산은 나의 Credit card 모든 게 불필요해질 때까지 무조건 일시불 ,써재껴 like 게임머니  부담 갖지 마 영원히  그 대신 해 줘 나의 꾀꼬리  너 등 보이면 바로 백허깅,아름다워 안 아까워 Money is power 속물 아니라고 넌 그냥 내 마음 표현이라고 받아줘 준비 장전 그리고 발사,탕! 탕! 탕! 탕! 먹어 입어 맘껏 I'll get the bill 먹어 입어 맘껏 그리고 발사,환심, 사치, 억지일 뿐 사실 맘을 사고 싶음 너를 꼬실 방법 좀 난 무식해서 여자 맘을 잘 몰라,뭔 짓까지 해야 되니 날 피하지 말아 또 상처받고 싶지 않아 이렇게까지 해도 다시 넌 내 가슴에,탕! 탕! 탕! 탕! 먹어 입어 맘껏 I'll get the bill 먹어 입어 맘껏 그리고 발사
					",랩/힙합,neutral: 77.1% love: 14.3% sadness: 8.6%,love
